z=0 k                     pk_nl                    
6.83207659881e-06         197.666062128            
8.60107484558e-06         246.565387224            
1.08281116918e-05         307.561599206            
1.36317849706e-05         383.647268464            
1.71614005076e-05         478.552138796            
2.1604923201e-05          596.931576114            
2.71989868376e-05         744.589816173            
3.42414957049e-05         928.763730737            
4.31074890807e-05         1158.47456501            
5.42691134424e-05         1444.96344985            
6.83207659881e-05         1802.22896898            
8.60107484558e-05         2247.68718991            
0.000108281116918         2802.97355731            
0.000136317849706         3494.90334615            
0.000171614005076         4356.59545396            
0.00021604923201          5428.741186              
0.000271989868376         6760.96089013            
0.000342414957049         8413.14035769            
0.000431074890807         10456.5836989            
0.000542691134424         12974.7322703            
0.000683207659881         16062.9033938            
0.000860107484558         19825.846916             
0.00108281116918          24371.6566156            
0.00136317849706          29800.9803586            
0.00171614005076          36189.1807152            
0.0021604923201           43561.179497             
0.00271989868376          51857.4089373            
0.00342414957049          60891.0703589            
0.00431074890807          69912.347287             
0.00542691134424          78965.2764784            
0.00683207659881          86952.2686887            
0.00860107484558          92805.3913957            
0.0108281116918           95319.1129686            
0.0136317847279           93405.7431063            
0.0171612502035           86666.2590259            
0.02158733545             76178.0658846            
0.0266969656447           65410.2258327            
0.0308278664798           58757.3182996            
0.0338604190442           54862.7399514            
0.0363897102654           52036.5784706            
0.0386616168031           49689.9535003            
0.0407879981716           47566.5567263            
0.0428289917565           45554.1583665            
0.0448210619552           43589.3215143            
0.0467883638338           41652.1644797            
0.0487480355268           39734.6918241            
0.0507129344381           37852.1780286            
0.0526931694279           36024.8555036            
0.0546970142557           34275.8841977            
0.0567314802289           32629.4594196            
0.0588026902385           31105.5353417            
0.0609161314739           29717.3237897            
0.0630768310097           28469.6940306            
0.0652894806388           27356.803889             
0.067558527285            26362.8684318            
0.0698882394386           25463.1024541            
0.0722827564971           24626.8550521            
0.074746125667            23818.7359166            
0.0772823296691           23008.1593928            
0.079895307563            22170.2984438            
0.0825889704068           21292.2894976            
0.0853672130566           20375.8135541            
0.0882339231486           19440.0512383            
0.0911929881238           18512.5337418            
0.0942483010406           17627.3415175            
0.097403765842            16812.7027161            
0.1006633027              16085.7610362            
0.104030854023            15447.1087775            
0.107510391705            14880.8860434            
0.111105926161            14359.5518818            
0.114821517722            13851.1924283            
0.118661290911            13330.8624654            
0.122629452158            12787.7309844            
0.126730311501            12229.7834988            
0.130968308819            11680.9284043            
0.135348045178            11165.2018935            
0.139874319916            10699.7365049            
0.144552174138            10284.7750519            
0.149386941399            9903.33446466            
0.154384306523            9534.91965262            
0.159550373649            9169.30467607            
0.16489174494             8804.70042277            
0.1704156117              8446.96012337            
0.176129860188            8108.3561287             
0.182043195047            7796.24091228            
0.188165284117            7506.19709007            
0.194506929609            7230.09060607            
0.201080272055            6960.81888859            
0.207899035597            6697.31800994            
0.214978825893            6445.59753478            
0.222337495808            6207.59386158            
0.229995599355            5982.35522926            
0.237976961917            5765.6322608             
0.246309405628            5555.25189911            
0.255025684571            5352.60131077            
0.264164708064            5158.6171445             
0.273773166021            4971.69362211            
0.283907726009            4790.25908465            
0.294638060046            4613.93698755            
0.306051104049            4442.58445547            
0.318257197085            4275.00302064            
0.331399174293            4110.21197889            
0.345666261749            3947.21807192            
0.361316090699            3784.86373291            
0.378711078102            3621.39971509            
0.398381603573            3454.77325924            
0.421142323196            3282.02375745            
0.448321497646            3098.70867408            
0.482249611485            2897.88866439            
0.527382851841            2667.7474388             
0.5929460811              2388.20591822            
0.697452011366            2033.02896821            
0.861981327038            1613.97321423            
1.08394124348             1213.66349802            
1.36458144438             874.297124386            
1.71790619644             605.3753104              
2.16271576575             405.257845074            
2.72269783599             264.01251893             
3.42767349437             168.391405789            
4.31518526539             105.687109359            
5.4324963872              65.5373110296            
6.83910775133             40.2783664521            
