k                         pk_lin                   
1.06073697562e-07         4.17515211797            
1.33538873384e-07         5.20801592141            
1.68115481166e-07         6.49639320228            
2.11644851356e-07         8.10349378257            
2.66445081647e-07         10.1081645521            
3.35434484133e-07         12.6087578216            
4.22286996067e-07         15.7279566417            
5.31627830419e-07         19.6187938276            
6.69279785331e-07         24.4721599899            
8.42573329354e-07         30.5261689293            
1.06073697562e-06         38.0778398755            
1.33538873384e-06         47.4976697186            
1.68115481166e-06         59.247810172             
2.11644851356e-06         73.9047416635            
2.66445081647e-06         92.1875563755            
3.35434484133e-06         114.993238041            
4.22286996067e-06         143.440669382            
5.31627830419e-06         178.925526259            
6.69279785331e-06         223.188751733            
8.42573329354e-06         278.401969476            
1.06073697562e-05         347.274027057            
1.33538873384e-05         433.178932783            
1.68115481166e-05         540.330075777            
2.11644851356e-05         673.978821611            
2.66445081647e-05         840.670576946            
3.35434484133e-05         1048.56059423            
4.22286996067e-05         1307.80308513            
5.31627830419e-05         1631.02788178            
6.69279785331e-05         2033.91762403            
8.42573329354e-05         2535.894735              
0.000106073697562         3160.91463199            
0.000133538873384         3938.33604663            
0.000168115481166         4903.79017518            
0.000211644851356         6099.89090446            
0.000266445081647         7576.52520037            
0.000335434484133         9390.38104064            
0.000422286996067         11603.3893087            
0.000531627830419         14279.7957706            
0.000669279785331         17480.9876051            
0.000842573329354         21255.6507337            
0.00106073697562          25623.7173336            
0.00133538873384          30556.5464263            
0.00168115481166          35954.1325085            
0.00211644851356          41623.1717148            
0.00266445081647          47255.2472403            
0.00335434484133          52417.2201087            
0.00422286996067          56561.1704042            
0.00531627830419          59029.7581338            
0.00669279785331          59116.4538157            
0.00842573329354          56153.256995             
0.0106073697534           49747.2648764            
0.013353882281            40232.512072             
0.016810145225            29237.1825065            
0.0210795570138           19745.4084402            
0.0253824469507           14682.6927799            
0.0284908614767           12941.0532483            
0.0309214538728           12205.115808             
0.0330310488023           11771.1260829            
0.0349672798095           11404.7327397            
0.0368030911227           11003.4020158            
0.0385801276226           10521.9644215            
0.0403247658641           9946.1421452             
0.0420550717183           9283.49019165            
0.0437842120208           8555.68876362            
0.0455222887363           7794.44501283            
0.0472773978262           7035.33363974            
0.0490562760694           6312.63655142            
0.0508647146701           5656.87324858            
0.0527078338509           5090.0194213             
0.0545902708967           4625.02528631            
0.0565163122666           4265.83438792            
0.0584899883696           4007.52326122            
0.0605151426979           3837.37873466            
0.0625954828979           3736.57254635            
0.0647346188388           3680.21972772            
0.0669360911443           3638.85294518            
0.0692033926305           3582.44663926            
0.071539984423            3484.45806747            
0.0739493080808           3327.91520845            
0.0764347947618           3110.55399079            
0.0789998722673           2846.07970285            
0.0816479706696           2560.41530659            
0.0843825271492           2284.57715374            
0.0872069906038           2046.21601061            
0.0901248265673           1862.65722956            
0.0931395229467           1738.79910506            
0.0962545970768           1666.34270369            
0.0994736045817           1626.62420609            
0.102800150527            1594.3541861             
0.106237903342            1545.41309856            
0.109790611992            1463.8334202             
0.113462126884            1350.03267243            
0.117256425005            1220.42535435            
0.121177639813            1098.19493345            
0.125230096451            1000.36725926            
0.129418352923            931.932570097            
0.13374724796             887.589305747            
0.138221956492            853.811459199            
0.14284805379             814.29217773             
0.147631589675            760.524176889            
0.152579174538            696.876487402            
0.157698079405            634.728884666            
0.162996352967            584.299123761            
0.168482959325            547.720690163            
0.174167941386            517.899375807            
0.180062616364            486.825950516            
0.186179811943            451.118885596            
0.192534154479            414.142374355            
0.199142424567            381.902207193            
0.206024000784            355.552687484            
0.213201420279            331.977301436            
0.220701096207            307.519993127            
0.228554248701            283.112175019            
0.23679813119             260.68210746             
0.245477672336            240.773966538            
0.254647714339            222.073239724            
0.264376125763            203.612748478            
0.274748228709            186.169826476            
0.285873256984            170.209574221            
0.297894053873            154.797776229            
0.311002128544            140.023798667            
0.325461955767            126.051436054            
0.341652014091            112.546238103            
0.360137897369            99.4797722475            
0.381811032063            86.6873995526            
0.408171821729            74.0242154739            
0.441955357975            61.2683173419            
0.488605043824            48.1829248179            
0.559537829537            34.7307519592            
0.67460066197             22.0041764522            
0.843923649941            12.6524000927            
1.06223940238             7.11604966064            
1.33727864064             3.97454190751            
1.68353406138             2.20664713496            
2.1194438115              1.21853910432            
2.66822167316             0.669502559735           
3.35909206865             0.366175386615           
4.22884636577             0.199414507259           
5.32380215245             0.108170507558           
6.70226981708             0.058458802097           
