z=0 k                     pk_nl                    
7.2833880789e-06          86.830621652             
9.16924233648e-06         108.31108598             
1.15433921843e-05         135.105463061            
1.45322697591e-05         168.528327307            
1.82950436908e-05         210.218335469            
2.30320954122e-05         262.220621022            
2.89956902013e-05         327.0851413              
3.6503411227e-05          407.991631105            
4.59550720108e-05         508.904320239            
5.78540079552e-05         634.763865848            
7.2833880789e-05          791.724924129            
9.16924233648e-05         987.44842971             
0.000115433921843         1231.45870254            
0.000145322697591         1535.57434381            
0.000182950436908         1914.41840082            
0.000230320954122         2386.0047581             
0.000289956902013         2972.38192672            
0.00036503411227          3700.29220779            
0.000459550720108         4601.77741055            
0.000578540079552         5714.63531185            
0.00072833880789          7082.56257778            
0.000916924233648         8754.57948278            
0.00115433921843          10782.9100093            
0.00145322697591          13218.7418054            
0.00182950436908          16105.6098992            
0.00230320954122          19468.1392103            
0.00289956902013          23297.2131204            
0.0036503411227           27450.2172563            
0.00459550720108          31906.2847641            
0.00578540079552          36363.0744902            
0.0072833880789           40432.2433298            
0.00916924233648          43587.0418172            
0.0115433921842           45170.1888754            
0.0145322694953           44540.4701382            
0.0182948811043           41373.4864935            
0.0230131487819           36161.9844563            
0.0284569492357           30788.8080682            
0.0328535798909           27590.4129506            
0.0360823021438           25817.8605619            
0.0387759536194           24589.3400568            
0.0411958509673           23594.7547233            
0.0434609394589           22700.0926428            
0.0456351908593           21838.6784208            
0.0477574054208           20975.6060312            
0.0498532909992           20094.9665587            
0.0519410905222           19192.6794248            
0.0540344921504           18276.2796833            
0.0561442591905           17357.2553787            
0.0582792019493           16453.6892183            
0.0604467870765           15582.8676672            
0.0626535356092           14763.2707974            
0.0649052919305           14009.7074226            
0.067207410655            13332.7948282            
0.0695648895038           12737.0748574            
0.0719824655439           12221.3546487            
0.0744646859094           11776.1029757            
0.0770159603258           11386.936939             
0.0796406003933           11034.0022471            
0.08234284908             10695.1639114            
0.0851269028912           10348.5579707            
0.0879969285394           9976.78563953            
0.0909570755058           9569.78013943            
0.0940114856026           9128.55259036            
0.097164300453            8664.37723116            
0.10041966768             8197.25886774            
0.103781746519            7749.75336159            
0.107254713511            7343.1075486             
0.110842768908            6990.56905799            
0.114550144397            6694.30539928            
0.118381112736            6444.73518254            
0.122339999899            6222.94744354            
0.126431200296            6006.25100617            
0.130659195657            5776.5207478             
0.135028578166            5523.34363417            
0.139544078417            5251.4554195             
0.144210598836            4978.1897613             
0.149033253199            4724.26485244            
0.154017412992            4502.17883948            
0.159168761439            4312.92829358            
0.164493356179            4147.29758199            
0.169997701802            3990.406319              
0.175688833728            3828.29393814            
0.181574415329            3657.42264472            
0.187662850704            3485.43376705            
0.193963416234            3323.84917261            
0.20048641494             3180.33470488            
0.207243358923            3053.17171741            
0.214247186769            2932.88749592            
0.221512525               2812.32618144            
0.229056005646            2690.92654737            
0.23689665606             2574.11159978            
0.245056382837            2466.73740679            
0.253560579722            2367.4809563             
0.262438900926            2271.79633               
0.271726258207            2177.16348818            
0.281464125112            2085.74351592            
0.29170227002             1999.29191572            
0.30250109884             1916.75036131            
0.313934882656            1836.38985969            
0.32609630008             1757.84387438            
0.339102984738            1681.90836472            
0.353107223589            1607.99327131            
0.368310778281            1534.92326976            
0.384988369783            1462.76368646            
0.403526493756            1390.75086806            
0.424490835723            1317.93661387            
0.448750409435            1243.3152977             
0.477722361761            1165.13645457            
0.513893682813            1080.84020033            
0.562020985827            986.219889               
0.631952562743            874.482515899            
0.743442434556            738.025763343            
0.918912530005            584.857540144            
1.15554513725             444.450022943            
1.45472439835             326.629899607            
1.83138944912             231.25720992             
2.30558271636             157.686989697            
2.90255667062             103.947072975            
3.65410235181             66.6168970641            
4.600242308               41.7423249148            
5.79136194195             25.7029351381            
7.29089271761             15.618083109             
