z=2 k                     pk_nl                    
7.35815642892e-06         13.3271839044            
9.26337011232e-06         16.6241094936            
1.16618920333e-05         20.7366401213            
1.46814522303e-05         25.8665430281            
1.84828532947e-05         32.2653542468            
2.32685336952e-05         40.2469732542            
2.92933483641e-05         50.2028210726            
3.68781406521e-05         62.6210053398            
4.64268284066e-05         78.1101057265            
5.84479140701e-05         97.4287050499            
7.35815642892e-05         121.521966688            
9.26337011232e-05         151.566741326            
0.000116618920333         189.026824916            
0.000146814522303         235.719925469            
0.000184828532947         293.897422184            
0.000232685336952         366.336701847            
0.000292933483641         456.443126198            
0.000368781406521         568.353743908            
0.000464268284066         707.027507588            
0.000584479140701         878.298535666            
0.000735815642892         1088.86446374            
0.000926337011232         1346.18104811            
0.00116618920333          1658.15433018            
0.00146814522303          2032.66337069            
0.00184828532947          2476.29344567            
0.00232685336952          2992.66476595            
0.00292933483641          3580.13336691            
0.00368781406521          4227.11995246            
0.00464268284066          4913.22758949            
0.00584479140701          5598.03622173            
0.00735815642892          6219.90967354            
0.00926337011232          6693.47959733            
0.0116618920332           6912.09977819            
0.0146814520176           6769.02264826            
0.018482714386            6210.81783376            
0.0232515614394           5324.128739              
0.0287891522887           4429.70474738            
0.0333141501926           3915.84548885            
0.0366245519541           3648.79493284            
0.0393775356406           3474.03945534            
0.041846540767            3337.88068105            
0.0441552963998           3217.23400049            
0.0463700492463           3100.2672138             
0.0485308502              2980.64028231            
0.0506641712323           2855.27690415            
0.0527887611345           2723.40576392            
0.054918665067            2585.95784189            
0.0570649119885           2445.17074259            
0.0592365190337           2304.13100946            
0.0614411203478           2166.40302602            
0.063685377383            2035.56003982            
0.0659752558665           1914.81126068            
0.0683162180981           1806.63280722            
0.0707133595827           1712.48857208            
0.0731715079409           1632.67549718            
0.0756952955639           1566.22430467            
0.0782892135587           1510.9576467             
0.0809576520876           1463.62608656            
0.0837049306522           1420.22730555            
0.0865353208564           1376.49510143            
0.0894530635226           1328.57637219            
0.0924623815882           1273.80253683            
0.0955674899168           1211.32082131            
0.0987726029636           1142.3936526             
0.102081941104            1070.18411851            
0.105499736353            999.007889423            
0.109030238144            933.294577499            
0.112677719819            876.468732128            
0.116446486431            830.046952927            
0.120340884487            793.285718895            
0.124365314209            763.273554992            
0.128524244921            735.960670236            
0.132822234137            706.957591248            
0.137263950953            673.045107763            
0.141854204341            633.944991               
0.146597976964            592.293135395            
0.151500465189            552.116358071            
0.156567126033            516.811644832            
0.161803731878            487.984907093            
0.16721643396             464.887362532            
0.172811835846            444.605307757            
0.178597078395            423.711451091            
0.184579938137            400.368014372            
0.190768941487            375.133489302            
0.19717349795             350.466052138            
0.203804056404            328.918052126            
0.210672289748            311.016687932            
0.217791314886            295.254158477            
0.225175957211            279.540988159            
0.232843071731            262.84085446             
0.240811937143            246.093235529            
0.249104744837            230.777513497            
0.257747212964            217.429244519            
0.266769367279            205.068886456            
0.276206547464            192.672716029            
0.286100722865            180.315263107            
0.296502239882            168.780428374            
0.307472182744            158.22278415             
0.319085623996            148.124124499            
0.331436195762            138.147286749            
0.344642673639            128.626257994            
0.358858720019            119.674187762            
0.374287758547            110.917400358            
0.391206514049            102.411747098            
0.410003863564            94.1897164297            
0.431248199559            86.0639457033            
0.4558112259              78.0298990871            
0.485111523427            69.929877234             
0.521632310161            61.6329270044            
0.570109669856            52.9108406823            
0.640331825909            43.5123719147            
0.752039958899            33.4618401433            
0.928462364056            24.0796795781            
1.16739784709             17.1672472906            
1.46964219527             12.4290420919            
1.85016982654             9.10695734783            
2.32922581073             6.70778922627            
2.93232156293             4.9300388054             
3.69157413112             3.58948488504            
4.6474164832              2.57204618043            
5.85075070989             1.80419237239            
7.36565874675             1.23438229975            
