z=2 k                     pk_nl                    
1.11183546119e-07         1.41993628519            
1.39971791583e-07         1.77120511342            
1.76214045358e-07         2.20937205882            
2.21840339617e-07         2.755934283              
2.79280440905e-07         3.43770699095            
3.51593244072e-07         4.28813902731            
4.42629669577e-07         5.34895392945            
5.57237739045e-07         6.67219695004            
7.01520750095e-07         8.32278847926            
8.83162299195e-07         10.3817091416            
1.11183546119e-06         12.9499728329            
1.39971791583e-06         16.1535826216            
1.76214045358e-06         20.1497126581            
2.21840339617e-06         25.1344193865            
2.79280440905e-06         31.3522603828            
3.51593244072e-06         39.1082927357            
4.42629669577e-06         48.7830396287            
5.57237739045e-06         60.8511594076            
7.01520750095e-06         75.9047330676            
8.83162299195e-06         94.6823126815            
1.11183546119e-05         118.105155929            
1.39971791583e-05         147.32132999             
1.76214045358e-05         183.763938012            
2.21840339617e-05         229.2196359              
2.79280440905e-05         285.915971269            
3.51593244072e-05         356.629423421            
4.42629669577e-05         444.819193769            
5.57237739045e-05         554.792057422            
7.01520750095e-05         691.904112892            
8.83162299195e-05         862.80488186             
0.000111183546119         1075.72709001            
0.000139971791583         1340.82009736            
0.000176214045358         1670.51324534            
0.000221840339617         2079.87373893            
0.000279280440905         2586.88864878            
0.000351593244072         3212.55594293            
0.000442629669577         3980.63584919            
0.000557237739045         4916.9286158             
0.000701520750095         6047.97075201            
0.000883162299195         7398.77707173            
0.00111183546119          8988.54401273            
0.00139971791583          10823.7580738            
0.00176214045358          12890.0535614            
0.00221840339617          15142.8849308            
0.00279280440905          17497.2385552            
0.00351593244072          19812.2631713            
0.00442629669577          21914.3749665            
0.00557237739045          23559.8480535            
0.00701520750095          24474.3862958            
0.00883162299195          24373.9972467            
0.0111183546063           23035.8213033            
0.0139971705509           20433.9948427            
0.0176193087008           16928.8827227            
0.0220702618973           13400.6784386            
0.0264209927496           11090.8618458            
0.02954351418             9978.0169953             
0.0320109112031           9295.65619676            
0.0341646734352           8775.41078793            
0.0361477149589           8321.9113165             
0.0380315812596           7893.67595311            
0.0398575025316           7472.32382136            
0.0416517730007           7051.10135654            
0.043432498729            6630.22208472            
0.0452129333986           6214.21676443            
0.0470032828817           5809.82942596            
0.0488117521248           5424.83047564            
0.0506451871619           5066.49636048            
0.0525094869661           4740.78470645            
0.0544098775992           4451.60426549            
0.0563511003626           4200.34452158            
0.0583375442221           3985.53002708            
0.0603733409457           3803.03376902            
0.0624624345792           3646.32680496            
0.0646086328141           3507.09558243            
0.0668156452966           3376.16120095            
0.0690871123496           3244.6358052             
0.0714266265548           3105.38810613            
0.0738377489782           2954.27193404            
0.0763240213786           2791.00623551            
0.0788889754427           2619.35358449            
0.0815361398981           2446.24715386            
0.0842690462217           2280.05754634            
0.087091233579            2128.44983087            
0.0900062535759           1996.55874634            
0.0930176753688           1885.62303631            
0.096129091658            1792.84924596            
0.099344126078            1712.24335867            
0.102666442486            1636.16699632            
0.106099756648            1557.92873931            
0.109647850815            1473.77155195            
0.113314591681            1383.75490558            
0.117103952229            1292.98281658            
0.121020037972            1207.14257601            
0.125067118129            1130.86771175            
0.129249662332            1065.56774945            
0.133572383522            1008.60950389            
0.138040287807            955.425414404            
0.142658732212            902.864279295            
0.147433491472            849.78672973             
0.152370835304            796.678335888            
0.157477617997            746.00123841             
0.162761382677            700.236246187            
0.168230483289            659.246240651            
0.173894228268            621.412898857            
0.179763051063            585.019507605            
0.185848714323            549.140637035            
0.192164556726            514.832153339            
0.198725794468            482.906193395            
0.20554989353             453.448022709            
0.212657034706            425.887645835            
0.220070701655            399.289921189            
0.227818434271            373.888890254            
0.235932807391            349.996590962            
0.244452721572            327.613779694            
0.253425133655            306.22088514             
0.262907419386            285.846370814            
0.272970664592            266.512745214            
0.28370435475             248.050988501            
0.295223230491            230.420707831            
0.307677607146            213.48566922             
0.321269441731            197.196925477            
0.336278349153            181.405568999            
0.353105709472            166.006102245            
0.372353606459            150.850127221            
0.394975404826            135.76266971             
0.422584979392            120.475417481            
0.458144240793            104.659304304            
0.507586290483            87.8474421458            
0.58334021345             69.7144016845            
0.706162527828            51.3999816588            
0.884502039399            36.5575981129            
1.11337474771             26.2708356276            
1.40165475513             19.1191999138            
1.76457878869             14.0008403934            
2.2214730782              10.2407090883            
2.79666890976             7.42690331095            
3.52079755887             5.3046260238             
4.43242151665             3.71065427589            
5.58008808309             2.5322231021             
