# Matter power spectrum P(k) at redshift z=2
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       1.015221167016e+01 
       1.320701002944e-05       1.258085265667e+01 
       1.662664053989e-05       1.559046862433e+01 
       2.093170028843e-05       1.932002804799e+01 
       2.635144940517e-05       2.394172728707e+01 
       3.317450929377e-05       2.966892936486e+01 
       4.176423277373e-05       3.676598135287e+01 
       5.257805394294e-05       4.556035643908e+01 
       6.619184821145e-05       5.645764753714e+01 
       8.333059976702e-05       6.996004285220e+01 
       1.049070096267e-04       8.668902215943e+01 
       1.320701002944e-04       1.074130848116e+02 
       1.662664053989e-04       1.330813477256e+02 
       2.093170028843e-04       1.648637076989e+02 
       2.635144940517e-04       2.041978082369e+02 
       3.317450929377e-04       2.528420015250e+02 
       4.176423277373e-04       3.129314739950e+02 
       5.257805394294e-04       3.870313155439e+02 
       6.619184821145e-04       4.781757552536e+02 
       8.333059976702e-04       5.898785699812e+02 
       1.049070096267e-03       7.260985742152e+02 
       1.320701002944e-03       8.911420201476e+02 
       1.662664053989e-03       1.089436152984e+03 
       2.093170028843e-03       1.325106457847e+03 
       2.635144940517e-03       1.601178790992e+03 
       3.317450929377e-03       1.918498502882e+03 
       4.176423277373e-03       2.274311833343e+03 
       5.257805394294e-03       2.660389528307e+03 
       6.619184821145e-03       3.060844707475e+03 
       8.333059976702e-03       3.449976465712e+03 
       1.049070096267e-02       3.789745199426e+03 
       1.320701002944e-02       4.029727766141e+03 
       1.662664053986e-02       4.109529390158e+03 
       2.093170009789e-02       3.971959904313e+03 
       2.635130920348e-02       3.593793847626e+03 
       3.315563348154e-02       3.033369549928e+03 
       4.115157380763e-02       2.478002402035e+03 
       4.784925191411e-02       2.157518156884e+03 
       5.271460063688e-02       1.994839080299e+03 
       5.673376449429e-02       1.889968483199e+03 
       6.032560480393e-02       1.808925486087e+03 
       6.367738997632e-02       1.737538249467e+03 
       6.688846392493e-02       1.668749599784e+03 
       7.001849067139e-02       1.598856001781e+03 
       7.310670916915e-02       1.526134570856e+03 
       7.618080038695e-02       1.450187873532e+03 
       7.926143286374e-02       1.371640402476e+03 
       8.236479139086e-02       1.291781208509e+03 
       8.550407668587e-02       1.212359320057e+03 
       8.869044158863e-02       1.135361640150e+03 
       9.193360043755e-02       1.062723339237e+03 
       9.524223961042e-02       9.961242214858e+02 
       9.862430209426e-02       9.368322677051e+02 
       1.020871894096e-01       8.855122601615e+02 
       1.056379076311e-01       8.421850517892e+02 
       1.092831745594e-01       8.061925521188e+02 
       1.130294992493e-01       7.762219930725e+02 
       1.168832414596e-01       7.504237627273e+02 
       1.208506562745e-01       7.265789268587e+02 
       1.249379276451e-01       7.023916253094e+02 
       1.291511936071e-01       6.758435985655e+02 
       1.334965652770e-01       6.456144532249e+02 
       1.379801412903e-01       6.113914727993e+02 
       1.426080190527e-01       5.739955986540e+02 
       1.473863039884e-01       5.352157302174e+02 
       1.523211178401e-01       4.973757488701e+02 
       1.574186070002e-01       4.627712343030e+02 
       1.626849518022e-01       4.330844553849e+02 
       1.681263776695e-01       4.089561924531e+02 
       1.737491690001e-01       3.898324399993e+02 
       1.795596866532e-01       3.740889835919e+02 
       1.855643898927e-01       3.595099576827e+02 
       1.917698636422e-01       3.439577239267e+02 
       1.981828519038e-01       3.258904485732e+02 
       2.048102982138e-01       3.053029690129e+02 
       2.116593940331e-01       2.836600475593e+02 
       2.187376360370e-01       2.630591502283e+02 
       2.260528933601e-01       2.451405774071e+02 
       2.336134860059e-01       2.305238280227e+02 
       2.414282758466e-01       2.187059271211e+02 
       2.495067719450e-01       2.082049744665e+02 
       2.578592523525e-01       1.973347543441e+02 
       2.664969051037e-01       1.852999091726e+02 
       2.754319918837e-01       1.725102626758e+02 
       2.846780388456e-01       1.601738652072e+02 
       2.942500603784e-01       1.494589544747e+02 
       3.041648233785e-01       1.405313321501e+02 
       3.144411619124e-01       1.325725956014e+02 
       3.251003552940e-01       1.246295303495e+02 
       3.361665868505e-01       1.162920249339e+02 
       3.476675064906e-01       1.080456312185e+02 
       3.596349283009e-01       1.005677933710e+02 
       3.721057058568e-01       9.401932323974e+01 
       3.851228443516e-01       8.792941819163e+01 
       3.987369326004e-01       8.185042013333e+01 
       4.130080135528e-01       7.587713182769e+01 
       4.280080658909e-01       7.033612013399e+01 
       4.438243528945e-01       6.525387762860e+01 
       4.605640275539e-01       6.040728632744e+01 
       4.783605996542e-01       5.566643944554e+01 
       4.973832351585e-01       5.117427862468e+01 
       5.178504927926e-01       4.696308652645e+01 
       5.400512503036e-01       4.287530816666e+01 
       5.643777403166e-01       3.894063997479e+01 
       5.913799167315e-01       3.516173579178e+01 
       6.218594001039e-01       3.146616607182e+01 
       6.570414345585e-01       2.785201764727e+01 
       6.989116361210e-01       2.425770027757e+01 
       7.509281862497e-01       2.063682225448e+01 
       8.196492253256e-01       1.691387027332e+01 
       9.185761871495e-01       1.301919790543e+01 
       1.075205758626e+00       9.025090862578e+00 
       1.324159152430e+00       5.513917396216e+00 
       1.664400815804e+00       3.179238006299e+00 
       2.095308042487e+00       1.809622908013e+00 
       2.637836365226e+00       1.021449480259e+00 
       3.320839232249e+00       5.722373930625e-01 
       4.180688897961e+00       3.184033703077e-01 
       5.263175492449e+00       1.760665238050e-01 
       6.625945374177e+00       9.680736593263e-02 
       8.341571008711e+00       5.295039425960e-02 
       1.050141571715e+01       2.882461976790e-02 
