# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       1.261097992832e+01 
       1.320701002944e-05       1.569271888461e+01 
       1.662664053989e-05       1.952752735485e+01 
       2.093170028843e-05       2.429941319002e+01 
       2.635144940517e-05       3.023732835566e+01 
       3.317450929377e-05       3.762613885057e+01 
       4.176423277373e-05       4.682024673236e+01 
       5.257805394294e-05       5.826050670962e+01 
       6.619184821145e-05       7.249520836022e+01 
       8.333059976702e-05       9.020603944994e+01 
       1.049070096267e-04       1.122401173135e+02 
       1.320701002944e-04       1.396493028307e+02 
       1.662664053989e-04       1.737380619080e+02 
       2.093170028843e-04       2.161209792096e+02 
       2.635144940517e-04       2.687904405307e+02 
       3.317450929377e-04       3.341936046576e+02 
       4.176423277373e-04       4.153151164379e+02 
       5.257805394294e-04       5.157576335349e+02 
       6.619184821145e-04       6.398066356776e+02 
       8.333059976702e-04       7.924611773753e+02 
       1.049070096267e-03       9.794100422575e+02 
       1.320701002944e-03       1.206921081783e+03 
       1.662664053989e-03       1.481530261657e+03 
       2.093170028843e-03       1.809439788503e+03 
       2.635144940517e-03       2.195444392437e+03 
       3.317450929377e-03       2.641418456492e+03 
       4.176423277373e-03       3.144280413665e+03 
       5.257805394294e-03       3.693291617648e+03 
       6.619184821145e-03       4.266853666382e+03 
       8.333059976702e-03       4.829229307724e+03 
       1.049070096267e-02       5.326878934106e+03 
       1.320701002944e-02       5.687731987141e+03 
       1.662664053986e-02       5.824455407792e+03 
       2.093170009789e-02       5.652846244255e+03 
       2.635130920348e-02       5.135875211064e+03 
       3.315563348154e-02       4.352949910057e+03 
       4.115157380763e-02       3.569834795002e+03 
       4.784925191411e-02       3.116588294069e+03 
       5.271460063688e-02       2.886615471598e+03 
       5.673376449429e-02       2.738497459320e+03 
       6.032560480393e-02       2.623965146402e+03 
       6.367738997632e-02       2.522865374884e+03 
       6.688846392493e-02       2.425136385562e+03 
       7.001849067139e-02       2.325474106348e+03 
       7.310670916915e-02       2.221428495479e+03 
       7.618080038695e-02       2.112429434697e+03 
       7.926143286374e-02       1.999431961737e+03 
       8.236479139086e-02       1.884342755261e+03 
       8.550407668587e-02       1.769670639449e+03 
       8.869044158863e-02       1.658373590753e+03 
       9.193360043755e-02       1.553283363117e+03 
       9.524223961042e-02       1.456844245179e+03 
       9.862430209426e-02       1.371013140464e+03 
       1.020871894096e-01       1.296697040695e+03 
       1.056379076311e-01       1.234019076338e+03 
       1.092831745594e-01       1.182006650672e+03 
       1.130294992493e-01       1.138752522499e+03 
       1.168832414596e-01       1.101573537712e+03 
       1.208506562745e-01       1.067209719429e+03 
       1.249379276451e-01       1.032304958772e+03 
       1.291511936071e-01       9.938810021099e+02 
       1.334965652770e-01       9.499927429612e+02 
       1.379801412903e-01       9.001686005458e+02 
       1.426080190527e-01       8.456115293840e+02 
       1.473863039884e-01       7.889484554134e+02 
       1.523211178401e-01       7.336030799074e+02 
       1.574186070002e-01       6.829701904285e+02 
       1.626849518022e-01       6.395312049210e+02 
       1.681263776695e-01       6.042637952098e+02 
       1.737491690001e-01       5.763457859552e+02 
       1.795596866532e-01       5.533996769393e+02 
       1.855643898927e-01       5.321469060902e+02 
       1.917698636422e-01       5.094283556382e+02 
       1.981828519038e-01       4.829558075457e+02 
       2.048102982138e-01       4.527139198982e+02 
       2.116593940331e-01       4.208690846360e+02 
       2.187376360370e-01       3.905337826272e+02 
       2.260528933601e-01       3.641474881439e+02 
       2.336134860059e-01       3.426393834759e+02 
       2.414282758466e-01       3.252658848984e+02 
       2.495067719450e-01       3.098325210272e+02 
       2.578592523525e-01       2.938299925947e+02 
       2.664969051037e-01       2.760743316739e+02 
       2.754319918837e-01       2.571720155637e+02 
       2.846780388456e-01       2.389227532385e+02 
       2.942500603784e-01       2.230731331304e+02 
       3.041648233785e-01       2.098724409325e+02 
       3.144411619124e-01       1.981059758016e+02 
       3.251003552940e-01       1.863484045897e+02 
       3.361665868505e-01       1.739864442183e+02 
       3.476675064906e-01       1.617467511409e+02 
       3.596349283009e-01       1.506439601580e+02 
       3.721057058568e-01       1.409212170335e+02 
       3.851228443516e-01       1.318749739287e+02 
       3.987369326004e-01       1.228344128099e+02 
       4.130080135528e-01       1.139422378237e+02 
       4.280080658909e-01       1.056897794600e+02 
       4.438243528945e-01       9.811682777163e+01 
       4.605640275539e-01       9.088996590004e+01 
       4.783605996542e-01       8.381399580497e+01 
       4.973832351585e-01       7.710460429635e+01 
       5.178504927926e-01       7.081085208018e+01 
       5.400512503036e-01       6.469617342398e+01 
       5.643777403166e-01       5.880549716056e+01 
       5.913799167315e-01       5.314365456128e+01 
       6.218594001039e-01       4.760118858954e+01 
       6.570414345585e-01       4.217564700227e+01 
       6.989116361210e-01       3.677372816703e+01 
       7.509281862497e-01       3.132506953734e+01 
       8.196492253256e-01       2.571440892139e+01 
       9.185761871495e-01       1.983392589571e+01 
       1.075205758626e+00       1.378814448371e+01 
       1.324159152430e+00       8.455582231013e+00 
       1.664400815804e+00       4.895452705678e+00 
       2.095308042487e+00       2.798062829636e+00 
       2.637836365226e+00       1.585942266427e+00 
       3.320839232249e+00       8.921648414805e-01 
       4.180688897961e+00       4.984772985974e-01 
       5.263175492449e+00       2.767862169518e-01 
       6.625945374177e+00       1.528185588357e-01 
       8.341571008711e+00       8.393303064214e-02 
       1.050141571715e+01       4.588007713191e-02 
