# Matter power spectrum P(k) at redshift z=2
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       2.719983519660e-01 
       2.641402005889e-07       3.385604882410e-01 
       3.325328107978e-07       4.214113921230e-01 
       4.186340057686e-07       5.245371728555e-01 
       5.270289881033e-07       6.528994011983e-01 
       6.634901858755e-07       8.126738190653e-01 
       8.352846554746e-07       1.011547466141e+00 
       1.051561078859e-06       1.259088516331e+00 
       1.323836964229e-06       1.567206618702e+00 
       1.666611995340e-06       1.950725890101e+00 
       2.098140192535e-06       2.428098124680e+00 
       2.641402005889e-06       3.022290532448e+00 
       3.325328107978e-06       3.761890710270e+00 
       4.186340057686e-06       4.682482003797e+00 
       5.270289881033e-06       5.828355395667e+00 
       6.634901858755e-06       7.254640257258e+00 
       8.352846554746e-06       9.029956389481e+00 
       1.051561078859e-05       1.123971477435e+01 
       1.323836964229e-05       1.399022554462e+01 
       1.666611995340e-05       1.741381016399e+01 
       2.098140192535e-05       2.167516254429e+01 
       2.641402005889e-05       2.697926267592e+01 
       3.325328107978e-05       3.358121869828e+01 
       4.186340057686e-05       4.179850138548e+01 
       5.270289881033e-05       5.202614091552e+01 
       6.634901858755e-05       6.475558012591e+01 
       8.352846554746e-05       8.059801875132e+01 
       1.051561078859e-04       1.003132295181e+02 
       1.323836964229e-04       1.248449544867e+02 
       1.666611995340e-04       1.553640447635e+02 
       2.098140192535e-04       1.933203799924e+02 
       2.641402005889e-04       2.405040945523e+02 
       3.325328107978e-04       2.991154041991e+02 
       4.186340057686e-04       3.718398756860e+02 
       5.270289881033e-04       4.619218233207e+02 
       6.634901858755e-04       5.732227609928e+02 
       8.352846554746e-04       7.102463411831e+02 
       1.051561078859e-03       8.781092440141e+02 
       1.323836964229e-03       1.082434047247e+03 
       1.666611995340e-03       1.329100401353e+03 
       2.098140192535e-03       1.623694072178e+03 
       2.641402005889e-03       1.970524666589e+03 
       3.325328107978e-03       2.371274308355e+03 
       4.186340057686e-03       2.823172057325e+03 
       5.270289881033e-03       3.316546434862e+03 
       6.634901858755e-03       3.831950930901e+03 
       8.352846554746e-03       4.337115075441e+03 
       1.051561078859e-02       4.784029500249e+03 
       1.323836964229e-02       5.107584844152e+03 
       1.666611995337e-02       5.229225740190e+03 
       2.098140171937e-02       5.073356833532e+03 
       2.641387140479e-02       4.607213322693e+03 
       3.323357968019e-02       3.903345069359e+03 
       4.123299361229e-02       3.202475991759e+03 
       4.790632219269e-02       2.798914080990e+03 
       5.275920367973e-02       2.593761528253e+03 
       5.677246018531e-02       2.461314920170e+03 
       6.036109956609e-02       2.358717191694e+03 
       6.371102674430e-02       2.268000433072e+03 
       6.692101071878e-02       2.180178051336e+03 
       7.005043409568e-02       2.090531177376e+03 
       7.313838240686e-02       1.996867419339e+03 
       7.621244612034e-02       1.898731912765e+03 
       7.929323714499e-02       1.796949674574e+03 
       8.239690320693e-02       1.693274154432e+03 
       8.553661991220e-02       1.590059059367e+03 
       8.872352263282e-02       1.489930480674e+03 
       9.196731331326e-02       1.395467257872e+03 
       9.527666941147e-02       1.308908781660e+03 
       9.865952743487e-02       1.231911877717e+03 
       1.021232841748e-01       1.165372097273e+03 
       1.056749422534e-01       1.109315670292e+03 
       1.093212169616e-01       1.062864100306e+03 
       1.130686155477e-01       1.024277047208e+03 
       1.169234964907e-01       9.910872686824e+02 
       1.208921139910e-01       9.603508271786e+02 
       1.249806514135e-01       9.290268705116e+02 
       1.291952464314e-01       8.944678503844e+02 
       1.335420099682e-01       8.549417270568e+02 
       1.380270405956e-01       8.100505713934e+02 
       1.426564357595e-01       7.608890277084e+02 
       1.474363010126e-01       7.098372932423e+02 
       1.523727583097e-01       6.599989560012e+02 
       1.574719543447e-01       6.144270533756e+02 
       1.627400698563e-01       5.753578722470e+02 
       1.681833308004e-01       5.436552974643e+02 
       1.738080222677e-01       5.185902020283e+02 
       1.796205060114e-01       4.980093667781e+02 
       1.856272424417e-01       4.789102734857e+02 
       1.918348179389e-01       4.583633727424e+02 
       1.982499783411e-01       4.345464451685e+02 
       2.048796694758e-01       4.074560460667e+02 
       2.117310856382e-01       3.788718566540e+02 
       2.188117269762e-01       3.514985167291e+02 
       2.261294668449e-01       3.276922895815e+02 
       2.336926303379e-01       3.084091208118e+02 
       2.415100854242e-01       2.928514414332e+02 
       2.495913484286e-01       2.789565664852e+02 
       2.579467060120e-01       2.645366997735e+02 
       2.665873563799e-01       2.485162177867e+02 
       2.755255732043e-01       2.314824491447e+02 
       2.847748967482e-01       2.151075054263e+02 
       2.943503580080e-01       2.008548755987e+02 
       3.042687434488e-01       1.889541161864e+02 
       3.145489102466e-01       1.783769360571e+02 
