# Matter power spectrum P(k) at redshift z=2.5
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       4.689390949499e+00 
       1.320701002944e-05       5.884721107344e+00 
       1.662664053989e-05       7.384736629495e+00 
       2.093170028843e-05       9.267095452340e+00 
       2.635144940517e-05       1.162924317032e+01 
       3.317450929377e-05       1.459345025536e+01 
       4.176423277373e-05       1.831312583182e+01 
       5.257805394294e-05       2.298072731593e+01 
       6.619184821145e-05       2.883765672562e+01 
       8.333059976702e-05       3.618662668152e+01 
       1.049070096267e-04       4.540706906436e+01 
       1.320701002944e-04       5.697425482266e+01 
       1.662664053989e-04       7.148286481161e+01 
       2.093170028843e-04       8.967573936361e+01 
       2.635144940517e-04       1.124783512363e+02 
       3.317450929377e-04       1.410390057176e+02 
       4.176423277373e-04       1.767735999873e+02 
       5.257805394294e-04       2.214116227127e+02 
       6.619184821145e-04       2.770368191529e+02 
       8.333059976702e-04       3.461122454567e+02 
       1.049070096267e-03       4.314773420673e+02 
       1.320701002944e-03       5.363043733898e+02 
       1.662664053989e-03       6.639789993431e+02 
       2.093170028843e-03       8.178634071916e+02 
       2.635144940517e-03       1.000789219625e+03 
       3.317450929377e-03       1.214317682243e+03 
       4.176423277373e-03       1.457760726476e+03 
       5.257805394294e-03       1.726061630767e+03 
       6.619184821145e-03       2.010792774270e+03 
       8.333059976702e-03       2.294793188058e+03 
       1.049070096267e-02       2.552289835662e+03 
       1.320701002944e-02       2.747691245401e+03 
       1.662664053986e-02       2.836885084825e+03 
       2.093170009789e-02       2.775871044589e+03 
       2.635130920348e-02       2.542691484991e+03 
       3.315563348154e-02       2.172884251810e+03 
       4.115157380763e-02       1.796202679455e+03 
       4.784925191411e-02       1.577128817602e+03 
       5.271460063688e-02       1.466206121350e+03 
       5.673376449429e-02       1.394930605135e+03 
       6.032560480393e-02       1.339804772997e+03 
       6.367738997632e-02       1.290948939120e+03 
       6.688846392493e-02       1.243410310541e+03 
       7.001849067139e-02       1.194584187089e+03 
       7.310670916915e-02       1.143263317013e+03 
       7.618080038695e-02       1.089205380629e+03 
       7.926143286374e-02       1.032880846904e+03 
       8.236479139086e-02       9.752846564159e+02 
       8.550407668587e-02       9.177521627329e+02 
       8.869044158863e-02       8.617821957398e+02 
       9.193360043755e-02       8.088574090082e+02 
       9.524223961042e-02       7.602703829595e+02 
       9.862430209426e-02       7.170002470321e+02 
       1.020871894096e-01       6.795855815007e+02 
       1.056379076311e-01       6.480730809444e+02 
       1.092831745594e-01       6.219926733272e+02 
       1.130294992493e-01       6.003779193154e+02 
       1.168832414596e-01       5.818465021673e+02 
       1.208506562745e-01       5.647257378791e+02 
       1.249379276451e-01       5.472716614563e+02 
       1.291511936071e-01       5.279494055389e+02 
       1.334965652770e-01       5.057424837022e+02 
       1.379801412903e-01       4.804018277679e+02 
       1.426080190527e-01       4.525440125609e+02 
       1.473863039884e-01       4.235316883040e+02 
       1.523211178401e-01       3.951457821395e+02 
       1.574186070002e-01       3.691543884346e+02 
       1.626849518022e-01       3.468639827790e+02 
       1.681263776695e-01       3.287827455210e+02 
       1.737491690001e-01       3.145012949530e+02 
       1.795596866532e-01       3.027791686154e+02 
       1.855643898927e-01       2.919133780331e+02 
       1.917698636422e-01       2.802510745939e+02 
       1.981828519038e-01       2.665941917740e+02 
       2.048102982138e-01       2.509324780313e+02 
       2.116593940331e-01       2.343983076272e+02 
       2.187376360370e-01       2.186219255955e+02 
       2.260528933601e-01       2.048857869642e+02 
       2.336134860059e-01       1.936807855256e+02 
       2.414282758466e-01       1.846242528653e+02 
       2.495067719450e-01       1.765653862228e+02 
       2.578592523525e-01       1.681883283469e+02 
       2.664969051037e-01       1.588686636393e+02 
       2.754319918837e-01       1.489259107097e+02 
       2.846780388456e-01       1.393077247019e+02 
       2.942500603784e-01       1.309346911753e+02 
       3.041648233785e-01       1.239419709980e+02 
       3.144411619124e-01       1.176897965649e+02 
       3.251003552940e-01       1.114285938976e+02 
       3.361665868505e-01       1.048353130237e+02 
       3.476675064906e-01       9.829307174637e+01 
       3.596349283009e-01       9.233864118091e+01 
       3.721057058568e-01       8.710137988230e+01 
       3.851228443516e-01       8.221051633046e+01 
       3.987369326004e-01       7.731184999391e+01 
       4.130080135528e-01       7.248096157174e+01 
       4.280080658909e-01       6.797760179630e+01 
       4.438243528945e-01       6.382372022981e+01 
       4.605640275539e-01       5.984224031155e+01 
       4.783605996542e-01       5.592969396271e+01 
       4.973832351585e-01       5.219960097765e+01 
       5.178504927926e-01       4.867737418959e+01 
       5.400512503036e-01       4.523614764916e+01 
       5.643777403166e-01       4.189791084725e+01 
       5.913799167315e-01       3.866226820358e+01 
       6.218594001039e-01       3.546715811198e+01 
       6.570414345585e-01       3.230473310471e+01 
       6.989116361210e-01       2.911556157479e+01 
       7.509281862497e-01       2.584538250232e+01 
       8.196492253256e-01       2.240361058080e+01 
       9.185761871495e-01       1.868059362546e+01 
       1.075205758626e+00       1.465463150912e+01 
       1.324159152430e+00       1.078925147957e+01 
       1.664400815804e+00       7.845186508813e+00 
       2.095308042487e+00       5.772444460325e+00 
       2.637836365226e+00       4.279462463596e+00 
       3.320839232249e+00       3.173390952505e+00 
       4.180688897961e+00       2.336509339915e+00 
       5.263175492449e+00       1.696577380984e+00 
       6.625945374177e+00       1.207964633519e+00 
       8.341571008711e+00       8.397218028245e-01 
       1.050141571715e+01       5.683545468341e-01 
