# Matter power spectrum P(k) at redshift z=0
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       5.141477926089e+01 
       1.320701002944e-05       6.397897940308e+01 
       1.662664053989e-05       7.961339060727e+01 
       2.093170028843e-05       9.906822299702e+01 
       2.635144940517e-05       1.232768734672e+02 
       3.317450929377e-05       1.534006572485e+02 
       4.176423277373e-05       1.908843156150e+02 
       5.257805394294e-05       2.375249429138e+02 
       6.619184821145e-05       2.955573483632e+02 
       8.333059976702e-05       3.677597011517e+02 
       1.049070096267e-04       4.575835897322e+02 
       1.320701002944e-04       5.693133872054e+02 
       1.662664053989e-04       7.082596258337e+02 
       2.093170028843e-04       8.809903651327e+02 
       2.635144940517e-04       1.095601884367e+03 
       3.317450929377e-04       1.362024756633e+03 
       4.176423277373e-04       1.692352491164e+03 
       5.257805394294e-04       2.101168174016e+03 
       6.619184821145e-04       2.605831909896e+03 
       8.333059976702e-04       3.226671467309e+03 
       1.049070096267e-03       3.986950376970e+03 
       1.320701002944e-03       4.912336553288e+03 
       1.662664053989e-03       6.029437083170e+03 
       2.093170028843e-03       7.363441590649e+03 
       2.635144940517e-03       8.933881943974e+03 
       3.317450929377e-03       1.074836638771e+04 
       4.176423277373e-03       1.279435935295e+04 
       5.257805394294e-03       1.502808341883e+04 
       6.619184821145e-03       1.736117758328e+04 
       8.333059976702e-03       1.964892745987e+04 
       1.049070096267e-02       2.167406877835e+04 
       1.320701002944e-02       2.314298016671e+04 
       1.662664053986e-02       2.369928102976e+04 
       2.093170009789e-02       2.300064194423e+04 
       2.635130920348e-02       2.089759432476e+04 
       3.315563348154e-02       1.771189825066e+04 
       4.115157380763e-02       1.452543657859e+04 
       4.784925191411e-02       1.268112621016e+04 
       5.271460063688e-02       1.174529548545e+04 
       5.673376449429e-02       1.114254999756e+04 
       6.032560480393e-02       1.067648833879e+04 
       6.367738997632e-02       1.026536382385e+04 
       6.688846392493e-02       9.867653509764e+03 
       7.001849067139e-02       9.461887674444e+03 
       7.310670916915e-02       9.038722182167e+03 
       7.618080038695e-02       8.595294048503e+03 
       7.926143286374e-02       8.135624323090e+03 
       8.236479139086e-02       7.667057151014e+03 
       8.550407668587e-02       7.200552558080e+03 
       8.869044158863e-02       6.747831025530e+03 
       9.193360043755e-02       6.320180268955e+03 
       9.524223961042e-02       5.927860874422e+03 
       9.862430209426e-02       5.578538184608e+03 
       1.020871894096e-01       5.276211034599e+03 
       1.056379076311e-01       5.021106855467e+03 
       1.092831745594e-01       4.809526570684e+03 
       1.130294992493e-01       4.633457799330e+03 
       1.168832414596e-01       4.482145296883e+03 
       1.208506562745e-01       4.342269124214e+03 
       1.249379276451e-01       4.200352014874e+03 
       1.291511936071e-01       4.043905032905e+03 
       1.334965652770e-01       3.865437581236e+03 
       1.379801412903e-01       3.662616946424e+03 
       1.426080190527e-01       3.440643838143e+03 
       1.473863039884e-01       3.210117812282e+03 
       1.523211178401e-01       2.984984737547e+03 
       1.574186070002e-01       2.778937098360e+03 
       1.626849518022e-01       2.602208867446e+03 
       1.681263776695e-01       2.458704813376e+03 
       1.737491690001e-01       2.345125708008e+03 
       1.795596866532e-01       2.251735667693e+03 
       1.855643898927e-01       2.165217970311e+03 
       1.917698636422e-01       2.072771850172e+03 
       1.981828519038e-01       1.965118472432e+03 
       2.048102982138e-01       1.842013149249e+03 
       2.116593940331e-01       1.712454027639e+03 
       2.187376360370e-01       1.589045698529e+03 
       2.260528933601e-01       1.481695941706e+03 
       2.336134860059e-01       1.394173167773e+03 
       2.414282758466e-01       1.323480167636e+03 
       2.495067719450e-01       1.260688388674e+03 
       2.578592523525e-01       1.195545916798e+03 
       2.664969051037e-01       1.123334214766e+03 
       2.754319918837e-01       1.046391967668e+03 
       2.846780388456e-01       9.721444644565e+02 
       2.942500603784e-01       9.076655342652e+02 
       3.041648233785e-01       8.539435164241e+02 
       3.144411619124e-01       8.060623214121e+02 
       3.251003552940e-01       7.582431393222e+02 
       3.361665868505e-01       7.079244303878e+02 
       3.476675064906e-01       6.581282048638e+02 
       3.596349283009e-01       6.129502863184e+02 
       3.721057058568e-01       5.733899236142e+02 
       3.851228443516e-01       5.365793231192e+02 
       3.987369326004e-01       4.998069293208e+02 
       4.130080135528e-01       4.636153193214e+02 
       4.280080658909e-01       4.300468904524e+02 
       4.438243528945e-01       3.992240108542e+02 
       4.605640275539e-01       3.698186219978e+02 
       4.783605996542e-01       3.410273832068e+02 
       4.973832351585e-01       3.137321405537e+02 
       5.178504927926e-01       2.881193035123e+02 
       5.400512503036e-01       2.632395640439e+02 
       5.643777403166e-01       2.392713758824e+02 
       5.913799167315e-01       2.162339568289e+02 
       6.218594001039e-01       1.936824540114e+02 
       6.570414345585e-01       1.716105914932e+02 
       6.989116361210e-01       1.496304298300e+02 
       7.509281862497e-01       1.274600721113e+02 
       8.196492253256e-01       1.046308082160e+02 
       9.185761871495e-01       8.070322956315e+01 
       1.075205758626e+00       5.610207928530e+01 
       1.324159152430e+00       3.440529932916e+01 
       1.664400815804e+00       1.991882263161e+01 
       2.095308042487e+00       1.138484111870e+01 
       2.637836365226e+00       6.453037356184e+00 
       3.320839232249e+00       3.630013289632e+00 
       4.180688897961e+00       2.028158096857e+00 
       5.263175492449e+00       1.126169314951e+00 
       6.625945374177e+00       6.217859999943e-01 
       8.341571008711e+00       3.415019477298e-01 
       1.050141571715e+01       1.866735359471e-01 
