# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       2.660244200897e+01 
       1.320701002944e-05       3.333272762142e+01 
       1.662664053989e-05       4.176569004627e+01 
       2.093170028843e-05       5.233208488605e+01 
       2.635144940517e-05       6.557154526282e+01 
       3.317450929377e-05       8.216015703373e+01 
       4.176423277373e-05       1.029448597015e+02 
       5.257805394294e-05       1.289864909913e+02 
       6.619184821145e-05       1.616135237700e+02 
       8.333059976702e-05       2.024890448779e+02 
       1.049070096267e-04       2.536939602687e+02 
       1.320701002944e-04       3.178298362622e+02 
       1.662664053989e-04       3.981450367455e+02 
       2.093170028843e-04       4.986874916273e+02 
       2.635144940517e-04       6.244861662925e+02 
       3.317450929377e-04       7.817601526439e+02 
       4.176423277373e-04       9.781485232720e+02 
       5.257805394294e-04       1.222945422696e+03 
       6.619184821145e-04       1.527315092130e+03 
       8.333059976702e-04       1.904451684500e+03 
       1.049070096267e-03       2.369624108929e+03 
       1.320701002944e-03       2.939958208585e+03 
       1.662664053989e-03       3.633622780251e+03 
       2.093170028843e-03       4.468381788772e+03 
       2.635144940517e-03       5.459009268589e+03 
       3.317450929377e-03       6.613308236077e+03 
       4.176423277373e-03       7.926775155673e+03 
       5.257805394294e-03       9.375292504238e+03 
       6.619184821145e-03       1.090589047710e+04 
       8.333059976702e-03       1.242895070447e+04 
       1.049070096267e-02       1.380470273801e+04 
       1.320701002944e-02       1.484237220650e+04 
       1.662664053986e-02       1.530450930039e+04 
       2.093170009789e-02       1.495625453582e+04 
       2.635130920348e-02       1.368287969803e+04 
       3.315563348154e-02       1.167722436337e+04 
       4.115157380763e-02       9.638699077924e+03 
       4.784925191411e-02       8.453033368026e+03 
       5.271460063688e-02       7.852048832118e+03 
       5.673376449429e-02       7.465542558457e+03 
       6.032560480393e-02       7.166409011562e+03 
       6.367738997632e-02       6.901632103163e+03 
       6.688846392493e-02       6.644068286930e+03 
       7.001849067139e-02       6.379621816059e+03 
       7.310670916915e-02       6.102138265361e+03 
       7.618080038695e-02       5.809901443237e+03 
       7.926143286374e-02       5.505746582364e+03 
       8.236479139086e-02       5.194692607749e+03 
       8.550407668587e-02       4.884064248737e+03 
       8.869044158863e-02       4.582041126888e+03 
       9.193360043755e-02       4.296267543266e+03 
       9.524223961042e-02       4.033847499182e+03 
       9.862430209426e-02       3.800120285492e+03 
       1.020871894096e-01       3.597889705819e+03 
       1.056379076311e-01       3.427455686751e+03 
       1.092831745594e-01       3.286363776687e+03 
       1.130294992493e-01       3.169260204916e+03 
       1.168832414596e-01       3.068860313580e+03 
       1.208506562745e-01       2.976073002293e+03 
       1.249379276451e-01       2.881653748916e+03 
       1.291511936071e-01       2.777128487596e+03 
       1.334965652770e-01       2.657154925365e+03 
       1.379801412903e-01       2.520265054903e+03 
       1.426080190527e-01       2.369861815639e+03 
       1.473863039884e-01       2.213265087756e+03 
       1.523211178401e-01       2.060076178077e+03 
       1.574186070002e-01       1.919772602185e+03 
       1.626849518022e-01       1.799448151880e+03 
       1.681263776695e-01       1.701900782263e+03 
       1.737491690001e-01       1.624875051145e+03 
       1.795596866532e-01       1.561723295341e+03 
       1.855643898927e-01       1.503194045084e+03 
       1.917698636422e-01       1.440439388507e+03 
       1.981828519038e-01       1.366965690436e+03 
       2.048102982138e-01       1.282607578880e+03 
       2.116593940331e-01       1.193567784824e+03 
       2.187376360370e-01       1.108638946657e+03 
       2.260528933601e-01       1.034769037964e+03 
       2.336134860059e-01       9.746112215512e+02 
       2.414282758466e-01       9.261005674657e+02 
       2.495067719450e-01       8.830348282933e+02 
       2.578592523525e-01       8.382363610845e+02 
       2.664969051037e-01       7.883817873690e+02 
       2.754319918837e-01       7.351110023069e+02 
       2.846780388456e-01       6.836236560001e+02 
       2.942500603784e-01       6.389215002312e+02 
       3.041648233785e-01       6.016988887961e+02 
       3.144411619124e-01       5.685272381946e+02 
       3.251003552940e-01       5.353351357444e+02 
       3.361665868505e-01       5.003145794218e+02 
       3.476675064906e-01       4.655885049044e+02 
       3.596349283009e-01       4.340700565062e+02 
       3.721057058568e-01       4.064680194661e+02 
       3.851228443516e-01       3.807686453728e+02 
       3.987369326004e-01       3.550413258907e+02 
       4.130080135528e-01       3.296807921779e+02 
       4.280080658909e-01       3.061372674969e+02 
       4.438243528945e-01       2.845046824346e+02 
       4.605640275539e-01       2.638420753676e+02 
       4.783605996542e-01       2.435795652157e+02 
       4.973832351585e-01       2.243459885002e+02 
       5.178504927926e-01       2.062801267747e+02 
       5.400512503036e-01       1.887049032855e+02 
       5.643777403166e-01       1.717493321346e+02 
       5.913799167315e-01       1.554314525877e+02 
       6.218594001039e-01       1.394312439689e+02 
       6.570414345585e-01       1.237451717334e+02 
       6.989116361210e-01       1.080958771680e+02 
       7.509281862497e-01       9.227818097768e+01 
       8.196492253256e-01       7.594923303640e+01 
       9.185761871495e-01       5.878151718556e+01 
       1.075205758626e+00       4.105641682691e+01 
       1.324159152430e+00       2.533614194259e+01 
       1.664400815804e+00       1.476932721676e+01 
       2.095308042487e+00       8.500098812506e+00 
       2.637836365226e+00       4.851330891140e+00 
       3.320839232249e+00       2.747938794071e+00 
       4.180688897961e+00       1.545988720123e+00 
       5.263175492449e+00       8.643681458504e-01 
       6.625945374177e+00       4.805557584411e-01 
       8.341571008711e+00       2.657607509077e-01 
       1.050141571715e+01       1.462794281612e-01 
