# Matter power spectrum P(k) at redshift z=1
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       1.496049780005e+01 
       1.320701002944e-05       1.868596214410e+01 
       1.662664053989e-05       2.333910958600e+01 
       2.093170028843e-05       2.915095395254e+01 
       2.635144940517e-05       3.640996748256e+01 
       3.317450929377e-05       4.547642814747e+01 
       4.176423277373e-05       5.680022997575e+01 
       5.257805394294e-05       7.094310585046e+01 
       6.619184821145e-05       8.860628283714e+01 
       8.333059976702e-05       1.106648467370e+02 
       1.049070096267e-04       1.382102907212e+02 
       1.320701002944e-04       1.726029474705e+02 
       1.662664053989e-04       2.155360793907e+02 
       2.093170028843e-04       2.691132376512e+02 
       2.635144940517e-04       3.359397746325e+02 
       3.317450929377e-04       4.192276641051e+02 
       4.176423277373e-04       5.229095072069e+02 
       5.257805394294e-04       6.517524150402e+02 
       6.619184821145e-04       8.114562417741e+02 
       8.333059976702e-04       1.008715437951e+03 
       1.049070096267e-03       1.251217724861e+03 
       1.320701002944e-03       1.547522276680e+03 
       1.662664053989e-03       1.906645765920e+03 
       2.093170028843e-03       2.337278566727e+03 
       2.635144940517e-03       2.846429049947e+03 
       3.317450929377e-03       3.437395308303e+03 
       4.176423277373e-03       4.107049468493e+03 
       5.257805394294e-03       4.836181491216e+03 
       6.619184821145e-03       5.606425601214e+03 
       8.333059976702e-03       6.366451033341e+03 
       1.049070096267e-02       7.045394233273e+03 
       1.320701002944e-02       7.546286580872e+03 
       1.662664053986e-02       7.750899060542e+03 
       2.093170009789e-02       7.544088429805e+03 
       2.635130920348e-02       6.873626257937e+03 
       3.315563348154e-02       5.843527119180e+03 
       4.115157380763e-02       4.808599947894e+03 
       4.784925191411e-02       4.209467096334e+03 
       5.271460063688e-02       3.905706438056e+03 
       5.673376449429e-02       3.710067943831e+03 
       6.032560480393e-02       3.558644351975e+03 
       6.367738997632e-02       3.424810369376e+03 
       6.688846392493e-02       3.295266081700e+03 
       7.001849067139e-02       3.163062381669e+03 
       7.310670916915e-02       3.025021243973e+03 
       7.618080038695e-02       2.880445878233e+03 
       7.926143286374e-02       2.730687291512e+03 
       8.236479139086e-02       2.578207943802e+03 
       8.550407668587e-02       2.426473193189e+03 
       8.869044158863e-02       2.279289179762e+03 
       9.193360043755e-02       2.140381642162e+03 
       9.524223961042e-02       2.012981104038e+03 
       9.862430209426e-02       1.899590620748e+03 
       1.020871894096e-01       1.801409248466e+03 
       1.056379076311e-01       1.718511107926e+03 
       1.092831745594e-01       1.649612730122e+03 
       1.130294992493e-01       1.592137772168e+03 
       1.168832414596e-01       1.542575944780e+03 
       1.208506562745e-01       1.496632065441e+03 
       1.249379276451e-01       1.449972594535e+03 
       1.291511936071e-01       1.398739098601e+03 
       1.334965652770e-01       1.340431847137e+03 
       1.379801412903e-01       1.274526561857e+03 
       1.426080190527e-01       1.202592322763e+03 
       1.473863039884e-01       1.128074664662e+03 
       1.523211178401e-01       1.055378250584e+03 
       1.574186070002e-01       9.888445727960e+02 
       1.626849518022e-01       9.316271166672e+02 
       1.681263776695e-01       8.849508857431e+02 
       1.737491690001e-01       8.477005918374e+02 
       1.795596866532e-01       8.168070601942e+02 
       1.855643898927e-01       7.880598592828e+02 
       1.917698636422e-01       7.574921562330e+02 
       1.981828519038e-01       7.222099036657e+02 
       2.048102982138e-01       6.822377761098e+02 
       2.116593940331e-01       6.403455039540e+02 
       2.187376360370e-01       6.004535802328e+02 
       2.260528933601e-01       5.656017002470e+02 
       2.336134860059e-01       5.369230178383e+02 
       2.414282758466e-01       5.134485123253e+02 
       2.495067719450e-01       4.924276344410e+02 
       2.578592523525e-01       4.707310818071e+02 
       2.664969051037e-01       4.469291055921e+02 
       2.754319918837e-01       4.217701298116e+02 
       2.846780388456e-01       3.974955540584e+02 
       2.942500603784e-01       3.762328825260e+02 
       3.041648233785e-01       3.582524462211e+02 
       3.144411619124e-01       3.420640798961e+02 
       3.251003552940e-01       3.259321516501e+02 
       3.361665868505e-01       3.091077636819e+02 
       3.476675064906e-01       2.924853173520e+02 
       3.596349283009e-01       2.772745689188e+02 
       3.721057058568e-01       2.637550726030e+02 
       3.851228443516e-01       2.510725714624e+02 
       3.987369326004e-01       2.384278125345e+02 
       4.130080135528e-01       2.259866077368e+02 
       4.280080658909e-01       2.143282880393e+02 
       4.438243528945e-01       2.034800896226e+02 
       4.605640275539e-01       1.930468590251e+02 
       4.783605996542e-01       1.827940067918e+02 
       4.973832351585e-01       1.729616324004e+02 
       5.178504927926e-01       1.635881353098e+02 
       5.400512503036e-01       1.543900162799e+02 
       5.643777403166e-01       1.453967137135e+02 
       5.913799167315e-01       1.365874469076e+02 
       6.218594001039e-01       1.278008047221e+02 
       6.570414345585e-01       1.189802075749e+02 
       6.989116361210e-01       1.099394903855e+02 
       7.509281862497e-01       1.004679428277e+02 
       8.196492253256e-01       9.021149912906e+01 
       9.185761871495e-01       7.865595595814e+01 
       1.075205758626e+00       6.535142226546e+01 
       1.324159152430e+00       5.129727008840e+01 
       1.664400815804e+00       3.919364116064e+01 
       2.095308042487e+00       2.955451618235e+01 
       2.637836365226e+00       2.187992127983e+01 
       3.320839232249e+00       1.581546014095e+01 
       4.180688897961e+00       1.111582753071e+01 
       5.263175492449e+00       7.577663349775e+00 
       6.625945374177e+00       5.008986365260e+00 
       8.341571008711e+00       3.217873480406e+00 
       1.050141571715e+01       2.016867735596e+00 
