# Matter power spectrum P(k) at redshift z=0
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       1.809564304868e+00 
       2.641402005889e-07       2.243696035461e+00 
       3.325328107978e-07       2.781980106524e+00 
       4.186340057686e-07       3.449403656415e+00 
       5.270289881033e-07       4.276948475028e+00 
       6.634901858755e-07       5.303029176179e+00 
       8.352846554746e-07       6.575276401183e+00 
       1.051561078859e-06       8.152747826463e+00 
       1.323836964229e-06       1.010866960875e+01 
       1.666611995340e-06       1.253383552037e+01 
       2.098140192535e-06       1.554082155088e+01 
       2.641402005889e-06       1.926921159681e+01 
       3.325328107978e-06       2.389207677358e+01 
       4.186340057686e-06       2.962400904468e+01 
       5.270289881033e-06       3.673108191829e+01 
       6.634901858755e-06       4.554320029089e+01 
       8.352846554746e-06       5.646941210151e+01 
       1.051561078859e-05       7.001689135507e+01 
       1.323836964229e-05       8.681447137017e+01 
       1.666611995340e-05       1.076418160206e+02 
       2.098140192535e-05       1.334655740226e+02 
       2.641402005889e-05       1.654841766907e+02 
       3.325328107978e-05       2.051833236672e+02 
       4.186340057686e-05       2.544046635755e+02 
       5.270289881033e-05       3.154307232173e+02 
       6.634901858755e-05       3.910897646765e+02 
       8.352846554746e-05       4.848849250413e+02 
       1.051561078859e-04       6.011526386405e+02 
       1.323836964229e-04       7.452557801202e+02 
       1.666611995340e-04       9.238168489447e+02 
       2.098140192535e-04       1.144995212699e+03 
       2.641402005889e-04       1.418808939457e+03 
       3.325328107978e-04       1.757494811253e+03 
       4.186340057686e-04       2.175888862357e+03 
       5.270289881033e-04       2.691795233832e+03 
       6.634901858755e-04       3.326295825383e+03 
       8.352846554746e-04       4.103928359496e+03 
       1.051561078859e-03       5.052575295044e+03 
       1.323836964229e-03       6.202718846825e+03 
       1.666611995340e-03       7.585645226548e+03 
       2.098140192535e-03       9.230265745247e+03 
       2.641402005889e-03       1.115789622802e+04 
       3.325328107978e-03       1.337466554549e+04 
       4.186340057686e-03       1.586156433251e+04 
       5.270289881033e-03       1.848835527745e+04 
       6.634901858755e-03       2.125762085380e+04 
       8.352846554746e-03       2.393744998332e+04 
       1.051561078859e-02       2.626246628769e+04 
       1.323836964229e-02       2.787999326964e+04 
       1.666611995337e-02       2.837415535612e+04 
       2.098140171937e-02       2.735866221041e+04 
       2.641387140479e-02       2.469156621209e+04 
       3.323357968019e-02       2.080030981186e+04 
       4.123299361229e-02       1.699572208072e+04 
       4.790632219269e-02       1.483093967464e+04 
       5.275920367973e-02       1.374045664856e+04 
       5.677246018531e-02       1.304256175337e+04 
       6.036109956609e-02       1.250668650171e+04 
       6.371102674430e-02       1.203654156574e+04 
       6.692101071878e-02       1.158401929481e+04 
       7.005043409568e-02       1.112378402615e+04 
       7.313838240686e-02       1.064392618813e+04 
       7.621244612034e-02       1.014176025897e+04 
       7.929323714499e-02       9.621403007138e+03 
       8.239690320693e-02       9.091913820340e+03 
       8.553661991220e-02       8.565545447732e+03 
       8.872352263282e-02       8.055989145192e+03 
       9.196731331326e-02       7.576662954642e+03 
       9.527666941147e-02       7.139162425334e+03 
       9.865952743487e-02       6.751994174185e+03 
       1.021232841748e-01       6.419671173867e+03 
       1.056749422534e-01       6.142192249329e+03 
       1.093212169616e-01       5.914894189779e+03 
       1.130686155477e-01       5.728682093115e+03 
       1.169234964907e-01       5.570701239119e+03 
       1.208921139910e-01       5.425577470079e+03 
       1.249806514135e-01       5.277337735142e+03 
       1.291952464314e-01       5.111957490347e+03 
       1.335420099682e-01       4.920157331589e+03 
       1.380270405956e-01       4.699709146092e+03 
       1.426564357595e-01       4.456351130229e+03 
       1.474363010126e-01       4.202677981547e+03 
       1.523727583097e-01       3.955066575831e+03 
       1.574719543447e-01       3.729490101259e+03 
       1.627400698563e-01       3.537489254083e+03 
       1.681833308004e-01       3.383381099063e+03 
       1.738080222677e-01       3.263251000189e+03 
       1.796205060114e-01       3.165877341495e+03 
       1.856272424417e-01       3.075644585307e+03 
       1.918348179389e-01       2.977263685268e+03 
       1.982499783411e-01       2.861205550875e+03 
       2.048796694758e-01       2.727524279134e+03 
       2.117310856382e-01       2.585647800350e+03 
       2.188117269762e-01       2.449704620022e+03 
       2.261294668449e-01       2.331767181455e+03 
       2.336926303379e-01       2.236530849084e+03 
       2.415100854242e-01       2.159745157105e+03 
       2.495913484286e-01       2.090838356772e+03 
       2.579467060120e-01       2.018716328420e+03 
       2.665873563799e-01       1.938038043558e+03 
       2.755255732043e-01       1.851942624619e+03 
       2.847748967482e-01       1.768919533585e+03 
       2.943503580080e-01       1.696171587143e+03 
       3.042687434488e-01       1.634651719407e+03 
       3.145489102466e-01       1.579205312563e+03 
       3.252121650992e-01       1.523343495301e+03 
       3.362827239310e-01       1.464720161116e+03 
       3.477882756744e-01       1.406374928393e+03 
       3.597606814539e-01       1.352663480284e+03 
       3.722368519986e-01       1.304493402858e+03 
       3.852598625897e-01       1.258958941515e+03 
       3.988803888968e-01       1.213264509542e+03 
       4.131585827853e-01       1.167851056231e+03 
       4.281665613542e-01       1.124795402361e+03 
       4.439917664577e-01       1.084309907622e+03 
       4.607415854189e-01       1.044743860530e+03 
       4.785498415047e-01       1.005473189367e+03 
       4.975861293656e-01       9.672877438197e+02 
       5.180696089577e-01       9.300921420617e+02 
       5.402900263025e-01       8.930190176764e+02 
       5.646409116525e-01       8.560155678550e+02 
       5.916742382783e-01       8.188604426825e+02 
       6.221949245829e-01       7.808586787052e+02 
       6.574339212312e-01       7.414795513703e+02 
       6.993874264609e-01       6.996709285898e+02 
       7.515348877528e-01       6.539131242464e+02 
       8.204808261238e-01       6.016109449470e+02 
       9.198309510026e-01       5.384115852955e+02 
       1.077254073874e+00       4.585636423172e+02 
       1.327225527361e+00       3.642065200848e+02 
       1.668346862746e+00       2.741859102260e+02 
       2.100278141174e+00       1.983454780261e+02 
       2.644093360171e+00       1.381395942708e+02 
       3.328716322194e+00       9.301970478801e+01 
       4.190605566664e+00       6.090171809282e+01 
       5.275659838680e+00       3.898439295501e+01 
       6.641662234896e+00       2.451886318247e+01 
       8.361357364064e+00       1.521409981419e+01 
       1.052632526271e+01       9.344551850820e+00 
