# Matter power spectrum P(k) at redshift z=2.5
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       1.160301223072e-01 
       2.641402005889e-07       1.446840808531e-01 
       3.325328107978e-07       1.804142133819e-01 
       4.186340057686e-07       2.249680005415e-01 
       5.270289881033e-07       2.805244681263e-01 
       6.634901858755e-07       3.498007579758e-01 
       8.352846554746e-07       4.361850175604e-01 
       1.051561078859e-06       5.439021061082e-01 
       1.323836964229e-06       6.782202223547e-01 
       1.666611995340e-06       8.457085593685e-01 
       2.098140192535e-06       1.054558586471e+00 
       2.641402005889e-06       1.314984670928e+00 
       3.325328107978e-06       1.639723629441e+00 
       4.186340057686e-06       2.044657641202e+00 
       5.270289881033e-06       2.549590969569e+00 
       6.634901858755e-06       3.179218472848e+00 
       8.352846554746e-06       3.964333232543e+00 
       1.051561078859e-05       4.943332285214e+00 
       1.323836964229e-05       6.164093976445e+00 
       1.666611995340e-05       7.686318471030e+00 
       2.098140192535e-05       9.584445361450e+00 
       2.641402005889e-05       1.195128999954e+01 
       3.325328107978e-05       1.490257432009e+01 
       4.186340057686e-05       1.858256961084e+01 
       5.270289881033e-05       2.317111906629e+01 
       6.634901858755e-05       2.889236751351e+01 
       8.352846554746e-05       3.602559362844e+01 
       1.051561078859e-04       4.491861225726e+01 
       1.323836964229e-04       5.600428045624e+01 
       1.666611995340e-04       6.982067702747e+01 
       2.098140192535e-04       8.703548315138e+01 
       2.641402005889e-04       1.084748795196e+02 
       3.325328107978e-04       1.351567330595e+02 
       4.186340057686e-04       1.683267282645e+02 
       5.270289881033e-04       2.094941220141e+02 
       6.634901858755e-04       2.604608890269e+02 
       8.352846554746e-04       3.233348947999e+02 
       1.051561078859e-03       4.005162839364e+02 
       1.323836964229e-03       4.946465245065e+02 
       1.666611995340e-03       6.084982061782e+02 
       2.098140192535e-03       7.447372848843e+02 
       2.641402005889e-03       9.054688220120e+02 
       3.325328107978e-03       1.091594777915e+03 
       4.186340057686e-03       1.301974129210e+03 
       5.270289881033e-03       1.532267356106e+03 
       6.634901858755e-03       1.773579417059e+03 
       8.352846554746e-03       2.011004714156e+03 
       1.051561078859e-02       2.222219283257e+03 
       1.323836964229e-02       2.376781412654e+03 
       1.666611995337e-02       2.437762674078e+03 
       2.098140171937e-02       2.369352547800e+03 
       2.641387140479e-02       2.155523390708e+03 
       3.323357968019e-02       1.829487645935e+03 
       4.123299361229e-02       1.503519562180e+03 
       4.790632219269e-02       1.315591162797e+03 
       5.275920367973e-02       1.220079992504e+03 
       5.677246018531e-02       1.158440692800e+03 
       6.036109956609e-02       1.110683023992e+03 
       6.371102674430e-02       1.068415967776e+03 
       6.692101071878e-02       1.027438233755e+03 
       7.005043409568e-02       9.855422077728e+02 
       7.313838240686e-02       9.417029762727e+02 
       7.621244612034e-02       8.957108451262e+02 
       7.929323714499e-02       8.479580010039e+02 
       8.239690320693e-02       7.992741622624e+02 
       8.553661991220e-02       7.507726438316e+02 
       8.872352263282e-02       7.036960415410e+02 
       9.196731331326e-02       6.592655704497e+02 
       9.527666941147e-02       6.185429851758e+02 
       9.865952743487e-02       5.823154809660e+02 
       1.021232841748e-01       5.510109073235e+02 
       1.056749422534e-01       5.246462114175e+02 
       1.093212169616e-01       5.028101568516e+02 
       1.130686155477e-01       4.846831431717e+02 
       1.169234964907e-01       4.691005428803e+02 
       1.208921139910e-01       4.546707599320e+02 
       1.249806514135e-01       4.399547899304e+02 
       1.291952464314e-01       4.236984339043e+02 
       1.335420099682e-01       4.050799376041e+02 
       1.380270405956e-01       3.839089705423e+02 
       1.426564357595e-01       3.607025415441e+02 
       1.474363010126e-01       3.365877747224e+02 
       1.523727583097e-01       3.130360389872e+02 
       1.574719543447e-01       2.914962224974e+02 
       1.627400698563e-01       2.730311089142e+02 
       1.681833308004e-01       2.580531379555e+02 
       1.738080222677e-01       2.462188328211e+02 
       1.796205060114e-01       2.365080353704e+02 
       1.856272424417e-01       2.274961075234e+02 
       1.918348179389e-01       2.177916123508e+02 
       1.982499783411e-01       2.065279709535e+02 
       2.048796694758e-01       1.937023414946e+02 
       2.117310856382e-01       1.801597951949e+02 
       2.188117269762e-01       1.671862136616e+02 
       2.261294668449e-01       1.559030560482e+02 
       2.336926303379e-01       1.467665422258e+02 
       2.415100854242e-01       1.393986854823e+02 
       2.495913484286e-01       1.328187516021e+02 
       2.579467060120e-01       1.259854170221e+02 
       2.665873563799e-01       1.183860959589e+02 
       2.755255732043e-01       1.103000597269e+02 
       2.847748967482e-01       1.025238944512e+02 
       2.943503580080e-01       9.575554739853e+01 
       3.042687434488e-01       9.010526829561e+01 
       3.145489102466e-01       8.508344908861e+01 
       3.252121650992e-01       8.005279569000e+01 
       3.362827239310e-01       7.477017844559e+01 
       3.477882756744e-01       6.952866927889e+01 
       3.597606814539e-01       6.477110895989e+01 
       3.722368519986e-01       6.060386486770e+01 
       3.852598625897e-01       5.673521297664e+01 
       3.988803888968e-01       5.286981059565e+01 
       4.131585827853e-01       4.904956212241e+01 
       4.281665613542e-01       4.550351556416e+01 
       4.439917664577e-01       4.226705868144e+01 
       4.607415854189e-01       3.916239205355e+01 
       4.785498415047e-01       3.612093496209e+01 
       4.975861293656e-01       3.324481972163e+01 
       5.180696089577e-01       3.053881858461e+01 
       5.402900263025e-01       2.791138303790e+01 
       5.646409116525e-01       2.537769039220e+01 
       5.916742382783e-01       2.294251234117e+01 
       6.221949245829e-01       2.055725878237e+01 
       6.574339212312e-01       1.822002049547e+01 
       6.993874264609e-01       1.589234128440e+01 
       7.515348877528e-01       1.354223333246e+01 
       8.204808261238e-01       1.111964234564e+01 
       9.198309510026e-01       8.578269354975e+00 
       1.077254073874e+00       5.964111327142e+00 
       1.327225527361e+00       3.660438628915e+00 
       1.668346862746e+00       2.123078609628e+00 
       2.100278141174e+00       1.215850951074e+00 
       2.644093360171e+00       6.905085567682e-01 
       3.328716322194e+00       3.892201624643e-01 
       4.190605566664e+00       2.179014660511e-01 
       5.275659838680e+00       1.212350342575e-01 
       6.641662234896e+00       6.707073239093e-02 
       8.361357364064e+00       3.691311070418e-02 
       1.052632526271e+01       2.021865559730e-02 
