# Matter power spectrum P(k) at redshift z=1.5
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       2.044156192733e-01 
       2.641402005889e-07       2.567344074735e-01 
       3.325328107978e-07       3.224438337531e-01 
       4.186340057686e-07       4.049711408089e-01 
       5.270289881033e-07       5.086207507164e-01 
       6.634901858755e-07       6.387987726466e-01 
       8.352846554746e-07       8.022949723133e-01 
       1.051561078859e-06       1.007636908672e+00 
       1.323836964229e-06       1.265534709205e+00 
       1.666611995340e-06       1.589439681604e+00 
       2.098140192535e-06       1.996245895791e+00 
       2.641402005889e-06       2.507171327129e+00 
       3.325328107978e-06       3.148864513038e+00 
       4.186340057686e-06       3.954794437359e+00 
       5.270289881033e-06       4.966996107477e+00 
       6.634901858755e-06       6.238262838853e+00 
       8.352846554746e-06       7.834899508768e+00 
       1.051561078859e-05       9.840180219274e+00 
       1.323836964229e-05       1.235869041272e+01 
       1.666611995340e-05       1.552177928207e+01 
       2.098140192535e-05       1.949440563192e+01 
       2.641402005889e-05       2.448373178436e+01 
       3.325328107978e-05       3.074990888704e+01 
       4.186340057686e-05       3.861960642062e+01 
       5.270289881033e-05       4.850297224800e+01 
       6.634901858755e-05       6.091486942037e+01 
       8.352846554746e-05       7.650142135056e+01 
       1.051561078859e-04       9.607309955699e+01 
       1.323836964229e-04       1.206457837116e+02 
       1.666611995340e-04       1.514913564979e+02 
       2.098140192535e-04       1.901993507372e+02 
       2.641402005889e-04       2.387507274115e+02 
       3.325328107978e-04       2.996036658471e+02 
       4.186340057686e-04       3.757887756207e+02 
       5.270289881033e-04       4.710069264968e+02 
       6.634901858755e-04       5.897171730740e+02 
       8.352846554746e-04       7.371968868999e+02 
       1.051561078859e-03       9.195528064797e+02 
       1.323836964229e-03       1.143648831212e+03 
       1.666611995340e-03       1.416856772081e+03 
       2.098140192535e-03       1.746453531774e+03 
       2.641402005889e-03       2.138572636299e+03 
       3.325328107978e-03       2.596671924610e+03 
       4.186340057686e-03       3.119379159414e+03 
       5.270289881033e-03       3.693664869439e+03 
       6.634901858755e-03       4.305007439501e+03 
       8.352846554746e-03       4.914836423258e+03 
       1.051561078859e-02       5.467891195390e+03 
       1.323836964229e-02       5.887265258091e+03 
       1.666611995337e-02       6.077870972013e+03 
       2.098140171937e-02       5.945192875577e+03 
       2.641387140479e-02       5.442868392694e+03 
       3.323357968019e-02       4.649222065340e+03 
       4.123299361229e-02       3.845207461088e+03 
       4.790632219269e-02       3.380147589773e+03 
       5.275920367973e-02       3.143980068272e+03 
       5.677246018531e-02       2.991629231984e+03 
       6.036109956609e-02       2.873401831395e+03 
       6.371102674430e-02       2.768409540238e+03 
       6.692101071878e-02       2.666197648915e+03 
       7.005043409568e-02       2.561292978737e+03 
       7.313838240686e-02       2.451186566970e+03 
       7.621244612034e-02       2.335416465952e+03 
       7.929323714499e-02       2.215031849717e+03 
       8.239690320693e-02       2.092178356567e+03 
       8.553661991220e-02       1.969708893112e+03 
       8.872352263282e-02       1.850794025740e+03 
       9.196731331326e-02       1.738541294997e+03 
       9.527666941147e-02       1.635646647541e+03 
       9.865952743487e-02       1.544103578626e+03 
       1.021232841748e-01       1.464988626390e+03 
       1.056749422534e-01       1.398331765850e+03 
       1.093212169616e-01       1.343075123344e+03 
       1.130686155477e-01       1.297127528428e+03 
       1.169234964907e-01       1.257531769732e+03 
       1.208921139910e-01       1.220770607635e+03 
       1.249806514135e-01       1.183225846292e+03 
       1.291952464314e-01       1.141763896538e+03 
       1.335420099682e-01       1.094352572244e+03 
       1.380270405956e-01       1.040548768194e+03 
       1.426564357595e-01       9.816758015135e+02 
       1.474363010126e-01       9.205704557292e+02 
       1.523727583097e-01       8.609146429371e+02 
       1.574719543447e-01       8.063199074991e+02 
       1.627400698563e-01       7.594219528025e+02 
       1.681833308004e-01       7.212249123684e+02 
       1.738080222677e-01       6.908456744034e+02 
       1.796205060114e-01       6.657248932916e+02 
       1.856272424417e-01       6.423194773735e+02 
       1.918348179389e-01       6.171965851911e+02 
       1.982499783411e-01       5.882425771897e+02 
       2.048796694758e-01       5.554791340711e+02 
       2.117310856382e-01       5.210035867023e+02 
       2.188117269762e-01       4.879775020265e+02 
       2.261294668449e-01       4.591406130442e+02 
       2.336926303379e-01       4.355896215482e+02 
       2.415100854242e-01       4.163780848675e+02 
       2.495913484286e-01       3.991006897049e+02 
       2.579467060120e-01       3.812269531424e+02 
       2.665873563799e-01       3.615277747946e+02 
       2.755255732043e-01       3.406933914534e+02 
       2.847748967482e-01       3.206516919113e+02 
       2.943503580080e-01       3.030766180927e+02 
       3.042687434488e-01       2.882182751062e+02 
       3.145489102466e-01       2.748901049455e+02 
       3.252121650992e-01       2.615657282450e+02 
       3.362827239310e-01       2.476710421837e+02 
       3.477882756744e-01       2.339072659277e+02 
