# Matter power spectrum P(k) at redshift z=2
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       2.305224986877e-01 
       2.641402005889e-07       2.867367233052e-01 
       3.325328107978e-07       3.566591067274e-01 
       4.186340057686e-07       4.436324615006e-01 
       5.270289881033e-07       5.518147639871e-01 
       6.634901858755e-07       6.863779361652e-01 
       8.352846554746e-07       8.537551024301e-01 
       1.051561078859e-06       1.061948140053e+00 
       1.323836964229e-06       1.320910227462e+00 
       1.666611995340e-06       1.643021678491e+00 
       2.098140192535e-06       2.043681808887e+00 
       2.641402005889e-06       2.542045129335e+00 
       3.325328107978e-06       3.161937054388e+00 
       4.186340057686e-06       3.932992901967e+00 
       5.270289881033e-06       4.892074606100e+00 
       6.634901858755e-06       6.085032851732e+00 
       8.352846554746e-06       7.568898800595e+00 
       1.051561078859e-05       9.414610044862e+00 
       1.323836964229e-05       1.171040086141e+01 
       1.666611995340e-05       1.456601830526e+01 
       2.098140192535e-05       1.811796467949e+01 
       2.641402005889e-05       2.253601495800e+01 
       3.325328107978e-05       2.803131674352e+01 
       4.186340057686e-05       3.486645207329e+01 
       5.270289881033e-05       4.336792653837e+01 
       6.634901858755e-05       5.394165215583e+01 
       8.352846554746e-05       6.709210405557e+01 
       1.051561078859e-04       8.344594901187e+01 
       1.323836964229e-04       1.037810453937e+02 
       1.666611995340e-04       1.290617545442e+02 
       2.098140192535e-04       1.604813931445e+02 
       2.641402005889e-04       1.995122288082e+02 
       3.325328107978e-04       2.479623965333e+02 
       4.186340057686e-04       3.080370863695e+02 
       5.270289881033e-04       3.823979245602e+02 
       6.634901858755e-04       4.742097426493e+02 
       8.352846554746e-04       5.871594443779e+02 
       1.051561078859e-03       7.254301386416e+02 
       1.323836964229e-03       8.936109666919e+02 
       1.666611995340e-03       1.096490402913e+03 
       2.098140192535e-03       1.338601325920e+03 
       2.641402005889e-03       1.623412633435e+03 
       3.325328107978e-03       1.952220377368e+03 
       4.186340057686e-03       2.322653324758e+03 
       5.270289881033e-03       2.726673440833e+03 
       6.634901858755e-03       3.148233855226e+03 
       8.352846554746e-03       3.560803359445e+03 
       1.051561078859e-02       3.925011149204e+03 
       1.323836964229e-02       4.187575355974e+03 
       1.666611995337e-02       4.284345005140e+03 
       2.098140171937e-02       4.153770093144e+03 
       2.641387140479e-02       3.769514119603e+03 
       3.323357968019e-02       3.191425890704e+03 
       4.123299361229e-02       2.616692545806e+03 
       4.790632219269e-02       2.285919528099e+03 
       5.275920367973e-02       2.117754917398e+03 
       5.677246018531e-02       2.009172940257e+03 
       6.036109956609e-02       1.925068333954e+03 
       6.371102674430e-02       1.850729887870e+03 
       6.692101071878e-02       1.778802883802e+03 
       7.005043409568e-02       1.705426337058e+03 
       7.313838240686e-02       1.628805939364e+03 
       7.621244612034e-02       1.548567431893e+03 
       7.929323714499e-02       1.465381671328e+03 
       8.239690320693e-02       1.380677018505e+03 
       8.553661991220e-02       1.296371123216e+03 
       8.872352263282e-02       1.214603247100e+03 
       9.196731331326e-02       1.137473531777e+03 
       9.527666941147e-02       1.066804824251e+03 
       9.865952743487e-02       1.003944661492e+03 
       1.021232841748e-01       9.496198636183e+02 
       1.056749422534e-01       9.038487902156e+02 
       1.093212169616e-01       8.659128294528e+02 
       1.130686155477e-01       8.343916778079e+02 
       1.169234964907e-01       8.072735832820e+02 
       1.208921139910e-01       7.821594018877e+02 
       1.249806514135e-01       7.565720554333e+02 
       1.291952464314e-01       7.283557364947e+02 
       1.335420099682e-01       6.961009230489e+02 
       1.380270405956e-01       6.594847986669e+02 
       1.426564357595e-01       6.193997083990e+02 
       1.474363010126e-01       5.777840494883e+02 
       1.523727583097e-01       5.371642184785e+02 
       1.574719543447e-01       5.000244825552e+02 
       1.627400698563e-01       4.681835230530e+02 
       1.681833308004e-01       4.423426593563e+02 
       1.738080222677e-01       4.219069183620e+02 
       1.796205060114e-01       4.051230864405e+02 
       1.856272424417e-01       3.895478193969e+02 
       1.918348179389e-01       3.727980854436e+02 
       1.982499783411e-01       3.533923233974e+02 
       2.048796694758e-01       3.313285188906e+02 
       2.117310856382e-01       3.080544888598e+02 
       2.188117269762e-01       2.857694731386e+02 
       2.261294668449e-01       2.663886399294e+02 
       2.336926303379e-01       2.506881627250e+02 
       2.415100854242e-01       2.380187167334e+02 
       2.495913484286e-01       2.267030951547e+02 
       2.579467060120e-01       2.149630871244e+02 
       2.665873563799e-01       2.019248486099e+02 
       2.755255732043e-01       1.880659326783e+02 
       2.847748967482e-01       1.747449395915e+02 
       2.943503580080e-01       1.631504717405e+02 
       3.042687434488e-01       1.534684596753e+02 
       3.145489102466e-01       1.448632367145e+02 
       3.252121650992e-01       1.362489714979e+02 
       3.362827239310e-01       1.272120169826e+02 
       3.477882756744e-01       1.182512784323e+02 
       3.597606814539e-01       1.101195717146e+02 
       3.722368519986e-01       1.029967687381e+02 
       3.852598625897e-01       9.638615894211e+01 
       3.988803888968e-01       8.978561848896e+01 
       4.131585827853e-01       8.326628671859e+01 
       4.281665613542e-01       7.721677465202e+01 
       4.439917664577e-01       7.169659017601e+01 
       4.607415854189e-01       6.640365626121e+01 
       4.785498415047e-01       6.122148964437e+01 
       4.975861293656e-01       5.632301847725e+01 
       5.180696089577e-01       5.171600363641e+01 
       5.402900263025e-01       4.724513575778e+01 
       5.646409116525e-01       4.293594906901e+01 
       5.916742382783e-01       3.879632536735e+01 
       6.221949245829e-01       3.474392719386e+01 
       6.574339212312e-01       3.077543246755e+01 
       6.993874264609e-01       2.682582163774e+01 
       7.515348877528e-01       2.284115909804e+01 
       8.204808261238e-01       1.873729824537e+01 
       9.198309510026e-01       1.443709155611e+01 
       1.077254073874e+00       1.002039318700e+01 
       1.327225527361e+00       6.136112937118e+00 
       1.668346862746e+00       3.550204186974e+00 
       2.100278141174e+00       2.028091714818e+00 
       2.644093360171e+00       1.148936815516e+00 
       3.328716322194e+00       6.460143116436e-01 
       4.190605566664e+00       3.607667732144e-01 
       5.275659838680e+00       2.002229426217e-01 
       6.641662234896e+00       1.104937391921e-01 
       8.361357364064e+00       6.066016098641e-02 
       1.052632526271e+01       3.314305037546e-02 
