# Matter power spectrum P(k) at redshift z=0.5
# for k=1.02177e-05 to 10.2282 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.021765399406e-05       3.082091682431e+01 
       1.286326426204e-05       3.844544192198e+01 
       1.619389025810e-05       4.795610170094e+01 
       2.038689996173e-05       5.981939729900e+01 
       2.566558642953e-05       7.461724935566e+01 
       3.231105896474e-05       9.307537606761e+01 
       4.067721321269e-05       1.160988108979e+02 
       5.120957739442e-05       1.448160225569e+02 
       6.446903830908e-05       1.806337761837e+02 
       8.116171060123e-05       2.253050862021e+02 
       1.021765399406e-04       2.810132228974e+02 
       1.286326426204e-04       3.504748161362e+02 
       1.619389025810e-04       4.370653702432e+02 
       2.038689996173e-04       5.449698289339e+02 
       2.566558642953e-04       6.793591156615e+02 
       3.231105896474e-04       8.465898119078e+02 
       4.067721321269e-04       1.054417438841e+03 
       5.120957739442e-04       1.312204276604e+03 
       6.446903830908e-04       1.631092408597e+03 
       8.116171060123e-04       2.024103172200e+03 
       1.021765399406e-03       2.506098293122e+03 
       1.286326426204e-03       3.093442102853e+03 
       1.619389025810e-03       3.803071508387e+03 
       2.038689996173e-03       4.650768649253e+03 
       2.566558642953e-03       5.648398861017e+03 
       3.231105896474e-03       6.800018831128e+03 
       4.067721321269e-03       8.096498587206e+03 
       5.120957739442e-03       9.508903084412e+03 
       6.446903830908e-03       1.098073747489e+04 
       8.116171060123e-03       1.242282435793e+04 
       1.021765399406e-02       1.370408279608e+04 
       1.286326426204e-02       1.465633249015e+04 
       1.619389025803e-02       1.508265474302e+04 
       2.038689960865e-02       1.480276184859e+04 
       2.566536618674e-02       1.374364419639e+04 
       3.228513809486e-02       1.207051943697e+04 
       3.993335916681e-02       1.034096596885e+04 
       4.612534321354e-02       9.269200163503e+03 
       5.066882235539e-02       8.641564908023e+03 
       5.445682734544e-02       8.185366333210e+03 
       5.785865730248e-02       7.805009126605e+03 
       6.104220030809e-02       7.460058490454e+03 
       6.409766624195e-02       7.131076741423e+03 
       6.707973254519e-02       6.809043284587e+03 
       7.002460837740e-02       6.489509581870e+03 
       7.295797823532e-02       6.172513778694e+03 
       7.589910741640e-02       5.860326768317e+03 
       7.886314032665e-02       5.555853143377e+03 
       8.186247036800e-02       5.263531692289e+03 
       8.490759858636e-02       4.987077859469e+03 
       8.800769443418e-02       4.730052160430e+03 
       9.117097460038e-02       4.494820962643e+03 
       9.440496619650e-02       4.282167322075e+03 
       9.771669385426e-02       4.091603360887e+03 
       1.011128152242e-01       3.920482860312e+03 
       1.045997205378e-01       3.765372904604e+03 
       1.081836065463e-01       3.620883163803e+03 
       1.118705318203e-01       3.481886134688e+03 
       1.156664582653e-01       3.343017906339e+03 
       1.195772823286e-01       3.200361841082e+03 
       1.236088584643e-01       3.051669230311e+03 
       1.277670168158e-01       2.897207889269e+03 
       1.320575766736e-01       2.739252580899e+03 
       1.364863569998e-01       2.582483395727e+03 
       1.410591851333e-01       2.432051481554e+03 
       1.457819046765e-01       2.292649524599e+03 
       1.506603834913e-01       2.167320817110e+03 
       1.557005226886e-01       2.056449937962e+03 
       1.609082674654e-01       1.957893646796e+03 
       1.662896206266e-01       1.867566459533e+03 
       1.718506596163e-01       1.780383795517e+03 
       1.775975578746e-01       1.692285224727e+03 
       1.835366113354e-01       1.601208986786e+03 
       1.896742708795e-01       1.507984205095e+03 
       1.960171815764e-01       1.416107311835e+03 
       2.025722295779e-01       1.329386248415e+03 
       2.093465975885e-01       1.250837643366e+03 
       2.163478299323e-01       1.180895912423e+03 
       2.235839083845e-01       1.117147269879e+03 
       2.310633401512e-01       1.056417937125e+03 
       2.387952596811e-01       9.966957015963e+02 
       2.467895464056e-01       9.374414851190e+02 
       2.550569610602e-01       8.793725395428e+02 
       2.636093039781e-01       8.244566240333e+02 
       2.724595997285e-01       7.741398103037e+02 
       2.816223137626e-01       7.278803086097e+02 
       2.911136084492e-01       6.844545104839e+02 
       3.009516481661e-01       6.424799376422e+02 
       3.111569661865e-01       6.016242452827e+02 
       3.217529102702e-01       5.628303981649e+02 
       3.327661896030e-01       5.265311032820e+02 
       3.442275537066e-01       4.926961905556e+02 
       3.561726452221e-01       4.606068551604e+02 
       3.686430846635e-01       4.297885852846e+02 
       3.816878688884e-01       4.004181144220e+02 
       3.953652002368e-01       3.727681800718e+02 
       4.097449167506e-01       3.466079027016e+02 
       4.249117769322e-01       3.216450088029e+02 
       4.409699847038e-01       2.978318257969e+02 
       4.580495565534e-01       2.751925331002e+02 
       4.763154977998e-01       2.535678333707e+02 
       4.959813921173e-01       2.328506382634e+02 
       5.173301649937e-01       2.129404519278e+02 
       5.407469752203e-01       1.937682483388e+02 
       5.667735615552e-01       1.751659050284e+02 
       5.962025993754e-01       1.570156491450e+02 
       6.302513764402e-01       1.391408916209e+02 
       6.709041207280e-01       1.213127274327e+02 
       7.216411580377e-01       1.032582395873e+02 
       7.891150361793e-01       8.458819930355e+01 
       8.870943891107e-01       6.494879063536e+01 
       1.043229520308e+00       4.480653062317e+01 
       1.289147476258e+00       2.736234371614e+01 
       1.621076914149e+00       1.588523784163e+01 
       2.040784821777e+00       9.111884279453e+00 
       2.569195779421e+00       5.182414699305e+00 
       3.234425854549e+00       2.925087633202e+00 
       4.071900900856e+00       1.639533279268e+00 
       5.126219518395e+00       9.132312531084e-01 
       6.453528018142e+00       5.057578460456e-01 
       8.124510417765e+00       2.786204013762e-01 
       1.022815262331e+01       1.527477778770e-01 
