# Matter power spectrum P(k) at redshift z=0
# for k=1.01848e-05 to 10.1953 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.018478709175e-05       5.030370171466e+01 
       1.282188728352e-05       6.274790293763e+01 
       1.614179972838e-05       7.827048382136e+01 
       2.032132187015e-05       9.763289381579e+01 
       2.558302850358e-05       1.217848413053e+02 
       3.220712469381e-05       1.519108283815e+02 
       4.054636771786e-05       1.894876991188e+02 
       5.104485267596e-05       2.363573651424e+02 
       6.426166217506e-05       2.948155271455e+02 
       8.090063951631e-05       3.677228473991e+02 
       1.018478709175e-04       4.586417430520e+02 
       1.282188728352e-04       5.720042548122e+02 
       1.614179972838e-04       7.133161158354e+02 
       2.032132187015e-04       8.894010703378e+02 
       2.558302850358e-04       1.108686709036e+03 
       3.220712469381e-04       1.381527049588e+03 
       4.054636771786e-04       1.720547268721e+03 
       5.104485267596e-04       2.140982848092e+03 
       6.426166217506e-04       2.660971616960e+03 
       8.090063951631e-04       3.301734622998e+03 
       1.018478709175e-03       4.087506378727e+03 
       1.282188728352e-03       5.044908054046e+03 
       1.614179972838e-03       6.201391234438e+03 
       2.032132187015e-03       7.582485258250e+03 
       2.558302850358e-03       9.207264174436e+03 
       3.220712469381e-03       1.108190588608e+04 
       4.054636771786e-03       1.319109043196e+04 
       5.104485267596e-03       1.548714345384e+04 
       6.426166217506e-03       1.787821992389e+04 
       8.090063951631e-03       2.021872582461e+04 
       1.018478709175e-02       2.229935800457e+04 
       1.282188728352e-02       2.384832452512e+04 
       1.614179972830e-02       2.455615181851e+04 
       2.032132150337e-02       2.413571370667e+04 
       2.558280214311e-02       2.247305813187e+04 
       3.218071359246e-02       1.982418825040e+04 
       3.979451203807e-02       1.706024966526e+04 
       4.594557950700e-02       1.532152993728e+04 
       5.046223456697e-02       1.428431754769e+04 
       5.423006664775e-02       1.352110738475e+04 
       5.761482668868e-02       1.288137799010e+04 
       6.078297017224e-02       1.230111840881e+04 
       6.382401055522e-02       1.175002512173e+04 
       6.679223510514e-02       1.121341518578e+04 
       6.972361060637e-02       1.068554446118e+04 
       7.264365868001e-02       1.016573949411e+04 
       7.557152808093e-02       9.656676761704e+03 
       7.852227536424e-02       9.163640153389e+03 
       8.150822469601e-02       8.691765545796e+03 
       8.453982040833e-02       8.247089708772e+03 
       8.762618390208e-02       7.833780436434e+03 
       9.077548993619e-02       7.454762225904e+03 
       9.399522808698e-02       7.110734948688e+03 
       9.729238864038e-02       6.799823146188e+03 
       1.006735972305e-01       6.517921745420e+03 
       1.041452137765e-01       6.258722652687e+03 
       1.077134059619e-01       6.014570581636e+03 
       1.113842041910e-01       5.777528390651e+03 
       1.151635428475e-01       5.540246161731e+03 
       1.190572913097e-01       5.297446740801e+03 
       1.230712772695e-01       5.046768339054e+03 
       1.272113043064e-01       4.789320109904e+03 
       1.314831652645e-01       4.529577565401e+03 
       1.358926527149e-01       4.274464821528e+03 
       1.404455676146e-01       4.031379508707e+03 
       1.451477271547e-01       3.806714211845e+03 
       1.500049727238e-01       3.603984789937e+03 
       1.550231788649e-01       3.422709679145e+03 
       1.602082640764e-01       3.258952014156e+03 
       1.655662042899e-01       3.106294171902e+03 
       1.711030498471e-01       2.957602633495e+03 
       1.768249467871e-01       2.807432354468e+03 
       1.827381632553e-01       2.654199668069e+03 
       1.888491218462e-01       2.499669327068e+03 
       1.951644387082e-01       2.349384108136e+03 
       2.016909702716e-01       2.208753108306e+03 
       2.084358685185e-01       2.080913465993e+03 
       2.154066458132e-01       1.965678987379e+03 
       2.226112504553e-01       1.859030491288e+03 
       2.300581543342e-01       1.756385992248e+03 
       2.377564543636e-01       1.655699819714e+03 
       2.457159897862e-01       1.556873896375e+03 
       2.539474779919e-01       1.461180246181e+03 
       2.624626722310e-01       1.371150582336e+03 
       2.712745455802e-01       1.288310621685e+03 
       2.803975068094e-01       1.211434842495e+03 
       2.898476555064e-01       1.138568112046e+03 
       2.996430860992e-01       1.068343472274e+03 
       3.098042534766e-01       1.000500457690e+03 
       3.203544170680e-01       9.364180810421e+02 
       3.313201859627e-01       8.763755912112e+02 
       3.427321956049e-01       8.200329747486e+02 
       3.546259578558e-01       7.664870048717e+02 
       3.670429423656e-01       7.151724949939e+02 
       3.800319707979e-01       6.664792720135e+02 
       3.936510405711e-01       6.205695351845e+02 
       4.079697481381e-01       5.770053247599e+02 
       4.230725647046e-01       5.354527971746e+02 
       4.390633492581e-01       4.958494668538e+02 
       4.560716997520e-01       4.582129102028e+02 
       4.742621077137e-01       4.222211962979e+02 
       4.938475179743e-01       3.877322525473e+02 
       5.151100506167e-01       3.546095371360e+02 
       5.384338340942e-01       3.226879301220e+02 
       5.643592697480e-01       2.917225097374e+02 
       5.936772750929e-01       2.615013695531e+02 
       6.276028144150e-01       2.317399977422e+02 
       6.681170858920e-01       2.020488606960e+02 
       7.186967171834e-01       1.719677891923e+02 
       7.859906103182e-01       1.408540443257e+02 
       8.837642981257e-01       1.081135465546e+02 
       1.039633258053e+00       7.454482422085e+01 
       1.284972977708e+00       4.550781721405e+01 
       1.615865767853e+00       2.642267582451e+01 
       2.034225352287e+00       1.515830670333e+01 
       2.560937900530e+00       8.622488520028e+00 
       3.224029800967e+00       4.867393525435e+00 
       4.058813044819e+00       2.728478103379e+00 
       5.109742883844e+00       1.519867470788e+00 
       6.432785164206e+00       8.417945624047e-01 
       8.098396711832e+00       4.637647015065e-01 
       1.019527741532e+01       2.542741974439e-01 
