# Matter power spectrum P(k) at redshift z=2
# for k=2.07115e-07 to 10.3909 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.071149225221e-07       2.318815586685e-01 
       2.607422391248e-07       2.892452333206e-01 
       3.282550307623e-07       3.607997351957e-01 
       4.132485997760e-07       4.500556409564e-01 
       5.202491636463e-07       5.613919858325e-01 
       6.549548925790e-07       7.002711057154e-01 
       8.245393578467e-07       8.735066280001e-01 
       1.038033550618e-06       1.089597757957e+00 
       1.306806815167e-06       1.359146261594e+00 
       1.645172307920e-06       1.695376603422e+00 
       2.071149225221e-06       2.114784752924e+00 
       2.607422391248e-06       2.637947493567e+00 
       3.282550307623e-06       3.290531930929e+00 
       4.132485997760e-06       4.104554723607e+00 
       5.202491636463e-06       5.119952787623e+00 
       6.549548925790e-06       6.386542510143e+00 
       8.245393578467e-06       7.966463510792e+00 
       1.038033550618e-05       9.937226691722e+00 
       1.306806815167e-05       1.239551582989e+01 
       1.645172307920e-05       1.546192864649e+01 
       2.071149225221e-05       1.928688876188e+01 
       2.607422391248e-05       2.405801635360e+01 
       3.282550307623e-05       3.000931456420e+01 
       4.132485997760e-05       3.743261345733e+01 
       5.202491636463e-05       4.669181531494e+01 
       6.549548925790e-05       5.824060550844e+01 
       8.245393578467e-05       7.264442925561e+01 
       1.038033550618e-04       9.060767812005e+01 
       1.306806815167e-04       1.130071566620e+02 
       1.645172307920e-04       1.409329586950e+02 
       2.071149225221e-04       1.757377700450e+02 
       2.607422391248e-04       2.190951378402e+02 
       3.282550307623e-04       2.730660767236e+02 
       4.132485997760e-04       3.401710429983e+02 
       5.202491636463e-04       4.234603205423e+02 
       6.549548925790e-04       5.265703268410e+02 
       8.245393578467e-04       6.537480365209e+02 
       1.038033550618e-03       8.098237929806e+02 
       1.306806815167e-03       1.000109482334e+03 
       1.645172307920e-03       1.230161205756e+03 
       2.071149225221e-03       1.505254606354e+03 
       2.607422391248e-03       1.829455002391e+03 
       3.282550307623e-03       2.204344902075e+03 
       4.132485997760e-03       2.627295811351e+03 
       5.202491636463e-03       3.089223347454e+03 
       6.549548925790e-03       3.571996407321e+03 
       8.245393578467e-03       4.045793866659e+03 
       1.038033550618e-02       4.466770247780e+03 
       1.306806815167e-02       4.776305991043e+03 
       1.645172307914e-02       4.904824700548e+03 
       2.071149196101e-02       4.786593784187e+03 
       2.607403226015e-02       4.393991862657e+03 
       3.280193921269e-02       3.789734028341e+03 
       4.062079778015e-02       3.181929623624e+03 
       4.701995416872e-02       2.823581856994e+03 
       5.169917582950e-02       2.628717249173e+03 
       5.558883393674e-02       2.494868648610e+03 
       5.907647314098e-02       2.386633339320e+03 
       6.233731722255e-02       2.289102345729e+03 
       6.546512822419e-02       2.194935175348e+03 
       6.851656784210e-02       2.100420141028e+03 
       7.152907502127e-02       2.003971924178e+03 
       7.452915911908e-02       1.905424288047e+03 
       7.753667470185e-02       1.805608662710e+03 
       8.056720974958e-02       1.706033941251e+03 
       8.363350681036e-02       1.608600643801e+03 
       8.674635260900e-02       1.515329081336e+03 
       8.991515840031e-02       1.428106174460e+03 
       9.314835168303e-02       1.348462115409e+03 
       9.645364813596e-02       1.277390678674e+03 
       9.983824481926e-02       1.215223971247e+03 
       1.033089600263e-01       1.161568194284e+03 
       1.068723360068e-01       1.115307718736e+03 
       1.105347152338e-01       1.074686796640e+03 
       1.143022974354e-01       1.037481498029e+03 
       1.181811824074e-01       1.001269421032e+03 
       1.221774021957e-01       9.637868210655e+02 
       1.262969452933e-01       9.233282148192e+02 
       1.305457748725e-01       8.791037275408e+02 
       1.349298426548e-01       8.314458747345e+02 
       1.394550997445e-01       7.817722275482e+02 
       1.441275055712e-01       7.322732096555e+02 
       1.489530359661e-01       6.853836200583e+02 
       1.539376913241e-01       6.431747712468e+02 
       1.590875057553e-01       6.068301244211e+02 
       1.644085581015e-01       5.763397470423e+02 
       1.699069856737e-01       5.504949178663e+02 
       1.755890015542e-01       5.272119980729e+02 
       1.814609162994e-01       5.041522292852e+02 
       1.875291648747e-01       4.794960958130e+02 
       1.938003396570e-01       4.525993652284e+02 
       2.002812303539e-01       4.242119449596e+02 
       2.069788717242e-01       3.960950261728e+02 
       2.139006000390e-01       3.701831860274e+02 
       2.210541193273e-01       3.476953191446e+02 
       2.284475785927e-01       3.286196329004e+02 
       2.360896614096e-01       3.118061387733e+02 
       2.439896896102e-01       2.956270456765e+02 
       2.521577431927e-01       2.788857855844e+02 
       2.606047991449e-01       2.614529672152e+02 
       2.693428926259e-01       2.441992082358e+02 
       2.783853049437e-01       2.282655312420e+02 
       2.877467840791e-01       2.142178064683e+02 
       2.974438052439e-01       2.017070603197e+02 
       3.074948812846e-01       1.898538205061e+02 
       3.179209358525e-01       1.780129670860e+02 
       3.287457564923e-01       1.662508753684e+02 
       3.399965506082e-01       1.551139915085e+02 
       3.517046353475e-01       1.449725412458e+02 
       3.639063038613e-01       1.356529201913e+02 
       3.766439267865e-01       1.267167312636e+02 
       3.899673717107e-01       1.179903812188e+02 
       4.039358589613e-01       1.096698606750e+02 
       4.186204260637e-01       1.019252510032e+02 
       4.341072570361e-01       9.463355225164e+01 
       4.505022660357e-01       8.761124895000e+01 
       4.679375428812e-01       8.088104148598e+01 
       4.865806354198e-01       7.451118327717e+01 
       5.066482846035e-01       6.842212817473e+01 
       5.284273899706e-01       6.254768270105e+01 
       5.523081837217e-01       5.690130538625e+01 
       5.788389719408e-01       5.143242138035e+01 
       6.088210284891e-01       4.609393972541e+01 
       6.434829395017e-01       4.084474464771e+01 
       6.848235176038e-01       3.561587590978e+01 
       7.363405102101e-01       3.032476634332e+01 
       8.047024789166e-01       2.486079126065e+01 
       9.036882203661e-01       1.911988068563e+01 
       1.061106332582e+00       1.322674101770e+01 
       1.309828902931e+00       8.090305632906e+00 
       1.646876553087e+00       4.694465735041e+00 
       2.073259268092e+00       2.690891969254e+00 
       2.610078662676e+00       1.529510600675e+00 
       3.285894355173e+00       8.628191360986e-01 
       4.136695904199e+00       4.833960242224e-01 
       5.207791594661e+00       2.691353518298e-01 
       6.556221177847e+00       1.489908295594e-01 
       8.253793446134e+00       8.204992706584e-02 
       1.039091031304e+01       4.496870678666e-02 
