# Matter power spectrum P(k) at redshift z=2.5
# for k=1.0515e-05 to 10.5258 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051504401739e-05       6.647121652777e+00 
       1.323765611963e-05       8.291499622781e+00 
       1.666522168160e-05       1.034265939977e+01 
       2.098027106815e-05       1.290122187425e+01 
       2.641259639402e-05       1.609269102058e+01 
       3.325148879189e-05       2.007359802552e+01 
       4.186114422011e-05       2.503916014833e+01 
       5.270005822547e-05       3.123281262178e+01 
       6.634544250308e-05       3.895806420059e+01 
       8.352396352385e-05       4.859321419986e+01 
       1.051504401739e-04       6.060956850963e+01 
       1.323765611963e-04       7.559388857268e+01 
       1.666522168160e-04       9.427585342764e+01 
       2.098027106815e-04       1.175612685681e+02 
       2.641259639402e-04       1.465714751640e+02 
       3.325148879189e-04       1.826886938911e+02 
       4.186114422011e-04       2.276055404449e+02 
       5.270005822547e-04       2.833743059182e+02 
       6.634544250308e-04       3.524476602879e+02 
       8.352396352385e-04       4.376981895206e+02 
       1.051504401739e-03       5.424021418224e+02 
       1.323765611963e-03       6.701730564426e+02 
       1.666522168160e-03       8.248002600798e+02 
       2.098027106815e-03       1.009962143375e+03 
       2.641259639402e-03       1.228594958168e+03 
       3.325148879189e-03       1.482019321040e+03 
       4.186114422011e-03       1.768797707561e+03 
       5.270005822547e-03       2.083158546908e+03 
       6.634544250308e-03       2.413117044844e+03 
       8.352396352385e-03       2.738520600749e+03 
       1.051504401739e-02       3.028770120822e+03 
       1.323765611963e-02       3.242214885550e+03 
       1.666522168157e-02       3.327895631472e+03 
       2.098027088993e-02       3.235897729925e+03 
       2.641246292539e-02       2.943020562662e+03 
       3.323325851786e-02       2.493763791891e+03 
       4.126167908932e-02       2.041881744709e+03 
       4.801185076742e-02       1.780444033387e+03 
       5.291062381402e-02       1.649311170884e+03 
       5.695332407296e-02       1.565842123919e+03 
       6.056427384641e-02       1.501842929916e+03 
       6.393284788101e-02       1.445527012117e+03 
       6.715936898123e-02       1.390975954541e+03 
       7.030402963329e-02       1.335065468333e+03 
       7.340638695254e-02       1.276320106310e+03 
       7.649432992267e-02       1.214403070887e+03 
       7.958867227364e-02       1.149816154707e+03 
       8.270570576173e-02       1.083684205079e+03 
       8.585871361965e-02       1.017541433150e+03 
       8.905891494266e-02       9.531205197840e+02 
       9.231607917705e-02       8.921475644588e+02 
       9.563893998324e-02       8.361412795670e+02 
       9.903548203884e-02       7.862590759652e+02 
       1.025131445072e-01       7.431555795607e+02 
       1.060789681510e-01       7.069240004649e+02 
       1.097397032943e-01       6.770577625709e+02 
       1.135018899286e-01       6.524818572514e+02 
       1.173719175929e-01       6.316254237590e+02 
       1.213560703164e-01       6.125706936554e+02 
       1.254605604008e-01       5.932906316473e+02 
       1.296915538201e-01       5.719709011760e+02 
       1.340551893520e-01       5.473688462023e+02 
       1.385575931176e-01       5.191160122186e+02 
       1.432048899078e-01       4.878480094995e+02 
       1.480032124863e-01       4.550869786739e+02 
       1.529587099319e-01       4.228770625554e+02 
       1.580775560021e-01       3.932852006693e+02 
       1.633659584530e-01       3.678834702286e+02 
       1.688301702168e-01       3.473387743021e+02 
       1.744765033187e-01       3.312681671664e+02 
       1.803113464042e-01       3.182874565980e+02 
       1.863411867354e-01       3.064828615377e+02 
       1.925726375138e-01       2.938708080398e+02 
       1.990124713881e-01       2.789831570829e+02 
       2.056676610201e-01       2.617011251609e+02 
       2.125454276143e-01       2.432661153933e+02 
       2.196532983757e-01       2.255409736360e+02 
       2.269991739584e-01       2.100709712412e+02 
       2.345914071156e-01       1.975335740920e+02 
       2.424388939821e-01       1.875730685085e+02 
       2.505511797257e-01       1.788786945294e+02 
       2.589385807249e-01       1.698904879532e+02 
       2.676123260017e-01       1.597961463114e+02 
       2.765847213916e-01       1.488744668339e+02 
       2.858693409375e-01       1.382197694468e+02 
       2.954812513209e-01       1.289579027571e+02 
       3.054372768971e-01       1.213214919912e+02 
       3.157563152410e-01       1.146186909079e+02 
       3.264597162530e-01       1.079421868261e+02 
       3.375717421284e-01       1.008434008780e+02 
       3.491201313427e-01       9.373389768933e+01 
       3.611367979324e-01       8.726214490166e+01 
       3.736587088161e-01       8.164533387463e+01 
       3.867289983450e-01       7.646387970995e+01 
       4.003984032369e-01       7.127411791002e+01 
       4.147271366538e-01       6.611992230189e+01 
       4.297873741509e-01       6.132627517932e+01 
       4.456666078477e-01       5.695407219390e+01 
       4.624722579801e-01       5.279318259555e+01 
       4.803381476690e-01       4.869875776867e+01 
       4.994338111541e-01       4.480699393163e+01 
       5.199782397394e-01       4.116972371150e+01 
       5.422608158035e-01       3.763274671913e+01 
       5.666743489699e-01       3.421741835240e+01 
       5.937694200617e-01       3.093996723887e+01 
       6.243482410000e-01       2.772763015926e+01 
       6.596363545088e-01       2.458280826285e+01 
       7.016186491564e-01       2.144959707049e+01 
       7.537494676201e-01       1.828853884728e+01 
       8.225741827746e-01       1.503142507983e+01 
       9.215598919912e-01       1.161499758558e+01 
       1.078168787743e+00       8.095972328899e+00 
       1.327305942430e+00       4.979476576127e+00 
       1.668269738021e+00       2.889857019934e+00 
       2.100176283485e+00       1.655563658948e+00 
       2.643965105599e+00       9.405626660412e-01 
       3.328554859239e+00       5.303545388121e-01 
       4.190402296847e+00       2.970171471063e-01 
       5.275403937141e+00       1.653138800880e-01 
       6.641340073946e+00       9.148756463706e-02 
       8.360951787458e+00       5.036836248276e-02 
       1.052581467202e+01       2.759840633358e-02 
