# Matter power spectrum P(k) at redshift z=1
# for k=1.05347e-05 to 10.5455 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053472528005e-05       2.101142835571e+01 
       1.326243336132e-05       2.620926961280e+01 
       1.669641438079e-05       3.269292669135e+01 
       2.101954034983e-05       4.078048046475e+01 
       2.646203349063e-05       5.086861290998e+01 
       3.331372640910e-05       6.345209823219e+01 
       4.193949673798e-05       7.914797455892e+01 
       5.279869820130e-05       9.872565242283e+01 
       6.646962287527e-05       1.231443511087e+02 
       8.368029735005e-05       1.535995420282e+02 
       1.053472528005e-04       1.915803785290e+02 
       1.326243336132e-04       2.389403544698e+02 
       1.669641438079e-04       2.979835562739e+02 
       2.101954034983e-04       3.715685902883e+02 
       2.646203349063e-04       4.632312958215e+02 
       3.331372640910e-04       5.773249861748e+02 
       4.193949673798e-04       7.191725131830e+02 
       5.279869820130e-04       8.952174839194e+02 
       6.646962287527e-04       1.113153578829e+03 
       8.368029735005e-04       1.382004060192e+03 
       1.053472528005e-03       1.712115549196e+03 
       1.326243336132e-03       2.114989168654e+03 
       1.669641438079e-03       2.602697368541e+03 
       2.101954034983e-03       3.186885031775e+03 
       2.646203349063e-03       3.876858249876e+03 
       3.331372640910e-03       4.676890257994e+03 
       4.193949673798e-03       5.582551920541e+03 
       5.279869820130e-03       6.575748124734e+03 
       6.646962287527e-03       7.618837096795e+03 
       8.368029735005e-03       8.647730334415e+03 
       1.053472528005e-02       9.566096606680e+03 
       1.326243336132e-02       1.024150782417e+04 
       1.669641438077e-02       1.051149910327e+04 
       2.101954018111e-02       1.021659679635e+04 
       2.646190528893e-02       9.281925705990e+03 
       3.329600810248e-02       7.848448620717e+03 
       4.135064799769e-02       6.406173370281e+03 
       4.814373345490e-02       5.572880099936e+03 
       5.306987621061e-02       5.158604708992e+03 
       5.713180799888e-02       4.897298503916e+03 
       6.075835187789e-02       4.698402256550e+03 
       6.414061568829e-02       4.524052235291e+03 
       6.737972622957e-02       4.355169966723e+03 
       7.053630944837e-02       4.181666427959e+03 
       7.365018315252e-02       3.998716716101e+03 
       7.674940662267e-02       3.805095451526e+03 
       7.985491236776e-02       3.602566469960e+03 
       8.298307959557e-02       3.394491228785e+03 
       8.614725896254e-02       3.185803708412e+03 
       8.935872367393e-02       2.982171991555e+03 
       9.262728816092e-02       2.789101845558e+03 
       9.596172466475e-02       2.611690098555e+03 
       9.937005186818e-02       2.453617725177e+03 
       1.028597396279e-01       2.317136005959e+03 
       1.064378569829e-01       2.202725201437e+03 
       1.101111807621e-01       2.108839460506e+03 
       1.138862761642e-01       2.032196466145e+03 
       1.177695569889e-01       1.967723482720e+03 
       1.217673308422e-01       1.909424310224e+03 
       1.258858331167e-01       1.850725602988e+03 
       1.301312525389e-01       1.785645212396e+03 
       1.345097504124e-01       1.710060073638e+03 
       1.390274752399e-01       1.622484016562e+03 
       1.436905741113e-01       1.524897060752e+03 
       1.485052020516e-01       1.421938068191e+03 
       1.534775303973e-01       1.320251956195e+03 
       1.586137551867e-01       1.226534456734e+03 
       1.639201065032e-01       1.145990363638e+03 
       1.694028596754e-01       1.080983889451e+03 
       1.750683492206e-01       1.030569683617e+03 
       1.809229864050e-01       9.904167994294e+02 
       1.869732812823e-01       9.544450197268e+02 
       1.932258700720e-01       9.161173781090e+02 
       1.996875487383e-01       8.704559695262e+02 
       2.063653136463e-01       8.168233507786e+02 
       2.132664102038e-01       7.590517501608e+02 
       2.203983904555e-01       7.030779964809e+02 
       2.277691806965e-01       6.540648699241e+02 
       2.353871603176e-01       6.145120053844e+02 
       2.432612533176e-01       5.834638049031e+02 
       2.514010342206e-01       5.567680388829e+02 
       2.598168505635e-01       5.292880104550e+02 
       2.685199646834e-01       4.981624083141e+02 
       2.775227182954e-01       4.640528916108e+02 
       2.868387243549e-01       4.304937427595e+02 
       2.964830920258e-01       4.012939162147e+02 
       3.064726923354e-01       3.773799399525e+02 
       3.168264744366e-01       3.566790606845e+02 
       3.275658455470e-01       3.361306053410e+02 
       3.387151318927e-01       3.141064700404e+02 
       3.503021438429e-01       2.918488575111e+02 
       3.623588765518e-01       2.715150265105e+02 
       3.749223889079e-01       2.539926374015e+02 
       3.880359200410e-01       2.379533552160e+02 
       4.017503266235e-01       2.218767007435e+02 
       4.161259598261e-01       2.057892770865e+02 
       4.312351547742e-01       1.907954375766e+02 
       4.471655889920e-01       1.771880104011e+02 
       4.640248991281e-01       1.642836763147e+02 
       4.819471618844e-01       1.515359820787e+02 
       5.011022093102e-01       1.393929846587e+02 
       5.217093821511e-01       1.280835704256e+02 
       5.440584698339e-01       1.170856277533e+02 
       5.685427463587e-01       1.064450242580e+02 
       5.957132951129e-01       9.625549901222e+01 
       6.263727977275e-01       8.626187951527e+01 
       6.617470219178e-01       7.648119577256e+01 
       7.038202353198e-01       6.673736140912e+01 
       7.560436087768e-01       5.691128840560e+01 
       8.249520400853e-01       4.678730313424e+01 
       9.239844620024e-01       3.617102486358e+01 
       1.080573769987e+00       2.523286999994e+01 
       1.329853022063e+00       1.552929858894e+01 
       1.671398708428e+00       9.012514890455e+00 
       2.104113347653e+00       5.162677549563e+00 
       2.648921565433e+00       2.932796104778e+00 
       3.334794672469e+00       1.653611694705e+00 
       4.198257756287e+00       9.260318927371e-01 
       5.285293374652e+00       5.153764098382e-01 
       6.653790138136e+00       2.852108574828e-01 
       8.376625489645e+00       1.570122461670e-01 
       1.054554669400e+01       8.602635523097e-02 
