# Matter power spectrum P(k) at redshift z=2.5
# for k=1.03073e-05 to 10.3178 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030729746678e-05       7.169641644113e+00 
       1.297611870785e-05       8.943280932769e+00 
       1.633596558777e-05       1.115567770715e+01 
       2.056576220464e-05       1.391536213391e+01 
       2.589076065234e-05       1.735770245620e+01 
       3.259453651591e-05       2.165153141694e+01 
       4.103409030553e-05       2.700740623813e+01 
       5.165885903549e-05       3.368788771856e+01 
       6.503465038408e-05       4.202032150639e+01 
       8.187377401566e-05       5.241270057128e+01 
       1.030729746678e-04       6.537329628314e+01 
       1.297611870785e-04       8.153482694759e+01 
       1.633596558777e-04       1.016840027529e+02 
       2.056576220464e-04       1.267971891138e+02 
       2.589076065234e-04       1.580826150343e+02 
       3.259453651591e-04       1.970287088456e+02 
       4.103409030553e-04       2.454564351303e+02 
       5.165885903549e-04       3.055704976203e+02 
       6.503465038408e-04       3.799998572011e+02 
       8.187377401566e-04       4.718133267227e+02 
       1.030729746678e-03       5.844939765680e+02 
       1.297611870785e-03       7.218569037663e+02 
       1.633596558777e-03       8.878785258292e+02 
       2.056576220464e-03       1.086326397475e+03 
       2.589076065234e-03       1.320105007831e+03 
       3.259453651591e-03       1.590301941792e+03 
       4.103409030553e-03       1.894963265342e+03 
       5.165885903549e-03       2.227487268202e+03 
       6.503465038408e-03       2.573126787089e+03 
       8.187377401566e-03       2.913270187215e+03 
       1.030729746678e-02       3.215406698982e+03 
       1.297611870785e-02       3.438279938834e+03 
       1.633596558771e-02       3.533265069615e+03 
       2.056576190393e-02       3.454834177075e+03 
       2.589056471920e-02       3.184120955256e+03 
       3.257064349057e-02       2.764239422763e+03 
       4.032557119463e-02       2.338267510044e+03 
       4.665936110198e-02       2.083084653056e+03 
       5.129374558550e-02       1.941120429889e+03 
       5.514828506196e-02       1.841787636237e+03 
       5.860546010658e-02       1.760606809100e+03 
       6.183838200085e-02       1.687285278735e+03 
       6.493975470880e-02       1.616814900760e+03 
       6.796563187599e-02       1.546695601384e+03 
       7.095306634067e-02       1.475887578480e+03 
       7.392830289408e-02       1.404301715870e+03 
       7.691100342432e-02       1.332499784017e+03 
       7.991660829129e-02       1.261465234665e+03 
       8.295774194542e-02       1.192416549585e+03 
       8.604509302942e-02       1.126620380470e+03 
       8.918798864646e-02       1.065239808711e+03 
       9.239478203213e-02       1.009176791265e+03 
       9.567312172182e-02       9.589761045239e+02 
       9.903014280668e-02       9.147259316411e+02 
       1.024726053899e-01       8.760517610602e+02 
       1.060069962913e-01       8.421098920724e+02 
       1.096396045628e-01       8.116712914289e+02 
       1.133765779585e-01       7.832476605212e+02 
       1.172239653273e-01       7.552832173183e+02 
       1.211877484791e-01       7.263815304428e+02 
       1.252738661443e-01       6.955673933175e+02 
       1.294882320278e-01       6.624885450790e+02 
       1.338367485437e-01       6.275260743434e+02 
       1.383253175467e-01       5.917245222957e+02 
       1.429598491928e-01       5.565528908868e+02 
       1.477462699471e-01       5.235373582111e+02 
       1.526905306803e-01       4.939052408789e+02 
       1.577986157535e-01       4.682016580426e+02 
       1.630765539551e-01       4.462455890937e+02 
       1.685304321415e-01       4.270968040298e+02 
       1.741664124180e-01       4.093272422954e+02 
       1.799907536874e-01       3.914926582633e+02 
       1.860098383926e-01       3.726093871811e+02 
       1.922302052808e-01       3.524722089495e+02 
       1.986585890326e-01       3.317143545457e+02 
       2.053019676306e-01       3.115517053557e+02 
       2.121676184045e-01       2.931968997086e+02 
       2.192631837832e-01       2.771915760885e+02 
       2.265967479349e-01       2.632078665845e+02 
       2.341769256933e-01       2.504271812289e+02 
       2.420129654671e-01       2.379996454553e+02 
       2.501148682501e-01       2.253204262772e+02 
       2.584935254058e-01       2.123987549591e+02 
       2.671608786463e-01       1.998594741893e+02 
       2.761301066130e-01       1.883235408650e+02 
       2.854158437682e-01       1.779972115274e+02 
       2.950344390375e-01       1.686047486642e+02 
       3.050042639433e-01       1.595651610508e+02 
       3.153460830670e-01       1.505925790960e+02 
       3.260835038743e-01       1.418474937598e+02 
       3.372435287085e-01       1.336076478264e+02 
       3.488572397893e-01       1.260471732711e+02 
       3.609606593958e-01       1.189656662119e+02 
       3.735958436973e-01       1.121390142181e+02 
       3.868122924655e-01       1.055118110492e+02 
       4.006687922634e-01       9.924518165399e+01 
       4.152358643874e-01       9.334521370771e+01 
       4.305990721750e-01       8.772446331869e+01 
       4.468635748752e-01       8.231529663430e+01 
       4.641605320809e-01       7.713126051120e+01 
       4.826563281978e-01       7.218168692902e+01 
       5.025662239993e-01       6.741891613755e+01 
       5.241751984096e-01       6.280166136837e+01 
       5.478709338099e-01       5.833124786846e+01 
       5.741982592246e-01       5.396175583422e+01 
       6.039535550600e-01       4.965890991686e+01 
       6.383582584525e-01       4.537553584966e+01 
       6.794002631923e-01       4.104912609975e+01 
       7.305597267303e-01       3.658978232184e+01 
       7.984748967227e-01       3.186871289678e+01 
       8.968662944911e-01       2.672485799265e+01 
       1.053399913980e+00       2.112518496267e+01 
       1.300581810587e+00       1.574040338236e+01 
       1.635289925544e+00       1.159689206515e+01 
       2.058673781539e+00       8.605314496498e+00 
       2.591716628037e+00       6.394447404854e+00 
       3.262777923156e+00       4.722593335632e+00 
       4.107594040503e+00       3.442370409782e+00 
       5.171154518923e+00       2.461844149168e+00 
       6.510097832186e+00       1.719653991739e+00 
       8.195727594206e+00       1.169852158457e+00 
       1.031780973649e+01       7.739333293766e-01 
