# Matter power spectrum P(k) at redshift z=2
# for k=1.04119e-05 to 10.4225 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041187989636e-05       7.485299785071e+00 
       1.310778018608e-05       9.337026862967e+00 
       1.650171756847e-05       1.164682905536e+01 
       2.077443158520e-05       1.452801327561e+01 
       2.615345983818e-05       1.812190733513e+01 
       3.292525519663e-05       2.260477823515e+01 
       4.145044045684e-05       2.819645021474e+01 
       5.218301282118e-05       3.517104035679e+01 
       6.569452090456e-05       4.387030040820e+01 
       8.270450178240e-05       5.472017366464e+01 
       1.041187989636e-04       6.825128527212e+01 
       1.310778018608e-04       8.512416236167e+01 
       1.650171756847e-04       1.061600622249e+02 
       2.077443158520e-04       1.323781702873e+02 
       2.615345983818e-04       1.650396128057e+02 
       3.292525519663e-04       2.056978582269e+02 
       4.145044045684e-04       2.562533544581e+02 
       5.218301282118e-04       3.190072988860e+02 
       6.569452090456e-04       3.967053105026e+02 
       8.270450178240e-04       4.925577725001e+02 
       1.041187989636e-03       6.102220830417e+02 
       1.310778018608e-03       7.537296123318e+02 
       1.650171756847e-03       9.273084643233e+02 
       2.077443158520e-03       1.134988856752e+03 
       2.615345983818e-03       1.379939331414e+03 
       3.292525519663e-03       1.663475781483e+03 
       4.145044045684e-03       1.983769204240e+03 
       5.218301282118e-03       2.334125299456e+03 
       6.569452090456e-03       2.699171164912e+03 
       8.270450178240e-03       3.059301202123e+03 
       1.041187989636e-02       3.379574713341e+03 
       1.310778018608e-02       3.615014718824e+03 
       1.650171756843e-02       3.711451718141e+03 
       2.077443135039e-02       3.617101787699e+03 
       2.615329638667e-02       3.309431528643e+03 
       3.290422034712e-02       2.836835740750e+03 
       4.079512617886e-02       2.361631048733e+03 
       4.732834951330e-02       2.083665727050e+03 
       5.208927490749e-02       1.937354132606e+03 
       5.603450199068e-02       1.839710045597e+03 
       5.956611120077e-02       1.762232684994e+03 
       6.286487153782e-02       1.692970924101e+03 
       6.602709318685e-02       1.626034260374e+03 
       6.911079689183e-02       1.558352490738e+03 
       7.215422966610e-02       1.488593703005e+03 
       7.518442253670e-02       1.416553058426e+03 
       7.822158954565e-02       1.342842217416e+03 
       8.128158009117e-02       1.268643977271e+03 
       8.437733577105e-02       1.195476513259e+03 
       8.751980107822e-02       1.125018638211e+03 
       9.071851684010e-02       1.058852063540e+03 
       9.398202039141e-02       9.983294689046e+02 
       9.731812316861e-02       9.443901647005e+02 
       1.007341078072e-01       8.974492747908e+02 
       1.042368707422e-01       8.573560115219e+02 
       1.078330269101e-01       8.233729568123e+02 
       1.115289874642e-01       7.942156175659e+02 
       1.153310178796e-01       7.681858153390e+02 
       1.192452815685e-01       7.433472808283e+02 
       1.232778726649e-01       7.177900906542e+02 
       1.274348406751e-01       6.899621289683e+02 
       1.317222090484e-01       6.589802410606e+02 
       1.361459892972e-01       6.248630466342e+02 
       1.407121920151e-01       5.885867403658e+02 
       1.454268359497e-01       5.518128166108e+02 
       1.502959561727e-01       5.165510697351e+02 
       1.553256123067e-01       4.846203990933e+02 
       1.605218977261e-01       4.572155947227e+02 
       1.658909506143e-01       4.345748893254e+02 
       1.714389677434e-01       4.159454457819e+02 
       1.771722218288e-01       3.997326088085e+02 
       1.830970833035e-01       3.839998382091e+02 
       1.892200473513e-01       3.671604333997e+02 
       1.955477670428e-01       3.482650264432e+02 
       2.020870934318e-01       3.276387052661e+02 
       2.088451235023e-01       3.067138028629e+02 
       2.158292569153e-01       2.872517021716e+02 
       2.230472626033e-01       2.703922600693e+02 
       2.305073564075e-01       2.562882069433e+02 
       2.382182911716e-01       2.442325060347e+02 
       2.461894610098e-01       2.329725107211e+02 
       2.544310218864e-01       2.212786191492e+02 
       2.629540312082e-01       2.087718550375e+02 
       2.717706098808e-01       1.960468157291e+02 
       2.808941312777e-01       1.840838417481e+02 
       2.903394428819e-01       1.736041420370e+02 
       3.001231281065e-01       1.645245786598e+02 
       3.102638181184e-01       1.560583281848e+02 
       3.207825666095e-01       1.475616454639e+02 
       3.317033046895e-01       1.389337381899e+02 
       3.430533988818e-01       1.306212734206e+02 
       3.548643432871e-01       1.230767750150e+02 
       3.671726283881e-01       1.162348481808e+02 
       3.800208453358e-01       1.097135220238e+02 
       3.934591084344e-01       1.032553035448e+02 
       4.075469140420e-01       9.704048461986e+01 
       4.223556079484e-01       9.124244437027e+01 
       4.379717168137e-01       8.579877366862e+01 
       4.545015320117e-01       8.055250273790e+01 
       4.720775510900e-01       7.546453853585e+01 
       4.908677472181e-01       7.062313757658e+01 
       5.110892732156e-01       6.599983799048e+01 
       5.330293586879e-01       6.149464729540e+01 
       5.570783374810e-01       5.713389934752e+01 
       5.837840727260e-01       5.288237858260e+01 
       6.139461512725e-01       4.868822150697e+01 
       6.487886158055e-01       4.452112714929e+01 
       6.902989605996e-01       4.031212479423e+01 
       7.419467774034e-01       3.597725315995e+01 
       8.103292141466e-01       3.139180756418e+01 
       9.090529845934e-01       2.639662395262e+01 
       1.065710352517e+00       2.094532696084e+01 
       1.313997748769e+00       1.565402964632e+01 
       1.651882259410e+00       1.154667861125e+01 
       2.079555108033e+00       8.572931101356e+00 
       2.618004628704e+00       6.371543158657e+00 
       3.295872555203e+00       4.704932839871e+00 
       4.149257713780e+00       3.428058386419e+00 
       5.223605975960e+00       2.450170380178e+00 
       6.576130304336e+00       1.710357723905e+00 
       8.278857551398e+00       1.162724370094e+00 
       1.042246415208e+01       7.686969101964e-01 
