# Matter power spectrum P(k) at redshift z=1
# for k=2.03613e-07 to 10.2154 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.036133692778e-07       5.708052796194e-01 
       2.563340447649e-07       7.120130951525e-01 
       3.227054428625e-07       8.881533957936e-01 
       4.062620825439e-07       1.107867902165e+00 
       5.114536595629e-07       1.381936153499e+00 
       6.438820089788e-07       1.723804368821e+00 
       8.105994233005e-07       2.150245138071e+00 
       1.020484212779e-06       2.682180310465e+00 
       1.284713507802e-06       3.345707448935e+00 
       1.617358481847e-06       4.173380211964e+00 
       2.036133692778e-06       5.205805471221e+00 
       2.563340447649e-06       6.493635519974e+00 
       3.227054428625e-06       8.100053097751e+00 
       4.062620825439e-06       1.010387112299e+01 
       5.114536595629e-06       1.260339915435e+01 
       6.438820089788e-06       1.572126617021e+01 
       8.105994233005e-06       1.961043607113e+01 
       1.020484212779e-05       2.446171059559e+01 
       1.284713507802e-05       3.051308695043e+01 
       1.617358481847e-05       3.806142757607e+01 
       2.036133692778e-05       4.747701135590e+01 
       2.563340447649e-05       5.922167372125e+01 
       3.227054428625e-05       7.387141295131e+01 
       4.062620825439e-05       9.214454665916e+01 
       5.114536595629e-05       1.149367504286e+02 
       6.438820089788e-05       1.433646000669e+02 
       8.105994233005e-05       1.788195621328e+02 
       1.020484212779e-04       2.230347056979e+02 
       1.284713507802e-04       2.781666754002e+02 
       1.617358481847e-04       3.468955291159e+02 
       2.036133692778e-04       4.325446282619e+02 
       2.563340447649e-04       5.392213871441e+02 
       3.227054428625e-04       6.719765816761e+02 
       4.062620825439e-04       8.369741757503e+02 
       5.114536595629e-04       1.041654834032e+03 
       6.438820089788e-04       1.294866013370e+03 
       8.105994233005e-04       1.606923662887e+03 
       1.020484212779e-03       1.989561172238e+03 
       1.284713507802e-03       2.455669208774e+03 
       1.617358481847e-03       3.018589326421e+03 
       2.036133692778e-03       3.690691608359e+03 
       2.563340447649e-03       4.481190265523e+03 
       3.227054428625e-03       5.392977539347e+03 
       4.062620825439e-03       6.418440989328e+03 
       5.114536595629e-03       7.534259323477e+03 
       6.438820089788e-03       8.673487559985e+03 
       8.105994233005e-03       9.800085845339e+03 
       1.020484212779e-02       1.079659614448e+04 
       1.284713507802e-02       1.153149639014e+04 
       1.617358481838e-02       1.185496483657e+04 
       2.036133653065e-02       1.163212993615e+04 
       2.563316423524e-02       1.081203145080e+04 
       3.224296670747e-02       9.525124638383e+03 
       3.985295399158e-02       8.195835510138e+03 
       4.597665943112e-02       7.364956972483e+03 
       5.047929912629e-02       6.868651061876e+03 
       5.423953743262e-02       6.503078636021e+03 
       5.761943541602e-02       6.196569409771e+03 
       6.078410627129e-02       5.919119535704e+03 
       6.382247851487e-02       5.656365705597e+03 
       6.678854436709e-02       5.401345000523e+03 
       6.971810510468e-02       5.151225255916e+03 
       7.263658186537e-02       4.905712808472e+03 
       7.556305856421e-02       4.666104320741e+03 
       7.851254783501e-02       4.434609659531e+03 
       8.149734288186e-02       4.213803162017e+03 
       8.452786546094e-02       4.006156651350e+03 
       8.761322001988e-02       3.813646234966e+03 
       9.076156824491e-02       3.637442129341e+03 
       9.398038938142e-02       3.477696691999e+03 
       9.727666535823e-02       3.333446134917e+03 
       1.006570148939e-01       3.202641075441e+03 
       1.041277920560e-01       3.082318028353e+03 
       1.076951594667e-01       2.968917280753e+03 
       1.113651430577e-01       2.858735552832e+03 
       1.151436731794e-01       2.748470406994e+03 
       1.190366155021e-01       2.635773982352e+03 
       1.230497942515e-01       2.519696514937e+03 
       1.271890097194e-01       2.400888952565e+03 
       1.314600515952e-01       2.281467905500e+03 
       1.358687093978e-01       2.164526494461e+03 
       1.404207811152e-01       2.053382017073e+03 
       1.451220810454e-01       1.950740505054e+03 
       1.499784477617e-01       1.857997764371e+03 
       1.549957530799e-01       1.774870667103e+03 
       1.601799128784e-01       1.699479727230e+03 
       1.655369006029e-01       1.628899462673e+03 
       1.710727642760e-01       1.560063031585e+03 
       1.767936478250e-01       1.490759727627e+03 
       1.827058175368e-01       1.420357018255e+03 
       1.888156944524e-01       1.349914369746e+03 
       1.951298935291e-01       1.281590860460e+03 
       2.016552704311e-01       1.217592737343e+03 
       2.083989768688e-01       1.159154378207e+03 
       2.153685255040e-01       1.106037533638e+03 
       2.225718655864e-01       1.056778255918e+03 
       2.300174707022e-01       1.009540303724e+03 
       2.377144403142e-01       9.631045414220e+02 
       2.456726171901e-01       9.174147282436e+02 
       2.539027233667e-01       8.733522991205e+02 
       2.624165180387e-01       8.319342340611e+02 
       2.712269817408e-01       7.935364111089e+02 
       2.803485324823e-01       7.576943681750e+02 
       2.897972812118e-01       7.235618923131e+02 
       2.995913362717e-01       6.905877437261e+02 
       3.097511695777e-01       6.588199250041e+02 
       3.203000614273e-01       6.286233716946e+02 
       3.312646465778e-01       6.001697993679e+02 
       3.426755922167e-01       5.732407123761e+02 
       3.545684497399e-01       5.474845942953e+02 
       3.669847384597e-01       5.227521486194e+02 
       3.799733430519e-01       4.991039487951e+02 
       3.935923418133e-01       4.765597296905e+02 
       4.079114363747e-01       4.549827473592e+02 
       4.230152367613e-01       4.342212075767e+02 
       4.390077882823e-01       4.142203410943e+02 
       4.560189437823e-01       3.949359931027e+02 
       4.742135511674e-01       3.762597730532e+02 
       4.938050662085e-01       3.580815939754e+02 
       5.150763631994e-01       3.403098115166e+02 
       5.384127226392e-01       3.228186002499e+02 
       5.643563783259e-01       3.054548783036e+02 
       5.937013069390e-01       2.880328319043e+02 
       6.276678851371e-01       2.702972635518e+02 
       6.682475743736e-01       2.518850920501e+02 
       7.189380807212e-01       2.322423640619e+02 
       7.864351128350e-01       2.104813443078e+02 
       8.846094384729e-01       1.852268593891e+02 
       1.041232233832e+00       1.551323261103e+02 
       1.287453268378e+00       1.224302616349e+02 
       1.619055016293e+00       9.337278729465e+01 
       2.038241913990e+00       6.945320571186e+01 
       2.565994458454e+00       5.013962936301e+01 
       3.230395630238e+00       3.499760435861e+01 
       4.066827149055e+00       2.360326048859e+01 
       5.119832043320e+00       1.542189817207e+01 
       6.445486663453e+00       9.806943810439e+00 
       8.114386952002e+00       6.099923686173e+00 
       1.021540793501e+01       3.728384048323e+00 
