# Matter power spectrum P(k) at redshift z=2.5
# for k=2.04517e-07 to 10.2607 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.045169608391e-07       1.301466089910e-01 
       2.574715991432e-07       1.623427343604e-01 
       3.241375389767e-07       2.025036502327e-01 
       4.080649847342e-07       2.525997144570e-01 
       5.137233789453e-07       3.150887187707e-01 
       6.467394163870e-07       3.930364719597e-01 
       8.141966860985e-07       4.902672129404e-01 
       1.025012898328e-06       6.115512338201e-01 
       1.290414785122e-06       7.628389164617e-01 
       1.624535964745e-06       9.515526678863e-01 
       2.045169608391e-06       1.186951070567e+00 
       2.574715991432e-06       1.480583117709e+00 
       3.241375389767e-06       1.846854814189e+00 
       4.080649847342e-06       2.303735936275e+00 
       5.137233789453e-06       2.873641610838e+00 
       6.467394163870e-06       3.584531950789e+00 
       8.141966860985e-06       4.471283650904e+00 
       1.025012898328e-05       5.577400744737e+00 
       1.290414785122e-05       6.957148315587e+00 
       1.624535964745e-05       8.678213479433e+00 
       2.045169608391e-05       1.082502358901e+01 
       2.574715991432e-05       1.350288314123e+01 
       3.241375389767e-05       1.684312986501e+01 
       4.080649847342e-05       2.100955795384e+01 
       5.137233789453e-05       2.620641378980e+01 
       6.467394163870e-05       3.268833697436e+01 
       8.141966860985e-05       4.077269636933e+01 
       1.025012898328e-04       5.085485113167e+01 
       1.290414785122e-04       6.342693851995e+01 
       1.624535964745e-04       7.910082331359e+01 
       2.045169608391e-04       9.863578024934e+01 
       2.574715991432e-04       1.229712088890e+02 
       3.241375389767e-04       1.532640072481e+02 
       4.080649847342e-04       1.909288619923e+02 
       5.137233789453e-04       2.376773164752e+02 
       6.467394163870e-04       2.955479870590e+02 
       8.141966860985e-04       3.669166310223e+02 
       1.025012898328e-03       4.544732994590e+02 
       1.290414785122e-03       5.611545666487e+02 
       1.624535964745e-03       6.900057864011e+02 
       2.045169608391e-03       8.438946276920e+02 
       2.574715991432e-03       1.024979143888e+03 
       3.241375389767e-03       1.233976013760e+03 
       4.080649847342e-03       1.469215864311e+03 
       5.137233789453e-03       1.725424607361e+03 
       6.467394163870e-03       1.991408380696e+03 
       8.141966860985e-03       2.252291021424e+03 
       1.025012898328e-02       2.483734979117e+03 
       1.290414785122e-02       2.654877816230e+03 
       1.624535964737e-02       2.730060020646e+03 
       2.045169570733e-02       2.676596303482e+03 
       2.574692869807e-02       2.481520581482e+03 
       3.238688923399e-02       2.175985553052e+03 
       4.004470700930e-02       1.862828467507e+03 
       4.622501131266e-02       1.670593339166e+03 
       5.076470359951e-02       1.558449476248e+03 
       5.455281911371e-02       1.477113153952e+03 
       5.795630950675e-02       1.409318971852e+03 
       6.114226456546e-02       1.347811346101e+03 
       6.420057452935e-02       1.289088474818e+03 
       6.718577071577e-02       1.231440432108e+03 
       7.013398939324e-02       1.174178177448e+03 
       7.307087685437e-02       1.117259950181e+03 
       7.601567813539e-02       1.061067071452e+03 
       7.898352733026e-02       1.006239870276e+03 
       8.198681336726e-02       9.535392509466e+02 
       8.503603641280e-02       9.037241031208e+02 
       8.814036734661e-02       8.574439917200e+02 
       9.130802582151e-02       8.151499880593e+02 
       9.454654297170e-02       7.770288013363e+02 
       9.786294820379e-02       7.429645977785e+02 
       1.012639044925e-01       7.125324245629e+02 
       1.047558078042e-01       6.850277273472e+02 
       1.083448609387e-01       6.595353164677e+02 
       1.120371287589e-01       6.350389021020e+02 
       1.158385796534e-01       6.105645053605e+02 
       1.197551167061e-01       5.853405752739e+02 
       1.237926011307e-01       5.589441191740e+02 
       1.279568699328e-01       5.313938383321e+02 
       1.322537493531e-01       5.031548825898e+02 
       1.366890653847e-01       4.750382452819e+02 
       1.412686524774e-01       4.480090758259e+02 
       1.459983614307e-01       4.229476124359e+02 
       1.508840674050e-01       4.004249630500e+02 
       1.559316789331e-01       3.805536931077e+02 
       1.611471487910e-01       3.629568276403e+02 
       1.665364875617e-01       3.468731986100e+02 
       1.721057807207e-01       3.313858380046e+02 
       1.778612100601e-01       3.157177842212e+02 
       1.838090802647e-01       2.994963470326e+02 
       1.899558514597e-01       2.828712941511e+02 
       1.963081785611e-01       2.664179005468e+02 
       2.028729582958e-01       2.508558678959e+02 
       2.096573848163e-01       2.367132588443e+02 
       2.166690149328e-01       2.240960898725e+02 
       2.239158441346e-01       2.126720509103e+02 
       2.314063947861e-01       2.018740884040e+02 
       2.391498181885e-01       1.912175911350e+02 
       2.471560126088e-01       1.805514514058e+02 
       2.554357599377e-01       1.700871217722e+02 
       2.640008843803e-01       1.601919939565e+02 
       2.728644375644e-01       1.511026445862e+02 
       2.820409157510e-01       1.427686974962e+02 
       2.915465165546e-01       1.349298853532e+02 
       3.013994448722e-01       1.273442695992e+02 
       3.116202808082e-01       1.199652092148e+02 
       3.222324265655e-01       1.129178365032e+02 
       3.332626550323e-01       1.063223026790e+02 
       3.447417908035e-01       1.001590184896e+02 
       3.567055657073e-01       9.430736368153e+01 
       3.691957071680e-01       8.868564629249e+01 
       3.822613414984e-01       8.331208647803e+01 
       3.959608295800e-01       7.822774699728e+01 
       4.103642061185e-01       7.341189477947e+01 
       4.255564771237e-01       6.880902288185e+01 
       4.416421631767e-01       6.439905300953e+01 
       4.587516935697e-01       6.018759109648e+01 
       4.770506234904e-01       5.615589685314e+01 
       4.967532875517e-01       5.227349222626e+01 
       5.181436670453e-01       4.852616360676e+01 
       5.416084569045e-01       4.489447228078e+01 
       5.676917236918e-01       4.134993277528e+01 
       5.971898465513e-01       3.786507285417e+01 
       6.313263634743e-01       3.440201936184e+01 
       6.720968239343e-01       3.091169578269e+01 
       7.230038297904e-01       2.732515413270e+01 
       7.907476308620e-01       2.354445198265e+01 
       8.892022259439e-01       1.945351537977e+01 
       1.046186563708e+00       1.506325181836e+01 
       1.293203683313e+00       1.095846322992e+01 
       1.626234353736e+00       7.910316510220e+00 
       2.047278861562e+00       5.784987838442e+00 
       2.577371296226e+00       4.266299930215e+00 
       3.244718220412e+00       3.149906577770e+00 
       4.084858221789e+00       2.311083648508e+00 
       5.142531818986e+00       1.673381498865e+00 
       6.474063987882e+00       1.188716196840e+00 
       8.150363671926e+00       8.248026645654e-01 
       1.026069994195e+01       5.574780309495e-01 
