# Matter power spectrum P(k) at redshift z=2.5
# for k=2.06954e-07 to 10.3828 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.069538587206e-07       1.506425611158e-01 
       2.605394718122e-07       1.879090471424e-01 
       3.279997618398e-07       2.343946472920e-01 
       4.129272352426e-07       2.923800184554e-01 
       5.198445896688e-07       3.647100141394e-01 
       6.544455641177e-07       4.549332575863e-01 
       8.238981513038e-07       5.674762426105e-01 
       1.037226319407e-06       7.078605038417e-01 
       1.305790571283e-06       8.829735110562e-01 
       1.643892932669e-06       1.101406578066e+00 
       2.069538587206e-06       1.373876362505e+00 
       2.605394718122e-06       1.713750635258e+00 
       3.279997618398e-06       2.137704112114e+00 
       4.129272352426e-06       2.666536516673e+00 
       5.198445896688e-06       3.326192996859e+00 
       6.544455641177e-06       4.149036937040e+00 
       8.238981513038e-06       5.175437563108e+00 
       1.037226319407e-05       6.455750133488e+00 
       1.305790571283e-05       8.052785687599e+00 
       1.643892932669e-05       1.004489115587e+01 
       2.069538587206e-05       1.252979020403e+01 
       2.605394718122e-05       1.562937184358e+01 
       3.279997618398e-05       1.949565888877e+01 
       4.129272352426e-05       2.431824349232e+01 
       5.198445896688e-05       3.033354354196e+01 
       6.544455641177e-05       3.783631216103e+01 
       8.238981513038e-05       4.719392222097e+01 
       1.037226319407e-04       5.886404209006e+01 
       1.305790571283e-04       7.341640448691e+01 
       1.643892932669e-04       9.155941376859e+01 
       2.069538587206e-04       1.141722730635e+02 
       2.605394718122e-04       1.423430160660e+02 
       3.279997618398e-04       1.774120812185e+02 
       4.129272352426e-04       2.210195365398e+02 
       5.198445896688e-04       2.751513708735e+02 
       6.544455641177e-04       3.421763215446e+02 
       8.238981513038e-04       4.248605133540e+02 
       1.037226319407e-03       5.263453667011e+02 
       1.305790571283e-03       6.500748291533e+02 
       1.643892932669e-03       7.996429370318e+02 
       2.069538587206e-03       9.784709744761e+02 
       2.605394718122e-03       1.189199499531e+03 
       3.279997618398e-03       1.432841177115e+03 
       4.129272352426e-03       1.707674999694e+03 
       5.198445896688e-03       2.007781755065e+03 
       6.544455641177e-03       2.321369985718e+03 
       8.238981513038e-03       2.629070164688e+03 
       1.037226319407e-02       2.902439154323e+03 
       1.305790571283e-02       3.103500828009e+03 
       1.643892932663e-02       3.187246917236e+03 
       2.069538557533e-02       3.111227866387e+03 
       2.605375286821e-02       2.857672189404e+03 
       3.277618307124e-02       2.467118122615e+03 
       4.058449109863e-02       2.073986759433e+03 
       4.696844177463e-02       1.841757232978e+03 
       5.163803119101e-02       1.714930082903e+03 
       5.552076646974e-02       1.627498674444e+03 
       5.900271424660e-02       1.556639529556e+03 
       6.225851932269e-02       1.492740880893e+03 
       6.538167037508e-02       1.431075873532e+03 
       6.842867970009e-02       1.369260039056e+03 
       7.143689541393e-02       1.306279900551e+03 
       7.443276700370e-02       1.242034588542e+03 
       7.743610694973e-02       1.177062561166e+03 
       8.046247202861e-02       1.112334145869e+03 
       8.352458057718e-02       1.049067129183e+03 
       8.663319977565e-02       9.885517654037e+02 
       8.979772454276e-02       9.319885587965e+02 
       9.302656829822e-02       8.803453824038e+02 
       9.632743425722e-02       8.342429304376e+02 
       9.970750818676e-02       7.938753803387e+02 
       1.031735979417e-01       7.589704638110e+02 
       1.067322359593e-01       7.287938969807e+02 
       1.103897553590e-01       7.022042780221e+02 
       1.141523468487e-01       6.777663805897e+02 
       1.180261014447e-01       6.539269510482e+02 
       1.220170425840e-01       6.292454052026e+02 
       1.261311502686e-01       6.026493994396e+02 
       1.303743792582e-01       5.736602400369e+02 
       1.347526729104e-01       5.425192415388e+02 
       1.392719739933e-01       5.101565162205e+02 
       1.439382336112e-01       4.779850623835e+02 
       1.487574192685e-01       4.475593733925e+02 
       1.537355230218e-01       4.201870921513e+02 
       1.588785706228e-01       3.965978086876e+02 
       1.641926325255e-01       3.767535734441e+02 
       1.696838376126e-01       3.598543458582e+02 
       1.753583904847e-01       3.445537228424e+02 
       1.812225931452e-01       3.293619270934e+02 
       1.872828719131e-01       3.131407630534e+02 
       1.935458103966e-01       2.955136496315e+02 
       2.000181893769e-01       2.769897689151e+02 
       2.067070344830e-01       2.587053164596e+02 
       2.136196726000e-01       2.418834445344e+02 
       2.207637980490e-01       2.272731189206e+02 
       2.281475497274e-01       2.148347602167e+02 
       2.357796006152e-01       2.038154387099e+02 
       2.436692613574e-01       1.931806793525e+02 
       2.518266000517e-01       1.821916903160e+02 
       2.602625809327e-01       1.707941874393e+02 
       2.689892253938e-01       1.595555153774e+02 
       2.780197997814e-01       1.491916594198e+02 
       2.873690357065e-01       1.400384666599e+02 
       2.970533903591e-01       1.318549135953e+02 
       3.070913566270e-01       1.240820689261e+02 
       3.175038359344e-01       1.163268063345e+02 
       3.283145909404e-01       1.086469529973e+02 
       3.395508010421e-01       1.013884554308e+02 
       3.512437517058e-01       9.477162539008e+01 
       3.634297000637e-01       8.867524549644e+01 
       3.761509755879e-01       8.282505239714e+01 
       3.894573985703e-01       7.712164243305e+01 
       4.034081346978e-01       7.169090668299e+01 
       4.180741580083e-01       6.663217396927e+01 
       4.335415783182e-01       6.186288624370e+01 
       4.499162225488e-01       5.727142371622e+01 
       4.673300773760e-01       5.287485210467e+01 
       4.859505681035e-01       4.871190302051e+01 
       5.059942896487e-01       4.473044493368e+01 
       5.277479676829e-01       4.089094276810e+01 
       5.516016293349e-01       3.720013572900e+01 
       5.781033456029e-01       3.362457370043e+01 
       6.080541411116e-01       3.013466872309e+01 
       6.426823976466e-01       2.670253921895e+01 
       6.839869528466e-01       2.328361863630e+01 
       7.354663594236e-01       1.982365068476e+01 
       8.037923316237e-01       1.625027327862e+01 
       9.027523727772e-01       1.249548113140e+01 
       1.060160154126e+00       8.641638444280e+00 
       1.308794680535e+00       5.284744818687e+00 
       1.645596362112e+00       3.066549950438e+00 
       2.071648118186e+00       1.757822551654e+00 
       2.608050347344e+00       9.991817892177e-01 
       3.283340857460e+00       5.636681997787e-01 
       4.133481241039e+00       3.158037728480e-01 
       5.203744573518e+00       1.758306448695e-01 
       6.551126280088e+00       9.734023646716e-02 
       8.247379349876e+00       5.360679278199e-02 
       1.038283544427e+01       2.938062267826e-02 
