# Matter power spectrum P(k) at redshift z=1
# for k=1.03113e-05 to 10.3219 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.031134678303e-05       1.949554529187e+01 
       1.298121649498e-05       2.432342389547e+01 
       1.634238332153e-05       3.034684903578e+01 
       2.057384165275e-05       3.786186876237e+01 
       2.590093207488e-05       4.723778135919e+01 
       3.260734157822e-05       5.893527826230e+01 
       4.105021092387e-05       7.352902662157e+01 
       5.167915369157e-05       9.173572187600e+01 
       6.506019984234e-05       1.144490298031e+02 
       8.190593887793e-05       1.427828965228e+02 
       1.031134678303e-04       1.781251112675e+02 
       1.298121649498e-04       2.222031640766e+02 
       1.634238332153e-04       2.771645515022e+02 
       2.057384165275e-04       3.456733964681e+02 
       2.590093207488e-04       4.310241792235e+02 
       3.260734157822e-04       5.372710712773e+02 
       4.105021092387e-04       6.693669031814e+02 
       5.167915369157e-04       8.332989966300e+02 
       6.506019984234e-04       1.036200975814e+03 
       8.190593887793e-04       1.286413287500e+03 
       1.031134678303e-03       1.593457652395e+03 
       1.298121649498e-03       1.967850641441e+03 
       1.634238332153e-03       2.420570525718e+03 
       2.057384165275e-03       2.961923977360e+03 
       2.590093207488e-03       3.599881619177e+03 
       3.260734157822e-03       4.337501539324e+03 
       4.105021092387e-03       5.169529866177e+03 
       5.167915369157e-03       6.078033208006e+03 
       6.506019984234e-03       7.027464506056e+03 
       8.190593887793e-03       7.959408322972e+03 
       1.031134678303e-02       8.788617855676e+03 
       1.298121649498e-02       9.401972556439e+03 
       1.634238332147e-02       9.665412072216e+03 
       2.057384135462e-02       9.454164063656e+03 
       2.590073737655e-02       8.714316819674e+03 
       3.258355413289e-02       7.563145481583e+03 
       4.034359188240e-02       6.393187075485e+03 
       4.668455573678e-02       5.691727906189e+03 
       5.132350362080e-02       5.301996903786e+03 
       5.518134242604e-02       5.029468295481e+03 
       5.864124051459e-02       4.806845618000e+03 
       6.187657953681e-02       4.605672749361e+03 
       6.498019155478e-02       4.412161385632e+03 
       6.800820043286e-02       4.219387270924e+03 
       7.099770181266e-02       4.024346444551e+03 
       7.397496876756e-02       3.827143327143e+03 
       7.695968311136e-02       3.628951375805e+03 
       7.996730000874e-02       3.432605478775e+03 
       8.301045542073e-02       3.241693037376e+03 
       8.609984729986e-02       3.059503109307e+03 
       8.924481054490e-02       2.889483670130e+03 
       9.245370512117e-02       2.734107715020e+03 
       9.573418553068e-02       2.594910867382e+03 
       9.909339227817e-02       2.472336230798e+03 
       1.025380904765e-01       2.365253090356e+03 
       1.060747716596e-01       2.271390152758e+03 
       1.097097293766e-01       2.187382328700e+03 
       1.134491157215e-01       2.109038747251e+03 
       1.172989837696e-01       2.032075270114e+03 
       1.212653194768e-01       1.952525667841e+03 
       1.253540656643e-01       1.867542353007e+03 
       1.295711400909e-01       1.776194813852e+03 
       1.339224492019e-01       1.679482362952e+03 
       1.384138988708e-01       1.580246387860e+03 
       1.430514032675e-01       1.482609185752e+03 
       1.478408928721e-01       1.390893227771e+03 
       1.527883225768e-01       1.308582028715e+03 
       1.578996807741e-01       1.237238923306e+03 
       1.631810002991e-01       1.176475125754e+03 
       1.686383720755e-01       1.123670860777e+03 
       1.742779623026e-01       1.074797939678e+03 
       1.801060340134e-01       1.025805759768e+03 
       1.861289738279e-01       9.738445706960e+02 
       1.923533247318e-01       9.182985454766e+02 
       1.987858257232e-01       8.608474840867e+02 
       2.054334592036e-01       8.049628450619e+02 
       2.123035070490e-01       7.541146239605e+02 
       2.194036163947e-01       7.098841777737e+02 
       2.267418763130e-01       6.714025443494e+02 
       2.343269067829e-01       6.363592300854e+02 
       2.421679616521e-01       6.023570981217e+02 
       2.502750477056e-01       5.675937166930e+02 
       2.586590625187e-01       5.320744836700e+02 
       2.673319545155e-01       4.975571983848e+02 
       2.763069096391e-01       4.658536932622e+02 
       2.855985703479e-01       4.375729335691e+02 
       2.952232943791e-01       4.119861685205e+02 
       3.051994630226e-01       3.873985175505e+02 
       3.155478517482e-01       3.629748908928e+02 
       3.262920802242e-01       3.391416938065e+02 
       3.374591645423e-01       3.167313471041e+02 
       3.490802024921e-01       2.962528706593e+02 
       3.611912340783e-01       2.771531272073e+02 
       3.738343357579e-01       2.587731174003e+02 
       3.870590306522e-01       2.409383304863e+02 
       4.009241323543e-01       2.241229611509e+02 
       4.155001936426e-01       2.083691735362e+02 
       4.308728147553e-01       1.934151562375e+02 
       4.471471984791e-01       1.790707708523e+02 
       4.644545561139e-01       1.653792187505e+02 
       4.829613338543e-01       1.523773845984e+02 
       5.028828666794e-01       1.399367440477e+02 
       5.245042228261e-01       1.279421462754e+02 
       5.482131917483e-01       1.164140864513e+02 
       5.745547285769e-01       1.052360702803e+02 
       6.043253547291e-01       9.433138058059e+01 
       6.387466419321e-01       8.359838861983e+01 
       6.798065387801e-01       7.290787048221e+01 
       7.309849487746e-01       6.208387030668e+01 
       7.989188924143e-01       5.090097837163e+01 
       8.973253525540e-01       3.914764504466e+01 
       1.053868978166e+00       2.708038097923e+01 
       1.301099802228e+00       1.656711910989e+01 
       1.635932072446e+00       9.618195224291e+00 
       2.059481963120e+00       5.515940427283e+00 
       2.592734067365e+00       3.136784238364e+00 
       3.264058803381e+00       1.770278985673e+00 
       4.109206573167e+00       9.922043209702e-01 
       5.173184577272e+00       5.526414392903e-01 
       6.512653524229e+00       3.060475013888e-01 
       8.198945019862e+00       1.685983357998e-01 
       1.032186023541e+01       9.243562088314e-02 
