# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04557e-05 to 10.4663 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045569612235e-05       1.214620815294e+01 
       1.316294154642e-05       1.516038021445e+01 
       1.657116160675e-05       1.892252753334e+01 
       2.086185644968e-05       2.361824601106e+01 
       2.626352122171e-05       2.947917240377e+01 
       3.306381426920e-05       3.679438013727e+01 
       4.162487599434e-05       4.592460981964e+01 
       5.240261415206e-05       5.731997036240e+01 
       6.597098260047e-05       7.154196681035e+01 
       8.305254643676e-05       8.929085700458e+01 
       1.045569612235e-04       1.114395049675e+02 
       1.316294154642e-04       1.390750867746e+02 
       1.657116160675e-04       1.735500559610e+02 
       2.086185644968e-04       2.165436630101e+02 
       2.626352122171e-04       2.701347357520e+02 
       3.306381426920e-04       3.368850316411e+02 
       4.162487599434e-04       4.199297124781e+02 
       5.240261415206e-04       5.230669552964e+02 
       6.597098260047e-04       6.508327405788e+02 
       8.305254643676e-04       8.085416525040e+02 
       1.045569612235e-03       1.002271836994e+03 
       1.316294154642e-03       1.238759651963e+03 
       1.657116160675e-03       1.525092946039e+03 
       2.086185644968e-03       1.868064192132e+03 
       2.626352122171e-03       2.273080290053e+03 
       3.306381426920e-03       2.742550084477e+03 
       4.162487599434e-03       3.273724144177e+03 
       5.240261415206e-03       3.855816508534e+03 
       6.597098260047e-03       4.466579827513e+03 
       8.305254643676e-03       5.068779591636e+03 
       1.045569612235e-02       5.606273187551e+03 
       1.316294154642e-02       6.003170749692e+03 
       1.657116160671e-02       6.167094971051e+03 
       2.086185624027e-02       6.008785501897e+03 
       2.626337094461e-02       5.487234852271e+03 
       3.304399007205e-02       4.683104151141e+03 
       4.099320813599e-02       3.872951432146e+03 
       4.761671098430e-02       3.401152508285e+03 
       5.243491657014e-02       3.157847259909e+03 
       5.642078153715e-02       2.998635686096e+03 
       5.998553575633e-02       2.874002870124e+03 
       6.331349723778e-02       2.763201554991e+03 
       6.650263532825e-02       2.655821514595e+03 
       6.961187057015e-02       2.546540538749e+03 
       7.267999364354e-02       2.432951901511e+03 
       7.573439207940e-02       2.314491496518e+03 
       7.879552938920e-02       2.192188625948e+03 
       8.187943917778e-02       2.068123642889e+03 
       8.499920543720e-02       1.944966526376e+03 
       8.816588721172e-02       1.825752374707e+03 
       9.138912077141e-02       1.713384917913e+03 
       9.467752546938e-02       1.610426193890e+03 
       9.803898516180e-02       1.518665504278e+03 
       1.014808479533e-01       1.439112467672e+03 
       1.050100706740e-01       1.371647878440e+03 
       1.086333249373e-01       1.315208330950e+03 
       1.123570758500e-01       1.267663581477e+03 
       1.161876408556e-01       1.226121731731e+03 
       1.201312339020e-01       1.187125571220e+03 
       1.241939986416e-01       1.147252148826e+03 
       1.283820333934e-01       1.103465367055e+03 
       1.327014099469e-01       1.053947387315e+03 
       1.371581878572e-01       9.984392887983e+02 
       1.417584255909e-01       9.383440278196e+02 
       1.465081896957e-01       8.765482084564e+02 
       1.514135630410e-01       8.166638991392e+02 
       1.564806531036e-01       7.621391297309e+02 
       1.617156012176e-01       7.153904841334e+02 
       1.671245936828e-01       6.772136691649e+02 
       1.727138756027e-01       6.465301888307e+02 
       1.784897683124e-01       6.207101934737e+02 
       1.844586912473e-01       5.962366944405e+02 
       1.906271890987e-01       5.700041891477e+02 
       1.970019651076e-01       5.398622003990e+02 
       2.035899213597e-01       5.060673755715e+02 
       2.103982069787e-01       4.710457976372e+02 
       2.174342751737e-01       4.380607443530e+02 
       2.247059501940e-01       4.094594192980e+02 
       2.322215053943e-01       3.859453123957e+02 
       2.399897538297e-01       3.665100930653e+02 
       2.480201531078e-01       3.488441437031e+02 
       2.563229266421e-01       3.304568360868e+02 
       2.649092040215e-01       3.103386058539e+02 
       2.737911839579e-01       2.893380454621e+02 
       2.829823242795e-01       2.693221984882e+02 
       2.924975647499e-01       2.519226263343e+02 
       3.023535902467e-01       2.372206761759e+02 
       3.125691441588e-01       2.238411754209e+02 
       3.231654049906e-01       2.104151406206e+02 
       3.341664434036e-01       1.964970800598e+02 
       3.455997827493e-01       1.828988980611e+02 
       3.574970942505e-01       1.705985659655e+02 
       3.698950694210e-01       1.596809630812e+02 
       3.828365287135e-01       1.494096050923e+02 
       3.963718493027e-01       1.391730586291e+02 
       4.105608304569e-01       1.292163479341e+02 
       4.254751688499e-01       1.199812865151e+02 
       4.412017997395e-01       1.114329013137e+02 
       4.578474927287e-01       1.032420056347e+02 
       4.755453076291e-01       9.526657154199e+01 
       4.944638808299e-01       8.771421552037e+01 
       5.148211479147e-01       8.058926603878e+01 
       5.369052578656e-01       7.366953131766e+01 
       5.611076068097e-01       6.701223252384e+01 
       5.879772335518e-01       6.059280834324e+01 
       6.183148817073e-01       5.431056666955e+01 
       6.533453137517e-01       4.815045611197e+01 
       6.950550860317e-01       4.201375649622e+01 
       7.469076758930e-01       3.581368052986e+01 
       8.154790732546e-01       2.941972641213e+01 
       9.143187809609e-01       2.270595816430e+01 
       1.070969237511e+00       1.579543232448e+01 
       1.319641186297e+00       9.702985159457e+00 
       1.658839653014e+00       5.634679526369e+00 
       2.088310229942e+00       3.230825936596e+00 
       2.629026656856e+00       1.837054206814e+00 
       3.309748466521e+00       1.036706597836e+00 
       4.166726451151e+00       5.810568373475e-01 
       5.245597813348e+00       3.236473791360e-01 
       6.603816387276e+00       1.792498985986e-01 
       8.313712264765e+00       9.875898051030e-02 
       1.046634363646e+01       5.415181472842e-02 
