# Matter power spectrum P(k) at redshift z=1
# for k=2.04435e-07 to 10.2566 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.044350429292e-07       6.843543618356e-01 
       2.573684706048e-07       8.480687088037e-01 
       3.240077078390e-07       1.050947542172e+00 
       4.079015370157e-07       1.302359967292e+00 
       5.135176104590e-07       1.613916408618e+00 
       6.464803692106e-07       2.000004788009e+00 
       8.138705650253e-07       2.478454969379e+00 
       1.024602336222e-06       3.071362153641e+00 
       1.289897918053e-06       3.806107248959e+00 
       1.623885267657e-06       4.716621334290e+00 
       2.044350429292e-06       5.844952608858e+00 
       2.573684706048e-06       7.243208178776e+00 
       3.240077078390e-06       8.975960344472e+00 
       4.079015370157e-06       1.112322848265e+01 
       5.135176104590e-06       1.378417416767e+01 
       6.464803692106e-06       1.708168006977e+01 
       8.138705650253e-06       2.116802387333e+01 
       1.024602336222e-05       2.623190879508e+01 
       1.289897918053e-05       3.250717455828e+01 
       1.623885267657e-05       4.028358942980e+01 
       2.044350429292e-05       4.992021847207e+01 
       2.573684706048e-05       6.186197898876e+01 
       3.240077078390e-05       7.666013520550e+01 
       4.079015370157e-05       9.499765412423e+01 
       5.135176104590e-05       1.177205454200e+02 
       6.464803692106e-05       1.458765387154e+02 
       8.138705650253e-05       1.807627004466e+02 
       1.024602336222e-04       2.239838317772e+02 
       1.289897918053e-04       2.775236512214e+02 
       1.623885267657e-04       3.438307176667e+02 
       2.044350429292e-04       4.259205356540e+02 
       2.573684706048e-04       5.274938637953e+02 
       3.240077078390e-04       6.530682486709e+02 
       4.079015370157e-04       8.081144604230e+02 
       5.135176104590e-04       9.991815715023e+02 
       6.464803692106e-04       1.233985527823e+03 
       8.138705650253e-04       1.521429932401e+03 
       1.024602336222e-03       1.871520590404e+03 
       1.289897918053e-03       2.295089270972e+03 
       1.623885267657e-03       2.803116580221e+03 
       2.044350429292e-03       3.405422031361e+03 
       2.573684706048e-03       4.108702218953e+03 
       3.240077078390e-03       4.913746497517e+03 
       4.079015370157e-03       5.811829134689e+03 
       5.135176104590e-03       6.780270013786e+03 
       6.464803692106e-03       7.777686000551e+03 
       8.138705650253e-03       8.739646120766e+03 
       1.024602336222e-02       9.575690006525e+03 
       1.289897918053e-02       1.017017223152e+04 
       1.623885267649e-02       1.039223451640e+04 
       2.044350391412e-02       1.012556442574e+04 
       2.573661485633e-02       9.330543549980e+03 
       3.237382693859e-02       8.132633948357e+03 
       4.002705395857e-02       6.922337639777e+03 
       4.620166902127e-02       6.181886664437e+03 
       5.073767696609e-02       5.749573772489e+03 
       5.452305285112e-02       5.436060852458e+03 
       5.792424173713e-02       5.175281817914e+03 
       6.110813035338e-02       4.939546196333e+03 
       6.416451090987e-02       4.715505020363e+03 
       6.714786013920e-02       4.496617752777e+03 
       7.009428058807e-02       4.280191769193e+03 
       7.302939600177e-02       4.065951875001e+03 
       7.597243535865e-02       3.855187973516e+03 
       7.893852070131e-02       3.650137804075e+03 
       8.194003149971e-02       3.453474575332e+03 
       8.498746020277e-02       3.267858414375e+03 
       8.808997117508e-02       3.095546930160e+03 
