# Matter power spectrum P(k) at redshift z=2.5
# for k=1.02012e-05 to 10.2117 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.020123874315e-05       6.003104603848e+00 
       1.284259868553e-05       7.523939974217e+00 
       1.616787383868e-05       9.430058692870e+00 
       2.035414723020e-05       1.181905942480e+01 
       2.562435318350e-05       1.481325761830e+01 
       3.225914938350e-05       1.856593693915e+01 
       4.061186292175e-05       2.326917418782e+01 
       5.112730625249e-05       2.916363381687e+01 
       6.436546507785e-05       3.655079746059e+01 
       8.103131962845e-05       4.580822206918e+01 
       1.020123874315e-04       5.740852025004e+01 
       1.284259868553e-04       7.194285199257e+01 
       1.616787383868e-04       9.014980715961e+01 
       2.035414723020e-04       1.129504900423e+02 
       2.562435318350e-04       1.414903482979e+02 
       3.225914938350e-04       1.771875196257e+02 
       4.061186292175e-04       2.217858603434e+02 
       5.112730625249e-04       2.774079439993e+02 
       6.436546507785e-04       3.465990233761e+02 
       8.103131962845e-04       4.323482396268e+02 
       1.020123874315e-03       5.380711538645e+02 
       1.284259868553e-03       6.675378921870e+02 
       1.616787383868e-03       8.247156808919e+02 
       2.035414723020e-03       1.013428706734e+03 
       2.562435318350e-03       1.236704136838e+03 
       3.225914938350e-03       1.495883622046e+03 
       4.061186292175e-03       1.789421434646e+03 
       5.112730625249e-03       2.111338105024e+03 
       6.436546507785e-03       2.449496829611e+03 
       8.103131962845e-03       2.783976007248e+03 
       1.020123874315e-02       3.085469555635e+03 
       1.284259868553e-02       3.315554674975e+03 
       1.616787383861e-02       3.429192201613e+03 
       2.035414686968e-02       3.384124123718e+03 
       2.562412960088e-02       3.161430287935e+03 
       3.223295913499e-02       2.795890241579e+03 
       3.986355556789e-02       2.411300473544e+03 
       4.603414616077e-02       2.169994618729e+03 
       5.056366923836e-02       2.027081632853e+03 
       5.434123440074e-02       1.922343652703e+03 
       5.773425974106e-02       1.834484812735e+03 
       6.090987676024e-02       1.754565277294e+03 
       6.395792886685e-02       1.678281037141e+03 
       6.693288881494e-02       1.603550753463e+03 
       6.987083895164e-02       1.529543389736e+03 
       7.279737875899e-02       1.456221485877e+03 
       7.573171283641e-02       1.384049379125e+03 
       7.868893992783e-02       1.313797050470e+03 
       8.168141751666e-02       1.246357707682e+03 
       8.471961727832e-02       1.182632618569e+03 
       8.781268382106e-02       1.123355130649e+03 
       9.096881218649e-02       1.069028890923e+03 
       9.419551013313e-02       1.019824150776e+03 
       9.749978460440e-02       9.755445656778e+02 
       1.008882767784e-01       9.356121007111e+02 
       1.043673613035e-01       8.991318478570e+02 
       1.079432199983e-01       8.649743583145e+02 
       1.116218969714e-01       8.319075808982e+02 
       1.154093400036e-01       7.987982240619e+02 
       1.193114316546e-01       7.647753596468e+02 
       1.233340126522e-01       7.294034621841e+02 
       1.274828995176e-01       6.927865826663e+02 
       1.317638979820e-01       6.555584537834e+02 
       1.361828134780e-01       6.187464407050e+02 
       1.407454598216e-01       5.835235775208e+02 
       1.454576670781e-01       5.509173031551e+02 
       1.503252895427e-01       5.215465294936e+02 
       1.553542147123e-01       4.954358713351e+02 
       1.605503741057e-01       4.720586260700e+02 
       1.659197567623e-01       4.504300460316e+02 
       1.714684262471e-01       4.294300065976e+02 
       1.772025419724e-01       4.081756134822e+02 
       1.831283856510e-01       3.863048105092e+02 
       1.892523936939e-01       3.640454158021e+02 
       1.955811963835e-01       3.422415071846e+02 
       2.021216646835e-01       3.217363085172e+02 
       2.088809656083e-01       3.031330337731e+02 
       2.158666271706e-01       2.864714516350e+02 
       2.230866140720e-01       2.711587654198e+02 
       2.305494155189e-01       2.564734820161e+02 
       2.382641468431e-01       2.420318993919e+02 
       2.462406670223e-01       2.277649183578e+02 
       2.544897147465e-01       2.138522087303e+02 
       2.630230664197e-01       2.007297641131e+02 
       2.718537204576e-01       1.886723540609e+02 
       2.809961135415e-01       1.775296556694e+02 
       2.904663761947e-01       1.670115185206e+02 
       3.002826373359e-01       1.568443443545e+02 
       3.104653905296e-01       1.469775008980e+02 
       3.210379388190e-01       1.376274920909e+02 
       3.320269407534e-01       1.288687826644e+02 
       3.434630881901e-01       1.206710899713e+02 
       3.553819577205e-01       1.128805065102e+02 
       3.678250937385e-01       1.054000930879e+02 
       3.808414048023e-01       9.828148926830e+01 
       3.944889900992e-01       9.156960586787e+01 
       4.088375662383e-01       8.520618822747e+01 
       4.239717475624e-01       7.912772459324e+01 
       4.399955652671e-01       7.332989234836e+01 
       4.570388267773e-01       6.781132112303e+01 
       4.752662815496e-01       6.253550992778e+01 
       4.948911963408e-01       5.747531316091e+01 
       5.161960990697e-01       5.260899593812e+01 
       5.395656432836e-01       4.791606552480e+01 
       5.655409179510e-01       4.335925339704e+01 
       5.949137560190e-01       3.890752510398e+01 
       6.289003561937e-01       3.451821876253e+01 
       6.694835834695e-01       3.013440736986e+01 
       7.201422522470e-01       2.568726488381e+01 
       7.875278837670e-01       2.108030289119e+01 
       8.854094099146e-01       1.622188371976e+01 
       1.041422226920e+00       1.122569862913e+01 
       1.287061174549e+00       6.884097798724e+00 
       1.618474325879e+00       4.015792626872e+00 
       2.037508886981e+00       2.314651146562e+00 
       2.565071624008e+00       1.322851652393e+00 
       3.229233850498e+00       7.502588540904e-01 
       4.065364555018e+00       4.225657076738e-01 
       5.117990746519e+00       2.365029928862e-01 
       6.443168608120e+00       1.316085910272e-01 
       8.111468693237e+00       7.285184113989e-02 
       1.021173406489e+01       4.013260211201e-02 
