# Matter power spectrum P(k) at redshift z=2.5
# for k=1.02545e-05 to 10.265 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.025445641760e-05       5.573622353223e+00 
       1.290959576825e-05       6.995309977258e+00 
       1.625221816864e-05       8.779626461908e+00 
       2.046033045053e-05       1.101906079042e+01 
       2.575802993788e-05       1.382968437777e+01 
       3.242743844655e-05       1.735715721813e+01 
       4.082372629975e-05       2.178425873728e+01 
       5.139402644288e-05       2.734031883995e+01 
       6.470124590337e-05       3.431302314767e+01 
       8.145404264249e-05       4.306315663382e+01 
       1.025445641760e-04       5.404297501822e+01 
       1.290959576825e-04       6.781898602874e+01 
       1.625221816864e-04       8.510001262719e+01 
       2.046033045053e-04       1.067713675832e+02 
       2.575802993788e-04       1.339357263357e+02 
       3.242743844655e-04       1.679605768438e+02 
       4.082372629975e-04       2.105306230201e+02 
       5.139402644288e-04       2.637008008665e+02 
       6.470124590337e-04       3.299414737525e+02 
       8.145404264249e-04       4.121628353112e+02 
       1.025445641760e-03       5.137031925301e+02 
       1.290959576825e-03       6.382658854471e+02 
       1.625221816864e-03       7.897742951429e+02 
       2.046033045053e-03       9.720481802462e+02 
       2.575802993788e-03       1.188186605707e+03 
       3.242743844655e-03       1.439704530283e+03 
       4.082372629975e-03       1.725356494324e+03 
       5.139402644288e-03       2.039605010854e+03 
       6.470124590337e-03       2.369162237651e+03 
       8.145404264249e-03       2.697366815005e+03 
       1.025445641760e-02       2.994130920864e+03 
       1.290959576825e-02       3.221014079483e+03 
       1.625221816857e-02       3.332319658009e+03 
       2.046033011723e-02       3.284545572477e+03 
       2.575781872924e-02       3.057832226746e+03 
       3.240225922480e-02       2.688248573833e+03 
       4.009250411348e-02       2.303877488027e+03 
       4.633823821932e-02       2.068092686545e+03 
       5.091639691621e-02       1.932691390414e+03 
       5.473001177315e-02       1.835570785011e+03 
       5.815326551752e-02       1.754949514242e+03 
       6.135599310003e-02       1.681666740303e+03 
       6.442933946023e-02       1.611274539914e+03 
       6.742850053909e-02       1.541611105449e+03 
       7.039000471534e-02       1.471798955639e+03 
       7.333974928763e-02       1.401808023632e+03 
       7.629715070451e-02       1.332171378142e+03 
       7.927746653410e-02       1.263765100022e+03 
       8.229317879232e-02       1.197648071719e+03 
       8.535486067957e-02       1.134887954397e+03 
       8.847174244549e-02       1.076429817377e+03 
       9.165209356503e-02       1.022978116245e+03 
       9.490348819164e-02       9.748756954784e+02 
       9.823299383295e-02       9.320909403055e+02 
       1.016473079731e-01       8.941476359543e+02 
       1.051528584493e-01       8.601892561104e+02 
       1.087558779909e-01       8.290460146685e+02 
       1.124624599641e-01       7.993818511613e+02 
       1.162786002216e-01       7.698617332523e+02 
       1.202102285604e-01       7.393643710751e+02 
       1.242632323752e-01       7.072090839359e+02 
       1.284434744821e-01       6.732745960162e+02 
       1.327568066821e-01       6.380806004716e+02 
       1.372090803649e-01       6.026627240790e+02 
       1.418061552736e-01       5.683348411070e+02 
       1.465539074382e-01       5.363625278257e+02 
       1.514582372120e-01       5.076603071535e+02 
       1.565250782988e-01       4.824979366237e+02 
       1.617604086307e-01       4.605120598149e+02 
       1.671702639390e-01       4.407406215725e+02 
       1.727607548466e-01       4.219035561041e+02 
       1.785380883036e-01       4.028482965268e+02 
       1.845085941850e-01       3.829058275560e+02 
       1.906787578697e-01       3.621398057873e+02 
       1.970552596398e-01       3.412924202974e+02 
       2.036450217658e-01       3.213923585705e+02 
       2.104552642086e-01       3.033453094871e+02 
       2.174935699617e-01       2.874237032670e+02 
       2.247679612081e-01       2.731388217555e+02 
       2.322869876795e-01       2.597108740647e+02 
       2.400598289084e-01       2.465269289393e+02 
       2.480964124779e-01       2.332737253312e+02 
       2.564075509302e-01       2.200720188247e+02 
       2.650051007375e-01       2.074721041510e+02 
       2.739021477213e-01       1.959078345406e+02 
       2.831132246027e-01       1.853792614390e+02 
       2.926545680904e-01       1.755901464675e+02 
       3.025444252023e-01       1.661143180528e+02 
       3.128034216016e-01       1.568040002639e+02 
       3.234550089099e-01       1.478703612663e+02 
       3.345260137081e-01       1.394849930936e+02 
       3.460473189379e-01       1.317044923416e+02 
       3.580547197271e-01       1.243369103015e+02 
       3.705900118894e-01       1.172326319789e+02 
       3.837023950591e-01       1.104027748863e+02 
       3.974503076943e-01       1.039540599031e+02 
       4.119038647466e-01       9.784724917784e+01 
       4.271481519808e-01       9.200469482452e+01 
       4.432877633272e-01       8.639580220067e+01 
       4.604531842384e-01       8.103250074788e+01 
       4.788099893129e-01       7.589443218327e+01 
       4.985724600630e-01       7.094189147543e+01 
       5.200243855634e-01       6.614724455628e+01 
       5.435520018839e-01       6.149768240442e+01 
       5.696983967469e-01       5.694931269252e+01 
       5.992579234773e-01       5.246776172690e+01 
       6.334498881299e-01       4.800185344390e+01 
       6.742606844017e-01       4.348473907422e+01 
       7.251720403582e-01       3.882335637262e+01 
       7.928341078469e-01       3.388028748273e+01 
       8.910039052004e-01       2.848322957908e+01 
       1.047350021959e+00       2.259685562046e+01 
       1.293833808681e+00       1.693259400998e+01 
       1.626911585283e+00       1.256003934302e+01 
       2.048128773004e+00       9.380555769997e+00 
       2.578441260214e+00       7.011720122650e+00 
       3.246065225259e+00       5.205844941969e+00 
       4.086554000420e+00       3.812511987799e+00 
       5.144666677798e+00       2.738064429451e+00 
       6.476751615891e+00       1.919737510962e+00 
       8.153747195124e+00       1.310033358246e+00 
       1.026495954529e+01       8.686934544923e-01 
