# Matter power spectrum P(k) at redshift z=1
# for k=1.03598e-05 to 10.3703 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035976950483e-05       1.721638466166e+01 
       1.304217708996e-05       2.153928714610e+01 
       1.641912816367e-05       2.694761185124e+01 
       2.067045768475e-05       3.371387581517e+01 
       2.602256445275e-05       4.217898257557e+01 
       3.276046766962e-05       5.276938551012e+01 
       4.124298525154e-05       6.601849294985e+01 
       5.192184219142e-05       8.259340664691e+01 
       6.536572656194e-05       1.033282797593e+02 
       8.229057422922e-05       1.292657805403e+02 
       1.035976950483e-04       1.617085617556e+02 
       1.304217708996e-04       2.022827547124e+02 
       1.641912816367e-04       2.530157177791e+02 
       2.067045768475e-04       3.164300008186e+02 
       2.602256445275e-04       3.956546545544e+02 
       3.276046766962e-04       4.945528477199e+02 
       4.124298525154e-04       6.178607558438e+02 
       5.192184219142e-04       7.713262820285e+02 
       6.536572656194e-04       9.618284717791e+02 
       8.229057422922e-04       1.197452093582e+03 
       1.035976950483e-03       1.487484294997e+03 
       1.304217708996e-03       1.842262362910e+03 
       1.641912816367e-03       2.272696613649e+03 
       2.067045768475e-03       2.789206425537e+03 
       2.602256445275e-03       3.400197542099e+03 
       3.276046766962e-03       4.109535561735e+03 
       4.124298525154e-03       4.913280686894e+03 
       5.192184219142e-03       5.795356025983e+03 
       6.536572656194e-03       6.709084013570e+03 
       8.229057422922e-03       7.619813201412e+03 
       1.035976950483e-02       8.435063443093e+03 
       1.304217708996e-02       9.042831275833e+03 
       1.641912816362e-02       9.308639117963e+03 
       2.067045741765e-02       9.105209805364e+03 
       2.602238480269e-02       8.376114510059e+03 
       3.273798606081e-02       7.238009763729e+03 
       4.056028452804e-02       6.085172182691e+03 
       4.699078515372e-02       5.402912231498e+03 
       5.168658202690e-02       5.033643203694e+03 
       5.558531975362e-02       4.780899970917e+03 
       5.907886760118e-02       4.577117155896e+03 
       6.234401600770e-02       4.393705693072e+03 
       6.547520670932e-02       4.216842753119e+03 
       6.852944352878e-02       4.039450191760e+03 
       7.154435727318e-02       3.858480260207e+03 
       7.454657391315e-02       3.673904844222e+03 
       7.755602343801e-02       3.487023746825e+03 
       8.058834509613e-02       3.300639176749e+03 
       8.365631774643e-02       3.118429804031e+03 
       8.677075474747e-02       2.943985407632e+03 
       8.994108750074e-02       2.780870276133e+03 
       9.317575917520e-02       2.631834958382e+03 
       9.648249795791e-02       2.498794989565e+03 
       9.986851114181e-02       2.382330215991e+03 
       1.033406255922e-01       2.281682643558e+03 
       1.069053909057e-01       2.194788082899e+03 
       1.105691559936e-01       2.118456082083e+03 
       1.143381263455e-01       2.048574632012e+03 
       1.182184070153e-01       1.980767919028e+03 
       1.222160349342e-01       1.910769385951e+03 
       1.263370032050e-01       1.835589373820e+03 
       1.305872794069e-01       1.753589168815e+03 
       1.349728195179e-01       1.665472503544e+03 
       1.394995787854e-01       1.573724315692e+03 
       1.441735206898e-01       1.482373303150e+03 
       1.490006250321e-01       1.395806725955e+03 
       1.539868960944e-01       1.317781443119e+03 
       1.591383717822e-01       1.250485395033e+03 
       1.644611346213e-01       1.193818101272e+03 
       1.699613254684e-01       1.145662441440e+03 
       1.756451607790e-01       1.102187906576e+03 
       1.815189542692e-01       1.059173880020e+03 
       1.875891438036e-01       1.013470850125e+03 
       1.938623243451e-01       9.637420201646e+02 
       2.003452878172e-01       9.112241605948e+02 
       2.070450707604e-01       8.592664120923e+02 
       2.139690107265e-01       8.115049767270e+02 
       2.211248124489e-01       7.699418735160e+02 
       2.285206249786e-01       7.342786350312e+02 
       2.361651311892e-01       7.025813458987e+02 
       2.440676513614e-01       6.722302426747e+02 
       2.522382629715e-01       6.410516400159e+02 
       2.606879393736e-01       6.086523033532e+02 
       2.694287108101e-01       5.765851873917e+02 
       2.784738521787e-01       5.467886318859e+02 
       2.878381032914e-01       5.203099552527e+02 
       2.975379290978e-01       4.966575887659e+02 
       3.075918296566e-01       4.741318858099e+02 
       3.180207127461e-01       4.516561657182e+02 
       3.288483462190e-01       4.293685057311e+02 
       3.401019129969e-01       4.081455354407e+02 
       3.518126996565e-01       3.887026101804e+02 
       3.640169609383e-01       3.706511980630e+02 
       3.767570188337e-01       3.532780329214e+02 
       3.900826787353e-01       3.362380965510e+02 
       4.040530805690e-01       3.199580469583e+02 
       4.187391565988e-01       3.046142640105e+02 
       4.342269510372e-01       2.899978744661e+02 
       4.506221892943e-01       2.758534071730e+02 
       4.680567015729e-01       2.621583864787e+02 
       4.866976709236e-01       2.490092162591e+02 
       5.067613129242e-01       2.362883277931e+02 
       5.285337484815e-01       2.238278711729e+02 
       5.524040163296e-01       2.116433785202e+02 
       5.789185188043e-01       1.996023798028e+02 
       6.088753447506e-01       1.875755799243e+02 
       6.434974376336e-01       1.754129769030e+02 
       6.847729049890e-01       1.628808722846e+02 
       7.361775153187e-01       1.496343294647e+02 
       8.043310327272e-01       1.351343247481e+02 
       9.029019971587e-01       1.185650494039e+02 
       1.059528716837e+00       9.915873996844e+01 
       1.307303289781e+00       7.832802221769e+01 
       1.643612634168e+00       6.004511510973e+01 
       2.069148144422e+00       4.517323904724e+01 
       2.604903055233e+00       3.318031399725e+01 
       3.279378651436e+00       2.367569381453e+01 
       4.128493119188e+00       1.635990251262e+01 
       5.197464900163e+00       1.094183899898e+01 
       6.543220639724e+00       7.100051543882e+00 
       8.237426738324e+00       4.488454697725e+00 
       1.037030584867e+01       2.777100553143e+00 
