# Matter power spectrum P(k) at redshift z=1
# for k=1.04755e-05 to 10.4862 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047552981721e-05       2.010326365304e+01 
       1.318791068890e-05       2.502280083395e+01 
       1.660259589473e-05       3.114618895571e+01 
       2.090142987362e-05       3.876799443628e+01 
       2.631334121073e-05       4.825483648507e+01 
       3.312653391940e-05       6.006298356531e+01 
       4.170383535580e-05       7.476022934781e+01 
       5.250201809869e-05       9.305306611465e+01 
       6.609612475492e-05       1.158203709180e+02 
       8.321009107509e-05       1.441551063315e+02 
       1.047552981721e-04       1.794157567854e+02 
       1.318791068890e-04       2.232894394402e+02 
       1.660259589473e-04       2.778686799781e+02 
       2.090142987362e-04       3.457435758803e+02 
       2.631334121073e-04       4.301100632554e+02 
       3.312653391940e-04       5.348927805888e+02 
       4.170383535580e-04       6.648768499405e+02 
       5.250201809869e-04       8.258364871998e+02 
       6.609612475492e-04       1.024640766420e+03 
       8.321009107509e-04       1.269310896046e+03 
       1.047552981721e-03       1.568996476956e+03 
       1.318791068890e-03       1.933800796033e+03 
       1.660259589473e-03       2.374250341294e+03 
       2.090142987362e-03       2.900292674617e+03 
       2.631334121073e-03       3.519647313324e+03 
       3.312653391940e-03       4.235329501926e+03 
       4.170383535580e-03       5.042399693151e+03 
       5.250201809869e-03       5.923625620180e+03 
       6.609612475492e-03       6.844449353482e+03 
       8.321009107509e-03       7.747254010414e+03 
       1.047552981721e-02       8.546764517563e+03 
       1.318791068890e-02       9.127528249116e+03 
       1.660259589469e-02       9.350112932560e+03 
       2.090142967506e-02       9.080365174982e+03 
       2.631319669679e-02       8.259529079995e+03 
       3.310724969488e-02       7.014144940031e+03 
       4.108293673108e-02       5.767603991372e+03 
       4.774826486586e-02       5.044863089627e+03 
       5.259304191575e-02       4.675524049446e+03 
       5.659769053985e-02       4.435958200624e+03 
       6.017773137334e-02       4.249811000350e+03 
       6.351914231076e-02       4.084955561922e+03 
       6.672066652881e-02       3.925728881974e+03 
       6.984164332948e-02       3.763559480342e+03 
       7.292111597839e-02       3.594638292829e+03 
       7.598663740114e-02       3.418236553598e+03 
       7.905878670381e-02       3.235776419901e+03 
       8.215368275120e-02       3.050233084371e+03 
       8.528447537610e-02       2.865879288116e+03 
       8.846227654031e-02       2.687175047529e+03 
       9.169676656663e-02       2.518564479467e+03 
       9.499660263553e-02       2.364015452902e+03 
       9.836970198043e-02       2.226380244477e+03 
       1.018234428614e-01       2.107142568114e+03 
       1.053648099121e-01       2.006330715786e+03 
       1.090005008261e-01       1.922314384777e+03 
       1.127370055278e-01       1.852106468017e+03 
       1.165806653580e-01       1.791263587510e+03 
       1.205377174972e-01       1.734663054438e+03 
       1.246143283584e-01       1.677011797963e+03 
       1.288166186933e-01       1.613641444258e+03 
       1.331506825044e-01       1.541658695269e+03 
       1.376226014210e-01       1.460428488780e+03 
       1.422384559046e-01       1.371973708987e+03 
       1.470043344623e-01       1.280521702851e+03 
       1.519263419218e-01       1.191513545798e+03 
       1.570106077421e-01       1.110245989683e+03 
       1.622632952871e-01       1.040590544104e+03 
       1.676906129567e-01       9.838664917402e+02 
       1.732988280519e-01       9.386799667922e+02 
       1.790942842350e-01       9.011431765667e+02 
       1.850834234413e-01       8.660129588029e+02 
       1.912728130908e-01       8.284157667478e+02 
       1.976691794531e-01       7.849074167008e+02 
       2.042794480326e-01       7.356439594729e+02 
       2.111107918744e-01       6.841477512134e+02 
       2.181706887479e-01       6.353365676062e+02 
       2.254669882664e-01       5.929701858159e+02 
       2.330079901470e-01       5.582914573855e+02 
       2.408025350343e-01       5.299902652619e+02 
       2.488601096187e-01       5.046062085142e+02 
       2.571909681979e-01       4.782327494345e+02 
       2.658062733993e-01       4.491689898030e+02 
       2.747182595358e-01       4.184987875406e+02 
       2.839404230645e-01       3.890613596303e+02 
       2.934877459434e-01       3.634943188772e+02 
       3.033769594279e-01       3.420682807271e+02 
       3.136268581844e-01       3.227969937056e+02 
       3.242586777283e-01       3.035045729678e+02 
       3.352965524421e-01       2.833417542121e+02 
       3.467680772601e-01       2.635140582524e+02 
       3.587050042181e-01       2.455487723622e+02 
       3.711441165106e-01       2.297265626969e+02 
       3.841283391117e-01       2.149319651108e+02 
       3.977081689502e-01       2.001675141056e+02 
       4.119435431973e-01       1.857175244073e+02 
       4.269063181448e-01       1.723195025435e+02 
       4.426836147474e-01       1.599774539712e+02 
       4.593824196985e-01       1.481788064083e+02 
       4.771360476778e-01       1.366580262201e+02 
       4.961134351408e-01       1.257423044932e+02 
       5.165328709319e-01       1.154792472413e+02 
       5.386829174645e-01       1.055111554903e+02 
       5.629554459317e-01       9.591729011266e+01 
       5.899000158408e-01       8.668348650601e+01 
       6.203178720014e-01       7.764813059876e+01 
       6.554340583121e-01       6.879956162145e+01 
       6.972346156558e-01       5.998988938153e+01 
       7.491800576963e-01       5.110008717436e+01 
       8.178363453341e-01       4.194392753987e+01 
       9.167259596741e-01       3.234374329120e+01 
       1.073366008147e+00       2.247507061042e+01 
       1.322200034437e+00       1.377987727265e+01 
       1.661990275036e+00       7.980132147911e+00 
       2.092274805547e+00       4.562713843272e+00 
       2.634017753162e+00       2.586996175513e+00 
       3.316031884489e+00       1.455790197239e+00 
       4.174636805703e+00       8.136476757237e-01 
       5.255556359710e+00       4.519303364296e-01 
       6.616353454356e+00       2.495975748923e-01 
       8.329495497100e+00       1.371300703766e-01 
       1.048621354872e+01       7.498111243778e-02 
