# Matter power spectrum P(k) at redshift z=2.5
# for k=2.10222e-07 to 10.5468 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.102220344980e-07       1.994917865508e-01 
       2.646538613486e-07       2.475568907009e-01 
       3.331794713812e-07       3.072026932978e-01 
       4.194481032100e-07       3.812194217073e-01 
       5.280538760599e-07       4.730695746586e-01 
       6.647804433682e-07       5.870498967774e-01 
       8.369089934200e-07       7.284923806602e-01 
       1.053605999176e-06       9.040136963006e-01 
       1.326411366381e-06       1.121824717466e+00 
       1.669852975630e-06       1.392114624714e+00 
       2.102220344980e-06       1.727527550096e+00 
       2.646538613486e-06       2.143754061422e+00 
       3.331794713812e-06       2.660265151645e+00 
       4.194481032100e-06       3.301223061884e+00 
       5.280538760599e-06       4.096611531093e+00 
       6.647804433682e-06       5.083638321870e+00 
       8.369089934200e-06       6.308475572341e+00 
       1.053605999176e-05       7.828419290096e+00 
       1.326411366381e-05       9.714568793025e+00 
       1.669852975630e-05       1.205515103148e+01 
       2.102220344980e-05       1.495964450753e+01 
       2.646538613486e-05       1.856389410731e+01 
       3.331794713812e-05       2.303645301518e+01 
       4.194481032100e-05       2.858644225846e+01 
       5.280538760599e-05       3.547328350377e+01 
       6.647804433682e-05       4.401873688507e+01 
       8.369089934200e-05       5.462176061144e+01 
       1.053605999176e-04       6.777679715088e+01 
       1.326411366381e-04       8.409616496691e+01 
       1.669852975630e-04       1.043372612040e+02 
       2.102220344980e-04       1.294351897387e+02 
       2.646538613486e-04       1.605410909557e+02 
       3.331794713812e-04       1.990656423303e+02 
       4.194481032100e-04       2.467255858241e+02 
       5.280538760599e-04       3.055883488385e+02 
       6.647804433682e-04       3.781058034921e+02 
       8.369089934200e-04       4.671240421293e+02 
       1.053605999176e-03       5.758544595155e+02 
       1.326411366381e-03       7.077923306669e+02 
       1.669852975630e-03       8.665534999334e+02 
       2.102220344980e-03       1.055535300522e+03 
       2.646538613486e-03       1.277281666629e+03 
       3.331794713812e-03       1.532602787951e+03 
       4.194481032100e-03       1.819441357969e+03 
       5.280538760599e-03       2.131328500643e+03 
       6.647804433682e-03       2.455596070173e+03 
       8.369089934200e-03       2.771494144528e+03 
       1.053605999176e-02       3.048408029274e+03 
       1.326411366381e-02       3.245079218775e+03 
       1.669852975626e-02       3.312024794367e+03 
       2.102220325501e-02       3.202056483064e+03 
       2.646524346112e-02       2.895637430759e+03 
       3.329880916639e-02       2.440351918171e+03 
       4.132571054790e-02       1.990008065289e+03 
       4.804289273162e-02       1.731734619377e+03 
       5.292362751826e-02       1.601607720559e+03 
       5.695653739719e-02       1.518328136407e+03 
       6.056115208728e-02       1.454288680377e+03 
       6.392512378331e-02       1.397948666914e+03 
       6.714803507961e-02       1.343535025089e+03 
       7.028970842840e-02       1.288003967641e+03 
       7.338949444648e-02       1.229923514933e+03 
       7.647515705534e-02       1.168969943661e+03 
       7.956742931103e-02       1.105637704603e+03 
       8.268254824052e-02       1.041017500360e+03 
       8.583375837143e-02       9.765890065025e+02 
       8.903225043950e-02       9.140131284903e+02 
       9.228777245499e-02       8.549290430138e+02 
       9.560904141323e-02       8.007682289145e+02 
       9.900402869304e-02       7.525996535371e+02 
       1.024801625791e-01       7.110160832128e+02 
       1.060444747211e-01       6.760649392328e+02 
       1.097037076309e-01       6.472246077002e+02 
       1.134643944536e-01       6.234286184626e+02 
       1.173329185997e-01       6.031457177850e+02 
       1.213155585044e-01       5.845309529896e+02 
       1.254185212715e-01       5.656584745418e+02 
       1.296479679692e-01       5.448271768592e+02 
       1.340100326852e-01       5.208924148879e+02 
       1.385108370092e-01       4.935397025751e+02 
       1.431565013213e-01       4.633995173592e+02 
       1.479531540708e-01       4.319320607708e+02 
       1.529069401065e-01       4.010829693387e+02 
       1.580240290411e-01       3.727974144076e+02 
       1.633106245802e-01       3.485317181404e+02 
       1.687729757193e-01       3.288930477899e+02 
       1.744173906881e-01       3.134870984108e+02 
       1.802502545127e-01       3.010075353952e+02 
       1.862780510538e-01       2.895791297189e+02 
       1.925073903778e-01       2.773260062325e+02 
       1.989450423181e-01       2.630289261568e+02 
       2.055979771003e-01       2.466019291557e+02 
       2.124734139361e-01       2.291085912576e+02 
       2.195788785510e-01       2.122475868063e+02 
       2.269222707080e-01       1.975499811319e+02 
       2.345119429416e-01       1.856926714980e+02 
       2.423567919321e-01       1.762408645902e+02 
       2.504663642613e-01       1.679214213531e+02 
       2.588509787127e-01       1.593238032190e+02 
       2.675218678466e-01       1.496979275532e+02 
       2.764913423438e-01       1.393511226192e+02 
       2.857729826142e-01       1.293279928464e+02 
       2.953818634950e-01       1.205974910236e+02 
       3.053348196268e-01       1.133678527427e+02 
       3.156507614369e-01       1.070219439470e+02 
       3.263510548129e-01       1.006920365281e+02 
       3.374599818176e-01       9.400210095800e+01 
       3.490053056594e-01       8.731075490246e+01 
       3.610189712898e-01       8.122663884055e+01 
       3.735379845036e-01       7.593459238987e+01 
       3.866055289183e-01       7.106267944093e+01 
       4.002724042703e-01       6.619170025583e+01 
       4.145989052151e-01       6.134915802826e+01 
       4.296573140174e-01       5.684931780713e+01 
       4.455352645285e-01       5.276638236346e+01 
       4.623403683038e-01       4.886347805965e+01 
       4.802067115298e-01       4.502889106539e+01 
       4.993041978876e-01       4.140071334529e+01 
       5.198523503199e-01       3.800110909785e+01 
       5.421413382597e-01       3.470226395757e+01 
       5.665651759582e-01       3.151930910768e+01 
       5.936763621692e-01       2.846830295964e+01 
       6.242803098056e-01       2.548136404149e+01 
       6.596082152467e-01       2.255915493319e+01 
       7.016556526780e-01       1.965287992631e+01 
       7.538988097084e-01       1.672394998481e+01 
       8.229313882480e-01       1.371065145064e+01 
       9.223300966232e-01       1.055725851106e+01 
       1.079735627975e+00       7.321920990377e+00 
       1.329865915282e+00       4.476944447110e+00 
       1.671595704078e+00       2.584216879807e+00 
       2.104366242304e+00       1.472674703534e+00 
       2.649239965247e+00       8.322673063916e-01 
       3.335195514103e+00       4.668318306807e-01 
       4.198762386007e+00       2.600758409382e-01 
       5.285928665829e+00       1.439943766626e-01 
       6.654589922344e+00       7.927390753926e-02 
       8.377632358308e+00       4.341698059503e-02 
       1.054681426654e+01       2.366543037987e-02 
