# Matter power spectrum P(k) at redshift z=1
# for k=2.07757e-07 to 10.4231 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.077574685043e-07       3.403383318927e-01 
       2.615511565901e-07       4.266196603601e-01 
       3.292733975155e-07       5.347747153046e-01 
       4.145306475600e-07       6.703488435972e-01 
       5.218631661808e-07       8.402932279090e-01 
       6.569868013844e-07       1.053321288869e+00 
       8.270973794762e-07       1.320355440594e+00 
       1.041253909051e-06       1.655087105799e+00 
       1.310861006234e-06       2.074678702543e+00 
       1.650276232078e-06       2.600643595675e+00 
       2.077574685043e-06       3.259949124034e+00 
       2.615511565901e-06       4.086399257983e+00 
       3.292733975155e-06       5.122367768071e+00 
       4.145306475600e-06       6.420970752083e+00 
       5.218631661808e-06       8.048789874235e+00 
       6.569868013844e-06       1.008928587806e+01 
       8.270973794762e-06       1.264707725675e+01 
       1.041253909051e-05       1.585330318210e+01 
       1.310861006234e-05       1.987234514100e+01 
       1.650276232078e-05       2.491025084500e+01 
       2.077574685043e-05       3.122529022487e+01 
       2.615511565901e-05       3.914118057327e+01 
       3.292733975155e-05       4.906365062882e+01 
       4.145306475600e-05       6.150117644673e+01 
       5.218631661808e-05       7.709091967185e+01 
       6.569868013844e-05       9.663113355457e+01 
       8.270973794762e-05       1.211215708278e+02 
       1.041253909051e-04       1.518137139466e+02 
       1.310861006234e-04       1.902729105200e+02 
       1.650276232078e-04       2.384546411384e+02 
       2.077574685043e-04       2.987969872800e+02 
       2.615511565901e-04       3.743305660125e+02 
       3.292733975155e-04       4.688052170954e+02 
       4.145306475600e-04       5.868288876527e+02 
       5.218631661808e-04       7.340080573197e+02 
       6.569868013844e-04       9.170715572127e+02 
       8.270973794762e-04       1.143953276252e+03 
       1.041253909051e-03       1.423801519219e+03 
       1.310861006234e-03       1.766845690048e+03 
       1.650276232078e-03       2.183948881750e+03 
       2.077574685043e-03       2.685633694782e+03 
