# Matter power spectrum P(k) at redshift z=0
# for k=2.07517e-07 to 10.4111 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.075168330917e-07       1.017374409924e+00 
       2.612482145542e-07       1.273007051428e+00 
       3.288920160881e-07       1.592871745684e+00 
       4.140505167895e-07       1.993107888794e+00 
       5.212587173528e-07       2.493910174136e+00 
       6.562258453947e-07       3.120547553879e+00 
       8.261393926435e-07       3.904638231703e+00 
       1.040047875083e-06       4.885745017012e+00 
       1.309342699425e-06       6.113371536181e+00 
       1.648364797053e-06       7.649460020443e+00 
       2.075168330917e-06       9.571516692772e+00 
       2.612482145542e-06       1.197652243760e+01 
       3.288920160881e-06       1.498582604752e+01 
       4.140505167895e-06       1.875126688699e+01 
       5.212587173528e-06       2.346283579585e+01 
       6.562258453947e-06       2.935826055976e+01 
       8.261393926435e-06       3.673499916791e+01 
       1.040047875083e-05       4.596524514484e+01 
       1.309342699425e-05       5.751470037534e+01 
       1.648364797053e-05       7.196605927088e+01 
       2.075168330917e-05       9.004838253385e+01 
       2.612482145542e-05       1.126738293725e+02 
       3.288920160881e-05       1.409835753358e+02 
       4.140505167895e-05       1.764051806987e+02 
       5.212587173528e-05       2.207242013583e+02 
       6.562258453947e-05       2.761734529167e+02 
       8.261393926435e-05       3.455440333283e+02 
       1.040047875083e-04       4.323229252147e+02 
       1.309342699425e-04       5.408626029603e+02 
       1.648364797053e-04       6.765882849411e+02 
       2.075168330917e-04       8.462477826810e+02 
       2.612482145542e-04       1.058206458969e+03 
       3.288920160881e-04       1.322784486825e+03 
       4.140505167895e-04       1.652624498324e+03 
       5.212587173528e-04       2.063065342952e+03 
       6.562258453947e-04       2.572483871614e+03 
       8.261393926435e-04       3.202544292145e+03 
       1.040047875083e-03       3.978221733980e+03 
       1.309342699425e-03       4.927305196085e+03 
       1.648364797053e-03       6.079010408858e+03 
       2.075168330917e-03       7.461392111368e+03 
       2.612482145542e-03       9.096962059712e+03 
       3.288920160881e-03       1.099615689136e+04 
       4.140505167895e-03       1.314851281395e+04 
       5.212587173528e-03       1.551100390607e+04 
       6.562258453947e-03       1.790586098616e+04 
       8.261393926435e-03       2.032285006499e+04 
       1.040047875083e-02       2.247661782869e+04 
