# Matter power spectrum P(k) at redshift z=1.5
# for k=2.08875e-07 to 10.4792 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.088754234777e-07       4.018343522464e-01 
       2.629585785153e-07       4.983759320982e-01 
       3.310452367422e-07       6.181118369445e-01 
       4.167612609882e-07       7.666145537776e-01 
       5.246713421094e-07       9.507953715028e-01 
       6.605220854217e-07       1.179226030669e+00 
       8.315480383886e-07       1.462537650147e+00 
       1.046856956655e-06       1.813915496763e+00 
       1.317914825247e-06       2.249712622411e+00 
       1.659156464083e-06       2.790210928525e+00 
       2.088754234777e-06       3.460565072724e+00 
       2.629585785153e-06       4.291973146391e+00 
       3.310452367422e-06       5.323128593603e+00 
       4.167612609882e-06       6.602020935613e+00 
       5.246713421094e-06       8.188169064613e+00 
       6.605220854217e-06       1.015539099538e+01 
       8.315480383886e-06       1.259523885142e+01 
       1.046856956655e-05       1.562125872710e+01 
       1.317914825247e-05       1.937427320216e+01 
       1.659156464083e-05       2.402893150009e+01 
       2.088754234777e-05       2.980183031331e+01 
       2.629585785153e-05       3.696157984077e+01 
       3.310452367422e-05       4.584127666021e+01 
       4.167612609882e-05       5.685395060729e+01 
       5.246713421094e-05       7.051167832906e+01 
       6.605220854217e-05       8.744920183369e+01 
       8.315480383886e-05       1.084530506088e+02 
       1.046856956655e-04       1.344973268796e+02 
       1.317914825247e-04       1.667874383862e+02 
       1.659156464083e-04       2.068130789152e+02 
       2.088754234777e-04       2.564115181953e+02 
       2.629585785153e-04       3.178415109737e+02 
       3.310452367422e-04       3.938664504148e+02 
       4.167612609882e-04       4.878422211526e+02 
       5.246713421094e-04       6.038001490401e+02 
       6.605220854217e-04       7.465090724276e+02 
       8.315480383886e-04       9.214954466953e+02 
       1.046856956655e-03       1.134998436840e+03 
       1.317914825247e-03       1.393823648122e+03 
       1.659156464083e-03       1.704990796459e+03 
       2.088754234777e-03       2.074983801367e+03 
       2.629585785153e-03       2.508534989734e+03 
       3.310452367422e-03       3.006945239567e+03 
       4.167612609882e-03       3.565823129430e+03 
       5.246713421094e-03       4.168460954080e+03 
       6.605220854217e-03       4.795629273246e+03 
       8.315480383886e-03       5.404242511449e+03 
       1.046856956655e-02       5.935232594800e+03 
       1.317914825247e-02       6.310054505934e+03 
       1.659156464079e-02       6.435939122569e+03 
       2.088754211421e-02       6.226303339354e+03 
       2.629569482333e-02       5.648135207022e+03 
       3.308349597623e-02       4.793807888400e+03 
       4.101968763062e-02       3.952131871789e+03 
       4.759419425762e-02       3.467226693602e+03 
       5.238442115627e-02       3.215474630885e+03 
       5.635331303890e-02       3.049439099512e+03 
       5.990581377753e-02       2.918934295582e+03 
       6.322392898654e-02       2.802977447227e+03 
       6.640460687031e-02       2.691176025503e+03 
       6.950624355482e-02       2.578165187293e+03 
       7.256732903918e-02       2.461527987561e+03 
       7.561506357453e-02       2.340838816238e+03 
       7.866978620091e-02       2.217103779190e+03 
       8.174744329300e-02       2.092336027879e+03 
       8.486105490704e-02       1.969169731200e+03 
       8.802163135495e-02       1.850485447150e+03 
       9.123877044115e-02       1.739053629264e+03 
       9.452106017745e-02       1.637215525330e+03 
       9.787635813037e-02       1.546622843142e+03 
       1.013119897568e-01       1.468051503994e+03 
       1.048348918969e-01       1.401296550569e+03 
       1.084517181293e-01       1.345152501371e+03 
       1.121689169704e-01       1.297487291887e+03 
       1.159927903404e-01       1.255425932741e+03 
       1.199295374496e-01       1.215664034768e+03 
       1.239852877873e-01       1.174915647443e+03 
       1.281661259247e-01       1.130458602709e+03 
       1.324781102011e-01       1.080678743590e+03 
       1.369272869320e-01       1.025463071256e+03 
       1.415197014933e-01       9.662862951047e+02 
       1.462614074501e-01       9.059040097259e+02 
       1.511584747737e-01       8.476926020834e+02 
       1.562169981160e-01       7.948064760778e+02 
       1.614431060610e-01       7.493867478391e+02 
       1.668429722427e-01       7.120269008968e+02 
       1.724228291997e-01       6.816189861518e+02 
       1.781889858252e-01       6.556317936960e+02 
       1.841478492589e-01       6.308176696236e+02 
       1.903059520689e-01       6.042386597734e+02 
       1.966699855694e-01       5.743104992944e+02 
       2.032468401388e-01       5.414007713132e+02 
       2.100436534307e-01       5.076071546464e+02 
       2.170678674368e-01       4.757445670464e+02 
       2.243272954497e-01       4.480293365071e+02 
       2.318302001334e-01       4.251065397664e+02 
       2.395853841178e-01       4.058564235969e+02 
       2.476022948482e-01       3.880576073349e+02 
       2.558911458364e-01       3.696218822371e+02 
       2.644630570303e-01       3.497573538708e+02 
       2.733302177720e-01       3.293029165591e+02 
       2.825060768163e-01       3.099599206271e+02 
       2.920055652015e-01       2.929907413033e+02 
       3.018453595187e-01       2.783629492675e+02 
       3.120441954572e-01       2.649353269691e+02 
       3.226232446399e-01       2.514891072254e+02 
       3.336065720133e-01       2.377293009124e+02 
       3.450216968993e-01       2.243502649019e+02 
       3.569002889366e-01       2.121490686876e+02 
       3.692790416120e-01       2.011678948846e+02 
       3.822007825326e-01       1.907701604279e+02 
       3.957159035929e-01       1.804679743527e+02 
       4.098842298724e-01       1.704313785225e+02 
       4.247775002238e-01       1.610561464527e+02 
       4.404827164576e-01       1.523099662905e+02 
       4.571067514692e-01       1.438519264752e+02 
       4.747828246075e-01       1.356101838718e+02 
       4.936798195708e-01       1.277539487182e+02 
       5.140160594721e-01       1.202317376298e+02 
       5.360803112646e-01       1.128833254846e+02 
       5.602649808695e-01       1.057322502704e+02 
       5.871208108657e-01       9.873786559814e+01 
       6.174515393373e-01       9.179648733204e+01 
       6.524874675022e-01       8.485542829943e+01 
       6.942260583903e-01       7.778443792354e+01 
       7.461538951715e-01       7.042588530547e+01 
       8.148995582031e-01       6.252982145870e+01 
       9.141333547765e-01       5.375064998020e+01 
       1.071582715302e+00       4.385957548658e+01 
       1.321162124448e+00       3.377953136263e+01 
       1.660876656661e+00       2.545272780192e+01 
       2.090877845363e+00       1.904399948373e+01 
       2.632259108234e+00       1.406798837696e+01 
       3.313817881714e+00       1.019676535562e+01 
       4.171849541348e+00       7.217543273712e+00 
       5.252047401785e+00       4.972717291644e+00 
       6.611935938054e+00       3.328809658963e+00 
       8.323934173572e+00       2.165050740332e+00 
       1.047921225721e+01       1.371052172193e+00 
