# Matter power spectrum P(k) at redshift z=1.5
# for k=1.16255e-05 to 11.6379 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.162552720548e-05       5.936519960864e+00 
       1.463567162448e-05       7.405109559210e+00 
       1.842521892674e-05       9.236995988559e+00 
       2.319597632474e-05       1.152204574542e+01 
       2.920200404659e-05       1.437234913272e+01 
       3.676314496957e-05       1.792771178108e+01 
       4.628205741967e-05       2.236249462660e+01 
       5.826565819574e-05       2.789413827144e+01 
       7.335211773753e-05       3.479376103027e+01 
       9.234484502869e-05       4.339933192235e+01 
       1.162552720548e-04       5.413199359590e+01 
       1.463567162448e-04       6.751621572498e+01 
       1.842521892674e-04       8.420453403188e+01 
       2.319597632474e-04       1.050076244084e+02 
       2.920200404659e-04       1.309303224258e+02 
       3.676314496957e-04       1.632137440299e+02 
       4.628205741967e-04       2.033827030951e+02 
       5.826565819574e-04       2.532959426746e+02 
       7.335211773753e-04       3.151943243941e+02 
       9.234484502869e-04       3.917396880114e+02 
       1.162552720548e-03       4.860351944735e+02 
       1.463567162448e-03       6.016124523224e+02 
       1.842521892674e-03       7.423298166615e+02 
       2.319597632474e-03       9.121686231594e+02 
       2.920200404659e-03       1.114780333478e+03 
       3.676314496957e-03       1.352801712095e+03 
       4.628205741967e-03       1.626855195294e+03 
       5.826565819574e-03       1.934122971006e+03 
       7.335211773753e-03       2.266472447207e+03 
       9.234484502869e-03       2.608282443279e+03 
       1.162552720548e-02       2.933735099336e+03 
       1.463567162448e-02       3.205314245052e+03 
       1.842521892659e-02       3.374091103300e+03 
       2.319597570463e-02       3.387928531338e+03 
       2.920165828178e-02       3.213382497722e+03 
       3.672600507278e-02       2.874646988496e+03 
       4.530355552653e-02       2.504573798424e+03 
       5.209830369086e-02       2.277935380695e+03 
       5.712300821134e-02       2.147043246432e+03 
       6.133770285675e-02       2.053979298517e+03 
       6.513496678478e-02       1.977501009141e+03 
       6.869533299049e-02       1.908108497846e+03 
       7.211664531454e-02       1.840867417119e+03 
       7.545857671562e-02       1.773083266849e+03 
       7.876083045618e-02       1.703523848754e+03 
       8.205167515394e-02       1.631789537662e+03 
       8.535238032041e-02       1.558273856975e+03 
       8.867971010160e-02       1.483896396161e+03 
       9.204741471905e-02       1.409914520516e+03 
       9.546716789121e-02       1.337797679204e+03 
       9.894918043039e-02       1.269021467701e+03 
       1.025026155431e-01       1.204890638178e+03 
       1.061358778001e-01       1.146421660166e+03 
       1.098568188230e-01       1.094184125552e+03 
       1.136728863948e-01       1.048224892758e+03 
       1.175912341068e-01       1.008026675283e+03 
       1.216188028311e-01       9.725627332369e+02 
       1.257623816735e-01       9.403303513194e+02 
       1.300286537398e-01       9.095820840998e+02 
       1.344242305392e-01       8.784785449532e+02 
       1.389556778532e-01       8.454701024076e+02 
       1.436295352361e-01       8.096410955300e+02 
       1.484523308717e-01       7.707820677941e+02 
       1.534305932213e-01       7.296729198901e+02 
       1.585708607022e-01       6.878147428647e+02 
       1.638796905130e-01       6.471231902708e+02 
       1.693636676453e-01       6.094630131750e+02 
       1.750294150684e-01       5.761960857366e+02 
       1.808836060446e-01       5.477720138704e+02 
       1.869329795142e-01       5.236203028719e+02 
       1.931843594734e-01       5.022551291614e+02 
       1.996446792624e-01       4.817737788054e+02 
       2.063210116746e-01       4.604620418297e+02 
       2.132206058059e-01       4.371373005793e+02 
       2.203509315764e-01       4.119821624440e+02 
       2.277197328992e-01       3.863627943787e+02 
       2.353350905366e-01       3.621296159026e+02 
       2.432054957983e-01       3.406081099200e+02 
       2.513399364028e-01       3.221730432077e+02 
       2.597479960736e-01       3.062220045592e+02 
       2.684399697810e-01       2.913720852605e+02 
       2.774269970182e-01       2.762121887819e+02 
       2.867212161283e-01       2.602000918035e+02 
       2.963359435500e-01       2.438644435325e+02 
       3.062858829596e-01       2.283133301361e+02 
       3.165873707704e-01       2.144856990659e+02 
       3.272586664057e-01       2.023806767751e+02 
       3.383202983727e-01       1.911537283718e+02 
       3.497954806761e-01       1.799803594112e+02 
       3.617106188813e-01       1.686290451581e+02 
       3.740959316949e-01       1.576262516347e+02 
       3.869862230729e-01       1.475428817763e+02 
       4.004218528000e-01       1.384029543281e+02 
       4.144499720644e-01       1.297254809209e+02 
       4.291261177317e-01       1.211464401114e+02 
       4.445162995090e-01       1.128347330858e+02 
       4.606997757768e-01       1.050732140053e+02 
       4.777728096490e-01       9.780862132253e+01 
       4.958538495667e-01       9.081452595115e+01 
       5.150908290944e-01       8.402235834296e+01 
       5.356717038164e-01       7.756311005963e+01 
       5.578400838476e-01       7.141405179614e+01 
       5.819191681185e-01       6.543174630691e+01 
       6.083497498438e-01       5.965538520856e+01 
       6.377531897286e-01       5.404899560034e+01 
       6.710411126383e-01       4.854098506800e+01 
       7.096181081368e-01       4.310587735590e+01 
       7.557830816353e-01       3.765585464298e+01 
       8.135883467364e-01       3.210579429775e+01 
       8.908222226703e-01       2.632983777032e+01 
       1.003656872225e+00       2.021722784613e+01 
       1.184188291409e+00       1.393259482834e+01 
       1.466489971965e+00       8.529480621781e+00 
       1.844505585484e+00       4.985110984432e+00 
       2.322070038209e+00       2.878269947954e+00 
       2.923312910437e+00       1.646757087921e+00 
       3.680232909550e+00       9.344754136207e-01 
       4.633138731154e+00       5.263587709175e-01 
       5.832776085017e+00       2.944900963458e-01 
       7.343030034733e+00       1.637532010829e-01 
       9.244327110294e+00       9.054782887884e-02 
       1.163791831409e+01       4.981156725767e-02 
