# Matter power spectrum P(k) at redshift z=1
# for k=8.53816e-06 to 10.7638 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.538160845698e-06       3.229399244681e+01 
       1.074890765864e-05       4.028289639146e+01 
       1.353207300049e-05       5.024802758886e+01 
       1.703587057456e-05       6.267817520461e+01 
       2.144689037836e-05       7.818297057536e+01 
       2.700003530128e-05       9.752264863141e+01 
       3.399103056012e-05       1.216451946139e+02 
       4.279217214520e-05       1.517323645594e+02 
       5.387215293946e-05       1.892569073617e+02 
       6.782102232355e-05       2.360531503469e+02 
       8.538160845698e-05       2.944038123041e+02 
       1.074890765864e-04       3.671457273081e+02 
       1.353207300049e-04       4.577967848690e+02 
       1.703587057456e-04       5.707048200122e+02 
       2.144689037836e-04       7.112155335368e+02 
       2.700003530128e-04       8.858494331003e+02 
       3.399103056012e-04       1.102465787785e+03 
       4.279217214520e-04       1.370375148754e+03 
       5.387215293946e-04       1.700346656855e+03 
       6.782102232355e-04       2.104453083139e+03 
       8.538160845698e-04       2.595695680167e+03 
       1.074890765864e-03       3.187260278406e+03 
       1.353207300049e-03       3.890985615914e+03 
       1.703587057456e-03       4.714756654709e+03 
       2.144689037836e-03       5.658998675346e+03 
       2.700003530128e-03       6.712209607421e+03 
       3.399103056012e-03       7.846202432255e+03 
       4.279217214520e-03       9.010559301290e+03 
       5.387215293946e-03       1.012814667290e+04 
       6.782102232355e-03       1.109360302339e+04 
       8.538160845698e-03       1.177039839238e+04 
       1.074890765864e-02       1.199890393322e+04 
       1.353207300048e-02       1.161234806363e+04 
       1.703587056577e-02       1.048683144012e+04 
       2.144687704992e-02       8.646531926336e+03 
       2.699679917694e-02       6.404551515028e+03 
       3.381577784554e-02       4.410333505241e+03 
       4.047661283558e-02       3.344259117281e+03 
       4.525660909802e-02       2.966166611062e+03 
       4.903458977080e-02       2.802658897703e+03 
       5.233274764571e-02       2.709099091077e+03 
       5.536967997658e-02       2.634207002857e+03 
       5.825485187636e-02       2.554389586169e+03 
       6.105135864896e-02       2.458004172994e+03 
       6.379944484139e-02       2.340316578271e+03 
       6.652682586156e-02       2.201402584028e+03 
       6.925379138391e-02       2.044842139794e+03 
       7.199596652939e-02       1.876871381730e+03 
       7.476591387662e-02       1.705079362267e+03 
       7.757411599897e-02       1.537577694909e+03 
       8.042960580388e-02       1.381791490601e+03 
       8.334038614548e-02       1.243777382511e+03 
       8.631371782034e-02       1.127669441312e+03 
       8.935632227320e-02       1.035443176896e+03 
       9.247452723198e-02       9.670297209988e+02 
       9.567437306181e-02       9.205168086209e+02 
       9.896169140030e-02       8.922252764452e+02 
       1.023421638044e-01       8.770006064049e+02 
       1.058213657190e-01       8.683638108003e+02 
       1.094047995167e-01       8.590797052098e+02 
       1.130979193369e-01       8.421636926243e+02 
       1.169061497754e-01       8.123133224524e+02 
       1.208349000227e-01       7.673083040996e+02 
       1.248895747535e-01       7.087590855540e+02 
       1.290755828672e-01       6.418974507514e+02 
       1.333983450517e-01       5.740229152698e+02 
       1.378633010620e-01       5.125591261651e+02 
       1.424759175474e-01       4.630691791313e+02 
       1.472416972358e-01       4.281471921868e+02 
       1.521661902559e-01       4.071985228125e+02 
       1.572550083699e-01       3.965019016582e+02 
       1.625138428787e-01       3.903779249534e+02 
       1.679484869549e-01       3.822547506953e+02 
       1.735648631603e-01       3.665249849811e+02 
       1.793690569134e-01       3.415045862083e+02 
       1.853673566917e-01       3.102628023442e+02 
       1.915663017999e-01       2.784441866928e+02 
       1.979727386037e-01       2.513575560015e+02 
       2.045938862469e-01       2.319530801829e+02 
       2.114374130351e-01       2.201534829299e+02 
       2.185115249107e-01       2.127503294018e+02 
       2.258250677777e-01       2.050049125652e+02 
       2.333876458845e-01       1.935424326372e+02 
       2.412097590764e-01       1.781670191994e+02 
       2.493029625308e-01       1.616568007700e+02 
       2.576800536433e-01       1.476768195939e+02 
       2.663552921365e-01       1.377606201364e+02 
       2.753446613191e-01       1.306778586653e+02 
       2.846661809169e-01       1.239218860021e+02 
       2.943402852577e-01       1.155607341772e+02 
       3.043902851899e-01       1.060698826507e+02 
       3.148429384727e-01       9.728543784905e+01 
       3.257291623033e-01       9.038603044039e+01 
       3.370849343624e-01       8.471577375095e+01 
       3.489524471928e-01       7.894057654917e+01 
       3.613816079100e-01       7.271982191908e+01 
       3.744320161474e-01       6.679122462350e+01 
       3.881756160024e-01       6.168504603542e+01 
       4.027003166731e-01       5.710505789608e+01 
       4.181150362656e-01       5.245012963177e+01 
       4.345568889563e-01       4.790001328067e+01 
       4.522016921465e-01       4.383581234997e+01 
       4.712797836411e-01       3.994993320705e+01 
       4.921006497256e-01       3.613726410835e+01 
       5.150928066480e-01       3.255923089515e+01 
       5.408714205666e-01       2.909047664264e+01 
       5.703593388489e-01       2.571947342133e+01 
       6.050179875984e-01       2.242003374770e+01 
       6.473216122998e-01       1.913959342569e+01 
       7.018118225517e-01       1.581996393362e+01 
       7.775873443826e-01       1.240432726140e+01 
       8.937080492331e-01       8.888037808270e+00 
       1.081973726374e+00       5.593674198132e+00 
       1.355257116192e+00       3.218455094108e+00 
       1.705943560574e+00       1.816121449816e+00 
       2.147654171632e+00       1.017509053694e+00 
       2.703736410742e+00       5.665337339837e-01 
       3.403802474276e+00       3.136569474740e-01 
       4.285133431594e+00       1.727504794894e-01 
       5.394663369963e+00       9.468996951464e-02 
       6.791478804521e+00       5.167431608401e-02 
       8.549965250673e+00       2.808353792493e-02 
       1.076376852403e+01       1.520361790418e-02 
