# Matter power spectrum P(k) at redshift z=2.5
# for k=1.85651e-07 to 11.7278 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.856510862255e-07       2.648269985179e-01 
       2.337208701765e-07       3.303408317177e-01 
       2.942371427318e-07       4.120617070465e-01 
       3.704226160788e-07       5.139989792664e-01 
       4.663344444848e-07       6.411538513732e-01 
       5.870802825569e-07       7.997647408200e-01 
       7.390902864741e-07       9.976133460842e-01 
       9.304595432525e-07       1.244406427852e+00 
       1.171379163647e-06       1.552252035908e+00 
       1.474678995961e-06       1.936253546384e+00 
       1.856510862255e-06       2.415250648255e+00 
       2.337208701765e-06       3.012743633731e+00 
       2.942371427318e-06       3.758046330504e+00 
       3.704226160788e-06       4.687724227496e+00 
       4.663344444848e-06       5.847388316746e+00 
       5.870802825569e-06       7.293932617673e+00 
       7.390902864741e-06       9.098325037902e+00 
       9.304595432525e-06       1.134908827038e+01 
       1.171379163647e-05       1.415664112049e+01 
       1.474678995961e-05       1.765871233997e+01 
       1.856510862255e-05       2.202709094975e+01 
       2.337208701765e-05       2.747604092316e+01 
       2.942371427318e-05       3.427278648884e+01 
       3.704226160788e-05       4.275056959411e+01 
       4.663344444848e-05       5.332489459253e+01 
       5.870802825569e-05       6.651370689755e+01 
       7.390902864741e-05       8.296239642637e+01 
       9.304595432525e-05       1.034746578962e+02 
       1.171379163647e-04       1.290503406973e+02 
       1.474678995961e-04       1.609314031094e+02 
       1.856510862255e-04       2.006567931149e+02 
       2.337208701765e-04       2.501262245010e+02 
       2.942371427318e-04       3.116709163716e+02 
       3.704226160788e-04       3.881257118850e+02 
       4.663344444848e-04       4.828908947482e+02 
       5.870802825569e-04       5.999637193789e+02 
       7.390902864741e-04       7.439123245594e+02 
       9.304595432525e-04       9.197651510697e+02 
       1.171379163647e-03       1.132795659615e+03 
       1.474678995961e-03       1.388147693729e+03 
       1.856510862255e-03       1.690109689346e+03 
       2.337208701765e-03       2.040851998184e+03 
       2.942371427318e-03       2.438856972745e+03 
       3.704226160788e-03       2.877054083513e+03 
       4.663344444848e-03       3.340470709557e+03 
       5.870802825569e-03       3.803932615452e+03 
       7.390902864741e-03       4.230050169520e+03 
       9.304595432525e-03       4.567857209131e+03 
       1.171379163647e-02       4.753366203934e+03 
       1.474678995961e-02       4.715340626424e+03 
       1.856510858471e-02       4.393698560595e+03 
       2.337204631670e-02       3.780252111375e+03 
       2.941624784861e-02       2.976787911247e+03 
       3.672377712065e-02       2.230718531120e+03 
       4.336858320066e-02       1.821927727175e+03 
       4.812792473926e-02       1.650978208794e+03 
       5.197227690010e-02       1.559048294764e+03 
       5.536742711499e-02       1.495816963436e+03 
       5.851414144634e-02       1.442003179739e+03 
       6.151578441938e-02       1.388437749154e+03 
       6.443312328356e-02       1.330488043158e+03 
       6.730548888989e-02       1.266157248081e+03 
       7.016027917135e-02       1.195267182688e+03 
       7.301773996010e-02       1.118982166575e+03 
       7.589358616557e-02       1.039424527408e+03 
       7.880053852842e-02       9.592992788103e+02 
       8.174927409409e-02       8.815171424998e+02 
       8.474904018996e-02       8.088390411615e+02 
       8.780806547235e-02       7.435757389673e+02 
       9.093384337044e-02       6.873698862235e+02 
       9.413333235791e-02       6.410696097994e+02 
       9.741310028596e-02       6.046830633467e+02 
       1.007794300401e-01       5.773905378126e+02 
       1.042383977966e-01       5.575965497360e+02 
       1.077959314538e-01       5.430277904271e+02 
       1.114578544631e-01       5.309120093643e+02 
       1.152299187728e-01       5.182834199294e+02 
       1.191178295945e-01       5.024320055434e+02 
       1.231272640462e-01       4.814400737105e+02 
       1.272638852838e-01       4.546616286638e+02 
       1.315333534395e-01       4.229522138040e+02 
       1.359413344932e-01       3.885049509844e+02 
       1.404935080788e-01       3.542921384130e+02 
       1.451955751430e-01       3.232834217269e+02 
       1.500532663287e-01       2.977021768709e+02 
       1.550723519189e-01       2.785296995946e+02 
       1.602586541623e-01       2.653283573947e+02 
       1.656180627828e-01       2.563603097880e+02 
       1.711565544722e-01       2.489991734554e+02 
       1.768802171558e-01       2.404633323311e+02 
       1.827952798244e-01       2.287701271429e+02 
       1.889081487369e-01       2.135354172928e+02 
       1.952254508215e-01       1.961222737973e+02 
       2.017540851555e-01       1.789454931055e+02 
       2.085012834848e-01       1.642930236115e+02 
       2.154746808729e-01       1.533134968652e+02 
       2.226823977569e-01       1.456157230687e+02 
       2.301331349549e-01       1.395649583263e+02 
       2.378362835383e-01       1.331591796287e+02 
       2.458020519763e-01       1.251492822941e+02 
       2.540416136268e-01       1.157396102039e+02 
       2.625672785256e-01       1.062934777831e+02 
       2.713926945872e-01       9.824188042225e+01 
       2.805330848710e-01       9.206975558364e+01 
       2.900055296133e-01       8.709943105483e+01 
       2.998293044686e-01       8.215230202834e+01 
       3.100262901183e-01       7.656609753277e+01 
       3.206214734899e-01       7.068406642272e+01 
       3.316435678804e-01       6.533829028652e+01 
       3.431257892048e-01       6.091733552409e+01 
       3.551068397661e-01       5.703662247754e+01 
       3.676321715548e-01       5.310276720660e+01 
       3.807556315867e-01       4.904083476279e+01 
       3.945416378330e-01       4.524870242034e+01 
       4.090681053521e-01       4.191894381178e+01 
       4.244304545195e-01       3.879391992676e+01 
       4.407472154977e-01       3.567046309810e+01 
       4.581680477578e-01       3.269864435990e+01 
       4.768855199959e-01       2.996934757785e+01 
       4.971529404436e-01       2.733295236024e+01 
       5.193122957432e-01       2.477552607506e+01 
       5.438398294221e-01       2.235301462903e+01 
       5.714239958910e-01       1.998929259235e+01 
       6.031064265945e-01       1.768903105131e+01 
       6.405541079463e-01       1.541775880381e+01 
       6.866260309819e-01       1.314715207019e+01 
       7.466497912884e-01       1.083244990475e+01 
       8.314439725066e-01       8.430108806167e+00 
       9.634927286814e-01       5.956706359098e+00 
       1.176392240234e+00       3.697842194769e+00 
       1.476531464714e+00       2.131589794599e+00 
       1.858731321413e+00       1.210105160627e+00 
       2.340003524609e+00       6.818191624331e-01 
       2.945889900380e+00       3.815870658976e-01 
       3.708655655936e+00       2.122540007907e-01 
       4.668920848852e+00       1.174042736962e-01 
       5.877823102275e+00       6.460706175337e-02 
       7.399740869485e+00       3.538520504446e-02 
       9.315721821287e+00       1.929590216783e-02 
       1.172779893002e+01       1.047960236192e-02 
