# Matter power spectrum P(k) at redshift z=0.5
# for k=8.10015e-06 to 10.2119 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.100147158893e-06       7.027032270206e+01 
       1.019748109760e-05       8.765378666886e+01 
       1.283786809006e-05       1.093373889069e+02 
       1.616191837184e-05       1.363846500153e+02 
       2.034664974165e-05       1.701219869662e+02 
       2.561491440464e-05       2.122034521417e+02 
       3.224726666494e-05       2.646913287990e+02 
       4.059690346539e-05       3.301563033280e+02 
       5.110847341274e-05       4.118013081618e+02 
       6.434175593730e-05       5.136144968314e+02 
       8.100147158893e-05       6.405565326846e+02 
       1.019748109760e-04       7.987876213106e+02 
       1.283786809006e-04       9.959379619994e+02 
       1.616191837184e-04       1.241420764624e+03 
       2.034664974165e-04       1.546777487153e+03 
       2.561491440464e-04       1.926027258398e+03 
       3.224726666494e-04       2.395964877810e+03 
       4.059690346539e-04       2.976318353277e+03 
       5.110847341274e-04       3.689653629116e+03 
       6.434175593730e-04       4.560914649498e+03 
       8.100147158893e-04       5.616436356666e+03 
       1.019748109760e-03       6.881947528330e+03 
       1.283786809006e-03       8.378684989888e+03 
       1.616191837184e-03       1.011747867624e+04 
       2.034664974165e-03       1.209095171703e+04 
       2.561491440464e-03       1.426413670161e+04 
       3.224726666494e-03       1.656531412474e+04 
       4.059690346539e-03       1.887586802995e+04 
       5.110847341274e-03       2.102357805761e+04 
       6.434175593730e-03       2.277615357115e+04 
       8.100147158893e-03       2.387324578103e+04 
       1.019748109760e-02       2.399722118064e+04 
       1.283786809006e-02       2.283916569049e+04 
       1.616191836851e-02       2.019623531624e+04 
       2.034664340742e-02       1.617335759016e+04 
       2.561306270650e-02       1.146563234166e+04 
       3.213017183794e-02       7.401416154140e+03 
       3.877565044696e-02       5.275991354317e+03 
       4.359393283894e-02       4.609104495875e+03 
       4.734546402945e-02       4.381490895861e+03 
       5.059390730765e-02       4.286100340963e+03 
       5.357152362968e-02       4.219597284934e+03 
       5.639246178714e-02       4.134863105209e+03 
       5.912164393624e-02       4.008977242623e+03 
       6.180007536086e-02       3.832102632385e+03 
       6.445578090748e-02       3.604697329086e+03 
       6.710914998388e-02       3.334896510048e+03 
       6.977580291333e-02       3.036793920865e+03 
       7.246824242754e-02       2.727040936946e+03 
       7.519686090551e-02       2.423391428256e+03 
       7.797058361833e-02       2.142211388993e+03 
       8.079729532469e-02       1.895528533037e+03 
       8.368413214954e-02       1.691882932584e+03 
       8.663768649800e-02       1.534750924838e+03 
       8.966415397305e-02       1.423825985531e+03 
       9.276944049309e-02       1.355142402668e+03 
       9.595924139802e-02       1.322034247203e+03 
       9.923910040076e-02       1.315022573690e+03 
       1.026144537654e-01       1.321969972935e+03 
       1.060906635002e-01       1.328746867724e+03 
       1.096730423112e-01       1.321037731762e+03 
       1.133668723739e-01       1.287086891875e+03 
       1.171774195195e-01       1.221045968035e+03 
       1.211099441281e-01       1.125358189218e+03 
       1.251697098203e-01       1.010574027374e+03 
       1.293619909020e-01       8.915154938448e+02 
       1.336920794383e-01       7.837012824103e+02 
       1.381652927736e-01       6.984292037439e+02 
       1.427869822859e-01       6.409556134300e+02 
       1.475625441380e-01       6.104759444715e+02 
       1.524974327795e-01       6.005716600673e+02 
       1.575971779400e-01       6.007445091281e+02 
       1.628674058510e-01       5.980871025062e+02 
       1.683138654318e-01       5.806806282143e+02 
       1.739424601828e-01       5.438964977066e+02 
       1.797592865478e-01       4.928385882748e+02 
       1.857706795466e-01       4.387247357569e+02 
       1.919832665460e-01       3.925451365892e+02 
       1.984040301441e-01       3.607213303430e+02 
       2.050403812967e-01       3.437419403732e+02 
       2.119002440465e-01       3.360323496575e+02 
       2.189921535205e-01       3.283534535153e+02 
       2.263253692934e-01       3.134320944015e+02 
       2.339100067782e-01       2.899260515814e+02 
       2.417571900621e-01       2.629043966375e+02 
       2.498792306050e-01       2.398574043253e+02 
       2.582898375354e-01       2.244044684328e+02 
       2.670043670359e-01       2.147261658927e+02 
       2.760401206527e-01       2.060749009744e+02 
       2.854167055286e-01       1.941784432829e+02 
       2.951564738800e-01       1.794179535243e+02 
       3.052850649988e-01       1.653453507502e+02 
       3.158320814281e-01       1.546644474402e+02 
       3.268319428447e-01       1.464808979298e+02 
       3.383249783878e-01       1.381677826919e+02 
       3.503588434886e-01       1.287142214653e+02 
       3.629903852611e-01       1.194068452771e+02 
       3.762881387849e-01       1.115128771280e+02 
       3.903357280519e-01       1.046656945196e+02 
       4.052365926019e-01       9.758182902946e+01 
       4.211207049098e-01       9.044141286832e+01 
       4.381543612190e-01       8.411403480961e+01 
       4.565548695476e-01       7.810928176726e+01 
       4.766133283426e-01       7.209155757991e+01 
       4.987313414557e-01       6.641769587227e+01 
       5.234829289817e-01       6.089791596894e+01 
       5.517246258498e-01       5.544745842709e+01 
       5.848039345024e-01       5.007219943932e+01 
       6.249837847562e-01       4.463845886463e+01 
       6.763782422363e-01       3.903463318699e+01 
       7.471536974625e-01       3.310527501390e+01 
       8.544404850014e-01       2.669994999262e+01 
       1.028451941122e+00       2.010450968312e+01 
       1.285877821182e+00       1.455048930653e+01 
       1.618480503728e+00       1.060873871776e+01 
       2.037543421276e+00       7.818576510815e+00 
       2.565115186838e+00       5.785524173781e+00 
       3.229288692889e+00       4.267841273165e+00 
       4.065433597498e+00       3.117383386693e+00 
       5.118077665852e+00       2.241311431507e+00 
       6.443278033077e+00       1.578624271975e+00 
       8.111606451096e+00       1.085698634006e+00 
       1.021190749176e+01       7.279415009229e-01 
