# Matter power spectrum P(k) at redshift z=0.5
# for k=9.46734e-06 to 11.9325 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.467337480019e-06       3.075407447291e+01 
       1.191867173563e-05       3.836208989935e+01 
       1.500471872281e-05       4.785204192916e+01 
       1.888982169697e-05       5.968956658221e+01 
       2.378087655858e-05       7.445519342067e+01 
       2.993834981434e-05       9.287303430517e+01 
       3.769014936846e-05       1.158460126890e+02 
       4.744908681427e-05       1.444999079600e+02 
       5.973486115691e-05       1.802379160644e+02 
       7.520173468043e-05       2.248082597119e+02 
       9.467337480019e-05       2.803874952132e+02 
       1.191867173563e-04       3.496824756417e+02 
       1.500471872281e-04       4.360537782672e+02 
       1.888982169697e-04       5.436624214490e+02 
       2.378087655858e-04       6.776393609354e+02 
       2.993834981434e-04       8.442723624142e+02 
       3.769014936846e-04       1.051196634447e+03 
       4.744908681427e-04       1.307564466448e+03 
       5.973486115691e-04       1.624158272939e+03 
       7.520173468043e-04       2.013403602187e+03 
       9.467337480019e-04       2.489213056166e+03 
       1.191867173563e-03       3.066484150751e+03 
       1.500471872281e-03       3.759895723097e+03 
       1.888982169697e-03       4.581921180445e+03 
       2.378087655858e-03       5.539778896145e+03 
       2.993834981434e-03       6.631139248726e+03 
       3.769014936846e-03       7.838972016841e+03 
       4.744908681427e-03       9.125043811957e+03 
       5.973486115691e-03       1.042263891389e+04 
       7.520173468043e-03       1.163340462104e+04 
       9.467337480019e-03       1.261650130568e+04 
       1.191867173563e-02       1.319677761327e+04 
       1.500471872281e-02       1.317335545953e+04 
       1.888982165004e-02       1.237237836796e+04 
       2.378082853297e-02       1.075795663252e+04 
       2.992989093764e-02       8.592336707395e+03 
       3.734182974834e-02       6.549153556269e+03 
       4.400914475545e-02       5.414120625404e+03 
       4.878928826322e-02       4.923104849032e+03 
       5.266223013863e-02       4.649895251639e+03 
       5.608814015553e-02       4.457487287552e+03 
       5.926627995720e-02       4.292965967116e+03 
       6.229964809627e-02       4.130662972824e+03 
       6.524896833085e-02       3.957839105442e+03 
       6.815362633499e-02       3.768554995085e+03 
       7.104110375539e-02       3.562475709610e+03 
       7.393173593517e-02       3.342133247532e+03 
       7.684132543163e-02       3.113566344551e+03 
       7.978267659835e-02       2.883688682259e+03 
       8.276654587382e-02       2.660420318406e+03 
       8.580225625252e-02       2.451236257166e+03 
       8.889810900199e-02       2.262519335187e+03 
       9.206166776245e-02       2.098648224582e+03 
       9.529995939389e-02       1.962476287019e+03 
       9.861961878869e-02       1.853735818365e+03 
       1.020269949162e-01       1.770358295773e+03 
       1.055282293863e-01       1.707916653750e+03 
       1.091293151185e-01       1.660111704270e+03 
       1.128361403562e-01       1.619312340454e+03 
       1.166545217475e-01       1.577262091077e+03 
       1.205902292159e-01       1.526487991762e+03 
       1.246490046823e-01       1.461690283328e+03 
       1.288365762620e-01       1.381135424670e+03 
       1.331586692614e-01       1.287266783674e+03 
       1.376210151129e-01       1.186087920877e+03 
       1.422293592548e-01       1.085988475773e+03 
       1.469894688873e-01       9.950540712399e+02 
       1.519071414809e-01       9.194733194404e+02 
       1.569882148872e-01       8.620263757294e+02 
       1.622385798772e-01       8.212963429559e+02 
       1.676641959229e-01       7.922903578735e+02 
       1.732711110263e-01       7.678228284645e+02 
       1.790654863984e-01       7.402287844466e+02 
       1.850536267886e-01       7.035032892828e+02 
       1.912420172782e-01       6.568355539296e+02 
       1.976373673779e-01       6.045364399831e+02 
       2.042466633210e-01       5.536289427888e+02 
       2.110772295254e-01       5.100421515706e+02 
       2.181368003327e-01       4.766573477635e+02 
       2.254336033209e-01       4.525194113681e+02 
       2.329764557633e-01       4.331445789941e+02 
       2.407748761759e-01       4.127175494675e+02 
       2.488392134085e-01       3.878691640876e+02 
       2.571807964048e-01       3.591938970087e+02 
       2.658121086554e-01       3.305431487379e+02 
       2.747469925530e-01       3.061257975446e+02 
       2.840008904222e-01       2.871813013368e+02 
       2.935911310881e-01       2.715208076523e+02 
       3.035372736397e-01       2.559411785322e+02 
       3.138615238329e-01       2.385391409004e+02 
       3.245892437621e-01       2.205045830700e+02 
       3.357495826255e-01       2.041588397530e+02 
       3.473762665341e-01       1.905126807997e+02 
       3.595085997942e-01       1.783285163639e+02 
       3.721927511427e-01       1.659799856753e+02 
       3.854834295813e-01       1.534305621578e+02 
       3.994461015424e-01       1.417537301227e+02 
       4.141599738040e-01       1.313331112267e+02 
       4.297220815294e-01       1.215706906048e+02 
       4.462530074993e-01       1.118572637546e+02 
       4.639050709784e-01       1.025911451507e+02 
       4.828743649702e-01       9.407669628187e+01 
       5.034189909946e-01       8.582737741487e+01 
       5.258876589219e-01       7.784728596243e+01 
       5.507663956057e-01       7.026149682217e+01 
       5.787585363825e-01       6.285500156272e+01 
       6.109295990480e-01       5.564500195617e+01 
       6.489875121530e-01       4.851158681365e+01 
       6.958672042684e-01       4.137333064032e+01 
       7.570501053994e-01       3.408519130708e+01 
       8.436882849692e-01       2.650708930403e+01 
       9.789155924352e-01       1.870107798459e+01 
       1.196642562005e+00       1.159665417536e+01 
       1.502299106553e+00       6.692488608690e+00 
       1.891181730956e+00       3.805373371908e+00 
       2.380856247282e+00       2.147064537921e+00 
       2.997320431173e+00       1.203173054756e+00 
       3.773402858094e+00       6.700315155546e-01 
       4.750432746991e+00       3.710101974547e-01 
       5.980440502206e+00       2.043679770874e-01 
       7.528928521950e+00       1.120256671299e-01 
       9.478359439865e+00       6.113632018118e-02 
       1.193254756097e+01       3.322773113334e-02 
