# Matter power spectrum P(k) at redshift z=1
# for k=8.69434e-06 to 10.9603 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.694344274016e-06       2.996173554664e+01 
       1.094553094545e-05       3.737366413789e+01 
       1.377960705280e-05       4.661914271095e+01 
       1.734749748331e-05       5.815159203655e+01 
       2.183920541277e-05       7.253666805083e+01 
       2.749393066753e-05       9.047971759429e+01 
       3.461280798746e-05       1.128602946920e+02 
       4.357494354897e-05       1.407748942186e+02 
       5.485760375130e-05       1.755900587875e+02 
       6.906163139264e-05       2.190079599183e+02 
       8.694344274016e-05       2.731470702551e+02 
       1.094553094545e-04       3.406405661414e+02 
       1.377960705280e-04       4.247546610808e+02 
       1.734749748331e-04       5.295278433034e+02 
       2.183920541277e-04       6.599287657460e+02 
       2.749393066753e-04       8.220242913472e+02 
       3.461280798746e-04       1.023138583281e+03 
       4.357494354897e-04       1.271969324931e+03 
       5.485760375130e-04       1.578612992348e+03 
       6.906163139264e-04       1.954446919768e+03 
       8.694344274016e-04       2.411813503559e+03 
       1.094553094545e-03       2.963370498818e+03 
       1.377960705280e-03       3.620724922235e+03 
       1.734749748331e-03       4.392085508099e+03 
       2.183920541277e-03       5.279045312313e+03 
       2.749393066753e-03       6.272412724846e+03 
       3.461280798746e-03       7.347646001348e+03 
       4.357494354897e-03       8.459467942246e+03 
       5.485760375130e-03       9.533925353208e+03 
       6.906163139264e-03       1.047845996128e+04 
       8.694344274016e-03       1.116199139218e+04 
       1.094553094545e-02       1.143202572615e+04 
       1.377960705280e-02       1.112675044747e+04 
       1.734749747126e-02       1.012204057222e+04 
       2.183918844708e-02       8.430883135940e+03 
       2.749005260734e-02       6.338432731230e+03 
       3.441320128062e-02       4.457814341576e+03 
       4.107617981866e-02       3.446740367728e+03 
       4.584930126456e-02       3.075657642524e+03 
       4.963993876739e-02       2.907096986647e+03 
       5.295764110391e-02       2.806114438068e+03 
       5.601696072960e-02       2.724081974839e+03 
       5.892598678286e-02       2.638428633356e+03 
       6.174728932648e-02       2.537890300603e+03 
       6.452090445985e-02       2.417768609110e+03 
       6.727447218407e-02       2.277887071269e+03 
       7.002826774945e-02       2.121594174369e+03 
       7.279793166278e-02       1.954623688163e+03 
       7.559605718665e-02       1.784205316231e+03 
       7.843316574241e-02       1.618066605096e+03 
       8.131833359987e-02       1.463234990403e+03 
       8.425960957043e-02       1.325647454284e+03 
       8.726430197509e-02       1.209355624373e+03 
       9.033918079451e-02       1.116300209079e+03 
       9.349062300205e-02       1.046512503825e+03 
       9.672471875235e-02       9.981725278873e+02 
       1.000473499244e-01       9.676887565120e+02 
       1.034642487142e-01       9.499975632606e+02 
       1.069810415683e-01       9.386418373345e+02 
       1.106032821987e-01       9.266139546510e+02 
       1.143364764038e-01       9.070669216313e+02 
       1.181861007448e-01       8.747655572021e+02 
       1.221576166806e-01       8.275765995358e+02 
       1.262564814649e-01       7.671545489601e+02 
       1.304881569114e-01       6.986950294682e+02 
       1.348581170061e-01       6.294498767313e+02 
       1.393718552609e-01       5.667601156691e+02 
       1.440348926547e-01       5.160890483005e+02 
       1.488527869701e-01       4.800498721702e+02 
       1.538311443210e-01       4.578856910941e+02 
       1.589756336456e-01       4.459359695676e+02 
       1.642920049351e-01       4.384293759142e+02 
       1.697861119624e-01       4.287303524990e+02 
       1.754639402733e-01       4.113098987174e+02 
       1.813316412135e-01       3.845650246171e+02 
       1.873955727868e-01       3.516558392752e+02 
       1.936623481832e-01       3.184027606800e+02 
       2.001388928913e-01       2.901269903120e+02 
       2.068325114262e-01       2.697297153584e+02 
       2.137509648748e-01       2.570237774426e+02 
       2.209025607095e-01       2.486820680601e+02 
       2.282962566589e-01       2.398454034650e+02 
       2.359417808835e-01       2.271414119792e+02 
       2.438497713246e-01       2.104852424127e+02 
       2.520319379038e-01       1.928067062337e+02 
       2.605012523362e-01       1.778603792135e+02 
       2.692721717452e-01       1.671163391486e+02 
       2.783609041632e-01       1.592404096729e+02 
       2.877857265495e-01       1.516084203199e+02 
       2.975673693849e-01       1.422755379587e+02 
       3.077294866018e-01       1.318313229645e+02 
       3.182992361063e-01       1.222020987669e+02 
       3.293080052774e-01       1.145622272100e+02 
       3.407923288410e-01       1.081547568212e+02 
       3.527950653865e-01       1.015931455805e+02 
       3.653669266497e-01       9.457810895338e+01 
       3.785684956213e-01       8.790960162630e+01 
       3.924729340495e-01       8.211044112531e+01 
       4.071696815117e-01       7.683543888732e+01 
       4.227696125116e-01       7.146464336678e+01 
       4.394123915466e-01       6.622357175298e+01 
       4.572772365060e-01       6.148861463012e+01 
       4.765991402312e-01       5.691581824476e+01 
       4.976941618756e-01       5.241495911549e+01 
       5.210004461581e-01       4.814968209227e+01 
       5.471478995759e-01       4.397028392210e+01 
       5.770831711828e-01       3.986713194342e+01 
       6.123086879635e-01       3.579145720511e+01 
       6.553750171825e-01       3.167331824015e+01 
       7.109787968710e-01       2.741714554936e+01 
       7.885572639612e-01       2.290684141669e+01 
       9.078587536796e-01       1.806297401071e+01 
       1.101152898949e+00       1.322234806613e+01 
       1.379979764792e+00       9.357822876943e+00 
       1.737097636687e+00       6.698359753919e+00 
       2.186875113143e+00       4.857237803205e+00 
       2.753112651091e+00       3.545399158262e+00 
       3.465963477991e+00       2.586433221102e+00 
       4.363389498793e+00       1.872528141998e+00 
       5.493181921587e+00       1.336678240213e+00 
       6.915506312694e+00       9.356943247246e-01 
       8.706106632473e+00       6.398055592619e-01 
       1.096033887741e+01       4.264279677701e-01 
