# Matter power spectrum P(k) at redshift z=1
# for k=9.82252e-06 to 12.3793 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.822523621315e-06       2.491876258926e+01 
       1.236582459482e-05       3.108319901865e+01 
       1.556765082021e-05       3.877258145735e+01 
       1.959851121950e-05       4.836405015539e+01 
       2.467306380756e-05       6.032810922465e+01 
       3.106154701416e-05       7.525148595288e+01 
       3.910417086577e-05       9.386586479982e+01 
       4.922923441005e-05       1.170835813313e+02 
       6.197593420199e-05       1.460419018865e+02 
       7.802307848657e-05       1.821579620199e+02 
       9.822523621315e-05       2.271965573510e+02 
       1.236582459482e-04       2.833533429664e+02 
       1.556765082021e-04       3.533559271061e+02 
       1.959851121950e-04       4.405848304782e+02 
       2.467306380756e-04       5.492146216702e+02 
       3.106154701416e-04       6.843720054471e+02 
       3.910417086577e-04       8.523011817626e+02 
       4.922923441005e-04       1.060517163131e+03 
       6.197593420199e-04       1.317916852025e+03 
       7.802307848657e-04       1.634810370088e+03 
       9.822523621315e-04       2.022827180006e+03 
       1.236582459482e-03       2.494596686433e+03 
       1.556765082021e-03       3.062915421725e+03 
       1.959851121950e-03       3.739227388134e+03 
       2.467306380756e-03       4.531238915593e+03 
       3.106154701416e-03       5.439513873740e+03 
       3.910417086577e-03       6.453191099257e+03 
       4.922923441005e-03       7.544463979066e+03 
       6.197593420199e-03       8.662527027527e+03 
       7.802307848657e-03       9.727794476372e+03 
       9.822523621315e-03       1.062652620073e+04 
       1.236582459482e-02       1.121043096835e+04 
       1.556765082020e-02       1.130701151445e+04 
       1.959851113971e-02       1.075929970942e+04 
       2.467299174264e-02       9.518878908557e+03 
       3.105008242492e-02       7.783457978776e+03 
       3.867229745548e-02       6.110258443447e+03 
       4.534495296141e-02       5.167193474405e+03 
       5.014661846425e-02       4.733575745427e+03 
       5.406627978157e-02       4.477257995370e+03 
       5.754726376617e-02       4.289489978672e+03 
       6.078382499056e-02       4.126754730113e+03 
       6.387737188760e-02       3.967773788374e+03 
       6.688811373777e-02       3.801730484889e+03 
       6.985530868268e-02       3.623728313146e+03 
       7.280646325320e-02       3.432994825733e+03 
       7.576200073242e-02       3.231708662740e+03 
       7.873783788822e-02       3.024463893614e+03 
       8.174690369043e-02       2.816837833548e+03 
       8.480008265118e-02       2.615271070127e+03 
       8.790682633074e-02       2.425804338494e+03 
       9.107556391526e-02       2.253863489297e+03 
       9.431398601423e-02       2.103187562554e+03 
       9.762924557487e-02       1.975942229428e+03 
       1.010281029056e-01       1.872208114975e+03 
       1.045170319668e-01       1.790063876872e+03 
       1.081022991657e-01       1.725780725907e+03 
       1.117900222210e-01       1.673863565640e+03 
       1.155862143331e-01       1.627812211581e+03 
       1.194968173825e-01       1.580570077496e+03 
       1.235277268903e-01       1.526054998663e+03 
       1.276848108118e-01       1.459825232767e+03 
       1.319739237988e-01       1.380650176940e+03 
       1.364009182720e-01       1.290719485445e+03 
       1.409716534541e-01       1.195292493208e+03 
       1.456920033890e-01       1.101322648152e+03 
       1.505678648918e-01       1.015816406097e+03 
       1.556051663264e-01       9.439432135146e+02 
       1.608098780745e-01       8.878935879438e+02 
       1.661880255401e-01       8.463889387587e+02 
       1.717457055234e-01       8.148693462662e+02 
       1.774891067833e-01       7.870614379908e+02 
       1.834245356113e-01       7.563816529910e+02 
       1.895584472330e-01       7.179459399761e+02 
       1.958974838722e-01       6.712487958955e+02 
       2.024485203375e-01       6.202599633064e+02 
       2.092187180468e-01       5.711196895147e+02 
       2.162155884933e-01       5.288507449583e+02 
       2.234470672939e-01       4.956911345644e+02 
       2.309216001633e-01       4.706137859726e+02 
       2.386482424392e-01       4.495342818395e+02 
       2.466367741767e-01       4.274282656288e+02 
       2.548978333571e-01       4.015501119629e+02 
       2.634430704580e-01       3.727149570552e+02 
       2.722853285686e-01       3.443286092988e+02 
       2.814388544603e-01       3.200039498202e+02 
       2.909195476593e-01       3.005889113780e+02 
       3.007452567395e-01       2.840123655534e+02 
       3.109361349644e-01       2.674485009528e+02 
       3.215150713597e-01       2.494057925949e+02 
       3.325082187062e-01       2.310758909453e+02 
       3.439456474573e-01       2.144816113543e+02 
       3.558621651739e-01       2.003724454208e+02 
       3.682983562211e-01       1.875342770416e+02 
       3.813019185249e-01       1.745814583955e+02 
       3.949294068852e-01       1.616077073596e+02 
       4.092485417981e-01       1.495637138802e+02 
       4.243413192099e-01       1.386902520496e+02 
       4.403082777515e-01       1.284197964244e+02 
       4.572744770856e-01       1.182610718544e+02 
       4.753980714101e-01       1.086063004802e+02 
       4.948829349985e-01       9.965966907158e+01 
       5.159978280890e-01       9.097602141166e+01 
       5.391065299123e-01       8.259377435900e+01 
       5.647171907157e-01       7.459122514411e+01 
       5.935671320971e-01       6.676778908943e+01 
       6.267770346827e-01       5.913728104208e+01 
       6.661505531868e-01       5.156811992514e+01 
       7.148025550637e-01       4.397016678362e+01 
       7.785838172184e-01       3.618705379602e+01 
       8.694531507719e-01       2.806656531710e+01 
       1.012077918591e+00       1.970304180817e+01 
       1.240780909676e+00       1.217102251439e+01 
       1.558526660788e+00       7.036709783085e+00 
       1.961991900327e+00       4.011903350397e+00 
       2.470001125130e+00       2.269344727387e+00 
       3.109547183372e+00       1.274589847997e+00 
       3.914687968320e+00       7.112562223309e-01 
       4.928300162563e+00       3.945741747705e-01 
       6.204362311600e+00       2.177167175829e-01 
       7.810829378051e+00       1.195357879555e-01 
       9.833251591217e+00       6.533030578729e-02 
       1.237933030875e+01       3.555396339925e-02 
