# Matter power spectrum P(k) at redshift z=0
# for k=2.35919e-07 to 11.8369 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.359187744505e-07       9.440495360380e-01 
       2.970041402751e-07       1.177591827308e+00 
       3.739060596004e-07       1.468908630740e+00 
       4.707198400547e-07       1.832292407675e+00 
       5.926011684806e-07       2.285571338232e+00 
       7.460406700591e-07       2.850983999256e+00 
       9.392095577693e-07       3.556270422918e+00 
       1.182394779276e-06       4.436033063906e+00 
       1.488546834403e-06       5.533434445583e+00 
       1.873969436476e-06       6.902314772249e+00 
       2.359187744505e-06       8.609833395714e+00 
       2.970041402751e-06       1.073976372138e+01 
       3.739060596004e-06       1.339660319128e+01 
       4.707198400547e-06       1.671069994805e+01 
       5.926011684806e-06       2.084464763398e+01 
       7.460406700591e-06       2.600126192585e+01 
       9.392095577693e-06       3.243352987141e+01 
       1.182394779276e-05       4.045701962192e+01 
       1.488546834403e-05       5.046535832774e+01 
       1.873969436476e-05       6.294953545997e+01 
       2.359187744505e-05       7.852197443959e+01 
       2.970041402751e-05       9.794654532357e+01 
       3.739060596004e-05       1.221759747473e+02 
       4.707198400547e-05       1.523984564104e+02 
       5.926011684806e-05       1.900956856213e+02 
       7.460406700591e-05       2.371150406299e+02 
       9.392095577693e-05       2.957592078469e+02 
       1.182394779276e-04       3.688971708670e+02 
       1.488546834403e-04       4.601010829756e+02 
       1.873969436476e-04       5.738139624854e+02 
       2.359187744505e-04       7.155530903126e+02 
       2.970041402751e-04       8.921529471340e+02 
       3.739060596004e-04       1.112048810451e+03 
       4.707198400547e-04       1.385597114858e+03 
       5.926011684806e-04       1.725421397039e+03 
       7.460406700591e-04       2.146763540098e+03 
       9.392095577693e-04       2.667803737068e+03 
       1.182394779276e-03       3.309863215935e+03 
       1.488546834403e-03       4.097298621359e+03 
       1.873969436476e-03       5.056834898430e+03 
       2.359187744505e-03       6.216074876769e+03 
       2.970041402751e-03       7.600681317273e+03 
       3.739060596004e-03       9.229794261775e+03 
       4.707198400547e-03       1.110929513162e+04 
       5.926011684806e-03       1.314087020852e+04 
       7.460406700591e-03       1.539585802877e+04 
       9.392095577693e-03       1.771296461101e+04 
       1.182394779276e-02       1.991806907622e+04 
       1.488546834403e-02       2.175863812905e+04 
       1.873969436456e-02       2.291089195184e+04 
       2.359187666798e-02       2.303506094653e+04 
       2.970000358028e-02       2.192134505134e+04 
       3.734842149093e-02       1.974089480427e+04 
       4.600610140353e-02       1.738682131761e+04 
       5.279602448226e-02       1.597956339409e+04 
       5.783712666138e-02       1.518139994391e+04 
       6.207772968953e-02       1.462582379823e+04 
       6.590420028781e-02       1.417676215113e+04 
       6.949520719766e-02       1.377173355798e+04 
       7.294798527333e-02       1.337698314889e+04 
       7.632201297729e-02       1.297330641216e+04 
       7.965695381930e-02       1.255068662825e+04 
       8.298109923584e-02       1.210590520503e+04 
       8.631576790702e-02       1.164118223048e+04 
       8.967778424466e-02       1.116308518117e+04 
       9.308096314893e-02       1.068139252909e+04 
       9.653704447362e-02       1.020781457945e+04 
       1.000563053586e-01       9.754600291144e+03 
       1.036479750503e-01       9.333122162126e+03 
       1.073205237534e-01       8.952557784169e+03 
       1.110818683585e-01       8.618770457071e+03 
       1.149395216549e-01       8.333464511245e+03 
       1.189007020924e-01       8.093676101945e+03 
       1.229724153605e-01       7.891672792725e+03 
       1.271615154296e-01       7.715385430497e+03 
       1.314747503877e-01       7.549540985848e+03 
       1.359187968961e-01       7.377637206452e+03 
       1.405002860986e-01       7.184718458641e+03 
       1.452258231556e-01       6.960557326081e+03 
       1.501020021341e-01       6.702429576981e+03 
       1.551354176971e-01       6.416449975007e+03 
       1.603326748375e-01       6.116670483065e+03 
       1.657003977843e-01       5.821868872769e+03 
       1.712452391262e-01       5.550839216280e+03 
       1.769738901496e-01       5.317539711685e+03 
       1.828930933577e-01       5.127395144675e+03 
       1.890096581184e-01       4.975619640873e+03 
       1.953304803732e-01       4.848068849845e+03 
       2.018625673327e-01       4.724936718272e+03 
       2.086130680815e-01       4.587059229746e+03 
       2.155893110176e-01       4.423168888239e+03 
       2.227988490710e-01       4.234824035504e+03 
       2.302495136878e-01       4.035806871159e+03 
       2.379494786316e-01       3.845582191552e+03 
       2.459073347744e-01       3.680085602677e+03 
       2.541321772170e-01       3.544550252379e+03 
       2.626337063349e-01       3.431628572001e+03 
       2.714223446930e-01       3.325649432219e+03 
       2.805093722578e-01       3.211446905060e+03 
       2.899070829770e-01       3.083283911722e+03 
       2.996289666610e-01       2.947772627006e+03 
       3.096899212366e-01       2.818122170228e+03 
       3.201065019468e-01       2.704072986971e+03 
       3.308972160693e-01       2.605320238760e+03 
       3.420828743817e-01       2.513052717153e+03 
       3.536870141850e-01       2.418071368174e+03 
       3.657364135573e-01       2.318620251793e+03 
       3.782617232014e-01       2.220621378641e+03 
       3.912982515789e-01       2.130375390466e+03 
       4.048869522254e-01       2.047965123923e+03 
       4.190756811206e-01       1.968360533938e+03 
       4.339208197641e-01       1.888136412573e+03 
       4.494894010054e-01       1.809060168102e+03 
       4.658619376944e-01       1.734210398121e+03 
       4.831362522920e-01       1.663114308405e+03 
       5.014327621041e-01       1.593258816791e+03 
       5.209019315779e-01       1.524402021827e+03 
       5.417350376010e-01       1.457784862695e+03 
       5.641801549095e-01       1.392851986018e+03 
       5.885666554911e-01       1.328526179929e+03 
       6.153441572631e-01       1.264921230949e+03 
       6.451471492868e-01       1.201495169035e+03 
       6.789077494604e-01       1.137354435276e+03 
       7.180644611008e-01       1.071640598808e+03 
       7.649764343299e-01       1.002747006773e+03 
       8.238123225734e-01       9.282442311186e+02 
       9.026053842366e-01       8.439271864709e+02 
       1.018060849076e+00       7.425749916753e+02 
       1.203119914616e+00       6.149925769520e+02 
       1.491413605807e+00       4.679284041566e+02 
       1.876034835522e+00       3.336251712092e+02 
       2.361766276988e+00       2.271763893775e+02 
       2.973287526373e+00       1.492554544878e+02 
       3.743147223502e+00       9.547806566701e+01 
       4.712343159753e+00       5.991251341678e+01 
       5.932488552908e+00       3.708750461463e+01 
       7.468560594434e+00       2.274108881927e+01 
       9.402360721857e+00       1.385221494281e+01 
       1.183687084360e+01       8.398834121744e+00 
