# Matter power spectrum P(k) at redshift z=1
# for k=1.73887e-07 to 10.9863 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.738868854803e-07       7.007404423103e-01 
       2.189106189089e-07       8.740920746010e-01 
       2.755921410560e-07       1.090328042180e+00 
       3.469499496662e-07       1.360057221688e+00 
       4.367841082555e-07       1.696512950490e+00 
       5.498786133507e-07       2.116202273746e+00 
       6.922561597493e-07       2.639715804561e+00 
       8.714988709794e-07       3.292737928417e+00 
       1.097152075026e-06       4.107306912751e+00 
       1.381232627853e-06       5.123386741423e+00 
       1.738868854803e-06       6.390827783814e+00 
       2.189106189089e-06       7.971812479434e+00 
       2.755921410560e-06       9.943906002012e+00 
       3.469499496662e-06       1.240386152114e+01 
       4.367841082555e-06       1.547236665481e+01 
       5.498786133507e-06       1.929996378500e+01 
       6.922561597493e-06       2.407443429933e+01 
       8.714988709794e-06       3.003000826831e+01 
       1.097152075026e-05       3.745884988696e+01 
       1.381232627853e-05       4.672537911110e+01 
       1.738868854803e-05       5.828412619767e+01 
       2.189106189089e-05       7.270198328626e+01 
       2.755921410560e-05       9.068592140357e+01 
       3.469499496662e-05       1.131174867018e+02 
       4.367841082555e-05       1.410956775885e+02 
       5.498786133507e-05       1.759901275163e+02 
       6.922561597493e-05       2.195068514323e+02 
       8.714988709794e-05       2.737690935486e+02 
       1.097152075026e-04       3.414159038576e+02 
       1.381232627853e-04       4.257206960577e+02 
       1.738868854803e-04       5.307306909399e+02 
       2.189106189089e-04       6.614249586511e+02 
       2.755921410560e-04       8.238824783000e+02 
       3.469499496662e-04       1.025440954934e+03 
       4.367841082555e-04       1.274812313301e+03 
       5.498786133507e-04       1.582106646656e+03 
       6.922561597493e-04       1.958712333113e+03 
       8.714988709794e-04       2.416977403187e+03 
       1.097152075026e-03       2.969554217782e+03 
       1.381232627853e-03       3.628042433898e+03 
       1.738868854803e-03       4.400610959297e+03 
       2.189106189089e-03       5.288743674880e+03 
       2.755921410560e-03       6.283113459194e+03 
       3.469499496662e-03       7.358992882753e+03 
       4.367841082555e-03       8.470860178659e+03 
       5.498786133507e-03       9.547970989420e+03 
       6.922561597493e-03       1.049122734862e+04 
       8.714988709794e-03       1.117229724532e+04 
       1.097152075026e-02       1.143758393794e+04 
       1.381232627853e-02       1.112488160896e+04 
       1.738868853491e-02       1.011050847755e+04 
       2.189104379350e-02       8.409582530253e+03 
       2.755514649115e-02       6.312028716135e+03 
       3.448859347827e-02       4.434953098989e+03 
       4.113343948437e-02       3.431411287573e+03 
       4.589187861612e-02       3.061833201231e+03 
       4.967587320194e-02       2.892262385184e+03 
       5.299010919175e-02       2.789447648233e+03 
       5.604744895521e-02       2.705227187185e+03 
       5.895531028656e-02       2.617325507638e+03 
       6.177594892866e-02       2.514683268238e+03 
       6.454923503233e-02       2.392741034625e+03 
       6.730271299932e-02       2.251483700991e+03 
       7.005659931861e-02       2.094286876503e+03 
       7.282649655885e-02       1.926932852064e+03 
       7.562497254824e-02       1.756609125891e+03 
       7.846253115659e-02       1.590891627836e+03 
       8.134823627423e-02       1.436802908120e+03 
       8.429012784021e-02       1.300057026198e+03 
       8.729550774716e-02       1.184571953322e+03 
       9.037114128904e-02       1.092264098723e+03 
       9.352340201633e-02       1.023064262015e+03 
       9.675837759082e-02       9.750489659798e+02 
       1.000819480901e-01       9.445975688967e+02 
       1.034998444262e-01       9.265676734159e+02 
       1.070176921503e-01       9.145934777830e+02 
       1.106410443714e-01       9.016788783501e+02 
       1.143754065043e-01       8.812002413553e+02 
       1.182262548922e-01       8.482294599579e+02 
       1.221990509025e-01       8.008131379086e+02 
       1.262992517960e-01       7.406716001645e+02 
       1.305323194760e-01       6.728817767771e+02 
       1.349037280932e-01       6.045091309057e+02 
       1.394189714016e-01       5.426550672161e+02 
       1.440835707091e-01       4.926507620282e+02 
       1.489030842336e-01       4.569520705722e+02 
       1.538831186561e-01       4.348296824785e+02 
       1.590293436488e-01       4.226450125749e+02 
       1.643475101462e-01       4.146271170881e+02 
       1.698434731231e-01       4.043366867839e+02 
       1.755232196446e-01       3.868112982831e+02 
       1.813929029589e-01       3.606152803013e+02 
       1.874588834294e-01       3.284807740028e+02 
       1.937277771465e-01       2.958532965693e+02 
       2.002065131333e-01       2.681362408483e+02 
       2.069024001773e-01       2.482841125625e+02 
       2.138232044945e-01       2.358266204307e+02 
       2.209772396772e-01       2.273952418029e+02 
       2.283734707194e-01       2.184796797510e+02 
       2.360216343745e-01       2.059069137237e+02 
       2.439323787167e-01       1.896862913163e+02 
       2.521174255989e-01       1.726749642666e+02 
       2.605897607781e-01       1.582182898422e+02 
       2.693638579146e-01       1.477483118881e+02 
       2.784559445533e-01       1.400729233116e+02 
       2.878843207460e-01       1.326147958655e+02 
       2.976697444167e-01       1.236423184607e+02 
       3.078359022853e-01       1.136332864351e+02 
       3.184099916839e-01       1.044118135695e+02 
       3.294234477624e-01       9.706724251693e+01 
       3.409128636406e-01       9.096577405212e+01 
       3.529211700085e-01       8.476560585561e+01 
       3.654991686454e-01       7.810126700979e+01 
       3.787075564464e-01       7.178248614801e+01 
       3.926196413466e-01       6.637848619538e+01 
       4.073250536273e-01       6.143396955607e+01 
       4.229349212075e-01       5.641801176585e+01 
       4.395892524877e-01       5.158285537632e+01 
       4.574677434424e-01       4.721574951001e+01 
       4.768060703043e-01       4.303337707136e+01 
       4.979213013356e-01       3.893901612579e+01 
       5.212531294060e-01       3.509364872200e+01 
       5.474339465996e-01       3.135838173056e+01 
       5.774146159032e-01       2.772702804221e+01 
       6.127051904206e-01       2.416390697431e+01 
       6.558711431834e-01       2.061820436592e+01 
       7.116407928573e-01       1.702494991855e+01 
       7.895228594599e-01       1.331854839429e+01 
       9.094082899167e-01       9.504401852031e+00 
       1.103602742840e+00       5.955609387756e+00 
       1.383236092925e+00       3.426129803204e+00 
       1.741205378453e+00       1.935649234500e+00 
       2.192046526945e+00       1.085743553952e+00 
       2.759623075441e+00       6.051812090701e-01 
       3.474159616646e+00       3.353810453709e-01 
       4.373707826025e+00       1.848820884964e-01 
       5.506171925945e+00       1.014236543931e-01 
       6.931859759280e+00       5.539016414479e-02 
       8.726694401951e+00       3.012418562456e-02 
       1.098625734358e+01       1.631943076013e-02 
