# Matter power spectrum P(k) at redshift z=0.5
# for k=1.56159e-07 to 12.4214 h/Mpc,
# number of wavenumbers equal to 141
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.561592837023e-07       2.235665571895e+00 
       1.965928905404e-07       2.788732373885e+00 
       2.474957856794e-07       3.478618781576e+00 
       3.115787339038e-07       4.339171706376e+00 
       3.922543858861e-07       5.412611224293e+00 
       4.938190142798e-07       6.751601955375e+00 
       6.216813059040e-07       8.421836865464e+00 
       7.826503940399e-07       1.050526025136e+01 
       9.852984696075e-07       1.310408802676e+01 
       1.240417281591e-06       1.634582253640e+01 
       1.561592837023e-06       2.038950790316e+01 
       1.965928905404e-06       2.543353274886e+01 
       2.474957856794e-06       3.172536298871e+01 
       3.115787339038e-06       3.957368198466e+01 
       3.922543858861e-06       4.936353321817e+01 
       4.938190142798e-06       6.157520754916e+01 
       6.216813059040e-06       7.680779995607e+01 
       7.826503940399e-06       9.580858805033e+01 
       9.852984696075e-06       1.195096670165e+02 
       1.240417281591e-05       1.490736248761e+02 
       1.561592837023e-05       1.859504726803e+02 
       1.965928905404e-05       2.319485704258e+02 
       2.474957856794e-05       2.893229254626e+02 
       3.115787339038e-05       3.608849921050e+02 
       3.922543858861e-05       4.501389587965e+02 
       4.938190142798e-05       5.614504207902e+02 
       6.216813059040e-05       7.002541678103e+02 
       7.826503940399e-05       8.733082614238e+02 
       9.852984696075e-05       1.089001014859e+03 
       1.240417281591e-04       1.357714721457e+03 
       1.561592837023e-04       1.692242884572e+03 
       1.965928905404e-04       2.108242919117e+03 
       2.474957856794e-04       2.624679598841e+03 
       3.115787339038e-04       3.264173595979e+03 
       3.922543858861e-04       4.053121568701e+03 
       4.938190142798e-04       5.021425438972e+03 
       6.216813059040e-04       6.201679939895e+03 
       7.826503940399e-04       7.627603332172e+03 
       9.852984696075e-04       9.331025625817e+03 
       1.240417281591e-03       1.133624655036e+04 
       1.561592837023e-03       1.365162384743e+04 
       1.965928905404e-03       1.625872468947e+04 
       2.474957856794e-03       1.910025242819e+04 
       3.115787339038e-03       2.206896590502e+04 
       3.922543858861e-03       2.499584285332e+04 
       4.938190142798e-03       2.764615867369e+04 
       6.216813059040e-03       2.971177526381e+04 
       7.826503940399e-03       3.085793514436e+04 
       9.852984696075e-03       3.069068795995e+04 
       1.240417281591e-02       2.884266914321e+04 
       1.561592836847e-02       2.509427875378e+04 
       1.965928517352e-02       1.964118283020e+04 
       2.474829774375e-02       1.344018705737e+04 
       3.106831882637e-02       8.219789547545e+03 
       3.767994851357e-02       5.553752449202e+03 
       4.252523219468e-02       4.791681337037e+03 
       4.626038586785e-02       4.588180293557e+03 
       4.947668344039e-02       4.542916753853e+03 
       5.241580835965e-02       4.526167869166e+03 
       5.519507774115e-02       4.479252924704e+03 
       5.788062705393e-02       4.372454639745e+03 
       6.051395803370e-02       4.193470531549e+03 
       6.312329307541e-02       3.943199975342e+03 
       6.572908213038e-02       3.633080485067e+03 
       6.834693867476e-02       3.282236505931e+03 
       7.098932358782e-02       2.914079873417e+03 
       7.366656838311e-02       2.552646070118e+03 
       7.638752671549e-02       2.219253564448e+03 
       7.916000539272e-02       1.930092572402e+03 
       8.199105867543e-02       1.695116689262e+03 
       8.488719454457e-02       1.518211787556e+03 
       8.785452238910e-02       1.398210127772e+03 
       9.089886057035e-02       1.330074744477e+03 
       9.402581579546e-02       1.305641526050e+03 
       9.724084223690e-02       1.313697534783e+03 
       1.005492858236e-01       1.339767987776e+03 
       1.039564175152e-01       1.366490947302e+03 
       1.074674583172e-01       1.375516461861e+03 
       1.110875980955e-01       1.351224502040e+03 
       1.148220097877e-01       1.285318968406e+03 
       1.186758602966e-01       1.180188784778e+03 
       1.226543191485e-01       1.048848628773e+03 
       1.267625658645e-01       9.108372301341e+02 
       1.310057969074e-01       7.858509368955e+02 
       1.353892330105e-01       6.882406477814e+02 
       1.399181276645e-01       6.245441368564e+02 
       1.445977775131e-01       5.937972990907e+02 
       1.494335353971e-01       5.887593601905e+02 
       1.544308267764e-01       5.969364728082e+02 
       1.595951702536e-01       6.024725083126e+02 
       1.649322029219e-01       5.907322437183e+02 
       1.704477112659e-01       5.548066571496e+02 
       1.761476683617e-01       4.994364969069e+02 
       1.820382781611e-01       4.382484670077e+02 
       1.881260277039e-01       3.859063455586e+02 
       1.944177482098e-01       3.511763331906e+02 
       2.009206861444e-01       3.345637761817e+02 
       2.076425855762e-01       3.294364641895e+02 
       2.145917834377e-01       3.250870020980e+02 
       2.217773197150e-01       3.120616289743e+02 
       2.292090651338e-01       2.880480362685e+02 
       2.368978696425e-01       2.590392345475e+02 
       2.448557359464e-01       2.338795070996e+02 
       2.530960236257e-01       2.175552050627e+02 
       2.616336910521e-01       2.086324805548e+02 
       2.704855845775e-01       2.012722257187e+02 
       2.796707875076e-01       1.901753061359e+02 
       2.892110455219e-01       1.750939485251e+02 
       2.991312909231e-01       1.602261809993e+02 
       3.094602961121e-01       1.491572303586e+02 
       3.202314980694e-01       1.413865977143e+02 
       3.314840520681e-01       1.336914683959e+02 
       3.432641970172e-01       1.243012646118e+02 
       3.556270510759e-01       1.147274397803e+02 
       3.686390116437e-01       1.068998127979e+02 
       3.823810207320e-01       1.003054963087e+02 
       3.969530963882e-01       9.338703336131e+01 
       4.124807618027e-01       8.631079065536e+01 
       4.291243980306e-01       8.006341042763e+01 
       4.470932439838e-01       7.425024106359e+01 
       4.666670530531e-01       6.835505120440e+01 
       4.882308964525e-01       6.281428800580e+01 
       5.123336469924e-01       5.747317996044e+01 
       5.397915577981e-01       5.218601143443e+01 
       5.718834284738e-01       4.700231865916e+01 
       6.107458276017e-01       4.177868603047e+01 
       6.602394471773e-01       3.642486435965e+01 
       7.279811397743e-01       3.079471251800e+01 
       8.299423472290e-01       2.475402625707e+01 
       9.951561658983e-01       1.854102962481e+01 
       1.242494344896e+00       1.328464073442e+01 
       1.563759608131e+00       9.592236438444e+00 
       1.968652591856e+00       7.024314824432e+00 
       2.478386768421e+00       5.183258455775e+00 
       3.120104083018e+00       3.826255537240e+00 
       3.927978317554e+00       2.805769768897e+00 
       4.945031720945e+00       2.030665981160e+00 
       6.225426095626e+00       1.442698744863e+00 
       7.837347111030e+00       1.002111894671e+00 
       9.866635439128e+00       6.789601462454e-01 
       1.242135808323e+01       4.484073878744e-01 
