# Matter power spectrum P(k) at redshift z=0.5
# for k=2.15888e-07 to 10.831 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.158879963518e-07       5.053196269862e-01 
       2.717868847086e-07       6.303273717304e-01 
       3.421594157520e-07       7.862599713358e-01 
       4.307531833748e-07       9.807677247436e-01 
       5.422861287618e-07       1.223393488393e+00 
       6.826977879617e-07       1.526040863412e+00 
       8.594655938407e-07       1.903558204313e+00 
       1.082003076649e-06       2.374467101180e+00 
       1.362161168833e-06       2.961871074988e+00 
       1.714859310403e-06       3.694589067068e+00 
       2.158879963518e-06       4.608569329752e+00 
       2.717868847086e-06       5.748653080994e+00 
       3.421594157520e-06       7.170774439629e+00 
       4.307531833748e-06       8.944704550014e+00 
       5.422861287618e-06       1.115747448399e+01 
       6.826977879617e-06       1.391764476704e+01 
       8.594655938407e-06       1.736063082442e+01 
       1.082003076649e-05       2.165534528262e+01 
       1.362161168833e-05       2.701248234063e+01 
       1.714859310403e-05       3.369484931632e+01 
       2.158879963518e-05       4.203024964044e+01 
       2.717868847086e-05       5.242754415972e+01 
       3.421594157520e-05       6.539666851287e+01 
       4.307531833748e-05       8.157356844366e+01 
       5.422861287618e-05       1.017512365649e+02 
       6.826977879617e-05       1.269182947789e+02 
       8.594655938407e-05       1.583068610990e+02 
       1.082003076649e-04       1.974517473928e+02 
       1.362161168833e-04       2.462633049956e+02 
       1.714859310403e-04       3.071163593303e+02 
       2.158879963518e-04       3.829574442844e+02 
       2.717868847086e-04       4.774316006522e+02 
       3.421594157520e-04       5.950278061575e+02 
       4.307531833748e-04       7.412380875949e+02 
       5.422861287618e-04       9.227194396324e+02 
       6.826977879617e-04       1.147440967840e+03 
       8.594655938407e-04       1.424791920416e+03 
       1.082003076649e-03       1.765608962715e+03 
       1.362161168833e-03       2.182019979106e+03 
       1.714859310403e-03       2.686911429564e+03 
       2.158879963518e-03       3.292858316078e+03 
       2.717868847086e-03       4.010345907145e+03 
       3.421594157520e-03       4.845025881660e+03 
       4.307531833748e-03       5.793970496730e+03 
       5.422861287618e-03       6.840515535577e+03 
       6.826977879617e-03       7.947968564684e+03 
       8.594655938407e-03       9.052639935515e+03 
       1.082003076649e-02       1.005677787982e+04 
       1.362161168833e-02       1.082436917835e+04 
       1.714859310397e-02       1.118710226879e+04 
       2.158879934358e-02       1.097697423996e+04 
       2.717849456127e-02       1.010898886668e+04 
       3.419189932877e-02       8.715222454306e+03 
       4.235140458201e-02       7.292382212861e+03 
       4.904344903563e-02       6.460357889031e+03 
       5.393368028955e-02       6.020839945754e+03 
       5.799641972061e-02       5.728358376069e+03 
       6.163814686635e-02       5.497436739238e+03 
       6.504245490137e-02       5.291510359026e+03 
       6.830750604267e-02       5.092058386593e+03 
       7.149258717899e-02       4.889261751665e+03 
       7.463685493624e-02       4.678499698020e+03 
       7.776802539396e-02       4.458747669488e+03 
       8.090685101454e-02       4.231644153797e+03 
       8.406962079015e-02       4.000775403424e+03 
       8.726964754611e-02       3.771006084584e+03 
       9.051819872181e-02       3.547807772899e+03 
       9.382510345741e-02       3.336595409513e+03 
       9.719916228135e-02       3.142110945583e+03 
       1.006484314838e-01       2.967897365048e+03 
       1.041804251309e-01       2.815898218741e+03 
       1.078022612825e-01       2.686203992903e+03 
       1.115207693836e-01       2.576958131195e+03 
       1.153425699934e-01       2.484441987598e+03 
       1.192741344042e-01       2.403372806155e+03 
       1.233218293951e-01       2.327458133196e+03 
       1.274919508742e-01       2.250227705326e+03 
       1.317907491726e-01       2.166089139188e+03 
       1.362244481025e-01       2.071435563572e+03 
       1.407992594546e-01       1.965518892302e+03 
       1.455213943196e-01       1.850767740180e+03 
       1.503970724283e-01       1.732335643142e+03 
       1.554325305840e-01       1.616902485789e+03 
       1.606340311772e-01       1.511022314182e+03 
       1.660078717295e-01       1.419472930206e+03 
       1.715603963774e-01       1.344043029066e+03 
       1.772980101924e-01       1.283047355611e+03 
       1.832271972157e-01       1.231714815939e+03 
