# Matter power spectrum P(k) at redshift z=2
# for k=1.06763e-05 to 10.6878 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.067626153073e-05       8.105823128064e+00 
       1.344061694399e-05       1.011105792340e+01 
       1.692073422098e-05       1.261234193701e+01 
       2.130194229701e-05       1.573237768997e+01 
       2.681755647828e-05       1.962421013030e+01 
       3.376130333273e-05       2.447872161371e+01 
       4.250296270086e-05       3.053397018472e+01 
       5.350805982066e-05       3.808681175386e+01 
       6.736265624403e-05       4.750736155928e+01 
       8.480455975156e-05       5.925693481437e+01 
       1.067626153073e-04       7.391026946093e+01 
       1.344061694399e-04       9.218289428047e+01 
       1.692073422098e-04       1.149646286852e+02 
       2.130194229701e-04       1.433600898695e+02 
       2.681755647828e-04       1.787367879286e+02 
       3.376130333273e-04       2.227805295361e+02 
       4.250296270086e-04       2.775561078563e+02 
       5.350805982066e-04       3.455682516763e+02 
       6.736265624403e-04       4.298135004630e+02 
       8.480455975156e-04       5.338093025318e+02 
       1.067626153073e-03       6.615845755277e+02 
       1.344061694399e-03       8.176128533490e+02 
       1.692073422098e-03       1.006641224258e+03 
       2.130194229701e-03       1.233298817112e+03 
       2.681755647828e-03       1.501379760924e+03 
       3.376130333273e-03       1.812853263653e+03 
       4.250296270086e-03       2.166485696373e+03 
       5.350805982066e-03       2.556042405104e+03 
       6.736265624403e-03       2.968231005519e+03 
       8.480455975156e-03       3.380709491268e+03 
       1.067626153073e-02       3.759961965606e+03 
       1.344061694399e-02       4.061607137959e+03 
       1.692073422082e-02       4.232788753827e+03 
       2.130194163560e-02       4.222697201393e+03 
       2.681720172487e-02       4.005210944068e+03 
       3.372438429883e-02       3.612905289732e+03 
       4.155897021275e-02       3.183502907983e+03 
       4.772058461977e-02       2.903995690564e+03 
       5.229001082482e-02       2.727155038029e+03 
       5.613072851795e-02       2.592116602711e+03 
       5.959486678708e-02       2.476631310662e+03 
       6.284500480514e-02       2.371109523774e+03 
       6.596951772665e-02       2.270850150410e+03 
       6.902241899678e-02       2.173554736850e+03 
       7.203970468025e-02       2.078233894733e+03 
       7.504703712423e-02       1.984759550134e+03 
       7.806374565988e-02       1.893496665442e+03 
       8.110507920124e-02       1.805151034432e+03 
       8.418355505325e-02       1.720508746921e+03 
       8.730980749416e-02       1.640343598983e+03 
       9.049314365848e-02       1.565301151904e+03 
       9.374192001922e-02       1.495723057094e+03 
       9.706380448840e-02       1.431639838137e+03 
       1.004659630595e-01       1.372706402910e+03 
       1.039551951588e-01       1.318212204036e+03 
       1.075380332016e-01       1.267153731853e+03 
       1.112208165792e-01       1.218352303082e+03 
       1.150097470185e-01       1.170591424282e+03 
       1.189109301502e-01       1.122833137077e+03 
       1.229304067571e-01       1.074362163405e+03 
       1.270741762700e-01       1.024940478414e+03 
       1.313482144822e-01       9.748697778307e+02 
       1.357584870508e-01       9.249278585584e+02 
       1.403109600907e-01       8.762127706697e+02 
       1.450116089925e-01       8.298364836837e+02 
       1.498664264813e-01       7.867015685682e+02 
       1.548814308659e-01       7.472189407948e+02 
       1.600626753780e-01       7.111796035031e+02 
       1.654162594782e-01       6.778797883088e+02 
       1.709483429847e-01       6.462799352580e+02 
       1.766651638691e-01       6.153162194969e+02 
       1.825730605569e-01       5.843001861474e+02 
       1.886784995663e-01       5.531201393365e+02 
       1.949881093232e-01       5.221342542746e+02 
       2.015087210075e-01       4.923061170357e+02 
       2.082474173202e-01       4.643624133563e+02 
       2.152115901255e-01       4.386697651040e+02 
       2.224090080232e-01       4.150660512440e+02 
       2.298478950670e-01       3.928632289619e+02 
       2.375370220657e-01       3.713681400500e+02 
       2.454858122249e-01       3.503646885114e+02 
       2.537044633219e-01       3.299690800273e+02 
       2.622040891841e-01       3.103890045953e+02 
       2.709968840250e-01       2.919544478976e+02 
       2.800963142121e-01       2.748183233886e+02 
       2.895173434041e-01       2.587220065005e+02 
       2.992766987923e-01       2.433751293260e+02 
       3.093931885822e-01       2.286201088975e+02 
       3.198880840843e-01       2.144505380609e+02 
       3.307855841647e-01       2.010680568120e+02 
       3.421133858502e-01       1.884659887301e+02 
       3.539033932914e-01       1.765511243021e+02 
       3.661926091988e-01       1.652051604505e+02 
       3.790242699848e-01       1.543507694696e+02 
       3.924493108844e-01       1.440523300107e+02 
       4.065282846594e-01       1.342976168977e+02 
       4.213339142850e-01       1.250165570195e+02 
       4.369545484110e-01       1.161506165123e+02 
       4.534989294128e-01       1.077002485234e+02 
       4.711029151520e-01       9.963928167364e+01 
       4.899391868484e-01       9.191762980470e+01 
       5.102316607139e-01       8.450659728507e+01 
       5.322775690084e-01       7.737306006041e+01 
       5.564825523212e-01       7.047945886058e+01 
       5.834188632403e-01       6.377751490584e+01 
       6.139268727961e-01       5.721821518947e+01 
       6.493028943627e-01       5.073946173432e+01 
       6.916716704696e-01       4.425535756823e+01 
       7.447850519340e-01       3.765925549918e+01 
       8.158676370274e-01       3.080441318073e+01 
       9.199369297393e-01       2.356244990966e+01 
       1.086661656078e+00       1.615177147450e+01 
       1.346675381652e+00       9.839341116085e+00 
       1.693925227609e+00       5.731155977083e+00 
       2.132505069133e+00       3.299212812771e+00 
       2.684664768167e+00       1.882504947509e+00 
       3.379792698775e+00       1.065628209051e+00 
       4.254906915084e+00       5.988763776296e-01 
       5.356610440218e+00       3.343722693752e-01 
       6.743573004272e+00       1.855810093117e-01 
       8.489655421367e+00       1.024392498237e-01 
       1.068784294734e+01       5.626385285570e-02 
