# Matter power spectrum P(k) at redshift z=1.5
# for k=1.16054e-05 to 11.6175 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.160542796160e-05       8.284224088492e+00 
       1.461036817561e-05       1.033359422617e+01 
       1.839336377194e-05       1.288993305441e+01 
       2.315587306087e-05       1.607864645998e+01 
       2.915151702861e-05       2.005615466075e+01 
       3.669958557967e-05       2.501754843150e+01 
       4.620204088857e-05       3.120614483315e+01 
       5.816492335137e-05       3.892537297791e+01 
       7.322530008210e-05       4.855356935622e+01 
       9.218519105961e-05       6.056235471892e+01 
       1.160542796160e-04       7.553941332774e+01 
       1.461036817561e-04       9.421661230648e+01 
       1.839336377194e-04       1.175045175163e+02 
       2.315587306087e-04       1.465343487846e+02 
       2.915151702861e-04       1.827082196285e+02 
       3.669958557967e-04       2.277578700300e+02 
       4.620204088857e-04       2.838107529595e+02 
       5.816492335137e-04       3.534599826782e+02 
       7.322530008210e-04       4.398313410549e+02 
       9.218519105961e-04       5.466371422619e+02 
       1.160542796160e-03       6.782041501688e+02 
       1.461036817561e-03       8.394550586869e+02 
       1.839336377194e-03       1.035752668240e+03 
       2.315587306087e-03       1.272654090913e+03 
       2.915151702861e-03       1.555223295165e+03 
       3.669958557967e-03       1.887100256420e+03 
       4.620204088857e-03       2.269093856969e+03 
       5.816492335137e-03       2.697175551071e+03 
       7.322530008210e-03       3.159832948754e+03 
       9.218519105961e-03       3.634983411746e+03 
       1.160542796160e-02       4.086089687971e+03 
       1.461036817561e-02       4.459957915590e+03 
       1.839336377183e-02       4.686933556454e+03 
       2.315587256527e-02       4.692637276893e+03 
       2.915122432523e-02       4.429346566292e+03 
       3.666663601200e-02       3.932605554079e+03 
       4.529485502646e-02       3.393401905598e+03 
       5.220541388460e-02       3.066238707118e+03 
       5.729499217575e-02       2.882825104292e+03 
       6.155092652437e-02       2.755625785478e+03 
       6.537903175565e-02       2.652890186568e+03 
       6.896482908949e-02       2.560472068508e+03 
       7.240842310126e-02       2.471010487616e+03 
       7.577067206775e-02       2.380515697123e+03 
       7.909197055532e-02       2.286991254896e+03 
       8.240102419030e-02       2.189803623262e+03 
       8.571939689355e-02       2.089451118476e+03 
       8.906406181232e-02       1.987221854678e+03 
       9.244892430396e-02       1.885002139370e+03 
       9.588577782832e-02       1.784942007472e+03 
       9.938492890743e-02       1.689277366928e+03 
       1.029556197098e-01       1.600044777035e+03 
       1.066063218556e-01       1.518834191207e+03 
       1.103449454091e-01       1.446639188663e+03 
       1.141789903079e-01       1.383677009755e+03 
       1.181156576723e-01       1.329360415077e+03 
       1.221619324891e-01       1.282277253122e+03 
       1.263246454618e-01       1.240344222166e+03 
       1.306105194466e-01       1.200970117961e+03 
       1.350262043595e-01       1.161426129209e+03 
       1.395783034225e-01       1.119295073700e+03 
       1.442733929459e-01       1.072897942583e+03 
       1.491180373916e-01       1.021762606923e+03 
       1.541188011672e-01       9.667783732589e+02 
       1.592822584026e-01       9.099881930664e+02 
       1.646150018358e-01       8.542079715052e+02 
       1.701236518521e-01       8.023203914382e+02 
       1.758148666737e-01       7.565569199000e+02 
       1.816953546610e-01       7.178827378821e+02 
       1.877718896707e-01       6.857133050303e+02 
       1.940513304001e-01       6.580787320555e+02 
       2.005406446398e-01       6.322302577285e+02 
       2.072469393507e-01       6.053670587398e+02 
       2.141774974886e-01       5.754277857233e+02 
       2.213398225143e-01       5.423365602825e+02 
       2.287416915663e-01       5.079248073896e+02 
       2.363912183405e-01       4.749095503809e+02 
       2.442969268321e-01       4.455280643795e+02 
       2.524678372639e-01       4.207085530770e+02 
       2.609135657694e-01       3.998537930832e+02 
       2.696444397425e-01       3.809408759985e+02 
       2.786716312351e-01       3.616902764274e+02 
       2.880073114159e-01       3.409706599116e+02 
       2.976648299459e-01       3.192870320327e+02 
       3.076589242389e-01       2.983159503873e+02 
       3.180059650468e-01       2.797266208302e+02 
       3.287242467635e-01       2.637729966114e+02 
       3.398343334395e-01       2.493337720104e+02 
       3.513594749994e-01       2.350101475934e+02 
       3.633261129005e-01       2.201834456486e+02 
       3.757645010040e-01       2.055655574705e+02 
       3.887094765200e-01       1.921429414189e+02 
       4.022014287497e-01       1.801845343279e+02 
       4.162875318153e-01       1.689776371237e+02 
       4.310233345627e-01       1.578430248629e+02 
       4.464748410146e-01       1.468993883661e+02 
       4.627212758381e-01       1.366761302621e+02 
       4.798588242454e-01       1.272160997745e+02 
       4.980057870174e-01       1.181431338415e+02 
       5.173098390885e-01       1.092616277167e+02 
       5.379584984893e-01       1.008059866574e+02 
       5.601946437012e-01       9.281360568232e+01 
       5.843402463513e-01       8.502462704444e+01 
       6.108340099635e-01       7.749110746160e+01 
       6.402936451734e-01       7.020778872707e+01 
       6.736241653374e-01       6.304425789135e+01 
       7.122175956335e-01       5.598807683819e+01 
       7.583474787000e-01       4.891564741620e+01 
       8.160111786254e-01       4.172393293059e+01 
       8.928698387042e-01       3.425050427887e+01 
       1.004805453609e+00       2.634990441467e+01 
       1.183537458625e+00       1.821450787868e+01 
       1.464088851967e+00       1.116966190863e+01 
       1.841278041160e+00       6.525087962748e+00 
       2.318002395972e+00       3.764935661349e+00 
       2.918192035328e+00       2.152777113632e+00 
       3.673786109736e+00       1.220984262944e+00 
       4.625022691044e+00       6.874167530035e-01 
       5.822558595879e+00       3.844411909088e-01 
       7.330166978013e+00       2.136884166803e-01 
       9.228133481315e+00       1.181168324788e-01 
       1.161753174306e+01       6.495717965533e-02 
