# Matter power spectrum P(k) at redshift z=2
# for k=2.33961e-07 to 11.7395 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.339614444586e-07       1.321380593497e-01 
       2.945400078090e-07       1.648268367267e-01 
       3.708039006208e-07       2.056022786026e-01 
       4.668144532840e-07       2.564648925450e-01 
       5.876845778320e-07       3.199100784016e-01 
       7.398510491522e-07       3.990505568072e-01 
       9.314172867203e-07       4.977690839102e-01 
       1.172584891237e-06       6.209089451703e-01 
       1.476196917064e-06       7.745115740592e-01 
       1.858421811704e-06       9.661129535915e-01 
       2.339614444586e-06       1.205113340633e+00 
       2.945400078090e-06       1.503238453385e+00 
       3.708039006208e-06       1.875114745214e+00 
       4.668144532840e-06       2.338986984412e+00 
       5.876845778320e-06       2.917613337783e+00 
       7.398510491522e-06       3.639381855745e+00 
       9.314172867203e-06       4.539703105844e+00 
       1.172584891237e-05       5.662747208363e+00 
       1.476196917064e-05       7.063610385881e+00 
       1.858421811704e-05       8.811017057578e+00 
       2.339614444586e-05       1.099068956800e+01 
       2.945400078090e-05       1.370954991658e+01 
       3.708039006208e-05       1.710095771042e+01 
       4.668144532840e-05       2.133123757564e+01 
       5.876845778320e-05       2.660780884177e+01 
       7.398510491522e-05       3.318930169478e+01 
       9.314172867203e-05       4.139812726374e+01 
       1.172584891237e-04       5.163606160203e+01 
       1.476196917064e-04       6.440349693043e+01 
       1.858421811704e-04       8.032308790067e+01 
       2.339614444586e-04       1.001685338195e+02 
       2.945400078090e-04       1.248991091499e+02 
       3.708039006208e-04       1.557001414610e+02 
       4.668144532840e-04       1.940287208019e+02 
       5.876845778320e-04       2.416622539641e+02 
       7.398510491522e-04       3.007449682756e+02 
       9.314172867203e-04       3.738246433047e+02 
       1.172584891237e-03       4.638698514322e+02 
       1.476196917064e-03       5.742552461179e+02 
       1.858421811704e-03       7.086857891374e+02 
       2.339614444586e-03       8.709875222185e+02 
       2.945400078090e-03       1.064687350356e+03 
       3.708039006208e-03       1.292373714346e+03 
       4.668144532840e-03       1.554754146270e+03 
       5.876845778320e-03       1.849326077612e+03 
       7.398510491522e-03       2.168653469810e+03 
       9.314172867203e-03       2.498351826725e+03 
       1.172584891237e-02       2.814941645081e+03 
       1.476196917064e-02       3.084307883602e+03 
       1.858421811668e-02       3.262564488546e+03 
       2.339614323868e-02       3.303262922441e+03 
       2.945343348299e-02       3.176508892389e+03 
       3.702738928082e-02       2.901429700286e+03 
       4.545959135881e-02       2.592536231216e+03 
       5.193986145947e-02       2.395958082955e+03 
       5.679426232005e-02       2.271927787249e+03 
       6.090268090544e-02       2.177564603629e+03 
       6.462196972190e-02       2.096659985368e+03 
       6.811915266412e-02       2.021863182117e+03 
       7.148593799174e-02       1.949387179842e+03 
       7.477878418846e-02       1.877251856050e+03 
       7.803552508808e-02       1.804572383167e+03 
       8.128325274760e-02       1.731209972315e+03 
       8.454244855884e-02       1.657559190067e+03 
       8.782932102546e-02       1.584385018489e+03 
       9.115721120523e-02       1.512675968324e+03 
       9.453747980988e-02       1.443501944705e+03 
       9.798008987928e-02       1.377876229352e+03 
       1.014940022842e-01       1.316628339080e+03 
       1.050874515724e-01       1.260294943079e+03 
       1.087681426913e-01       1.209038739197e+03 
       1.125433938193e-01       1.162603848486e+03 
       1.164202415150e-01       1.120317370803e+03 
       1.204055189118e-01       1.081144621209e+03 
       1.245059142448e-01       1.043803886639e+03 
       1.287280148053e-01       1.006939178172e+03 
       1.330783399831e-01       9.693351993656e+02 
       1.375633661134e-01       9.301423827985e+02 
       1.421895452168e-01       8.890619461598e+02 
       1.469633193035e-01       8.464355700717e+02 
       1.518911316314e-01       8.031958775263e+02 
       1.569794361324e-01       7.606681389509e+02 
       1.622347060958e-01       7.202581530250e+02 
       1.676634431308e-01       6.830999537295e+02 
       1.732721873763e-01       6.497563430810e+02 
       1.790675299042e-01       6.200575398712e+02 
       1.850561282375e-01       5.931366307339e+02 
       1.912447258965e-01       5.676774519588e+02 
       1.976401768750e-01       5.423305466841e+02 
       2.042494759492e-01       5.161772327504e+02 
       2.110797957221e-01       4.890630129858e+02 
       2.181385313313e-01       4.616343399539e+02 
       2.254333537833e-01       4.350296754935e+02 
       2.329722729515e-01       4.103485515546e+02 
       2.407637113887e-01       3.881469041022e+02 
       2.488165902803e-01       3.682039058589e+02 
       2.571404291133e-01       3.496803330901e+02 
       2.657454609891e-01       3.315983997165e+02 
       2.746427659857e-01       3.133873198348e+02 
       2.838444256195e-01       2.951638595288e+02 
       2.933637023120e-01       2.775574227468e+02 
       3.032152488993e-01       2.612036880704e+02 
       3.134153547192e-01       2.462809558605e+02 
       3.239822367965e-01       2.324288624813e+02 
       3.349363872963e-01       2.190918612479e+02 
       3.463009919817e-01       2.059827950239e+02 
       3.581024392591e-01       1.932552200905e+02 
       3.703709460770e-01       1.812451612724e+02 
       3.831413362560e-01       1.700757359267e+02 
       3.964540200340e-01       1.595483374998e+02 
       4.103562426080e-01       1.494047212980e+02 
       4.249036972879e-01       1.396084890325e+02 
       4.401626404252e-01       1.302946133926e+02 
       4.562127086004e-01       1.215048281453e+02 
       4.731507372624e-01       1.131179252668e+02 
       4.910960378144e-01       1.050427752990e+02 
       5.101978495150e-01       9.730850841419e+01 
       5.306461223954e-01       8.991886476274e+01 
       5.526875597693e-01       8.280006815867e+01 
       5.766502599531e-01       7.591763078279e+01 
       6.029829927885e-01       6.925684559767e+01 
       6.323205669771e-01       6.275991727784e+01 
       6.655982914887e-01       5.638122723642e+01 
       7.042647815040e-01       5.005761226754e+01 
       7.507063197571e-01       4.370494623336e+01 
       8.091621610059e-01       3.720878497952e+01 
       8.878490505164e-01       3.042001270191e+01 
       1.003902864668e+00       2.321450930478e+01 
       1.190586992774e+00       1.584724085588e+01 
       1.478876925882e+00       9.655935428277e+00 
       1.860599783153e+00       5.651099239720e+00 
       2.342341196115e+00       3.268513863960e+00 
       2.948832819886e+00       1.872969510089e+00 
       3.712360572077e+00       1.064332211982e+00 
       4.673585061930e+00       6.002574875049e-01 
       5.883694998646e+00       3.362154095045e-01 
       7.407133149042e+00       1.871484631999e-01 
       9.325028149871e+00       1.035810995112e-01 
       1.173951490357e+01       5.703075044986e-02 
