# Matter power spectrum P(k) at redshift z=2.5
# for k=2.25282e-07 to 11.3037 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.252824573537e-07       1.134938587956e-01 
       2.836138103940e-07       1.415703683353e-01 
       3.570486330407e-07       1.765925433882e-01 
       4.494975973813e-07       2.202786270969e-01 
       5.658839478838e-07       2.747719274419e-01 
       7.124056821173e-07       3.427459714949e-01 
       8.968656167240e-07       4.275356726176e-01 
       1.129086915858e-06       5.333009461086e-01 
       1.421436210498e-06       6.652308009990e-01 
       1.789482166641e-06       8.297979202864e-01 
       2.252824573537e-06       1.035076218079e+00 
       2.836138103940e-06       1.291136955434e+00 
       3.570486330407e-06       1.610542844312e+00 
       4.494975973813e-06       2.008964378562e+00 
       5.658839478838e-06       2.505948622552e+00 
       7.124056821173e-06       3.125878161786e+00 
       8.968656167240e-06       3.899167230786e+00 
       1.129086915858e-05       4.863753647696e+00 
       1.421436210498e-05       6.066959645289e+00 
       1.789482166641e-05       7.567812645826e+00 
       2.252824573537e-05       9.439939437035e+00 
       2.836138103940e-05       1.177517482084e+01 
       3.570486330407e-05       1.468806009261e+01 
       4.494975973813e-05       1.832144860355e+01 
       5.658839478838e-05       2.285348670540e+01 
       7.124056821173e-05       2.850629921563e+01 
       8.968656167240e-05       3.555677936358e+01 
       1.129086915858e-04       4.434996089472e+01 
       1.421436210498e-04       5.531552726225e+01 
       1.789482166641e-04       6.898807027118e+01 
       2.252824573537e-04       8.603170942552e+01 
       2.836138103940e-04       1.072695471682e+02 
       3.570486330407e-04       1.337180291856e+02 
       4.494975973813e-04       1.666253892568e+02 
       5.658839478838e-04       2.075117203951e+02 
       7.124056821173e-04       2.582056906062e+02 
       8.968656167240e-04       3.208699622313e+02 
       1.129086915858e-03       3.980054002273e+02 
       1.421436210498e-03       4.924233827245e+02 
       1.789482166641e-03       6.071658785511e+02 
       2.252824573537e-03       7.453138983901e+02 
       2.836138103940e-03       9.095982161866e+02 
       3.570486330407e-03       1.101812396576e+03 
       4.494975973813e-03       1.321999494249e+03 
       5.658839478838e-03       1.567319930527e+03 
       7.124056821173e-03       1.830653164121e+03 
       8.968656167240e-03       2.099034070325e+03 
       1.129086915858e-02       2.352105538720e+03 
       1.421436210498e-02       2.561215223409e+03 
       1.789482166614e-02       2.690618545361e+03 
       2.252824476355e-02       2.703882533942e+03 
       2.836090251226e-02       2.579650113924e+03 
       3.565841819377e-02       2.337167486118e+03 
       4.383881961273e-02       2.071439298989e+03 
       5.017528968179e-02       1.903111712037e+03 
       5.490479279608e-02       1.797739650844e+03 
       5.889788913607e-02       1.717862223645e+03 
       6.250810907416e-02       1.649572451519e+03 
       6.590012478398e-02       1.586684843905e+03 
       6.916403376694e-02       1.526076080951e+03 
       7.235516123889e-02       1.466151609608e+03 
       7.551050940357e-02       1.406224630008e+03 
       7.865653342759e-02       1.346210754434e+03 
       8.181320722146e-02       1.286441409762e+03 
       8.499632015567e-02       1.227523240740e+03 
       8.821885586054e-02       1.170215226315e+03 
       9.149186150746e-02       1.115313021432e+03 
       9.482501823867e-02       1.063541252379e+03 
       9.822702805551e-02       1.015457958226e+03 
       1.017058834818e-01       9.713763368534e+02 
       1.052690597770e-01       9.313113846452e+02 
       1.089236544334e-01       8.949570722298e+02 
       1.126764898413e-01       8.617008717102e+02 
       1.165341896170e-01       8.306805245734e+02 
       1.205032357272e-01       8.008852671949e+02 
       1.245900113875e-01       7.712976166077e+02 
       1.288008333099e-01       7.410595121425e+02 
       1.331419759522e-01       7.096347565602e+02 
       1.376196898049e-01       6.769284233025e+02 
       1.422402153409e-01       6.433235011196e+02 
       1.470097939841e-01       6.096097268965e+02 
       1.519346772723e-01       5.768068117880e+02 
       1.570211352757e-01       5.459185292791e+02 
       1.622754652586e-01       5.176776360956e+02 
       1.677040015274e-01       4.923505665682e+02 
       1.733131273774e-01       4.696593787861e+02 
       1.791092900357e-01       4.488548964272e+02 
       1.850990194816e-01       4.289389405991e+02 
       1.912889520209e-01       4.089864107248e+02 
       1.976858594867e-01       3.884649055769e+02 
       2.042966849421e-01       3.674207914805e+02 
       2.111285857826e-01       3.464325330041e+02 
       2.181889851695e-01       3.263326375432e+02 
       2.254856327973e-01       3.078186886650e+02 
       2.330266761060e-01       2.911379018862e+02 
       2.408207432171e-01       2.759987946514e+02 
       2.488770391135e-01       2.617560113727e+02 
       2.572054569181e-01       2.477765685196e+02 
       2.658167065893e-01       2.337833354512e+02 
       2.747224639683e-01       2.199632553511e+02 
       2.839355439373e-01       2.067691357691e+02 
       2.934701025354e-01       1.945612103635e+02 
       3.033418743189e-01       1.833534478676e+02 
       3.135684531631e-01       1.728453787655e+02 
       3.241696272475e-01       1.626939352649e+02 
       3.351677823954e-01       1.527837149046e+02 
       3.465883925962e-01       1.432584980665e+02 
       3.584606229538e-01       1.343083451876e+02 
       3.708180792503e-01       1.259501358830e+02 
       3.836997509831e-01       1.180293677305e+02 
       3.971512129610e-01       1.104091809027e+02 
       4.112261772309e-01       1.030981741927e+02 
       4.259885269262e-01       9.616907450187e+01 
       4.415150242731e-01       8.961395676703e+01 
       4.578989794802e-01       8.335179123828e+01 
       4.752553181748e-01       7.734335138586e+01 
       4.937277329683e-01       7.160336790522e+01 
       5.134990247573e-01       6.611550499130e+01 
       5.348064762627e-01       6.083392735110e+01 
       5.579654450409e-01       5.573957389285e+01 
       5.834069292797e-01       5.081219532909e+01 
       6.117400116220e-01       4.601267304891e+01 
       6.438610439331e-01       4.130766636078e+01 
       6.811562987433e-01       3.665003088331e+01 
       7.259052892355e-01       3.197961492255e+01 
       7.821488651620e-01       2.721389475982e+01 
       8.577010588212e-01       2.224528875711e+01 
       9.688400668805e-01       1.698304442613e+01 
       1.147373407017e+00       1.160406680588e+01 
       1.424070450721e+00       7.065020283933e+00 
       1.791525964479e+00       4.125323751477e+00 
       2.255380767461e+00       2.380761420460e+00 
       2.839356120698e+00       1.361540547238e+00 
       3.574537573468e+00       7.723159679516e-01 
       4.500076186652e+00       4.348571101513e-01 
       5.665260266386e+00       2.432105749866e-01 
       7.132140113781e+00       1.351961405524e-01 
       8.978832429715e+00       7.473475937417e-02 
       1.130368031401e+01       4.110179897681e-02 
