# Matter power spectrum P(k) at redshift z=2
# for k=9.73614e-06 to 12.2698 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.736144542976e-06       1.171835980637e+01 
       1.225707977805e-05       1.461726629411e+01 
       1.543074920698e-05       1.823329146308e+01 
       1.942616229969e-05       2.274381738793e+01 
       2.445608937272e-05       2.837008246989e+01 
       3.078839238442e-05       3.538802069336e+01 
       3.876028956104e-05       4.414173454996e+01 
       4.879631349690e-05       5.506028922256e+01 
       6.143091906312e-05       6.867856473543e+01 
       7.733694507843e-05       8.566311033767e+01 
       9.736144542976e-05       1.068440889808e+02 
       1.225707977805e-04       1.332545095575e+02 
       1.543074920698e-04       1.661779799802e+02 
       1.942616229969e-04       2.072059684578e+02 
       2.445608937272e-04       2.583048245459e+02 
       3.078839238442e-04       3.218911158249e+02 
       3.876028956104e-04       4.009105555368e+02 
       4.879631349690e-04       4.989103846683e+02 
       6.143091906312e-04       6.200878552502e+02 
       7.733694507843e-04       7.692912506703e+02 
       9.736144542976e-04       9.519492734780e+02 
       1.225707977805e-03       1.173902398791e+03 
       1.543074920698e-03       1.441059397738e+03 
       1.942616229969e-03       1.758670186416e+03 
       2.445608937272e-03       2.130161986491e+03 
       3.078839238442e-03       2.555566650466e+03 
       3.876028956104e-03       3.029513663450e+03 
       4.879631349690e-03       3.538756903081e+03 
       6.143091906312e-03       4.057048504317e+03 
       7.733694507843e-03       4.551956112034e+03 
       9.736144542976e-03       4.970264990255e+03 
       1.225707977805e-02       5.246938196288e+03 
       1.543074920696e-02       5.308096355973e+03 
       1.942616216786e-02       5.088837150641e+03 
       2.445598481407e-02       4.571348835797e+03 
       3.077342863515e-02       3.839707714143e+03 
       3.824715788461e-02       3.127362432385e+03 
       4.460836891732e-02       2.714210811198e+03 
       4.921135027235e-02       2.504306317712e+03 
       5.299748471289e-02       2.367089500644e+03 
       5.637339995393e-02       2.259011778329e+03 
       5.951954387798e-02       2.162697283342e+03 
       6.253108337784e-02       2.069616500070e+03 
       6.546493505537e-02       1.975730070655e+03 
       6.835841333945e-02       1.879399398728e+03 
       7.123777597090e-02       1.780581856640e+03 
       7.412258847820e-02       1.680321172936e+03 
       7.702814517661e-02       1.580380890688e+03 
       7.996690172045e-02       1.482908886345e+03 
       8.294936775559e-02       1.390136988654e+03 
       8.598468707761e-02       1.304105106371e+03 
       8.908102800163e-02       1.226412697755e+03 
       9.224585367215e-02       1.158041658077e+03 
       9.548611370754e-02       1.099273282424e+03 
       9.880838269358e-02       1.049564925206e+03 
       1.022189617791e-01       1.007680073621e+03 
       1.057239540379e-01       9.716825463650e+02 
       1.093293207924e-01       9.391725408802e+02 
       1.130409238834e-01       9.075689302921e+02 
       1.168645574435e-01       8.744505841277e+02 
       1.208059717848e-01       8.380252292842e+02 
       1.248708913913e-01       7.974724295045e+02 
       1.290650285842e-01       7.531839440986e+02 
       1.333940941577e-01       7.067026394033e+02 
       1.378638060955e-01       6.603834588094e+02 
       1.424798973617e-01       6.167841181517e+02 
       1.472481236867e-01       5.780511767090e+02 
       1.521742722176e-01       5.453206260540e+02 
       1.572641718749e-01       5.185387329934e+02 
       1.625237062409e-01       4.964086777870e+02 
       1.679588297875e-01       4.767238704612e+02 
       1.735755882490e-01       4.570798240962e+02 
       1.793801439357e-01       4.356413388519e+02 
       1.853788067907e-01       4.117584176004e+02 
       1.915780720034e-01       3.861857405012e+02 
       1.979846650213e-01       3.608194305964e+02 
       2.046055948588e-01       3.377406717128e+02 
       2.114482166898e-01       3.180550908531e+02 
       2.185203048481e-01       3.015401239082e+02 
       2.258301375619e-01       2.870870325254e+02 
       2.333865950324e-01       2.732482410423e+02 
       2.411992728543e-01       2.588160640113e+02 
       2.492786133028e-01       2.435804462376e+02 
       2.576360577107e-01       2.284431954669e+02 
       2.662842240879e-01       2.144996924724e+02 
       2.752371153572e-01       2.023052801634e+02 
       2.845103652095e-01       1.915845582651e+02 
       2.941215307374e-01       1.813896890266e+02 
       3.040904439118e-01       1.711357490914e+02 
       3.144396378988e-01       1.609238230547e+02 
       3.251948696096e-01       1.512371584880e+02 
       3.363857673815e-01       1.424758005424e+02 
       3.480466432635e-01       1.344204381974e+02 
       3.602175245416e-01       1.266776406228e+02 
       3.729454812281e-01       1.190700321233e+02 
       3.862863590312e-01       1.118523728008e+02 
       4.003070769952e-01       1.051092170206e+02 
       4.150887259248e-01       9.873575229155e+01 
       4.307308257608e-01       9.259543693688e+01 
       4.473572990601e-01       8.669067056748e+01 
       4.651250520399e-01       8.107734494779e+01 
       4.842366356577e-01       7.570146193973e+01 
       5.049595082139e-01       7.048234755693e+01 
       5.276563986403e-01       6.544238876482e+01 
       5.528351859058e-01       6.052978224830e+01 
       5.812349104934e-01       5.569894404502e+01 
       6.139828207419e-01       5.090426621729e+01 
       6.529010376349e-01       4.607512343342e+01 
       7.011530688054e-01       4.111560233131e+01 
       7.647170512057e-01       3.588799144876e+01 
       8.558688140657e-01       3.021425012236e+01 
       9.997396398521e-01       2.402059271544e+01 
       1.229225820488e+00       1.794162428745e+01 
       1.544720763386e+00       1.318014269676e+01 
       1.944633477832e+00       9.747662941113e+00 
       2.448148289657e+00       7.222852368347e+00 
       3.082036093572e+00       5.322639336179e+00 
       3.880053558265e+00       3.873688306479e+00 
       4.884698023622e+00       2.767601912903e+00 
       6.149470470878e+00       1.932312421807e+00 
       7.741724644866e+00       1.314479849331e+00 
       9.746253886535e+00       8.699714826688e-01 
       1.226980668756e+01       5.601774249612e-01 
