# Matter power spectrum P(k) at redshift z=0.5
# for k=1.19039e-05 to 11.9171 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.190385912801e-05       1.899042105200e+01 
       1.498607075467e-05       2.368831380963e+01 
       1.886634529600e-05       2.954835983734e+01 
       2.375132152082e-05       3.685803236683e+01 
       2.990114222625e-05       4.597589714758e+01 
       3.764330779030e-05       5.734918021419e+01 
       4.739011676120e-05       7.153563005522e+01 
       5.966062225857e-05       8.923079980467e+01 
       7.510827344477e-05       1.113019369642e+02 
       9.455571407560e-05       1.388300942254e+02 
       1.190385912801e-04       1.731623184971e+02 
       1.498607075467e-04       2.159760489270e+02 
       1.886634529600e-04       2.693581385865e+02 
       2.375132152082e-04       3.359008696016e+02 
       2.990114222625e-04       4.188169171048e+02 
       3.764330779030e-04       5.220739252407e+02 
       4.739011676120e-04       6.505467708216e+02 
       5.966062225857e-04       8.101815539823e+02 
       7.510827344477e-04       1.008160315227e+03 
       9.455571407560e-04       1.253049760079e+03 
       1.190385912801e-03       1.554903761964e+03 
       1.498607075467e-03       1.925244994202e+03 
       1.886634529600e-03       2.376735966001e+03 
       2.375132152082e-03       2.922542824147e+03 
       2.990114222625e-03       3.575072822935e+03 
       3.764330779030e-03       4.343785416138e+03 
       4.739011676120e-03       5.232082065188e+03 
       5.966062225857e-03       6.208772477707e+03 
       7.510827344477e-03       7.286549144260e+03 
       9.455571407560e-03       8.400787296746e+03 
       1.190385912801e-02       9.470936303389e+03 
       1.498607075467e-02       1.037842631559e+04 
       1.886634529577e-02       1.096881432809e+04 
       2.375132063732e-02       1.107660396507e+04 
       2.990069008242e-02       1.059428603654e+04 
       3.759802057440e-02       9.591262076407e+03 
       4.627365005322e-02       8.478924641290e+03 
       5.303915718760e-02       7.790371967336e+03 
       5.807405904447e-02       7.379857954254e+03 
       6.231647893694e-02       7.081621465181e+03 
       6.614799055168e-02       6.833695162285e+03 
       6.974562225294e-02       6.607730068587e+03 
       7.320594850129e-02       6.389150547442e+03 
       7.658814645688e-02       6.169771661065e+03 
       7.993173085954e-02       5.945621499375e+03 
       8.326491683009e-02       5.715682053392e+03 
       8.660898422401e-02       5.480932913137e+03 
       8.998073938701e-02       5.244217861479e+03 
       9.339399130405e-02       5.009387246525e+03 
       9.686048137129e-02       4.780711067452e+03 
       1.003904930434e-01       4.562933093064e+03 
       1.039932650538e-01       4.359871469828e+03 
       1.076772792775e-01       4.174712168431e+03 
       1.114504658283e-01       4.009146456907e+03 
       1.153203518548e-01       3.863215473870e+03 
       1.192941710207e-01       3.735240218491e+03 
       1.233789448853e-01       3.621817800277e+03 
       1.275815438025e-01       3.518278178825e+03 
       1.319087326519e-01       3.418870421311e+03 
       1.363672052150e-01       3.317862325354e+03 
       1.409636100263e-01       3.210408711948e+03 
       1.457045698632e-01       3.093482216171e+03 
       1.505966966102e-01       2.966856785716e+03 
       1.556466029332e-01       2.833213051154e+03 
       1.608609120175e-01       2.697585053281e+03 
       1.662462664924e-01       2.566346203168e+03 
       1.718093375922e-01       2.445478877829e+03 
       1.775568355529e-01       2.339228082328e+03 
       1.834955222120e-01       2.248721633148e+03 
       1.896322267623e-01       2.171723088918e+03 
       1.959738655940e-01       2.102966343308e+03 
       2.025274671538e-01       2.035990271818e+03 
       2.093002027443e-01       1.965299099315e+03 
       2.162994241945e-01       1.887313329428e+03 
       2.235327093466e-01       1.803068354449e+03 
       2.310079163497e-01       1.717580424726e+03 
       2.387332478180e-01       1.637249232498e+03 
       2.467173260288e-01       1.566292685282e+03 
       2.549692805105e-01       1.505401243128e+03 
       2.634988496239e-01       1.451963917622e+03 
       2.723164980940e-01       1.401222787969e+03 
       2.814335529359e-01       1.348595145697e+03 
       2.908623608690e-01       1.292729691445e+03 
       3.006164711787e-01       1.235946635264e+03 
       3.107108491346e-01       1.182069791342e+03 
       3.211621265879e-01       1.133954587779e+03 
       3.319888983823e-01       1.091180262320e+03 
       3.432120758927e-01       1.050583189856e+03 
       3.548553126172e-01       1.009641000409e+03 
       3.669455216450e-01       9.680341305294e+02 
       3.795135115776e-01       9.276895570180e+02 
       3.925947768843e-01       8.903859123554e+02 
       4.062304919986e-01       8.558149794480e+02 
       4.204687776144e-01       8.223247063941e+02 
       4.353663356852e-01       7.889749622675e+02 
       4.509905914419e-01       7.565169113324e+02 
       4.674225444074e-01       7.257121232833e+02 
       4.847606295226e-01       6.961989220166e+02 
       5.031260477682e-01       6.673004463090e+02 
       5.226702854659e-01       6.389105635446e+02 
       5.435859812872e-01       6.113617721623e+02 
       5.661230710468e-01       5.844411107719e+02 
       5.906135461534e-01       5.577207102044e+02 
       6.175108414505e-01       5.312470454465e+02 
       6.474552422964e-01       5.047355759706e+02 
       6.813881159372e-01       4.778439480698e+02 
       7.207636354674e-01       4.502010566490e+02 
       7.679694796510e-01       4.211441237383e+02 
       8.272307760307e-01       3.897043374026e+02 
       9.067023226396e-01       3.542630325961e+02 
       1.023355958999e+00       3.122421939992e+02 
       1.210525062574e+00       2.609693561346e+02 
       1.501440334760e+00       2.042338017800e+02 
       1.888746253154e+00       1.525684043710e+02 
       2.377770794616e+00       1.092916477248e+02 
       2.993436026640e+00       7.499905455331e+01 
       3.768512682501e+00       4.954877767329e+01 
       4.744276380669e+00       3.175150460810e+01 
       5.972690096199e+00       1.987755567879e+01 
       7.519171338877e+00       1.223031847259e+01 
       9.466075874146e+00       7.430712795547e+00 
       1.191708346793e+01       4.473749895105e+00 
