# Matter power spectrum P(k) at redshift z=0.5
# for k=9.97315e-06 to 12.5682 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.973146413759e-06       3.531069439229e+01 
       1.255544745583e-05       4.404589252672e+01 
       1.580637185858e-05       5.494198454216e+01 
       1.989904320104e-05       6.853340443146e+01 
       2.505141115618e-05       8.548685183991e+01 
       3.153785810582e-05       1.066337397082e+02 
       3.970381100297e-05       1.330108631364e+02 
       4.998413661672e-05       1.659110353230e+02 
       6.292629977338e-05       2.069457406461e+02 
       7.921951785488e-05       2.581230397081e+02 
       9.973146413759e-05       3.219435740393e+02 
       1.255544745583e-04       4.015183895884e+02 
       1.580637185858e-04       5.007121262894e+02 
       1.989904320104e-04       6.243143241808e+02 
       2.505141115618e-04       7.782394031974e+02 
       3.153785810582e-04       9.697512384106e+02 
       3.970381100297e-04       1.207699944798e+03 
       4.998413661672e-04       1.502747069342e+03 
       6.292629977338e-04       1.867543335909e+03 
       7.921951785488e-04       2.316812509877e+03 
       9.973146413759e-04       2.867264976211e+03 
       1.255544745583e-03       3.537149980306e+03 
       1.580637185858e-03       4.345100511145e+03 
       1.989904320104e-03       5.308040943656e+03 
       2.505141115618e-03       6.437922252818e+03 
       3.153785810582e-03       7.737161811414e+03 
       3.970381100297e-03       9.192519785732e+03 
       4.998413661672e-03       1.076767706531e+04 
       6.292629977338e-03       1.239472618789e+04 
       7.921951785488e-03       1.396932413314e+04 
       9.973146413759e-03       1.534050143149e+04 
       1.255544745583e-02       1.631765624873e+04 
       1.580637185854e-02       1.668296956202e+04 
       1.989904294872e-02       1.623970918077e+04 
       2.505124062414e-02       1.492126694164e+04 
       3.151643297264e-02       1.293541497388e+04 
       3.905083083150e-02       1.092480871443e+04 
       4.525085796072e-02       9.699076771886e+03 
       4.977700477158e-02       9.006167759590e+03 
       5.353387190709e-02       8.514209091476e+03 
       5.689981062064e-02       8.109331089354e+03 
       6.004542892306e-02       7.743246104290e+03 
       6.306183160602e-02       7.394030489109e+03 
       6.600399352988e-02       7.050724820571e+03 
       6.890819870736e-02       6.709116965400e+03 
       7.180011602163e-02       6.368558212213e+03 
       7.469895649457e-02       6.031857658401e+03 
       7.761979347976e-02       5.703106967012e+03 
       8.057494223466e-02       5.387347624468e+03 
       8.357482293727e-02       5.089134151897e+03 
       8.662852339059e-02       4.812863962390e+03 
       8.974417865652e-02       4.561270923295e+03 
       9.292923450946e-02       4.335840232026e+03 
       9.619063455541e-02       4.135799404424e+03 
       9.953495564891e-02       3.958622604012e+03 
       1.029685073405e-01       3.800061085992e+03 
       1.064974057029e-01       3.654264809337e+03 
       1.101276285321e-01       3.514985397106e+03 
       1.138650567853e-01       3.376032475029e+03 
       1.177155057295e-01       3.232450663465e+03 
       1.216847483607e-01       3.081295461732e+03 
       1.257785330493e-01       2.922453262132e+03 
       1.300025969599e-01       2.758711986727e+03 
       1.343626765289e-01       2.595051118658e+03 
       1.388645161023e-01       2.437424550226e+03 
       1.435138757267e-01       2.291661352605e+03 
       1.483165390096e-01       2.161470266540e+03 
       1.532783219208e-01       2.047715434427e+03 
       1.584050833808e-01       1.948274644857e+03 
       1.637027384592e-01       1.858553911040e+03 
       1.691772749983e-01       1.772641973015e+03 
       1.748347744667e-01       1.685505345444e+03 
       1.806814378454e-01       1.594429333951e+03 
       1.867236173507e-01       1.500063959211e+03 
       1.929678548132e-01       1.406103078685e+03 
       1.994209275629e-01       1.317172278516e+03 
       2.060899027277e-01       1.236946279292e+03 
       2.129822009473e-01       1.166362155123e+03 
       2.201056706452e-01       1.102914514699e+03 
       2.274686742128e-01       1.042954614718e+03 
       2.350801877495e-01       9.840133718327e+02 
       2.429499164069e-01       9.250249956524e+02 
       2.510884279238e-01       8.666804759832e+02 
       2.595073076601e-01       8.113432512243e+02 
       2.682193393910e-01       7.608076207110e+02 
       2.772387173831e-01       7.148380219838e+02 
       2.865812969457e-01       6.719945114694e+02 
       2.962648928735e-01       6.305941495449e+02 
       3.063096381903e-01       5.900400051694e+02 
       3.167384196576e-01       5.514168382407e+02 
       3.275774120848e-01       5.153387849882e+02 
       3.388567412331e-01       4.819223245283e+02 
       3.506113160533e-01       4.503271162544e+02 
       3.628818867102e-01       4.199586050559e+02 
       3.757164077755e-01       3.909264026774e+02 
       3.891718200652e-01       3.636634755835e+02 
       4.033164163408e-01       3.379393488099e+02 
       4.182330363701e-01       3.134217408362e+02 
       4.340234645113e-01       2.900264752418e+02 
       4.508146116174e-01       2.677989298016e+02 
       4.687674145369e-01       2.466209750388e+02 
       4.880899992236e-01       2.263451114688e+02 
       5.090577635939e-01       2.068699696638e+02 
       5.320451374417e-01       1.881439495137e+02 
       5.575779561985e-01       1.700003851568e+02 
       5.864241816092e-01       1.523255144029e+02 
       6.197604291338e-01       1.349425851479e+02 
       6.594991646178e-01       1.176376058544e+02 
       7.089832167108e-01       1.001444183004e+02 
       7.745776775448e-01       8.210370232691e+01 
       8.694231918654e-01       6.316590935938e+01 
       1.020101668471e+00       4.372965315131e+01 
       1.258530664125e+00       2.674871786723e+01 
       1.582273584579e+00       1.550462337884e+01 
       1.991927776376e+00       8.877668625579e+00 
       2.507688374071e+00       5.040932139788e+00 
       3.156992618922e+00       2.840994879430e+00 
       3.974418232808e+00       1.590339788010e+00 
       5.003496110380e+00       8.847339657944e-01 
       6.299028401171e+00       4.894325992089e-01 
       7.930006923847e+00       2.693512579734e-01 
       9.983287232134e+00       1.475313792602e-01 
       1.256821398977e+01       8.045448640353e-02 
