# Matter power spectrum P(k) at redshift z=0
# for k=1.16054e-05 to 11.6175 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.160542796160e-05       3.727002705010e+01 
       1.461036817561e-05       4.648996847029e+01 
       1.839336377194e-05       5.799071649771e+01 
       2.315587306087e-05       7.233642644663e+01 
       2.915151702861e-05       9.023082215820e+01 
       3.669958557967e-05       1.125515487980e+02 
       4.620204088857e-05       1.403931925838e+02 
       5.816492335137e-05       1.751206892960e+02 
       7.322530008210e-05       2.184358105074e+02 
       9.218519105961e-05       2.724597109615e+02 
       1.160542796160e-04       3.398350816860e+02 
       1.461036817561e-04       4.238521096116e+02 
       1.839336377194e-04       5.286027008702e+02 
       2.315587306087e-04       6.591673375328e+02 
       2.915151702861e-04       8.218378903333e+02 
       3.669958557967e-04       1.024377058834e+03 
       4.620204088857e-04       1.276310190424e+03 
       5.816492335137e-04       1.589238311981e+03 
       7.322530008210e-04       1.977152606472e+03 
       9.218519105961e-04       2.456715564517e+03 
       1.160542796160e-03       3.047428279630e+03 
       1.461036817561e-03       3.771504408757e+03 
       1.839336377194e-03       4.653047426849e+03 
       2.315587306087e-03       5.716987626284e+03 
       2.915151702861e-03       6.986083914416e+03 
       3.669958557967e-03       8.476675886000e+03 
       4.620204088857e-03       1.019239807628e+04 
       5.816492335137e-03       1.211516277290e+04 
       7.322530008210e-03       1.419286763717e+04 
       9.218519105961e-03       1.632655967669e+04 
       1.160542796160e-02       1.835281736340e+04 
       1.461036817561e-02       2.003267180914e+04 
       1.839336377183e-02       2.105209360690e+04 
       2.315587256527e-02       2.107767705435e+04 
       2.915122432523e-02       1.989523629264e+04 
       3.666663601200e-02       1.766407826526e+04 
       4.529485502646e-02       1.524215048548e+04 
       5.220541388460e-02       1.377250688481e+04 
       5.729499217575e-02       1.294858242650e+04 
       6.155092652437e-02       1.237732315569e+04 
       6.537903175565e-02       1.191579462005e+04 
       6.896482908949e-02       1.150083293890e+04 
       7.240842310126e-02       1.109894639489e+04 
       7.577067206775e-02       1.069259681254e+04 
       7.909197055532e-02       1.027232987023e+04 
       8.240102419030e-02       9.835913843986e+03 
       8.571939689355e-02       9.385114584845e+03 
       8.906406181232e-02       8.925943177734e+03 
       9.244892430396e-02       8.466786929026e+03 
       9.588577782832e-02       8.017404352789e+03 
       9.938492890743e-02       7.587675606948e+03 
       1.029556197098e-01       7.186909558088e+03 
       1.066063218556e-01       6.822074900956e+03 
       1.103449454091e-01       6.497803347696e+03 
       1.141789903079e-01       6.214973047478e+03 
       1.181156576723e-01       5.971107851655e+03 
       1.221619324891e-01       5.759506230617e+03 
       1.263246454618e-01       5.571238639623e+03 
       1.306105194466e-01       5.394351810164e+03 
       1.350262043595e-01       5.216747885453e+03 
       1.395783034225e-01       5.027421570740e+03 
       1.442733929459e-01       4.819019893706e+03 
       1.491180373916e-01       4.589418055007e+03 
       1.541188011672e-01       4.342451092574e+03 
       1.592822584026e-01       4.087387532417e+03 
       1.646150018358e-01       3.836834975727e+03 
       1.701236518521e-01       3.603801936351e+03 
       1.758148666737e-01       3.398253863319e+03 
       1.816953546610e-01       3.224504663953e+03 
       1.877718896707e-01       3.080015988129e+03 
       1.940513304001e-01       2.955866698497e+03 
       2.005406446398e-01       2.839769200384e+03 
       2.072469393507e-01       2.719082385751e+03 
       2.141774974886e-01       2.584614583743e+03 
       2.213398225143e-01       2.435977957107e+03 
       2.287416915663e-01       2.281434207810e+03 
       2.363912183405e-01       2.133155365093e+03 
       2.442969268321e-01       2.001175239230e+03 
       2.524678372639e-01       1.889695043652e+03 
       2.609135657694e-01       1.796020946797e+03 
       2.696444397425e-01       1.711049132669e+03 
       2.786716312351e-01       1.624581292743e+03 
       2.880073114159e-01       1.531517026768e+03 
       2.976648299459e-01       1.434129090335e+03 
       3.076589242389e-01       1.339944304067e+03 
       3.180059650468e-01       1.256446589622e+03 
       3.287242467635e-01       1.184782931707e+03 
       3.398343334395e-01       1.119921070977e+03 
       3.513594749994e-01       1.055585066049e+03 
       3.633261129005e-01       9.889907674865e+02 
       3.757645010040e-01       9.233390975220e+02 
       3.887094765200e-01       8.630450093370e+02 
       4.022014287497e-01       8.093291669302e+02 
       4.162875318153e-01       7.589899603861e+02 
       4.310233345627e-01       7.089792441870e+02 
       4.464748410146e-01       6.598230876943e+02 
       4.627212758381e-01       6.139037648274e+02 
       4.798588242454e-01       5.714127107111e+02 
       4.980057870174e-01       5.306622504303e+02 
       5.173098390885e-01       4.907671127143e+02 
       5.379584984893e-01       4.527871138614e+02 
       5.601946437012e-01       4.168875796846e+02 
       5.843402463513e-01       3.819019965560e+02 
       6.108340099635e-01       3.480639686377e+02 
       6.402936451734e-01       3.153496545463e+02 
       6.736241653374e-01       2.831738554926e+02 
       7.122175956335e-01       2.514801395897e+02 
       7.583474787000e-01       2.197124821689e+02 
       8.160111786254e-01       1.874110957457e+02 
       8.928698387042e-01       1.538416313722e+02 
       1.004805453609e+00       1.183550520430e+02 
       1.183537458625e+00       8.181353015158e+01 
       1.464088851967e+00       5.017036732635e+01 
       1.841278041160e+00       2.930876144257e+01 
       2.318002395972e+00       1.691090016430e+01 
       2.918192035328e+00       9.669496367523e+00 
       3.673786109736e+00       5.484152567082e+00 
       4.625022691044e+00       3.087619598677e+00 
       5.822558595879e+00       1.726696630358e+00 
       7.330166978013e+00       9.597754429713e-01 
       9.228133481315e+00       5.305218065286e-01 
       1.161753174306e+01       2.917572342568e-01 
