# Matter power spectrum P(k) at redshift z=2.5
# for k=2.21653e-07 to 11.1217 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.216527857297e-07       1.210714112394e-01 
       2.790443245501e-07       1.510224823468e-01 
       3.512959911931e-07       1.883829545772e-01 
       4.422554503744e-07       2.349857916198e-01 
       5.567666249808e-07       2.931174017818e-01 
       7.009276526272e-07       3.656298136647e-01 
       8.824156337216e-07       4.560805998698e-01 
       1.110895465057e-06       5.689074173896e-01 
       1.398534530807e-06       7.096457255591e-01 
       1.760650660104e-06       8.852003632772e-01 
       2.216527857297e-06       1.104184309111e+00 
       2.790443245501e-06       1.377341242938e+00 
       3.512959911931e-06       1.718072639356e+00 
       4.422554503744e-06       2.143095248615e+00 
       5.567666249808e-06       2.673261211980e+00 
       7.009276526272e-06       3.334581034994e+00 
       8.824156337216e-06       4.159499572533e+00 
       1.110895465057e-05       5.188487558697e+00 
       1.398534530807e-05       6.472026659751e+00 
       1.760650660104e-05       8.073085152791e+00 
       2.216527857297e-05       1.007020524758e+01 
       2.790443245501e-05       1.256135249704e+01 
       3.512959911931e-05       1.566871428316e+01 
       4.422554503744e-05       1.954467896639e+01 
       5.567666249808e-05       2.437928156917e+01 
       7.009276526272e-05       3.040946655038e+01 
       8.824156337216e-05       3.793059289882e+01 
       1.110895465057e-04       4.731068884657e+01 
       1.398534530807e-04       5.900804315041e+01 
       1.760650660104e-04       7.359277686273e+01 
       2.216527857297e-04       9.177302933826e+01 
       2.790443245501e-04       1.144262308739e+02 
       3.512959911931e-04       1.426354715287e+02 
       4.422554503744e-04       1.777299764161e+02 
       5.567666249808e-04       2.213268739973e+02 
       7.009276526272e-04       2.753686576011e+02 
       8.824156337216e-04       3.421475213889e+02 
       1.110895465057e-03       4.243057176970e+02 
       1.398534530807e-03       5.248004658949e+02 
       1.760650660104e-03       6.468114839301e+02 
       2.216527857297e-03       7.935266407108e+02 
       2.790443245501e-03       9.677146693181e+02 
       3.512959911931e-03       1.171091376968e+03 
       4.422554503744e-03       1.403453146804e+03 
       5.567666249808e-03       1.661494497396e+03 
       7.009276526272e-03       1.937393643146e+03 
       8.824156337216e-03       2.217288657229e+03 
       1.110895465057e-02       2.479873344233e+03 
       1.398534530807e-02       2.695757942648e+03 
       1.760650660076e-02       2.829015799384e+03 
       2.216527756772e-02       2.843797739986e+03 
       2.790394388065e-02       2.719677919896e+03 
       3.508268127586e-02       2.475626068997e+03 
       4.311476407314e-02       2.204412997009e+03 
       4.932247154141e-02       2.027978687256e+03 
       5.396053213953e-02       1.914237375751e+03 
       5.787906774393e-02       1.826318974129e+03 
       6.142316005278e-02       1.750488307682e+03 
       6.475376274860e-02       1.680683746421e+03 
       6.795902606602e-02       1.613890799739e+03 
       7.109311819337e-02       1.548600926625e+03 
       7.419228724276e-02       1.484178496461e+03 
       7.728246055029e-02       1.420545486353e+03 
       8.038322062102e-02       1.357988811374e+03 
       8.351005221468e-02       1.297018570888e+03 
       8.667569188541e-02       1.238249305061e+03 
       8.989097908947e-02       1.182293517311e+03 
       9.316541483725e-02       1.129667500135e+03 
       9.650754067620e-02       1.080712594204e+03 
       9.992520289205e-02       1.035536153339e+03 
       1.034257408558e-01       9.939785775989e+02 
       1.070161237320e-01       9.556113657416e+02 
       1.107030510984e-01       9.197711880124e+02 
       1.144930277601e-01       8.856318967592e+02 
       1.183924197408e-01       8.523121072060e+02 
       1.224074963322e-01       8.190087307611e+02 
       1.265444617030e-01       7.851357397129e+02 
       1.308094786684e-01       7.504398960066e+02 
       1.352086866152e-01       7.150608811381e+02 
       1.397482151787e-01       6.795100784111e+02 
       1.444341949990e-01       6.445605574798e+02 
       1.492727667122e-01       6.110650338332e+02 
       1.542700892180e-01       5.797438410407e+02 
       1.594323481926e-01       5.509969329953e+02 
       1.647657657737e-01       5.247941227170e+02 
       1.702766123136e-01       5.006813034417e+02 
       1.759712210811e-01       4.779139032000e+02 
       1.818560067791e-01       4.556908556527e+02 
       1.879374887376e-01       4.334212322577e+02 
       1.942223196389e-01       4.109250184677e+02 
       2.007173206370e-01       3.884768367883e+02 
       2.074295237505e-01       3.666596888834e+02 
       2.143662224461e-01       3.460860454262e+02 
       2.215350313979e-01       3.271145346205e+02 
       2.289439565145e-01       3.096986352121e+02 
       2.366014764917e-01       2.934419214994e+02 
       2.445166373855e-01       2.778306481305e+02 
       2.526991620312e-01       2.625156916962e+02 
       2.611595765882e-01       2.474767704565e+02 
       2.699093570994e-01       2.329682001714e+02 
       2.789610997633e-01       2.192917927189e+02 
       2.883287196900e-01       2.065662396332e+02 
       2.980276843264e-01       1.946595090521e+02 
       3.080752896187e-01       1.833194785717e+02 
       3.184909894852e-01       1.723785093392e+02 
       3.292967925451e-01       1.618517843672e+02 
       3.405177446390e-01       1.518553651818e+02 
       3.521825219886e-01       1.424472632470e+02 
       3.643241686534e-01       1.335612629483e+02 
       3.769810244204e-01       1.250862379778e+02 
       3.901979072112e-01       1.169756900233e+02 
       4.040276403834e-01       1.092530340235e+02 
       4.185330545275e-01       1.019289608525e+02 
       4.337896531207e-01       9.496103550961e+01 
       4.498892245174e-01       8.830134032473e+01 
       4.669448315399e-01       8.193623772629e+01 
       4.850978543556e-01       7.585653632154e+01 
       5.045281765402e-01       7.003087922068e+01 
       5.254693311148e-01       6.442913932192e+01 
       5.482317502197e-01       5.903033315572e+01 
       5.732397949812e-01       5.380410521388e+01 
       6.010933294362e-01       4.871559158498e+01 
       6.326754274463e-01       4.372696127942e+01 
       6.693523756559e-01       3.878852974658e+01 
       7.133719399591e-01       3.383676525116e+01 
       7.687210863772e-01       2.878423185176e+01 
       8.431146424432e-01       2.351652223680e+01 
       9.526291735260e-01       1.793826913174e+01 
       1.128621746021e+00       1.224195353132e+01 
       1.401110481114e+00       7.446576048983e+00 
       1.762675825582e+00       4.346182014955e+00 
       2.219061499156e+00       2.507284818939e+00 
       2.793632873605e+00       1.433404503255e+00 
       3.516975415793e+00       8.128213280159e-01 
       4.427609723598e+00       4.575297194226e-01 
       5.574030394544e+00       2.558219666167e-01 
       7.017288509805e+00       1.421712025039e-01 
       8.834242826884e+00       7.857253687159e-02 
       1.112165278873e+01       4.320342847014e-02 
