# Matter power spectrum P(k) at redshift z=1
# for k=2.14909e-07 to 10.7822 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.149088631766e-07       3.932167487733e-01 
       2.705542290728e-07       4.904920896304e-01 
       3.406075942482e-07       6.118317458808e-01 
       4.287995558491e-07       7.631888322250e-01 
       5.398266574245e-07       9.519891655099e-01 
       6.796014969956e-07       1.187495586720e+00 
       8.555675944611e-07       1.481262410066e+00 
       1.077095786175e-06       1.847702294706e+00 
       1.355983256152e-06       2.304793350060e+00 
       1.707081779137e-06       2.874961166363e+00 
       2.149088631766e-06       3.586179040451e+00 
       2.705542290728e-06       4.473340371490e+00 
       3.406075942482e-06       5.579970553405e+00 
       4.287995558491e-06       6.960362330394e+00 
       5.398266574245e-06       8.682239350105e+00 
       6.796014969956e-06       1.083007852715e+01 
       8.555675944611e-06       1.350925408935e+01 
       1.077095786175e-05       1.685120636103e+01 
       1.355983256152e-05       2.101988838708e+01 
       1.707081779137e-05       2.621980565854e+01 
       2.149088631766e-05       3.270604146215e+01 
       2.705542290728e-05       4.079675580492e+01 
       3.406075942482e-05       5.088876351372e+01 
       4.287995558491e-05       6.347694069068e+01 
       5.398266574245e-05       7.917838185558e+01 
       6.796014969956e-05       9.876243430523e+01 
       8.555675944611e-05       1.231879677760e+02 
       1.077095786175e-04       1.536494816531e+02 
       1.355983256152e-04       1.916338701448e+02 
       1.707081779137e-04       2.389897750614e+02 
       2.149088631766e-04       2.980112919998e+02 
       2.705542290728e-04       3.715370642808e+02 
       3.406075942482e-04       4.630640330110e+02 
       4.287995558491e-04       5.768717261393e+02 
       5.398266574245e-04       7.181476227330e+02 
       6.796014969956e-04       8.930975724946e+02 
       8.555675944611e-04       1.109019626238e+03 
       1.077095786175e-03       1.374312718887e+03 
       1.355983256152e-03       1.698359190947e+03 
       1.707081779137e-03       2.091130580296e+03 
       2.149088631766e-03       2.562327037992e+03 
       2.705542290728e-03       3.119979686550e+03 
       3.406075942482e-03       3.768340772044e+03 
       4.287995558491e-03       4.504963710522e+03 
       5.398266574245e-03       5.306997456468e+03 
       6.796014969956e-03       6.161303405493e+03 
       8.555675944611e-03       7.012324004593e+03 
       1.077095786175e-02       7.786138253643e+03 
       1.355983256152e-02       8.381677843482e+03 
       1.707081779127e-02       8.676389068211e+03 
       2.149088587090e-02       8.550986491550e+03 
       2.705515705439e-02       7.948296212479e+03 
       3.403064845114e-02       6.964814191189e+03 
       4.204616265143e-02       5.955228983792e+03 
       4.847540651744e-02       5.351533425928e+03 
       5.320803757380e-02       5.009515538902e+03 
       5.716387961997e-02       4.767742522253e+03 
       6.072128808832e-02       4.569262343040e+03 
       6.405309780041e-02       4.389618842012e+03 
       6.725251403388e-02       4.216632097771e+03 
       7.037617712080e-02       4.044083343484e+03 
       7.346167014263e-02       3.869261366809e+03 
       7.653569409419e-02       3.691795151745e+03 
       7.961830282447e-02       3.512956106798e+03 
       8.272527809442e-02       3.335132433687e+03 
       8.586954723480e-02       3.161362642693e+03 
       8.906207276687e-02       2.994893794542e+03 
       9.231243394534e-02       2.838767252808e+03 
       9.562921993585e-02       2.695449892226e+03 
       9.902030314627e-02       2.566533291081e+03 
