# Matter power spectrum P(k) at redshift z=1.5
# for k=2.31832e-07 to 11.633 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.318323740597e-07       1.946443744250e-01 
       2.918596669803e-07       2.427961836872e-01 
       3.674295514393e-07       3.028599565769e-01 
       4.625663993511e-07       3.777825165298e-01 
       5.823365947852e-07       4.712396822452e-01 
       7.331183373928e-07       5.878166092603e-01 
       9.229413047961e-07       7.332327446386e-01 
       1.161914262202e-06       9.146224315303e-01 
       1.462763391012e-06       1.140884930379e+00 
       1.841510004388e-06       1.423121029446e+00 
       2.318323740597e-06       1.775177662972e+00 
       2.918596669803e-06       2.214327256775e+00 
       3.674295514393e-06       2.762115127693e+00 
       4.625663993511e-06       3.445416504126e+00 
       5.823365947852e-06       4.297755014263e+00 
       7.331183373928e-06       5.360947305028e+00 
       9.229413047961e-06       6.687154426017e+00 
       1.161914262202e-05       8.341440527958e+00 
       1.462763391012e-05       1.040496421105e+01 
       1.841510004388e-05       1.297895870381e+01 
       2.318323740597e-05       1.618969539102e+01 
       2.918596669803e-05       2.019467268877e+01 
       3.674295514393e-05       2.519033091155e+01 
       4.625663993511e-05       3.142166573751e+01 
       5.823365947852e-05       3.919420025890e+01 
       7.331183373928e-05       4.888888004101e+01 
       9.229413047961e-05       6.098057665064e+01 
       1.161914262202e-04       7.606101869508e+01 
       1.462763391012e-04       9.486710142903e+01 
       1.841510004388e-04       1.183156257004e+02 
       2.318323740597e-04       1.475455189805e+02 
       2.918596669803e-04       1.839683736627e+02 
       3.674295514393e-04       2.293274928182e+02 
       4.625663993511e-04       2.857642613693e+02 
       5.823365947852e-04       3.558882668120e+02 
       7.331183373928e-04       4.428442238766e+02 
       9.229413047961e-04       5.503652947061e+02 
       1.161914262202e-03       6.827996545816e+02 
       1.462763391012e-03       8.450891618090e+02 
       1.841510004388e-03       1.042645036521e+03 
       2.318323740597e-03       1.281013549082e+03 
       2.918596669803e-03       1.565260553847e+03 
       3.674295514393e-03       1.899032448769e+03 
       4.625663993511e-03       2.283159624474e+03 
       5.823365947852e-03       2.708707080834e+03 
       7.331183373928e-03       3.172284862212e+03 
       9.229413047961e-03       3.649253394483e+03 
       1.161914262202e-02       4.105540931517e+03 
       1.462763391012e-02       4.492515402975e+03 
       1.841510004344e-02       4.748767762375e+03 
       2.318323600034e-02       4.810624863281e+03 
       2.918533341639e-02       4.638288364590e+03 
       3.668579364494e-02       4.258578244784e+03 
       4.498236092666e-02       3.828082322157e+03 
       5.131501866927e-02       3.547870372237e+03 
       5.607463463169e-02       3.365135302972e+03 
       6.011149624174e-02       3.223006826497e+03 
       6.377023509075e-02       3.099883156087e+03 
       6.721286002202e-02       2.986021454619e+03 
       7.052860947494e-02       2.876478963285e+03 
       7.377254812806e-02       2.768731269318e+03 
       7.698164075799e-02       2.661689184971e+03 
       8.018239449457e-02       2.555206817129e+03 
       8.339487210185e-02       2.449779997356e+03 
       8.663496672462e-02       2.346319918009e+03 
       8.991577119011e-02       2.245957114532e+03 
       9.324844319587e-02       2.149860818062e+03 
       9.664277407834e-02       2.059071949486e+03 
       1.001075751501e-01       1.974357135664e+03 
       1.036509473104e-01       1.896092177546e+03 
       1.072804734134e-01       1.824186519031e+03 
       1.110033579882e-01       1.758058948121e+03 
       1.148265301292e-01       1.696674678488e+03 
       1.187567200237e-01       1.638649867557e+03 
       1.228005162392e-01       1.582423703834e+03 
       1.269644087477e-01       1.526486119934e+03 
       1.312548212697e-01       1.469631249602e+03 
       1.356781355962e-01       1.411189786819e+03 
       1.402407099360e-01       1.351181065287e+03 
       1.449488929257e-01       1.290330990227e+03 
       1.498090346691e-01       1.229926775467e+03 
       1.548274959971e-01       1.171523459330e+03 
       1.600106570210e-01       1.116563861435e+03 
       1.653649259825e-01       1.066007044288e+03 
       1.708967493577e-01       1.020067653207e+03 
       1.766126241420e-01       9.781489270086e+02 
       1.825191132284e-01       9.390097507817e+02 
       1.886228647750e-01       9.011442153381e+02 
       1.949306364542e-01       8.632760076331e+02 
       2.014493254691e-01       8.247985930387e+02 
       2.081860052311e-01       7.859731556421e+02 
       2.151479696106e-01       7.477709224627e+02 
       2.223427857137e-01       7.114066748733e+02 
       2.297783562072e-01       6.777712151553e+02 
       2.374629923311e-01       6.470340980534e+02 
       2.454054989090e-01       6.186121005782e+02 
       2.536152729172e-01       5.915218217682e+02 
       2.621024175204e-01       5.649308875787e+02 
       2.708778739597e-01       5.385906271424e+02 
       2.799535743150e-01       5.128802461412e+02 
       2.893426190140e-01       4.884411779537e+02 
       2.990594840840e-01       4.656734312023e+02 
       3.091202646249e-01       4.444647291385e+02 
       3.195429629577e-01       4.243359937674e+02 
       3.303478325252e-01       4.048534536189e+02 
       3.415577921660e-01       3.859406553741e+02 
       3.531989301969e-01       3.678247649448e+02 
       3.653011243686e-01       3.507110521132e+02 
       3.778988130216e-01       3.345436916968e+02 
       3.910319658857e-01       3.190880444395e+02 
       4.047473218601e-01       3.041911176196e+02 
       4.190999887994e-01       2.898849608830e+02 
       4.341555416743e-01       2.762346276892e+02 
       4.499928185291e-01       2.631844586150e+02 
       4.667077119973e-01       2.506183526161e+02 
       4.844184114490e-01       2.384904009221e+02 
       5.032728095944e-01       2.267970180760e+02 
       5.234592264879e-01       2.154829701306e+02 
       5.452223756806e-01       2.044722600633e+02 
       5.688879086868e-01       1.937161480789e+02 
       5.949015736735e-01       1.831470287623e+02 
       6.238944593294e-01       1.726722285849e+02 
       6.567973902095e-01       1.621871345570e+02 
       6.950539390166e-01       1.515421205764e+02 
       7.410459588003e-01       1.405260643287e+02 
       7.990131625438e-01       1.288149847635e+02 
       8.771904757470e-01       1.159004148293e+02 
       9.927675686156e-01       1.010468023764e+02 
       1.178901762298e+00       8.377831302997e+01 
       1.465378187914e+00       6.600545749232e+01 
       1.843720403129e+00       5.077528929720e+01 
       2.321093267407e+00       3.825438842085e+01 
       2.922083268323e+00       2.803012676669e+01 
       3.678684881862e+00       1.986684867485e+01 
       4.631189879759e+00       1.358736471276e+01 
       5.830322626472e+00       8.978974211129e+00 
       7.339941313424e+00       5.758020138373e+00 
       9.240438640548e+00       3.602383412782e+00 
       1.163302302071e+01       2.210060623877e+00 
