# Matter power spectrum P(k) at redshift z=2
# for k=2.28905e-07 to 11.4862 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.289054442572e-07       1.439852451781e-01 
       2.881748806735e-07       1.796048210421e-01 
       3.627906803206e-07       2.240360926307e-01 
       4.567264066177e-07       2.794589281812e-01 
       5.749844795284e-07       3.485924592596e-01 
       7.238625726656e-07       4.348284856473e-01 
       9.112889873754e-07       5.423978822009e-01 
       1.147244863695e-06       6.765781718354e-01 
       1.444295712456e-06       8.439524485405e-01 
       1.818260574556e-06       1.052732353246e+00 
       2.289054442572e-06       1.313160947188e+00 
       2.881748806735e-06       1.638015247605e+00 
       3.627906803206e-06       2.043233078501e+00 
       4.567264066177e-06       2.548694986510e+00 
       5.749844795284e-06       3.179199572416e+00 
       7.238625726656e-06       3.965680074481e+00 
       9.112889873754e-06       4.946721852039e+00 
       1.147244863695e-05       6.170455142409e+00 
       1.444295712456e-05       7.696915826387e+00 
       1.818260574556e-05       9.600989713989e+00 
       2.289054442572e-05       1.197608426840e+01 
       2.881748806735e-05       1.493870677930e+01 
       3.627906803206e-05       1.863417142582e+01 
       4.567264066177e-05       2.324371088339e+01 
       5.749844795284e-05       2.899333287184e+01 
       7.238625726656e-05       3.616483926299e+01 
       9.112889873754e-05       4.510951526914e+01 
       1.147244863695e-04       5.626509502199e+01 
       1.444295712456e-04       7.017670817145e+01 
       1.818260574556e-04       8.752258607691e+01 
       2.289054442572e-04       1.091453074239e+02 
       2.881748806735e-04       1.360891981300e+02 
       3.627906803206e-04       1.696440062390e+02 
       4.567264066177e-04       2.113939012263e+02 
       5.749844795284e-04       2.632689168310e+02 
       7.238625726656e-04       3.275930926870e+02 
       9.112889873754e-04       4.071204132728e+02 
       1.147244863695e-03       5.050475489930e+02 
       1.444295712456e-03       6.249895287039e+02 
       1.818260574556e-03       7.708856904297e+02 
       2.289054442572e-03       9.467552194145e+02 
       2.881748806735e-03       1.156220738221e+03 
       3.627906803206e-03       1.401799332016e+03 
       4.567264066177e-03       1.683873714435e+03 
       5.749844795284e-03       1.999281262858e+03 
       7.238625726656e-03       2.339562218969e+03 
       9.112889873754e-03       2.688999364848e+03 
       1.147244863695e-02       3.022702455667e+03 
       1.444295712456e-02       3.305506374516e+03 
       1.818260574513e-02       3.493418666414e+03 
       2.289054303858e-02       3.541168521269e+03 
       2.881686302680e-02       3.420483959010e+03 
       3.622264396906e-02       3.149577395038e+03 
       4.441466101248e-02       2.838103210682e+03 
       5.066765508264e-02       2.631638204367e+03 
       5.536734402048e-02       2.494795705470e+03 
       5.935335047204e-02       2.387189452873e+03 
       6.296598389264e-02       2.293431416415e+03 
       6.636521901558e-02       2.206608891752e+03 
       6.963917291687e-02       2.123242963130e+03 
       7.284221792318e-02       2.041576958111e+03 
       7.601085382514e-02       1.960865053076e+03 
       7.917125419299e-02       1.881013795259e+03 
       8.234322924859e-02       1.802362009418e+03 
       8.554247202808e-02       1.725516964006e+03 
       8.878191047140e-02       1.651215194120e+03 
       9.207256173201e-02       1.580197057220e+03 
       9.542409379243e-02       1.513093484091e+03 
       9.884520694201e-02       1.450330202647e+03 
       1.023438999958e-01       1.392054635657e+03 
       1.059276602420e-01       1.338093678793e+03 
       1.096036014046e-01       1.287949098615e+03 
       1.133785652381e-01       1.240837047830e+03 
       1.172591970929e-01       1.195773982101e+03 
       1.212520024807e-01       1.151706406345e+03 
       1.253633895584e-01       1.107672210378e+03 
       1.295997010641e-01       1.062968752347e+03 
       1.339672383336e-01       1.017293539805e+03 
       1.384722794164e-01       9.708181786000e+02 
       1.431210929096e-01       9.241649331395e+02 
       1.479199488582e-01       8.782752018208e+02 
       1.528751278986e-01       8.341901898785e+02 
       1.579929297034e-01       7.927928048812e+02 
       1.632796817208e-01       7.545768747409e+02 
       1.687417491500e-01       7.195105771870e+02 
       1.743855470719e-01       6.870422823969e+02 
       1.802175556323e-01       6.562635561967e+02 
       1.862443391663e-01       6.261967248949e+02 
       1.924725701398e-01       5.961226948133e+02 
       1.989090587880e-01       5.658274617419e+02 
       2.055607893295e-01       5.356555610462e+02 
       2.124349636593e-01       5.063298522644e+02 
       2.195390534581e-01       4.786076360805e+02 
       2.268808617321e-01       4.529305511606e+02 
       2.344685949031e-01       4.292374620634e+02 
       2.423109467471e-01       4.070339780682e+02 
       2.504171957183e-01       3.856826832209e+02 
       2.587973175474e-01       3.647538023748e+02 
       2.674621154639e-01       3.442279179751e+02 
       2.764233710317e-01       3.244258756612e+02 
       2.856940194179e-01       3.057239931323e+02 
       2.952883540286e-01       2.882663940654e+02 
       3.052222669104e-01       2.718828617348e+02 
       3.155135332607e-01       2.562552566073e+02 
       3.261821509892e-01       2.411748014802e+02 
       3.372507497620e-01       2.266633817445e+02 
       3.487450887215e-01       2.128674931643e+02 
       3.606946686153e-01       1.998573023609e+02 
       3.731334932168e-01       1.875453940590e+02 
       3.861010278674e-01       1.757895886265e+02 
       3.996434216277e-01       1.645314606087e+02 
       4.138150868607e-01       1.538005630388e+02 
       4.286807708960e-01       1.436082260252e+02 
       4.443183166722e-01       1.338977550736e+02 
       4.608224063594e-01       1.246067311425e+02 
       4.783097372800e-01       1.157167137128e+02 
       4.969263349293e-01       1.072136784991e+02 
       5.168581414570e-01       9.905486005367e+01 
       5.383467800165e-01       9.119959838860e+01 
       5.617137889341e-01       8.361830405003e+01 
       5.873992852260e-01       7.626839835570e+01 
