# Matter power spectrum P(k) at redshift z=2
# for k=8.21283e-06 to 10.354 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.212827011494e-06       2.750872882558e+01 
       1.033933662744e-05       3.417428780316e+01 
       1.301645362138e-05       4.245489405708e+01 
       1.638674423539e-05       5.274181527363e+01 
       2.062968873451e-05       6.552105407163e+01 
       2.597123938527e-05       8.139620410600e+01 
       3.269585323791e-05       1.011168554936e+02 
       4.116164050150e-05       1.256136105694e+02 
       5.181943521847e-05       1.560414650791e+02 
       6.523680382136e-05       1.938330167127e+02 
       8.212827011494e-05       2.407636085509e+02 
       1.033933662744e-04       2.990301526698e+02 
       1.301645362138e-04       3.713450709543e+02 
       1.638674423539e-04       4.610453319683e+02 
       2.062968873451e-04       5.722133836279e+02 
       2.597123938527e-04       7.098005424482e+02 
       3.269585323791e-04       8.797324556574e+02 
       4.116164050150e-04       1.088959998304e+03 
       5.181943521847e-04       1.345401101315e+03 
       6.523680382136e-04       1.657712741295e+03 
       8.212827011494e-04       2.034853535192e+03 
       1.033933662744e-03       2.485407807310e+03 
       1.301645362138e-03       3.016461201574e+03 
       1.638674423539e-03       3.631555664071e+03 
       2.062968873451e-03       4.327766459581e+03 
       2.597123938527e-03       5.092599994356e+03 
       3.269585323791e-03       5.900772764243e+03 
       4.116164050150e-03       6.710745491994e+03 
       5.181943521847e-03       7.462701382830e+03 
       6.523680382136e-03       8.078170023119e+03 
       8.212827011494e-03       8.460503048425e+03 
       1.033933662744e-02       8.501397681171e+03 
       1.301645362138e-02       8.093340007646e+03 
       1.638674423106e-02       7.165635935741e+03 
       2.062968098609e-02       5.757368212713e+03 
       2.596908525062e-02       4.111386391700e+03 
       3.256520491167e-02       2.689279376514e+03 
       3.921639136334e-02       1.942891196138e+03 
       4.402190560569e-02       1.699173481976e+03 
       4.777884876653e-02       1.607927367976e+03 
       5.103930702150e-02       1.563516393204e+03 
       5.403166088842e-02       1.530124892725e+03 
       5.686872546701e-02       1.491598763591e+03 
       5.961489814198e-02       1.440035366058e+03 
       6.231096138229e-02       1.372259599166e+03 
       6.498484542855e-02       1.288487646004e+03 
       6.765690499171e-02       1.191462509211e+03 
       7.034275580223e-02       1.085702132786e+03 
       7.305491201910e-02       9.767675591521e+02 
       7.580378639273e-02       8.704142358538e+02 
       7.859832978071e-02       7.718649731372e+02 
       8.144645570240e-02       6.852715429394e+02 
       8.435533106622e-02       6.133334643971e+02 
       8.733158041647e-02       5.573155226481e+02 
       9.038143245501e-02       5.170501872607e+02 
       9.351082691677e-02       4.911942776561e+02 
       9.672549352272e-02       4.773687602130e+02 
       1.000310108299e-01       4.722781896743e+02 
       1.034328503386e-01       4.717229035686e+02 
       1.069364096337e-01       4.709503083549e+02 
       1.105470372991e-01       4.652496830929e+02 
       1.142700516612e-01       4.508975075132e+02 
       1.181107549573e-01       4.262093496868e+02 
       1.220744442242e-01       3.921422668509e+02 
       1.261664199986e-01       3.520933549411e+02 
       1.303919937908e-01       3.109667150854e+02 
       1.347564952098e-01       2.737177764374e+02 
       1.392652795611e-01       2.440705003615e+02 
       1.439237367110e-01       2.237429502746e+02 
       1.487373019850e-01       2.123962494362e+02 
       1.537114698576e-01       2.078097887753e+02 
       1.588518111803e-01       2.064288989022e+02 
       1.641639946900e-01       2.039932777670e+02 
       1.696538135381e-01       1.967207525435e+02 
       1.753272175892e-01       1.833080599473e+02 
       1.811903522571e-01       1.655048116071e+02 
       1.872496046873e-01       1.469397252234e+02 
       1.935116581621e-01       1.310988835589e+02 
       1.999835557127e-01       1.200144881683e+02 
       2.066727740839e-01       1.137867554861e+02 
       2.135873094258e-01       1.105016415022e+02 
       2.207357764036e-01       1.071745301852e+02 
       2.281275228505e-01       1.015290725533e+02 
       2.357727626647e-01       9.323950307455e+01 
       2.436827304180e-01       8.397685456611e+01 
       2.518698621577e-01       7.609872566487e+01 
       2.603480082244e-01       7.069868185121e+01 
       2.691326856891e-01       6.714692549075e+01 
       2.782413803943e-01       6.389725171478e+01 
       2.876939118031e-01       5.964182310419e+01 
       2.975128782444e-01       5.455574159210e+01 
       3.077242062154e-01       4.976584359858e+01 
       3.183578359042e-01       4.609252748582e+01 
       3.294485872011e-01       4.321338022688e+01 
       3.410372679848e-01       4.030000484307e+01 
       3.531721122657e-01       3.706421826537e+01 
       3.659106745193e-01       3.392580515605e+01 
       3.793223659923e-01       3.125944144845e+01 
       3.934919121226e-01       2.893342766526e+01 
       4.085241606847e-01       2.655096172319e+01 
       4.245509198581e-01       2.418579695252e+01 
       4.417409329839e-01       2.209721014700e+01 
       4.603148563096e-01       2.012218162534e+01 
       4.805685117868e-01       1.816969705778e+01 
       5.029104129744e-01       1.634531215872e+01 
       5.279251359219e-01       1.458809997207e+01 
       5.564862088242e-01       1.287880597230e+01 
       5.899702826321e-01       1.121622726150e+01 
       6.306942430369e-01       9.568147825670e+00 
       6.828810686827e-01       7.908655443924e+00 
       7.549344355056e-01       6.210316088665e+00 
       8.644803117167e-01       4.467579346864e+00 
       1.042178621084e+00       2.822768053189e+00 
       1.303732962588e+00       1.617559291377e+00 
       1.640995671984e+00       9.064718091180e-01 
       2.065888759881e+00       5.044174038699e-01 
       2.600799854676e+00       2.790299248884e-01 
       3.274213028042e+00       1.535077472142e-01 
       4.121989984630e+00       8.403259552348e-02 
       5.189277938811e+00       4.578777010745e-02 
       6.532913866032e+00       2.484218056320e-02 
       8.224451279010e+00       1.342437895077e-02 
       1.035397071321e+01       7.227565044888e-03 
