# Matter power spectrum P(k) at redshift z=1.5
# for k=2.39924e-07 to 12.0381 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.399240566891e-07       1.225272170545e-01 
       3.020464918667e-07       1.537597164123e-01 
       3.802540041543e-07       1.929534592767e-01 
       4.787114287663e-07       2.421377868107e-01 
       6.026619825902e-07       3.038593243882e-01 
       7.587064846050e-07       3.813138384771e-01 
       9.551548735623e-07       4.785117043759e-01 
       1.202468742527e-06       6.004855517827e-01 
       1.513818456855e-06       7.535508394878e-01 
       1.905784524178e-06       9.456328512534e-01 
       2.399240566891e-06       1.186677042026e+00 
       3.020464918667e-06       1.489163981225e+00 
       3.802540041543e-06       1.868755553012e+00 
       4.787114287663e-06       2.345105867227e+00 
       6.026619825902e-06       2.942878859547e+00 
       7.587064846050e-06       3.693025252735e+00 
       9.551548735623e-06       4.634384964111e+00 
       1.202468742527e-05       5.815697857741e+00 
       1.513818456855e-05       7.298126827755e+00 
       1.905784524178e-05       9.158423581127e+00 
       2.399240566891e-05       1.149290052513e+01 
       3.020464918667e-05       1.442241337020e+01 
       3.802540041543e-05       1.809861039076e+01 
       4.787114287663e-05       2.271176782815e+01 
       6.026619825902e-05       2.850060903256e+01 
       7.587064846050e-05       3.576459970191e+01 
       9.551548735623e-05       4.487932396006e+01 
       1.202468742527e-04       5.631567455319e+01 
       1.513818456855e-04       7.066372680822e+01 
       1.905784524178e-04       8.866228989431e+01 
       2.399240566891e-04       1.112351946322e+02 
       3.020464918667e-04       1.395352963329e+02 
       3.802540041543e-04       1.749967881808e+02 
       4.787114287663e-04       2.193955017123e+02 
       6.026619825902e-04       2.749151611947e+02 
       7.587064846050e-04       3.442150135249e+02 
       9.551548735623e-04       4.304914096911e+02 
       1.202468742527e-03       5.375233222705e+02 
       1.513818456855e-03       6.696852159623e+02 
       1.905784524178e-03       8.318844594898e+02 
       2.399240566891e-03       1.029336663143e+03 
       3.020464918667e-03       1.267106499565e+03 
       3.802540041543e-03       1.549364572874e+03 
       4.787114287663e-03       1.878232672853e+03 
       6.026619825902e-03       2.252076230626e+03 
       7.587064846050e-03       2.663176240137e+03 
       9.551548735623e-03       3.094824375589e+03 
       1.202468742527e-02       3.517931971490e+03 
       1.513818456855e-02       3.888052063415e+03 
       1.905784524153e-02       4.145258884252e+03 
       2.399240474783e-02       4.222689305911e+03 
       3.020418165967e-02       4.072780900448e+03 
       3.797888507590e-02       3.715305476147e+03 
       4.673173261316e-02       3.304712360073e+03 
       5.354755133122e-02       3.047506756945e+03 
       5.862305189609e-02       2.893074688497e+03 
       6.290151528494e-02       2.780096723173e+03 
       6.676646760895e-02       2.685381543701e+03 
       7.039599389629e-02       2.598303677375e+03 
       7.388730577981e-02       2.513242022781e+03 
       7.729999770778e-02       2.427124076659e+03 
       8.067387671184e-02       2.338459822800e+03 
       8.403737442732e-02       2.246885811945e+03 
       8.741193890151e-02       2.152894098395e+03 
       9.081451261082e-02       2.057621726411e+03 
       9.425901873143e-02       1.962650039910e+03 
       9.775729747601e-02       1.869796906676e+03 
       1.013197201477e-01       1.780902259315e+03 
       1.049556054043e-01       1.697617550743e+03 
       1.086735092752e-01       1.621212924852e+03 
       1.124814318113e-01       1.552417630458e+03 
       1.163869670200e-01       1.491307659406e+03 
       1.203974131877e-01       1.437254743830e+03 
       1.245198548918e-01       1.388950842449e+03 
       1.287612243715e-01       1.344523145681e+03 
       1.331283476148e-01       1.301750928640e+03 
       1.376279790028e-01       1.258380806759e+03 
       1.422668273605e-01       1.212510625186e+03 
       1.470515756001e-01       1.162975373599e+03 
       1.519888957016e-01       1.109637712495e+03 
       1.570854604826e-01       1.053480821367e+03 
       1.623479534175e-01       9.964366257675e+02 
       1.677830776424e-01       9.409571713864e+02 
       1.733975652031e-01       8.894207799692e+02 
       1.791981875540e-01       8.435247494520e+02 
       1.851917682849e-01       8.038264744391e+02 
       1.913851990346e-01       7.695642593168e+02 
       1.977854595348e-01       7.388367367741e+02 
       2.043996427201e-01       7.091499252979e+02 
       2.112349858375e-01       6.782295901024e+02 
       2.182989084927e-01       6.448466101921e+02 
       2.255990585893e-01       6.092983621791e+02 
       2.331433671587e-01       5.732620345438e+02 
       2.409401131502e-01       5.390207855678e+02 
       2.489979993666e-01       5.084055703658e+02 
       2.573262409089e-01       4.819610142191e+02 
       2.659346677500e-01       4.587413933867e+02 
       2.748338434144e-01       4.368597052596e+02 
       2.840352022312e-01       4.145519105240e+02 
       2.935512082870e-01       3.911791757053e+02 
       3.033955400785e-01       3.675124275018e+02 
       3.135833060264e-01       3.450643715009e+02 
       3.241312975408e-01       3.249418094279e+02 
       3.350582883624e-01       3.070741843182e+02 
       3.463853916112e-01       2.903891303895e+02 
       3.581364896211e-01       2.737762748711e+02 
       3.703387565933e-01       2.570107092134e+02 
       3.830233009200e-01       2.407854482445e+02 
       3.962259635416e-01       2.258506890970e+02 
       4.099883221619e-01       2.122004160388e+02 
       4.243589705123e-01       1.991836470489e+02 
       4.393951701996e-01       1.863429283361e+02 
       4.551650149465e-01       1.738913960164e+02 
       4.717503114041e-01       1.622293308482e+02 
       4.892504809572e-01       1.512840080578e+02 
       5.077879470074e-01       1.406903112828e+02 
       5.275157349925e-01       1.304052335219e+02 
       5.486284573473e-01       1.206168510789e+02 
       5.713786357385e-01       1.112417786283e+02 
       5.961017355244e-01       1.021120052985e+02 
       6.232559999068e-01       9.327254185000e+01 
       6.534886121948e-01       8.466402272566e+01 
       6.877512749947e-01       7.618406837382e+01 
       7.275144954541e-01       6.778156684361e+01 
       7.751935196748e-01       5.932619280561e+01 
       8.350638588870e-01       5.067267421435e+01 
       9.153809062627e-01       4.161805849790e+01 
       1.033329426519e+00       3.198194383339e+01 
       1.222624941531e+00       2.205019722535e+01 
       1.516667661439e+00       1.355862070130e+01 
       1.907926631337e+00       7.989067726299e+00 
       2.401917740651e+00       4.650916522674e+00 
       3.023835231745e+00       2.682428699750e+00 
       3.806783014306e+00       1.534157676216e+00 
       4.792455873897e+00       8.707880289677e-01 
       6.033344484551e+00       4.908646928373e-01 
       7.595530689709e+00       2.749713178621e-01 
       9.562206601337e+00       1.531533703754e-01 
       1.203810488325e+01       8.485704162073e-02 
