# Matter power spectrum P(k) at redshift z=2.5
# for k=8.32331e-06 to 10.4932 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.323312226403e-06       1.984371860771e+01 
       1.047842927212e-05       2.464178012505e+01 
       1.319156088635e-05       3.059993565039e+01 
       1.660719122106e-05       3.799863871532e+01 
       2.090721504672e-05       4.718610503335e+01 
       2.632062431216e-05       5.859464176027e+01 
       3.313570280087e-05       7.276089695021e+01 
       4.171537829367e-05       9.035088791776e+01 
       5.251654979651e-05       1.121909118814e+02 
       6.611441907858e-05       1.393055702333e+02 
       8.323312226403e-05       1.729642766341e+02 
       1.047842927212e-04       2.147376489201e+02 
       1.319156088635e-04       2.665648594942e+02 
       1.660719122106e-04       3.308321447251e+02 
       2.090721504672e-04       4.104605338169e+02 
       2.632062431216e-04       5.089966166613e+02 
       3.313570280087e-04       6.306924995961e+02 
       4.171537829367e-04       7.805491613034e+02 
       5.251654979651e-04       9.642828854189e+02 
       6.611441907858e-04       1.188165898819e+03 
       8.323312226403e-04       1.458705186542e+03 
       1.047842927212e-03       1.782148900444e+03 
       1.319156088635e-03       2.163728945241e+03 
       1.660719122106e-03       2.606314642179e+03 
       2.090721504672e-03       3.108283134673e+03 
       2.632062431216e-03       3.661232045643e+03 
       3.313570280087e-03       4.247673519013e+03 
       4.171537829367e-03       4.838425002092e+03 
       5.251654979651e-03       5.390968982994e+03 
       6.611441907858e-03       5.849022551202e+03 
       8.323312226403e-03       6.142299347750e+03 
       1.047842927212e-02       6.191677974441e+03 
       1.319156088635e-02       5.917470320257e+03 
       1.660719121551e-02       5.265748866129e+03 
       2.090720567170e-02       4.261415028787e+03 
       2.631813897984e-02       3.076951656010e+03 
       3.299082608742e-02       2.046347652704e+03 
       3.964628728287e-02       1.502627482272e+03 
       4.444132150521e-02       1.319651400496e+03 
       4.820454562468e-02       1.247075858788e+03 
       5.147732357422e-02       1.209146128702e+03 
       5.448448933376e-02       1.179795219046e+03 
       5.733764100483e-02       1.147248910093e+03 
       6.010069988518e-02       1.105715338813e+03 
       6.281424894241e-02       1.052866747138e+03 
       6.550613612845e-02       9.888168214314e+02 
       6.819668843340e-02       9.154908169255e+02 
       7.090152113871e-02       8.361135937212e+02 
       7.363316236525e-02       7.546326695485e+02 
       7.640204680255e-02       6.751609101634e+02 
       7.921715185375e-02       6.014643732468e+02 
       8.208642035970e-02       5.365318432436e+02 
       8.501705030342e-02       4.823591144156e+02 
       8.801569847193e-02       4.398708655502e+02 
       9.108862663545e-02       4.089832329181e+02 
       9.424180821739e-02       3.887074636377e+02 
       9.748100711933e-02       3.772768041282e+02 
       1.008118364877e-01       3.722423005228e+02 
       1.042398027631e-01       3.704868716271e+02 
       1.077703387796e-01       3.685125992963e+02 
       1.114088286474e-01       3.628975394874e+02 
       1.151606264736e-01       3.509697043594e+02 
       1.190310705170e-01       3.315538898712e+02 
       1.230254940746e-01       3.053837400305e+02 
       1.271492341932e-01       2.749699993579e+02 
       1.314076391733e-01       2.438864941779e+02 
       1.358060757440e-01       2.157485517086e+02 
       1.403499367395e-01       1.932657778966e+02 
       1.450446500707e-01       1.776914162409e+02 
       1.498956897678e-01       1.687551312370e+02 
       1.549085898546e-01       1.647742144022e+02 
       1.600889618069e-01       1.630965615100e+02 
       1.654425163405e-01       1.605783166133e+02 
       1.709750902771e-01       1.544742786827e+02 
       1.766926792398e-01       1.438854519384e+02 
       1.826014769538e-01       1.301561239196e+02 
       1.887079219669e-01       1.159816900587e+02 
       1.950187526767e-01       1.038990887101e+02 
       2.015410716567e-01       9.537534394260e+01 
       2.082824204425e-01       9.044428872136e+01 
       2.152508661682e-01       8.764997355541e+01 
       2.224551017676e-01       8.478125600672e+01 
       2.299045618923e-01       8.018674182707e+01 
       2.376095572871e-01       7.367844326993e+01 
       2.455814311379e-01       6.651976164960e+01 
       2.538327419384e-01       6.044167859395e+01 
       2.623774787819e-01       5.622494230221e+01 
       2.712313167926e-01       5.336343113948e+01 
       2.804119228291e-01       5.070139952716e+01 
       2.899393248594e-01       4.729266767703e+01 
       2.998363628672e-01       4.330017020088e+01 
       3.101292453130e-01       3.956687348418e+01 
       3.208482438251e-01       3.667957159433e+01 
       3.320285711064e-01       3.437611175898e+01 
       3.437115048702e-01       3.203917644257e+01 
       3.559458468877e-01       2.947477102950e+01 
       3.687898457089e-01       2.700497943908e+01 
       3.823137722271e-01       2.489731932578e+01 
       3.966034325026e-01       2.303961031570e+01 
       4.117650558883e-01       2.114268460948e+01 
       4.279322515482e-01       1.927151519433e+01 
       4.452761638005e-01       1.761261123304e+01 
       4.640207344762e-01       1.603806126819e+01 
       4.844664217560e-01       1.448619862721e+01 
       5.070285237472e-01       1.303471179965e+01 
       5.323019869528e-01       1.163377511915e+01 
       5.611770474033e-01       1.027215886678e+01 
       5.950590464522e-01       8.945246510518e+00 
       6.363180544609e-01       7.629330362210e+00 
       6.892845815259e-01       6.302704961030e+00 
       7.625967409807e-01       4.943382232887e+00 
       8.743671627164e-01       3.548175042889e+00 
       1.055667652546e+00       2.235999201461e+00 
       1.321235382675e+00       1.281274955783e+00 
       1.663061600089e+00       7.187500269214e-01 
       2.093668462060e+00       4.003884602494e-01 
       2.635772428270e+00       2.216912491511e-01 
       3.318240889655e+00       1.220734603064e-01 
       4.177417778441e+00       6.687748195693e-02 
       5.259057396960e+00       3.646646843554e-02 
       6.620760999117e+00       1.979736900891e-02 
       8.335044267204e+00       1.070445652520e-02 
       1.049319903641e+01       5.766015208429e-03 
