# Matter power spectrum P(k) at redshift z=1
# for k=8.84662e-06 to 11.1519 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.846621356399e-06       3.012571790876e+01 
       1.113723643409e-05       3.772647464175e+01 
       1.402094996404e-05       4.724487396681e+01 
       1.765133020722e-05       5.916465261200e+01 
       2.222170814984e-05       7.409151676713e+01 
       2.797547308331e-05       9.278385472571e+01 
       3.521903397154e-05       1.161910739397e+02 
       4.433813684562e-05       1.455015121145e+02 
       5.581840718656e-05       1.822020769565e+02 
       7.027121125303e-05       2.281523994561e+02 
       8.846621356399e-05       2.856764541410e+02 
       1.113723643409e-04       3.576750326715e+02 
       1.402094996404e-04       4.477620589956e+02 
       1.765133020722e-04       5.604266290034e+02 
       2.222170814984e-04       7.012195059440e+02 
       2.797547308331e-04       8.769564196410e+02 
       3.521903397154e-04       1.095919378794e+03 
       4.433813684562e-04       1.368021205590e+03 
       5.581840718655e-04       1.704882162421e+03 
       7.027121125303e-04       2.119760410292e+03 
       8.846621356399e-04       2.627272129527e+03 
       1.113723643409e-03       3.242748921093e+03 
       1.402094996404e-03       3.980809632492e+03 
       1.765133020722e-03       4.852836659199e+03 
       2.222170814984e-03       5.863396837586e+03 
       2.797547308331e-03       7.005465744471e+03 
       3.521903397154e-03       8.254967980093e+03 
       4.433813684562e-03       9.564177888528e+03 
       5.581840718656e-03       1.085556948145e+04 
       7.027121125303e-03       1.201798643073e+04 
       8.846621356399e-03       1.290186718949e+04 
       1.113723643409e-02       1.332539723873e+04 
       1.402094996404e-02       1.308955649112e+04 
       1.765133019107e-02       1.203369447541e+04 
       2.222168691713e-02       1.015241396089e+04 
       2.797088462949e-02       7.760821913167e+03 
       3.499382914675e-02       5.575369719638e+03 
       4.165799768756e-02       4.388280831397e+03 
       4.642740420335e-02       3.936313258986e+03 
       5.023180577693e-02       3.720344320333e+03 
       5.356938306229e-02       3.584903700099e+03 
       5.665109642299e-02       3.472772304571e+03 
       5.958382012854e-02       3.357447038914e+03 
       6.242966718248e-02       3.225656854535e+03 
       6.522849812852e-02       3.071770519139e+03 
       6.800789496323e-02       2.895593117847e+03 
       7.078812832619e-02       2.700892546887e+03 
       7.358485987631e-02       2.494333202881e+03 
       7.641071701816e-02       2.284167585674e+03 
       7.927626208847e-02       2.079411509350e+03 
       8.219061591003e-02       1.888252834112e+03 
       8.516187386733e-02       1.717784219225e+03 
       8.819739203225e-02       1.572694111611e+03 
       9.130398887612e-02       1.455484100313e+03 
       9.448809037812e-02       1.366274260156e+03 
       9.775583610095e-02       1.302803781515e+03 
       1.011131576780e-01       1.260800257050e+03 
       1.045658373777e-01       1.233926159377e+03 
       1.081195520212e-01       1.214558277851e+03 
       1.117799059863e-01       1.194122225125e+03 
       1.155524560207e-01       1.164686905896e+03 
       1.194427299134e-01       1.120191221466e+03 
       1.234562406321e-01       1.058300920890e+03 
       1.275984972318e-01       9.811484000314e+02 
       1.318750136480e-01       8.949410061217e+02 
       1.362913163574e-01       8.081820927199e+02 
       1.408529518080e-01       7.295685709504e+02 
       1.455654944700e-01       6.655767625419e+02 
       1.504345563244e-01       6.192862214355e+02 
       1.554657985888e-01       5.897310093496e+02 
       1.606649464647e-01       5.723346673028e+02 
       1.660378076818e-01       5.600408495632e+02 
       1.715902956118e-01       5.450031351167e+02 
       1.773284577205e-01       5.207130048879e+02 
       1.832585101408e-01       4.855762314222e+02 
       1.893868791686e-01       4.434975003514e+02 
       1.957202505335e-01       4.014068172551e+02 
       2.022656273664e-01       3.655765457556e+02 
       2.090303979136e-01       3.393309768219e+02 
       2.160224142164e-01       3.223084886354e+02 
       2.232500832307e-01       3.104019871819e+02 
       2.307224722057e-01       2.977980781119e+02 
       2.384494306121e-01       2.806340676451e+02 
       2.464417315347e-01       2.589911685622e+02 
       2.547112362801e-01       2.364060727067e+02 
       2.632710870468e-01       2.172904825954e+02 
       2.721359339609e-01       2.032926881459e+02 
       2.813222047187e-01       1.926915354434e+02 
       2.908484276651e-01       1.823290100503e+02 
       3.007356226428e-01       1.700158721424e+02 
       3.110077787392e-01       1.565361636521e+02 
       3.216924446923e-01       1.441917851072e+02 
       3.328214670435e-01       1.342888443281e+02 
       3.444319244255e-01       1.258568349683e+02 
       3.565673256723e-01       1.172577954116e+02 
       3.692791679443e-01       1.081994553375e+02 
       3.826289940116e-01       9.966517807293e+01 
       3.966911539509e-01       9.221762903732e+01 
       4.115565807380e-01       8.540710331236e+01 
       4.273380578943e-01       7.852970884998e+01 
       4.441777384451e-01       7.188006959102e+01 
       4.622581585331e-01       6.587461983923e+01 
       4.818188540541e-01       6.009101966031e+01 
       5.031823004774e-01       5.444629557676e+01 
       5.267960454311e-01       4.912448346111e+01 
       5.533043992963e-01       4.394367186424e+01 
       5.836772905680e-01       3.890497466221e+01 
       6.194572986830e-01       3.394705470385e+01 
       6.632698595378e-01       2.900273440747e+01 
       7.199639703464e-01       2.397746639984e+01 
       7.993096895593e-01       1.877913424368e+01 
       9.217258158333e-01       1.341320960352e+01 
       1.119893276629e+00       8.421492894796e+00 
       1.404078633298e+00       4.867272807182e+00 
       1.767461084164e+00       2.764534187771e+00 
       2.225100648241e+00       1.558749332954e+00 
       2.801235748899e+00       8.732698071345e-01 
       3.526546868715e+00       4.863759975624e-01 
       4.439659468908e+00       2.694312967711e-01 
       5.589200125121e+00       1.485191843277e-01 
       7.036386069118e+00       8.149748669989e-02 
       8.858285229607e+00       4.453076019112e-02 
       1.115192038047e+01       2.423608097657e-02 
